# aeq_b	eeq_b	aeq_c	eeq_c	aeq_d	eeq_d	aeq_e	eeq_e
1.19798e-02	2.91118e-02	1.57101e-02	3.85809e-02	2.06097e-02	2.76627e-02	2.70534e-02	4.13056e-03
1.19796e-02	2.83849e-02	1.57101e-02	3.76179e-02	2.06103e-02	2.69715e-02	2.70554e-02	4.02724e-03
1.19792e-02	2.74966e-02	1.57101e-02	3.64412e-02	2.06110e-02	2.61270e-02	2.70580e-02	3.90100e-03
1.19789e-02	2.65745e-02	1.57100e-02	3.52196e-02	2.06119e-02	2.52503e-02	2.70609e-02	3.76996e-03
1.19785e-02	2.56481e-02	1.57100e-02	3.39921e-02	2.06128e-02	2.43695e-02	2.70639e-02	3.63831e-03
1.19781e-02	2.47248e-02	1.57100e-02	3.27687e-02	2.06138e-02	2.34917e-02	2.70672e-02	3.50712e-03
1.19777e-02	2.38072e-02	1.57100e-02	3.15529e-02	2.06148e-02	2.26194e-02	2.70708e-02	3.37676e-03
1.19772e-02	2.28970e-02	1.57099e-02	3.03468e-02	2.06160e-02	2.17540e-02	2.70746e-02	3.24744e-03
1.19767e-02	2.19953e-02	1.57099e-02	2.91519e-02	2.06172e-02	2.08968e-02	2.70786e-02	3.11934e-03
1.19761e-02	2.11036e-02	1.57099e-02	2.79701e-02	2.06185e-02	2.00490e-02	2.70830e-02	2.99267e-03
1.19756e-02	2.02233e-02	1.57098e-02	2.68034e-02	2.06199e-02	1.92121e-02	2.70876e-02	2.86763e-03
1.19749e-02	1.93562e-02	1.57098e-02	2.56542e-02	2.06214e-02	1.83877e-02	2.70927e-02	2.74446e-03
1.19743e-02	1.85041e-02	1.57098e-02	2.45249e-02	2.06230e-02	1.75777e-02	2.70981e-02	2.62344e-03
1.19736e-02	1.76692e-02	1.57097e-02	2.34182e-02	2.06247e-02	1.67840e-02	2.71039e-02	2.50486e-03
1.19728e-02	1.68537e-02	1.57097e-02	2.23372e-02	2.06265e-02	1.60086e-02	2.71101e-02	2.38904e-03
1.19720e-02	1.60599e-02	1.57096e-02	2.12851e-02	2.06285e-02	1.52540e-02	2.71168e-02	2.27631e-03
1.19711e-02	1.52903e-02	1.57096e-02	2.02649e-02	2.06306e-02	1.45224e-02	2.71239e-02	2.16703e-03
1.19701e-02	1.45474e-02	1.57095e-02	1.92801e-02	2.06329e-02	1.38162e-02	2.71315e-02	2.06153e-03
1.19691e-02	1.38336e-02	1.57094e-02	1.83339e-02	2.06353e-02	1.31376e-02	2.71396e-02	1.96017e-03
1.19681e-02	1.31511e-02	1.57094e-02	1.74291e-02	2.06378e-02	1.24888e-02	2.71481e-02	1.86326e-03
1.19670e-02	1.25020e-02	1.57093e-02	1.65686e-02	2.06405e-02	1.18717e-02	2.71571e-02	1.77109e-03
1.19658e-02	1.18881e-02	1.57092e-02	1.57546e-02	2.06433e-02	1.12880e-02	2.71665e-02	1.68391e-03
1.19646e-02	1.13106e-02	1.57092e-02	1.49891e-02	2.06462e-02	1.07390e-02	2.71764e-02	1.60192e-03
1.19633e-02	1.07707e-02	1.57091e-02	1.42733e-02	2.06492e-02	1.02257e-02	2.71865e-02	1.52526e-03
1.19621e-02	1.02689e-02	1.57090e-02	1.36081e-02	2.06522e-02	9.74874e-03	2.71969e-02	1.45402e-03
1.19608e-02	9.80564e-03	1.57089e-02	1.29939e-02	2.06553e-02	9.30833e-03	2.72074e-02	1.38825e-03
1.19595e-02	9.38078e-03	1.57088e-02	1.24306e-02	2.06585e-02	8.90444e-03	2.72180e-02	1.32793e-03
1.19582e-02	8.99407e-03	1.57087e-02	1.19179e-02	2.06616e-02	8.53680e-03	2.72285e-02	1.27302e-03
1.19569e-02	8.64501e-03	1.57087e-02	1.14551e-02	2.06646e-02	8.20497e-03	2.72388e-02	1.22346e-03
1.19557e-02	8.33304e-03	1.57086e-02	1.10415e-02	2.06675e-02	7.90840e-03	2.72488e-02	1.17917e-03
1.19541e-02	7.96485e-03	1.57085e-02	1.05533e-02	2.06713e-02	7.55838e-03	2.72615e-02	1.12690e-03
1.19525e-02	7.61598e-03	1.57084e-02	1.00907e-02	2.06752e-02	7.22672e-03	2.72748e-02	1.07737e-03
1.19508e-02	7.28259e-03	1.57082e-02	9.64871e-03	2.06792e-02	6.90979e-03	2.72886e-02	1.03004e-03
1.19490e-02	6.96408e-03	1.57081e-02	9.22640e-03	2.06835e-02	6.60699e-03	2.73031e-02	9.84818e-04
1.19472e-02	6.65972e-03	1.57080e-02	8.82286e-03	2.06879e-02	6.31766e-03	2.73183e-02	9.41609e-04
1.19452e-02	6.36886e-03	1.57078e-02	8.43722e-03	2.06925e-02	6.04116e-03	2.73342e-02	9.00316e-04
1.19432e-02	6.09088e-03	1.57077e-02	8.06865e-03	2.06974e-02	5.77689e-03	2.73508e-02	8.60852e-04
1.19411e-02	5.82518e-03	1.57075e-02	7.71636e-03	2.07025e-02	5.52431e-03	2.73682e-02	8.23130e-04
1.19389e-02	5.57120e-03	1.57074e-02	7.37960e-03	2.07078e-02	5.28286e-03	2.73864e-02	7.87073e-04
1.19365e-02	5.32840e-03	1.57072e-02	7.05768e-03	2.07133e-02	5.05204e-03	2.74054e-02	7.52603e-04
1.19341e-02	5.09628e-03	1.57070e-02	6.74991e-03	2.07191e-02	4.83138e-03	2.74253e-02	7.19649e-04
1.19316e-02	4.87435e-03	1.57068e-02	6.45566e-03	2.07251e-02	4.62040e-03	2.74462e-02	6.88143e-04
1.19289e-02	4.66217e-03	1.57066e-02	6.17432e-03	2.07315e-02	4.41869e-03	2.74681e-02	6.58019e-04
1.19262e-02	4.45928e-03	1.57064e-02	5.90531e-03	2.07381e-02	4.22582e-03	2.74909e-02	6.29216e-04
1.19233e-02	4.26529e-03	1.57061e-02	5.64809e-03	2.07450e-02	4.04140e-03	2.75149e-02	6.01675e-04
1.19203e-02	4.07979e-03	1.57059e-02	5.40213e-03	2.07522e-02	3.86505e-03	2.75400e-02	5.75339e-04
1.19171e-02	3.90240e-03	1.57056e-02	5.16693e-03	2.07598e-02	3.69642e-03	2.75663e-02	5.50156e-04
1.19138e-02	3.73277e-03	1.57054e-02	4.94202e-03	2.07677e-02	3.53516e-03	2.75938e-02	5.26073e-04
1.19103e-02	3.57055e-03	1.57051e-02	4.72693e-03	2.07759e-02	3.38095e-03	2.76227e-02	5.03043e-04
1.19067e-02	3.41542e-03	1.57047e-02	4.52124e-03	2.07846e-02	3.23348e-03	2.76529e-02	4.81019e-04
1.19029e-02	3.26707e-03	1.57044e-02	4.32454e-03	2.07936e-02	3.09244e-03	2.76846e-02	4.59957e-04
1.18990e-02	3.12519e-03	1.57040e-02	4.13642e-03	2.08030e-02	2.95757e-03	2.77178e-02	4.39814e-04
1.18948e-02	2.98951e-03	1.57036e-02	3.95651e-03	2.08129e-02	2.82858e-03	2.77526e-02	4.20550e-04
1.18905e-02	2.85975e-03	1.57032e-02	3.78446e-03	2.08232e-02	2.70522e-03	2.77890e-02	4.02127e-04
