# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.23719e-02	8.52751e-02	2.10688	2.20426	4.59020e-05
2.32928e+02	1.23732e-02	8.26760e-02	1.06281	2.43028	4.59020e-05
4.65857e+02	1.23744e-02	7.99462e-02	1.30035	3.42279	4.59020e-05
6.98785e+02	1.23762e-02	7.68437e-02	3.88425	4.24763	4.59020e-05
9.31713e+02	1.23790e-02	7.36934e-02	0.64720	3.81015	4.59020e-05
1.16464e+03	1.23815e-02	7.03312e-02	5.05955	0.82668	4.59020e-05
1.39757e+03	1.23838e-02	6.68063e-02	2.38860	0.02693	4.59020e-05
1.63050e+03	1.23885e-02	6.32296e-02	5.67658	5.81960	4.59020e-05
1.86343e+03	1.23907e-02	5.94142e-02	6.03712	3.27758	4.59020e-05
2.09636e+03	1.23930e-02	5.55191e-02	3.70656	2.01515	4.59020e-05
2.32928e+03	1.23963e-02	5.14709e-02	2.26784	4.50644	4.59020e-05
2.56221e+03	1.24008e-02	4.74145e-02	3.03728	5.77310	4.59020e-05
2.79514e+03	1.24034e-02	4.30205e-02	5.35356	5.55512	4.59020e-05
3.02807e+03	1.24046e-02	3.87980e-02	1.90243	1.41953	4.59020e-05
3.26100e+03	1.24067e-02	3.44498e-02	4.39146	0.89580	4.59020e-05
3.49393e+03	1.24108e-02	3.03243e-02	0.65770	2.44357	4.59020e-05
3.72685e+03	1.24109e-02	2.66168e-02	2.67246	3.04989	4.59020e-05
3.95978e+03	1.24112e-02	2.34920e-02	3.34241	1.56811	4.59020e-05
4.19271e+03	1.24105e-02	2.09276e-02	6.11688	3.07602	4.59020e-05
4.42564e+03	1.24098e-02	1.89286e-02	0.85232	1.69761	4.59020e-05
4.65857e+03	1.24088e-02	1.73908e-02	4.08151	3.23852	4.59020e-05
4.89150e+03	1.24091e-02	1.61815e-02	1.43175	2.27386	4.59020e-05
5.12442e+03	1.24073e-02	1.52178e-02	2.28505	4.91705	4.59020e-05
5.35735e+03	1.24069e-02	1.43682e-02	4.34682	2.81668	4.59020e-05
5.59028e+03	1.24064e-02	1.36514e-02	6.27821	4.74606	4.59020e-05
5.82321e+03	1.24059e-02	1.29885e-02	0.98301	6.09069	4.59020e-05
6.05614e+03	1.24064e-02	1.24240e-02	1.02055	1.43160	4.59020e-05
6.28907e+03	1.24039e-02	1.18318e-02	0.04243	3.88041	4.59020e-05
6.52199e+03	1.24024e-02	1.13829e-02	4.63579	1.19122	4.59020e-05
6.75492e+03	1.24014e-02	1.09908e-02	2.33060	6.19298	4.59020e-05
6.98785e+03	1.24057e-02	1.06621e-02	5.94564	0.07291	4.59020e-05
7.22078e+03	1.23998e-02	1.01826e-02	3.10705	1.90991	4.59020e-05
7.45371e+03	1.23998e-02	9.85383e-03	0.24571	5.39714	4.59020e-05
7.68664e+03	1.23996e-02	9.49085e-03	3.75345	4.48183	4.59020e-05
7.91956e+03	1.23982e-02	9.25269e-03	1.23931	5.38801	4.59020e-05
8.15249e+03	1.23985e-02	8.80721e-03	5.15580	2.03728	4.59020e-05
8.38542e+03	1.23953e-02	8.64123e-03	3.34874	0.55358	4.59020e-05
8.61835e+03	1.23953e-02	8.27346e-03	1.83211	1.19473	4.59020e-05
8.85128e+03	1.23940e-02	8.05976e-03	0.75038	4.03601	4.59020e-05
9.08421e+03	1.23981e-02	7.92604e-03	0.28149	2.63147	4.59020e-05
9.31713e+03	1.23974e-02	7.73877e-03	0.21481	3.48248	4.59020e-05
9.55006e+03	1.23914e-02	7.42035e-03	0.68121	0.35784	4.59020e-05
9.78299e+03	1.23911e-02	7.19255e-03	1.73126	5.69485	4.59020e-05
1.00159e+04	1.23890e-02	7.14961e-03	3.25175	0.92564	4.59020e-05
1.02488e+04	1.23906e-02	6.86923e-03	5.16735	4.94620	4.59020e-05
1.04818e+04	1.23884e-02	6.86608e-03	1.37214	4.97418	4.59020e-05
1.07147e+04	1.23879e-02	6.62378e-03	4.23773	1.35502	4.59020e-05
1.09476e+04	1.23867e-02	6.54168e-03	1.23853	0.22233	4.59020e-05
1.11806e+04	1.23863e-02	6.31097e-03	4.85530	1.80086	4.59020e-05
1.14135e+04	1.23838e-02	6.20147e-03	2.69622	5.85969	4.59020e-05
1.16464e+04	1.23873e-02	6.13151e-03	0.61097	0.21285	4.59020e-05
1.18793e+04	1.23830e-02	6.02224e-03	5.07640	3.64376	4.59020e-05
1.21123e+04	1.23812e-02	5.73007e-03	3.40969	3.57649	4.59020e-05
1.23452e+04	1.23801e-02	5.67853e-03	2.00533	0.02203	4.59020e-05
1.25781e+04	1.23805e-02	5.64258e-03	0.71834	5.62525	4.59020e-05
1.28111e+04	1.23794e-02	5.53443e-03	5.55388	1.74584	4.59020e-05
1.30440e+04	1.23789e-02	5.38681e-03	4.18416	0.82826	4.59020e-05
1.32769e+04	1.23768e-02	5.23566e-03	2.73100	2.89754	4.59020e-05
1.35098e+04	1.23769e-02	5.24349e-03	1.04692	1.93403	4.59020e-05
1.37428e+04	1.23752e-02	5.09684e-03	5.48835	4.06933	4.59020e-05
1.39757e+04	1.23739e-02	4.94126e-03	3.13979	3.29414	4.59020e-05
1.42086e+04	1.23769e-02	4.86503e-03	0.74992	5.53318	4.59020e-05
1.44416e+04	1.23725e-02	4.83715e-03	3.95121	5.07919	4.59020e-05
1.46745e+04	1.23721e-02	4.73052e-03	0.56553	1.45855	4.59020e-05
1.49074e+04	1.23719e-02	4.75245e-03	2.77553	1.44780	4.59020e-05
1.51403e+04	1.23695e-02	4.64262e-03	4.40414	4.79452	4.59020e-05
1.53733e+04	1.23698e-02	4.58355e-03	5.21374	5.55932	4.59020e-05
1.56062e+04	1.23688e-02	4.52855e-03	5.31795	3.54351	4.59020e-05
1.58391e+04	1.23669e-02	4.43930e-03	4.60516	5.05693	4.59020e-05
1.60721e+04	1.23674e-02	4.42254e-03	2.83539	4.16012	4.59020e-05
1.63050e+04	1.23658e-02	4.24170e-03	0.12781	0.58382	4.59020e-05
1.65379e+04	1.23641e-02	4.23693e-03	2.46046	1.01883	4.59020e-05
1.67708e+04	1.23638e-02	4.07136e-03	3.77459	5.15245	4.59020e-05
1.70038e+04	1.23639e-02	4.09667e-03	3.82957	0.56966	4.59020e-05
1.72367e+04	1.23615e-02	3.97358e-03	2.48384	0.08072	4.59020e-05
1.74696e+04	1.23614e-02	3.93954e-03	6.04696	3.50475	4.59020e-05
1.77026e+04	1.23605e-02	3.80127e-03	2.04750	4.56293	4.59020e-05
1.79355e+04	1.23591e-02	3.88083e-03	2.57863	3.63937	4.59020e-05
1.81684e+04	1.23584e-02	3.75506e-03	1.20766	0.79257	4.59020e-05
1.84013e+04	1.23585e-02	3.75164e-03	4.63765	1.98213	4.59020e-05
1.86343e+04	1.23570e-02	3.73907e-03	6.22666	1.12751	4.59020e-05
1.88672e+04	1.23609e-02	3.66365e-03	5.97285	4.61280	4.59020e-05
1.91001e+04	1.23549e-02	3.55250e-03	3.61685	0.03724	4.59020e-05
1.93331e+04	1.23544e-02	3.65049e-03	5.66297	5.93447	4.59020e-05
1.95660e+04	1.23531e-02	3.53363e-03	5.42027	3.96005	4.59020e-05
1.97989e+04	1.23519e-02	3.47115e-03	2.73453	0.39413	4.59020e-05
