# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.62165e-02	1.16918e-01	0.35764	5.34482	4.36970e-05
2.32928e+02	1.62181e-02	1.13271e-01	3.85102	5.57106	4.36970e-05
4.65857e+02	1.62211e-02	1.09221e-01	4.00857	0.28164	4.36970e-05
6.98785e+02	1.62230e-02	1.05008e-01	1.54202	1.10585	4.36970e-05
9.31713e+02	1.62241e-02	1.00245e-01	5.67020	0.66605	4.36970e-05
1.16464e+03	1.62305e-02	9.55195e-02	2.32366	3.96889	4.36970e-05
1.39757e+03	1.62339e-02	9.08042e-02	4.73390	3.16943	4.36970e-05
1.63050e+03	1.62375e-02	8.56160e-02	2.73466	2.67942	4.36970e-05
1.86343e+03	1.62394e-02	8.02219e-02	0.88276	0.13711	4.36970e-05
2.09636e+03	1.62469e-02	7.51489e-02	5.61311	5.15688	4.36970e-05
2.32928e+03	1.62516e-02	6.93691e-02	0.46693	1.36166	4.36970e-05
2.56221e+03	1.62500e-02	6.35754e-02	3.06956	2.63404	4.36970e-05
2.79514e+03	1.62593e-02	5.79247e-02	2.51940	2.41393	4.36970e-05
3.02807e+03	1.62655e-02	5.18811e-02	4.41063	4.56257	4.36970e-05
3.26100e+03	1.62687e-02	4.61308e-02	6.06640	4.04141	4.36970e-05
3.49393e+03	1.62699e-02	4.05714e-02	3.58027	5.58711	4.36970e-05
3.72685e+03	1.62693e-02	3.55848e-02	2.83249	6.18862	4.36970e-05
3.95978e+03	1.62714e-02	3.11395e-02	3.28174	4.70269	4.36970e-05
4.19271e+03	1.62751e-02	2.77152e-02	5.12859	6.21033	4.36970e-05
4.42564e+03	1.62781e-02	2.50138e-02	5.81488	4.82329	4.36970e-05
4.65857e+03	1.62821e-02	2.30427e-02	1.67274	0.09081	4.36970e-05
4.89150e+03	1.62818e-02	2.15717e-02	4.09612	5.42256	4.36970e-05
5.12442e+03	1.62832e-02	2.01706e-02	4.66668	1.78229	4.36970e-05
5.35735e+03	1.62835e-02	1.90224e-02	1.84818	5.95167	4.36970e-05
5.59028e+03	1.62806e-02	1.79516e-02	1.04152	1.61035	4.36970e-05
5.82321e+03	1.62788e-02	1.72456e-02	1.70914	2.94726	4.36970e-05
6.05614e+03	1.62824e-02	1.65227e-02	3.82196	4.58157	4.36970e-05
6.28907e+03	1.62807e-02	1.57356e-02	1.06583	0.75520	4.36970e-05
6.52199e+03	1.62849e-02	1.52925e-02	6.23038	4.34104	4.36970e-05
6.75492e+03	1.62839e-02	1.45325e-02	0.51770	3.02955	4.36970e-05
6.98785e+03	1.62803e-02	1.41319e-02	2.92042	3.20655	4.36970e-05
7.22078e+03	1.62849e-02	1.36469e-02	1.02937	5.03398	4.36970e-05
7.45371e+03	1.62813e-02	1.28458e-02	1.22385	2.24840	4.36970e-05
7.68664e+03	1.62793e-02	1.26601e-02	3.54164	1.34546	4.36970e-05
7.91956e+03	1.62799e-02	1.20220e-02	1.85855	2.26852	4.36970e-05
8.15249e+03	1.62836e-02	1.16907e-02	2.36719	5.18912	4.36970e-05
8.38542e+03	1.62854e-02	1.15762e-02	5.36648	3.71718	4.36970e-05
8.61835e+03	1.62853e-02	1.10256e-02	4.38650	4.32964	4.36970e-05
8.85128e+03	1.62831e-02	1.07691e-02	5.75022	0.86784	4.36970e-05
9.08421e+03	1.62805e-02	1.05446e-02	3.33940	5.76511	4.36970e-05
9.31713e+03	1.62804e-02	1.01749e-02	3.27704	0.35051	4.36970e-05
9.55006e+03	1.62833e-02	9.91116e-03	5.70551	3.47046	4.36970e-05
9.78299e+03	1.62853e-02	9.76204e-03	4.31976	2.54810	4.36970e-05
1.00159e+04	1.62863e-02	9.57165e-03	5.32094	4.07317	4.36970e-05
1.02488e+04	1.62843e-02	9.09670e-03	2.36887	1.81676	4.36970e-05
1.04818e+04	1.62805e-02	8.94201e-03	1.95772	1.84747	4.36970e-05
1.07147e+04	1.62809e-02	8.79806e-03	3.87773	4.48650	4.36970e-05
1.09476e+04	1.62812e-02	8.43868e-03	1.89957	3.34264	4.36970e-05
1.11806e+04	1.62859e-02	8.41443e-03	2.16536	4.94841	4.36970e-05
1.14135e+04	1.62868e-02	8.18886e-03	4.94006	2.73910	4.36970e-05
1.16464e+04	1.62835e-02	7.94757e-03	3.55756	3.35658	4.36970e-05
1.18793e+04	1.62811e-02	7.81625e-03	4.43496	0.48636	4.36970e-05
1.21123e+04	1.62866e-02	7.78154e-03	1.22060	0.41466	4.36970e-05
1.23452e+04	1.62877e-02	7.72730e-03	0.29070	3.14716	4.36970e-05
1.25781e+04	1.62825e-02	7.39546e-03	1.54496	2.47293	4.36970e-05
1.28111e+04	1.62830e-02	7.11542e-03	4.74286	4.88652	4.36970e-05
1.30440e+04	1.62813e-02	7.17474e-03	3.82015	3.97981	4.36970e-05
1.32769e+04	1.62875e-02	6.95980e-03	4.95915	6.06564	4.36970e-05
1.35098e+04	1.62828e-02	6.73655e-03	1.75561	5.07120	4.36970e-05
1.37428e+04	1.62862e-02	6.80039e-03	0.51824	0.94140	4.36970e-05
1.39757e+04	1.62872e-02	6.62580e-03	1.02106	0.14901	4.36970e-05
1.42086e+04	1.62838e-02	6.43202e-03	3.67656	2.37417	4.36970e-05
