# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.12462e-02	9.51043e-02	5.47847	2.19739	1.29620e-05
2.32928e+02	2.12602e-02	9.20948e-02	1.52076	2.42727	1.29620e-05
4.65857e+02	2.12495e-02	8.83900e-02	3.72486	3.41777	1.29620e-05
6.98785e+02	2.12660e-02	8.47128e-02	4.17746	4.23782	1.29620e-05
9.31713e+02	2.12649e-02	8.08744e-02	2.73679	3.80335	1.29620e-05
1.16464e+03	2.12704e-02	7.70345e-02	0.50622	0.81956	1.29620e-05
1.39757e+03	2.12763e-02	7.27720e-02	0.01821	0.02340	1.29620e-05
1.63050e+03	2.12872e-02	6.85492e-02	4.97539	5.80995	1.29620e-05
1.86343e+03	2.12827e-02	6.39527e-02	1.63978	3.27280	1.29620e-05
2.09636e+03	2.12987e-02	5.92256e-02	2.69599	2.01226	1.29620e-05
2.32928e+03	2.13026e-02	5.45138e-02	3.46002	4.49394	1.29620e-05
2.56221e+03	2.13087e-02	4.99535e-02	0.99785	5.77532	1.29620e-05
2.79514e+03	2.13172e-02	4.53175e-02	0.63972	5.54571	1.29620e-05
3.02807e+03	2.13172e-02	4.02095e-02	3.98502	1.42314	1.29620e-05
3.26100e+03	2.13284e-02	3.54230e-02	2.99597	0.89935	1.29620e-05
3.49393e+03	2.13411e-02	3.12181e-02	5.53318	2.44126	1.29620e-05
3.72685e+03	2.13398e-02	2.68518e-02	2.92928	3.05503	1.29620e-05
3.95978e+03	2.13509e-02	2.36254e-02	5.34893	1.54205	1.29620e-05
4.19271e+03	2.13629e-02	2.10286e-02	0.29418	3.05093	1.29620e-05
4.42564e+03	2.13626e-02	1.88080e-02	0.74025	1.67511	1.29620e-05
4.65857e+03	2.13604e-02	1.71013e-02	2.18280	3.20782	1.29620e-05
4.89150e+03	2.13611e-02	1.59267e-02	3.77189	2.28889	1.29620e-05
5.12442e+03	2.13681e-02	1.49170e-02	4.13993	4.94732	1.29620e-05
5.35735e+03	2.13703e-02	1.41032e-02	2.30560	2.77843	1.29620e-05
5.59028e+03	2.13758e-02	1.33117e-02	3.84414	4.74639	1.29620e-05
5.82321e+03	2.13779e-02	1.26319e-02	2.16303	6.11804	1.29620e-05
6.05614e+03	2.13756e-02	1.20918e-02	3.59020	1.44793	1.29620e-05
6.28907e+03	2.13830e-02	1.15003e-02	1.77443	3.88051	1.29620e-05
6.52199e+03	2.13871e-02	1.10706e-02	3.10208	1.20668	1.29620e-05
6.75492e+03	2.13926e-02	1.05105e-02	1.40951	6.15155	1.29620e-05
6.98785e+03	2.13860e-02	1.03156e-02	2.98549	0.07323	1.29620e-05
7.22078e+03	2.13949e-02	9.68321e-03	1.72931	1.89119	1.29620e-05
7.45371e+03	2.13978e-02	9.51008e-03	4.00466	5.35161	1.29620e-05
7.68664e+03	2.14004e-02	9.08700e-03	3.44946	4.44152	1.29620e-05
7.91956e+03	2.14093e-02	9.00473e-03	0.14686	5.45487	1.29620e-05
8.15249e+03	2.14102e-02	8.77650e-03	0.51477	2.04827	1.29620e-05
8.38542e+03	2.14086e-02	8.08466e-03	4.63410	0.57173	1.29620e-05
8.61835e+03	2.14134e-02	8.18744e-03	6.06727	1.20430	1.29620e-05
8.85128e+03	2.14121e-02	7.70524e-03	4.84676	4.04023	1.29620e-05
9.08421e+03	2.14257e-02	7.80484e-03	1.13268	2.67218	1.29620e-05
9.31713e+03	2.14264e-02	7.58285e-03	1.06531	3.56138	1.29620e-05
9.55006e+03	2.14199e-02	7.07049e-03	4.81573	0.36072	1.29620e-05
9.78299e+03	2.14268e-02	7.06878e-03	5.99449	5.73572	1.29620e-05
1.00159e+04	2.14274e-02	6.61682e-03	4.53571	1.00464	1.29620e-05
1.02488e+04	2.14337e-02	6.78697e-03	0.51362	4.95702	1.29620e-05
1.04818e+04	2.14425e-02	6.65002e-03	0.19821	5.05350	1.29620e-05
1.07147e+04	2.14347e-02	6.16828e-03	3.61567	1.36041	1.29620e-05
1.09476e+04	2.14378e-02	6.21823e-03	4.47480	0.14741	1.29620e-05
1.11806e+04	2.14346e-02	5.99474e-03	2.59281	1.68579	1.29620e-05
1.14135e+04	2.14415e-02	5.81633e-03	4.29291	5.94167	1.29620e-05
1.16464e+04	2.14396e-02	5.82777e-03	3.38643	0.25602	1.29620e-05
1.18793e+04	2.14582e-02	5.82931e-03	6.15910	3.56035	1.29620e-05
1.21123e+04	2.14540e-02	5.47628e-03	6.05762	3.53055	1.29620e-05
1.23452e+04	2.14535e-02	5.37721e-03	3.36425	6.25081	1.29620e-05
1.25781e+04	2.14564e-02	5.38446e-03	4.21003	5.58854	1.29620e-05
1.28111e+04	2.14582e-02	5.12668e-03	2.09312	1.75723	1.29620e-05
1.30440e+04	2.14603e-02	5.02182e-03	3.66359	0.75837	1.29620e-05
1.32769e+04	2.14691e-02	4.85570e-03	2.09499	3.09987	1.29620e-05
1.35098e+04	2.14663e-02	4.84107e-03	4.34233	1.90820	1.29620e-05
1.37428e+04	2.14671e-02	4.82445e-03	3.51866	4.06152	1.29620e-05
1.39757e+04	2.14693e-02	4.66001e-03	5.92059	3.26024	1.29620e-05
1.42086e+04	2.14784e-02	4.88319e-03	5.63790	5.49280	1.29620e-05
1.44416e+04	2.14736e-02	4.52188e-03	2.17484	4.96340	1.29620e-05
1.46745e+04	2.14774e-02	4.40246e-03	2.01930	1.46153	1.29620e-05
1.49074e+04	2.14832e-02	4.48496e-03	5.20123	1.31807	1.29620e-05
1.51403e+04	2.14875e-02	4.20832e-03	5.03941	4.89361	1.29620e-05
1.53733e+04	2.14867e-02	4.20428e-03	1.92915	5.58465	1.29620e-05
1.56062e+04	2.14886e-02	4.24930e-03	1.89892	3.64136	1.29620e-05
1.58391e+04	2.14957e-02	4.02215e-03	5.12554	5.16036	1.29620e-05
1.60721e+04	2.14967e-02	4.09975e-03	5.17686	4.08089	1.29620e-05
1.63050e+04	2.14940e-02	4.01384e-03	1.74527	0.67443	1.29620e-05
1.65379e+04	2.15006e-02	3.84628e-03	1.49435	0.91869	1.29620e-05
1.67708e+04	2.15088e-02	3.76308e-03	4.27965	4.94896	1.29620e-05
1.70038e+04	2.15034e-02	3.74357e-03	3.51814	0.48822	1.29620e-05
1.72367e+04	2.15035e-02	3.70484e-03	5.67211	6.28179	1.29620e-05
1.74696e+04	2.15075e-02	3.64684e-03	4.39088	3.51084	1.29620e-05
1.77026e+04	2.15175e-02	3.78136e-03	6.14160	4.62886	1.29620e-05
1.79355e+04	2.15123e-02	3.53485e-03	4.21317	3.77092	1.29620e-05
