# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.78530e-02	2.14264e-02	4.73465	5.30172	2.31180e-05
2.32928e+02	2.78537e-02	2.03012e-02	2.08930	5.53780	2.31180e-05
4.65857e+02	2.78653e-02	1.94745e-02	5.65835	0.23970	2.31180e-05
6.98785e+02	2.78591e-02	1.84390e-02	3.84288	1.08352	2.31180e-05
9.31713e+02	2.78790e-02	1.74576e-02	5.00047	0.62341	2.31180e-05
1.16464e+03	2.78695e-02	1.61635e-02	5.58858	3.94397	2.31180e-05
1.39757e+03	2.78850e-02	1.51065e-02	3.17534	3.14096	2.31180e-05
1.63050e+03	2.79058e-02	1.37451e-02	2.26153	2.67427	2.31180e-05
1.86343e+03	2.79091e-02	1.27967e-02	2.13116	0.13861	2.31180e-05
2.09636e+03	2.79074e-02	1.19154e-02	2.86194	5.13371	2.31180e-05
2.32928e+03	2.79323e-02	1.09977e-02	5.47539	1.32438	2.31180e-05
2.56221e+03	2.79362e-02	9.72259e-03	5.92040	2.60954	2.31180e-05
2.79514e+03	2.79548e-02	8.37178e-03	1.45196	2.42310	2.31180e-05
3.02807e+03	2.79630e-02	7.30861e-03	3.74785	4.51795	2.31180e-05
3.26100e+03	2.79816e-02	6.69747e-03	0.91886	4.06866	2.31180e-05
3.49393e+03	2.79936e-02	5.19400e-03	2.63102	5.59252	2.31180e-05
3.72685e+03	2.80047e-02	4.78578e-03	0.87410	6.22232	2.31180e-05
3.95978e+03	2.80182e-02	4.14868e-03	0.41050	4.70239	2.31180e-05
4.19271e+03	2.80363e-02	3.27677e-03	3.37191	6.15975	2.31180e-05
4.42564e+03	2.80395e-02	3.13246e-03	1.56832	4.78992	2.31180e-05
4.65857e+03	2.80606e-02	2.77334e-03	2.41979	0.15006	2.31180e-05
4.89150e+03	2.80737e-02	2.75309e-03	5.77425	5.31268	2.31180e-05
5.12442e+03	2.80811e-02	2.37097e-03	3.90637	1.70261	2.31180e-05
5.35735e+03	2.80920e-02	2.16714e-03	2.47251	6.03424	2.31180e-05
5.59028e+03	2.81029e-02	2.23194e-03	1.37760	1.74410	2.31180e-05
5.82321e+03	2.81055e-02	2.07481e-03	0.33730	3.02761	2.31180e-05
6.05614e+03	2.81177e-02	2.01302e-03	5.68068	4.44451	2.31180e-05
6.28907e+03	2.81230e-02	1.78078e-03	4.41386	0.65558	2.31180e-05
6.52199e+03	2.81264e-02	1.78805e-03	3.09437	4.36858	2.31180e-05
6.75492e+03	2.81364e-02	1.75697e-03	1.97391	3.02433	2.31180e-05
6.98785e+03	2.81485e-02	1.58501e-03	0.82600	3.32635	2.31180e-05
7.22078e+03	2.81672e-02	1.88583e-03	0.02542	5.10612	2.31180e-05
7.45371e+03	2.81638e-02	1.53576e-03	5.80187	2.23829	2.31180e-05
7.68664e+03	2.81764e-02	1.54165e-03	5.54919	1.20141	2.31180e-05
7.91956e+03	2.81818e-02	1.40102e-03	5.40885	2.22147	2.31180e-05
8.15249e+03	2.81827e-02	1.22813e-03	5.49849	5.25387	2.31180e-05
8.38542e+03	2.82096e-02	1.63897e-03	0.02923	3.63766	2.31180e-05
8.61835e+03	2.82012e-02	1.21992e-03	0.99635	4.26309	2.31180e-05
8.85128e+03	2.82135e-02	1.18584e-03	2.13882	0.92763	2.31180e-05
9.08421e+03	2.82349e-02	8.84958e-04	4.22877	5.46817	2.31180e-05
9.31713e+03	2.82259e-02	1.00674e-03	5.95899	0.38012	2.31180e-05
9.55006e+03	2.82390e-02	1.07638e-03	2.10596	3.54277	2.31180e-05
9.78299e+03	2.82591e-02	1.11256e-03	5.32202	2.31701	2.31180e-05
1.00159e+04	2.82545e-02	1.10757e-03	1.90885	4.20139	2.31180e-05
1.02488e+04	2.82584e-02	9.13429e-04	5.46076	1.91212	2.31180e-05
1.04818e+04	2.82788e-02	7.74834e-04	3.37143	1.79625	2.31180e-05
1.07147e+04	2.82873e-02	1.04605e-03	1.10101	4.75480	2.31180e-05
1.09476e+04	2.82914e-02	1.01678e-03	6.14566	3.29604	2.31180e-05
1.11806e+04	2.82941e-02	8.84562e-04	4.81622	4.90060	2.31180e-05
1.14135e+04	2.83104e-02	8.98539e-04	4.12328	2.57756	2.31180e-05
1.16464e+04	2.83249e-02	6.11242e-04	3.51094	3.18469	2.31180e-05
1.18793e+04	2.83293e-02	6.31653e-04	2.99840	0.49225	2.31180e-05
1.21123e+04	2.83291e-02	8.93026e-04	2.89978	0.46842	2.31180e-05
1.23452e+04	2.83358e-02	8.90538e-04	3.31436	3.08570	2.31180e-05
1.25781e+04	2.83525e-02	6.37304e-04	3.92192	2.39623	2.31180e-05
1.28111e+04	2.83627e-02	8.05683e-04	4.83974	4.58251	2.31180e-05
1.30440e+04	2.83689e-02	8.66390e-04	5.74651	3.75172	2.31180e-05
1.32769e+04	2.83806e-02	1.01227e-03	0.38204	6.16059	2.31180e-05
1.35098e+04	2.83868e-02	7.30968e-04	1.58074	5.32791	2.31180e-05
1.37428e+04	2.83905e-02	6.47152e-04	3.28319	1.04335	2.31180e-05
1.39757e+04	2.83997e-02	8.00287e-04	5.04356	0.05045	2.31180e-05
1.42086e+04	2.84008e-02	5.66606e-04	0.79799	2.19707	2.31180e-05
1.44416e+04	2.84212e-02	6.45868e-04	2.15343	2.17331	2.31180e-05
1.46745e+04	2.84277e-02	6.36591e-04	4.81828	4.28494	2.31180e-05
1.49074e+04	2.84361e-02	8.00675e-04	0.28575	4.53848	2.31180e-05
1.51403e+04	2.84432e-02	6.65581e-04	1.98878	2.06254	2.31180e-05
1.53733e+04	2.84538e-02	6.32355e-04	4.74870	2.10394	2.31180e-05
1.56062e+04	2.84587e-02	6.86493e-04	0.20153	0.47131	2.31180e-05
1.58391e+04	2.84691e-02	6.17321e-04	1.99851	2.37611	2.31180e-05
1.60721e+04	2.84780e-02	5.48735e-04	4.65138	0.80755	2.31180e-05
1.63050e+04	2.84849e-02	6.48362e-04	6.19010	4.01214	2.31180e-05
1.65379e+04	2.84903e-02	6.57752e-04	1.99983	4.10461	2.31180e-05
1.67708e+04	2.84935e-02	6.63695e-04	3.62540	2.11919	2.31180e-05
1.70038e+04	2.85121e-02	6.90455e-04	5.71779	3.41679	2.31180e-05
1.72367e+04	2.85253e-02	7.62430e-04	0.57458	3.19864	2.31180e-05
1.74696e+04	2.85272e-02	5.04756e-04	1.56937	0.65211	2.31180e-05
1.77026e+04	2.85340e-02	4.64652e-04	3.20100	1.34421	2.31180e-05
1.79355e+04	2.85459e-02	5.34060e-04	4.24359	0.22871	2.31180e-05
1.81684e+04	2.85570e-02	5.65991e-04	4.90584	3.39178	2.31180e-05
1.84013e+04	2.85537e-02	5.00258e-04	4.72739	5.07643	2.31180e-05
1.86343e+04	2.85752e-02	6.34828e-04	5.29107	3.69310	2.31180e-05
1.88672e+04	2.85782e-02	3.50299e-04	4.65787	1.24573	2.31180e-05
1.91001e+04	2.85770e-02	6.01815e-04	3.57159	3.28609	2.31180e-05
1.93331e+04	2.85973e-02	3.84089e-04	2.11432	3.45924	2.31180e-05
1.95660e+04	2.86115e-02	7.36633e-04	0.69760	1.41941	2.31180e-05
1.97989e+04	2.86184e-02	8.06475e-04	5.84836	3.19943	2.31180e-05
2.00318e+04	2.86178e-02	3.93184e-04	3.06361	4.51627	2.31180e-05
2.02648e+04	2.86289e-02	5.90779e-04	0.40913	3.60012	2.31180e-05
2.04977e+04	2.86399e-02	2.58236e-04	3.83831	0.79113	2.31180e-05
2.07306e+04	2.86423e-02	4.94385e-04	5.85665	3.64839	2.31180e-05
2.09636e+04	2.86564e-02	5.80809e-04	0.80199	5.26072	2.31180e-05
2.11965e+04	2.86634e-02	4.07228e-04	1.91605	5.01780	2.31180e-05
2.14294e+04	2.86674e-02	4.44948e-04	3.21278	2.63373	2.31180e-05
