# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.23719e-02	8.52751e-02	2.10688	2.20426	4.59020e-05
4.65857e+01	1.23735e-02	8.48891e-02	4.29499	5.16048	4.59020e-05
9.31714e+01	1.23726e-02	8.42505e-02	4.70052	1.62082	4.59020e-05
1.39757e+02	1.23726e-02	8.35593e-02	2.54401	4.13504	4.59020e-05
1.86343e+02	1.23731e-02	8.28538e-02	3.29549	0.10127	4.59020e-05
2.32928e+02	1.23747e-02	8.21154e-02	6.13223	2.06607	4.59020e-05
2.79514e+02	1.23746e-02	8.13067e-02	3.97224	3.71512	4.59020e-05
3.26100e+02	1.23755e-02	8.04806e-02	2.31016	5.02036	4.59020e-05
3.72685e+02	1.23779e-02	7.97359e-02	0.38008	5.94192	4.59020e-05
4.19271e+02	1.23772e-02	7.86067e-02	3.76512	0.16893	4.59020e-05
4.65857e+02	1.23793e-02	7.76612e-02	5.33388	0.21805	4.59020e-05
5.12442e+02	1.23801e-02	7.64854e-02	4.41948	6.05822	4.59020e-05
5.59028e+02	1.23819e-02	7.53586e-02	0.33322	5.07595	4.59020e-05
6.05614e+02	1.23840e-02	7.42267e-02	4.98113	3.49445	4.59020e-05
6.52199e+02	1.23846e-02	7.29304e-02	5.15277	1.26212	4.59020e-05
6.98785e+02	1.23867e-02	7.16950e-02	0.23365	4.60043	4.59020e-05
7.45371e+02	1.23874e-02	7.02093e-02	2.21558	0.86734	4.59020e-05
7.91956e+02	1.23893e-02	6.87180e-02	4.26993	2.55096	4.59020e-05
8.38542e+02	1.23929e-02	6.72512e-02	5.94509	3.28539	4.59020e-05
8.85128e+02	1.23948e-02	6.57564e-02	0.37897	2.95871	4.59020e-05
9.31713e+02	1.23957e-02	6.39214e-02	6.06686	1.45562	4.59020e-05
9.78299e+02	1.23969e-02	6.21483e-02	3.78826	4.93106	4.59020e-05
1.02488e+03	1.24001e-02	6.03330e-02	5.82410	0.64594	4.59020e-05
1.07147e+03	1.24023e-02	5.84625e-02	5.66229	0.98523	4.59020e-05
1.11806e+03	1.24033e-02	5.63198e-02	3.15344	5.73207	4.59020e-05
1.16464e+03	1.24056e-02	5.42479e-02	4.55487	2.04213	4.59020e-05
1.21123e+03	1.24077e-02	5.19785e-02	3.64746	2.17915	4.59020e-05
1.25781e+03	1.24106e-02	4.96778e-02	0.75158	5.72846	4.59020e-05
1.30440e+03	1.24124e-02	4.71219e-02	2.44558	5.92909	4.59020e-05
1.35098e+03	1.24144e-02	4.45881e-02	3.20842	2.14644	4.59020e-05
1.39757e+03	1.24169e-02	4.17742e-02	4.02695	6.18336	4.59020e-05
1.44416e+03	1.24225e-02	3.89994e-02	0.10907	4.41087	4.59020e-05
1.49074e+03	1.24220e-02	3.60192e-02	6.03996	1.79217	4.59020e-05
1.53733e+03	1.24261e-02	3.28191e-02	5.85980	2.78491	4.59020e-05
1.58391e+03	1.24243e-02	2.95305e-02	3.48312	5.00938	4.59020e-05
1.63050e+03	1.24271e-02	2.63828e-02	4.14183	5.36444	4.59020e-05
1.67708e+03	1.24280e-02	2.32325e-02	1.99360	6.24987	4.59020e-05
1.72367e+03	1.24270e-02	2.02502e-02	4.50749	3.37186	4.59020e-05
1.77026e+03	1.24279e-02	1.78035e-02	0.28579	5.32461	4.59020e-05
1.81684e+03	1.24282e-02	1.57059e-02	1.32998	3.07132	4.59020e-05
1.86343e+03	1.24276e-02	1.40623e-02	4.49104	1.89405	4.59020e-05
1.91001e+03	1.24260e-02	1.26979e-02	4.27448	2.26342	4.59020e-05
1.95660e+03	1.24302e-02	1.18545e-02	6.14011	5.60230	4.59020e-05
2.00318e+03	1.24242e-02	1.09213e-02	1.99050	1.35110	4.59020e-05
2.04977e+03	1.24236e-02	1.02571e-02	2.55419	3.87936	4.59020e-05
2.09636e+03	1.24268e-02	9.77487e-03	5.70244	2.67663	4.59020e-05
2.14294e+03	1.24220e-02	9.29492e-03	3.46155	5.41066	4.59020e-05
2.18953e+03	1.24221e-02	8.92256e-03	0.35887	1.15561	4.59020e-05
2.23611e+03	1.24220e-02	8.72190e-03	1.58406	3.40042	4.59020e-05
2.28270e+03	1.24212e-02	8.40170e-03	5.85072	0.71690	4.59020e-05
2.32928e+03	1.24203e-02	8.03151e-03	5.96881	0.16665	4.59020e-05
2.37587e+03	1.24204e-02	7.92877e-03	1.16963	2.41060	4.59020e-05
2.42245e+03	1.24202e-02	7.69034e-03	3.38882	1.70727	4.59020e-05
2.46904e+03	1.24189e-02	7.37940e-03	5.88787	4.78404	4.59020e-05
2.51563e+03	1.24176e-02	7.21799e-03	1.88706	5.67043	4.59020e-05
2.56221e+03	1.24174e-02	6.97482e-03	3.63699	4.69587	4.59020e-05
2.60880e+03	1.24177e-02	6.80191e-03	4.57419	2.10161	4.59020e-05
2.65538e+03	1.24173e-02	6.63038e-03	4.49922	4.33947	4.59020e-05
2.70197e+03	1.24157e-02	6.54463e-03	3.19487	5.31871	4.59020e-05
2.74855e+03	1.24157e-02	6.39991e-03	0.52592	5.15490	4.59020e-05
2.79514e+03	1.24161e-02	6.40723e-03	2.70909	3.89958	4.59020e-05
2.84173e+03	1.24140e-02	6.21503e-03	3.28814	1.71286	4.59020e-05
2.88831e+03	1.24137e-02	6.02294e-03	2.10099	5.09481	4.59020e-05
2.93490e+03	1.24136e-02	5.95537e-03	5.57904	1.19546	4.59020e-05
2.98148e+03	1.24132e-02	5.78205e-03	0.79528	3.00028	4.59020e-05
3.02807e+03	1.24165e-02	5.66948e-03	0.61477	3.92124	4.59020e-05
3.07465e+03	1.24120e-02	5.66226e-03	4.78509	4.20917	4.59020e-05
3.12124e+03	1.24123e-02	5.57181e-03	0.67724	3.92250	4.59020e-05
3.16783e+03	1.24118e-02	5.49195e-03	0.92432	2.99189	4.59020e-05
3.21441e+03	1.24109e-02	5.39680e-03	5.50884	1.43333	4.59020e-05
3.26100e+03	1.24111e-02	5.14815e-03	1.76705	5.62512	4.59020e-05
3.30758e+03	1.24093e-02	5.10373e-03	2.21501	3.11485	4.59020e-05
3.35417e+03	1.24099e-02	5.13633e-03	0.78266	6.12602	4.59020e-05
3.40075e+03	1.24084e-02	4.94586e-03	3.37093	2.53860	4.59020e-05
3.44734e+03	1.24078e-02	4.95182e-03	4.10985	4.50202	4.59020e-05
3.49393e+03	1.24087e-02	4.93298e-03	2.56147	6.17296	4.59020e-05
3.54051e+03	1.24079e-02	4.75978e-03	5.17858	1.09585	4.59020e-05
3.58710e+03	1.24074e-02	4.74638e-03	5.73581	1.77878	4.59020e-05
3.63368e+03	1.24074e-02	4.69719e-03	4.17160	1.99893	4.59020e-05
3.68027e+03	1.24062e-02	4.53053e-03	0.55284	1.75097	4.59020e-05
3.72685e+03	1.24081e-02	4.51189e-03	0.92682	1.14369	4.59020e-05
3.77344e+03	1.24055e-02	4.50147e-03	5.29760	0.23665	4.59020e-05
3.82002e+03	1.24058e-02	4.36343e-03	1.43120	4.97629	4.59020e-05
3.86661e+03	1.24047e-02	4.32925e-03	1.47808	3.21433	4.59020e-05
3.91320e+03	1.24041e-02	4.30543e-03	5.56374	1.10426	4.59020e-05
3.95978e+03	1.24028e-02	4.20101e-03	1.18526	4.86568	4.59020e-05
4.00637e+03	1.24024e-02	4.09010e-03	0.85257	1.98668	4.59020e-05
4.05295e+03	1.24029e-02	4.19094e-03	4.69650	4.96403	4.59020e-05
4.09954e+03	1.24020e-02	4.10463e-03	6.24514	1.29350	4.59020e-05
4.14612e+03	1.24037e-02	3.88707e-03	5.30881	3.79288	4.59020e-05
4.19271e+03	1.24015e-02	4.01971e-03	2.27021	5.79222	4.59020e-05
4.23930e+03	1.23997e-02	3.84013e-03	3.04792	1.37405	4.59020e-05
4.28588e+03	1.24004e-02	3.77099e-03	1.81748	2.64088	4.59020e-05
4.33247e+03	1.23988e-02	3.83857e-03	4.36516	3.80870	4.59020e-05
4.37905e+03	1.23983e-02	3.73915e-03	4.55345	4.72744	4.59020e-05
4.42564e+03	1.23983e-02	3.65365e-03	2.43926	5.33827	4.59020e-05
4.47222e+03	1.23978e-02	3.67081e-03	4.09928	5.91099	4.59020e-05
4.51881e+03	1.23984e-02	3.65535e-03	3.62317	5.94100	4.59020e-05
4.56540e+03	1.24002e-02	3.51127e-03	0.75379	5.74860	4.59020e-05
4.61198e+03	1.23971e-02	3.56941e-03	1.66922	5.43813	4.59020e-05
4.65857e+03	1.23962e-02	3.54842e-03	0.08674	5.00489	4.59020e-05
4.70515e+03	1.23948e-02	3.41041e-03	2.48093	4.25638	4.59020e-05
4.75174e+03	1.23944e-02	3.39586e-03	2.46132	3.29702	4.59020e-05
4.79832e+03	1.23948e-02	3.45978e-03	0.03215	2.12040	4.59020e-05
4.84491e+03	1.23946e-02	3.34635e-03	1.61461	0.64963	4.59020e-05
4.89150e+03	1.23976e-02	3.27877e-03	0.56171	5.40320	4.59020e-05
4.93808e+03	1.23942e-02	3.31540e-03	3.23764	3.79591	4.59020e-05
4.98467e+03	1.23920e-02	3.28072e-03	3.37397	2.09278	4.59020e-05
5.03125e+03	1.23937e-02	3.12352e-03	1.34314	6.19994	4.59020e-05
5.07784e+03	1.23912e-02	3.16537e-03	2.89821	4.08258	4.59020e-05
5.12442e+03	1.23915e-02	3.13710e-03	1.92780	1.84777	4.59020e-05
5.17101e+03	1.23912e-02	3.00565e-03	4.44341	6.05008	4.59020e-05
5.21759e+03	1.23908e-02	3.12511e-03	4.81784	3.52299	4.59020e-05
5.26418e+03	1.23895e-02	3.01010e-03	2.65732	0.81838	4.59020e-05
5.31077e+03	1.23901e-02	3.13193e-03	3.93319	4.59271	4.59020e-05
5.35735e+03	1.23881e-02	3.05507e-03	2.64185	1.99584	4.59020e-05
5.40394e+03	1.23905e-02	2.95174e-03	5.17362	5.48456	4.59020e-05
5.45052e+03	1.23900e-02	2.87470e-03	5.09429	2.64082	4.59020e-05
5.49711e+03	1.23868e-02	2.95478e-03	2.35744	6.07470	4.59020e-05
5.54369e+03	1.23879e-02	2.98521e-03	3.41699	3.04695	4.59020e-05
5.59028e+03	1.23867e-02	2.86703e-03	1.95782	6.21549	4.59020e-05
5.63687e+03	1.23869e-02	2.86959e-03	3.75822	3.39294	4.59020e-05
5.68345e+03	1.23850e-02	2.81058e-03	2.95931	0.49633	4.59020e-05
5.73004e+03	1.23900e-02	2.78121e-03	5.96412	3.68565	4.59020e-05
5.77662e+03	1.23900e-02	2.79339e-03	6.19058	0.69160	4.59020e-05
5.82321e+03	1.23839e-02	2.69073e-03	3.61525	4.10214	4.59020e-05
5.86979e+03	1.23844e-02	2.79884e-03	4.81544	1.05178	4.59020e-05
5.91638e+03	1.23827e-02	2.63643e-03	3.37835	4.23533	4.59020e-05
5.96297e+03	1.23832e-02	2.74281e-03	5.09136	1.58039	4.59020e-05
6.00955e+03	1.23825e-02	2.56235e-03	4.26934	5.11435	4.59020e-05
6.05614e+03	1.23846e-02	2.56229e-03	0.94243	2.10977	4.59020e-05
6.10272e+03	1.23842e-02	2.62281e-03	0.91968	5.67100	4.59020e-05
6.14931e+03	1.23811e-02	2.51127e-03	4.12539	3.30461	4.59020e-05
6.19589e+03	1.23809e-02	2.58788e-03	4.88327	0.67994	4.59020e-05
6.24248e+03	1.23795e-02	2.51932e-03	2.95373	4.31955	4.59020e-05
6.28907e+03	1.23803e-02	2.60726e-03	4.14625	2.12908	4.59020e-05
6.33565e+03	1.23784e-02	2.55406e-03	2.51221	0.05262	4.59020e-05
6.38224e+03	1.23793e-02	2.47746e-03	4.52569	4.24247	4.59020e-05
6.42882e+03	1.23779e-02	2.42490e-03	3.63060	2.27621	4.59020e-05
6.47541e+03	1.23779e-02	2.51071e-03	6.18928	0.41769	4.59020e-05
6.52199e+03	1.23772e-02	2.46997e-03	6.02381	4.84292	4.59020e-05
6.56858e+03	1.23761e-02	2.44699e-03	2.55646	3.56041	4.59020e-05
6.61516e+03	1.23757e-02	2.36458e-03	3.00942	1.90899	4.59020e-05
6.66175e+03	1.23761e-02	2.45952e-03	0.17527	0.81327	4.59020e-05
6.70834e+03	1.23757e-02	2.45346e-03	0.75623	6.13210	4.59020e-05
6.75492e+03	1.23746e-02	2.31839e-03	4.80137	5.31006	4.59020e-05
6.80151e+03	1.23781e-02	2.36442e-03	5.56361	4.96700	4.59020e-05
6.84809e+03	1.23747e-02	2.41555e-03	3.63862	4.56420	4.59020e-05
6.89468e+03	1.23749e-02	2.27233e-03	4.87079	4.54049	4.59020e-05
6.94126e+03	1.23725e-02	2.22300e-03	3.54669	4.31923	4.59020e-05
6.98785e+03	1.23724e-02	2.30860e-03	5.14794	4.70286	4.59020e-05
7.03444e+03	1.23715e-02	2.29576e-03	3.79746	5.27973	4.59020e-05
7.08102e+03	1.23749e-02	2.17375e-03	5.46197	0.08200	4.59020e-05
7.12761e+03	1.23719e-02	2.30672e-03	4.40445	1.18636	4.59020e-05
7.17419e+03	1.23758e-02	2.20706e-03	0.29810	2.50975	4.59020e-05
7.22078e+03	1.23702e-02	2.21907e-03	5.71133	4.10983	4.59020e-05
7.26736e+03	1.23704e-02	2.26814e-03	1.65162	6.12584	4.59020e-05
7.31395e+03	1.23699e-02	2.22424e-03	0.81948	2.13717	4.59020e-05
7.36054e+03	1.23684e-02	2.13188e-03	3.26269	4.65866	4.59020e-05
7.40712e+03	1.23679e-02	2.15280e-03	2.20191	1.61911	4.59020e-05
7.45371e+03	1.23677e-02	2.07347e-03	4.94676	4.55182	4.59020e-05
7.50029e+03	1.23684e-02	2.20756e-03	4.04661	2.05720	4.59020e-05
