# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.62165e-02	1.16918e-01	0.35764	5.34482	4.36970e-05
4.65857e+01	1.62106e-02	1.16283e-01	3.91203	2.01743	4.36970e-05
9.31714e+01	1.62166e-02	1.15293e-01	6.27291	4.76486	4.36970e-05
1.39757e+02	1.62177e-02	1.14623e-01	0.64962	0.99260	4.36970e-05
1.86343e+02	1.62191e-02	1.13429e-01	5.33944	3.24221	4.36970e-05
2.32928e+02	1.62165e-02	1.12388e-01	0.94418	5.20943	4.36970e-05
2.79514e+02	1.62204e-02	1.11427e-01	5.79056	0.57322	4.36970e-05
3.26100e+02	1.62217e-02	1.10026e-01	0.49506	1.87652	4.36970e-05
3.72685e+02	1.62244e-02	1.08618e-01	3.39579	2.79963	4.36970e-05
4.19271e+02	1.62252e-02	1.07324e-01	1.46210	3.31036	4.36970e-05
4.65857e+02	1.62243e-02	1.05809e-01	0.41109	3.36253	4.36970e-05
5.12442e+02	1.62271e-02	1.04336e-01	6.08819	2.91679	4.36970e-05
5.59028e+02	1.62267e-02	1.02767e-01	5.46122	1.93074	4.36970e-05
6.05614e+02	1.62262e-02	1.01109e-01	4.36782	0.35244	4.36970e-05
6.52199e+02	1.62341e-02	9.91815e-02	2.38886	4.40231	4.36970e-05
6.98785e+02	1.62323e-02	9.73844e-02	5.39333	1.45599	4.36970e-05
7.45371e+02	1.62378e-02	9.56363e-02	0.43108	4.00728	4.36970e-05
7.91956e+02	1.62400e-02	9.35591e-02	5.98904	5.69215	4.36970e-05
8.38542e+02	1.62416e-02	9.13499e-02	2.91702	0.14281	4.36970e-05
8.85128e+02	1.62452e-02	8.90840e-02	3.39447	6.10026	4.36970e-05
9.31713e+02	1.62454e-02	8.64920e-02	0.90291	4.59758	4.36970e-05
9.78299e+02	1.62514e-02	8.43619e-02	1.47707	1.78871	4.36970e-05
1.02488e+03	1.62501e-02	8.16158e-02	4.93342	3.78374	4.36970e-05
1.07147e+03	1.62532e-02	7.88023e-02	4.82423	4.12455	4.36970e-05
1.11806e+03	1.62602e-02	7.62351e-02	1.05735	2.58690	4.36970e-05
1.16464e+03	1.62631e-02	7.33634e-02	6.17844	5.18353	4.36970e-05
1.21123e+03	1.62672e-02	7.00690e-02	1.38292	5.32004	4.36970e-05
1.25781e+03	1.62680e-02	6.69410e-02	5.73919	2.58419	4.36970e-05
1.30440e+03	1.62728e-02	6.35837e-02	0.58652	2.78240	4.36970e-05
1.35098e+03	1.62774e-02	5.99171e-02	5.28441	5.28554	4.36970e-05
1.39757e+03	1.62802e-02	5.62183e-02	1.63886	3.03789	4.36970e-05
1.44416e+03	1.62803e-02	5.23844e-02	3.21669	1.26696	4.36970e-05
1.49074e+03	1.62826e-02	4.80671e-02	5.07688	4.92865	4.36970e-05
1.53733e+03	1.62879e-02	4.37875e-02	2.86132	5.92312	4.36970e-05
1.58391e+03	1.62941e-02	3.96826e-02	5.46564	1.86776	4.36970e-05
1.63050e+03	1.62910e-02	3.49877e-02	3.80340	2.22749	4.36970e-05
1.67708e+03	1.62941e-02	3.07562e-02	2.38455	3.10000	4.36970e-05
1.72367e+03	1.63031e-02	2.69624e-02	6.14984	0.23027	4.36970e-05
1.77026e+03	1.63011e-02	2.34545e-02	1.22780	2.19718	4.36970e-05
