# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.12462e-02	9.51043e-02	5.47847	2.19739	1.29620e-05
4.65857e+01	2.12558e-02	9.46406e-02	5.75612	5.15171	1.29620e-05
9.31714e+01	2.12545e-02	9.36954e-02	5.23743	1.61487	1.29620e-05
1.39757e+02	2.12584e-02	9.28488e-02	3.58098	4.12624	1.29620e-05
1.86343e+02	2.12501e-02	9.21158e-02	0.42125	0.09461	1.29620e-05
2.32928e+02	2.12497e-02	9.12155e-02	1.68385	2.05806	1.29620e-05
2.79514e+02	2.12510e-02	9.01777e-02	0.72429	3.70893	1.29620e-05
3.26100e+02	2.12617e-02	8.90213e-02	3.47828	5.00860	1.29620e-05
3.72685e+02	2.12535e-02	8.81866e-02	3.31614	5.93349	1.29620e-05
4.19271e+02	2.12594e-02	8.69431e-02	6.22075	0.15755	1.29620e-05
4.65857e+02	2.12668e-02	8.56701e-02	5.51728	0.20977	1.29620e-05
5.12442e+02	2.12607e-02	8.42976e-02	0.92663	6.04824	1.29620e-05
5.59028e+02	2.12630e-02	8.29425e-02	4.69241	5.06471	1.29620e-05
6.05614e+02	2.12675e-02	8.14419e-02	3.97225	3.47900	1.29620e-05
6.52199e+02	2.12801e-02	8.01267e-02	4.74840	1.24408	1.29620e-05
6.98785e+02	2.12832e-02	7.85204e-02	0.46204	4.58489	1.29620e-05
7.45371e+02	2.12845e-02	7.65941e-02	3.43761	0.85328	1.29620e-05
7.91956e+02	2.12774e-02	7.48827e-02	0.85882	2.54087	1.29620e-05
8.38542e+02	2.12929e-02	7.33905e-02	5.09946	3.26920	1.29620e-05
8.85128e+02	2.12824e-02	7.12656e-02	3.32191	2.94464	1.29620e-05
9.31713e+02	2.12895e-02	6.92548e-02	1.65890	1.44299	1.29620e-05
9.78299e+02	2.12963e-02	6.71854e-02	6.23389	4.91196	1.29620e-05
1.02488e+03	2.12984e-02	6.49587e-02	4.34635	0.63018	1.29620e-05
1.07147e+03	2.13059e-02	6.27364e-02	2.17669	0.96964	1.29620e-05
1.11806e+03	2.13104e-02	6.03360e-02	5.95374	5.71341	1.29620e-05
1.16464e+03	2.13179e-02	5.78289e-02	3.08523	2.02679	1.29620e-05
1.21123e+03	2.13179e-02	5.53041e-02	6.17281	2.16022	1.29620e-05
1.25781e+03	2.13256e-02	5.26039e-02	2.78715	5.71304	1.29620e-05
1.30440e+03	2.13277e-02	4.96955e-02	5.63811	5.90974	1.29620e-05
1.35098e+03	2.13399e-02	4.66089e-02	2.48300	2.13327	1.29620e-05
1.39757e+03	2.13430e-02	4.38021e-02	0.06201	6.15920	1.29620e-05
1.44416e+03	2.13515e-02	4.07670e-02	5.30240	4.38922	1.29620e-05
1.49074e+03	2.13597e-02	3.73260e-02	0.26383	1.76264	1.29620e-05
1.53733e+03	2.13636e-02	3.38848e-02	5.07964	2.74932	1.29620e-05
1.58391e+03	2.13690e-02	3.00151e-02	2.60037	5.00260	1.29620e-05
1.63050e+03	2.13710e-02	2.66328e-02	1.48900	5.36151	1.29620e-05
1.67708e+03	2.13786e-02	2.33154e-02	4.75883	6.21431	1.29620e-05
1.72367e+03	2.13846e-02	2.01438e-02	3.07124	3.35439	1.29620e-05
1.77026e+03	2.13990e-02	1.78090e-02	6.04812	5.34178	1.29620e-05
