# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.78530e-02	2.14264e-02	4.73465	5.30172	2.31180e-05
4.65857e+01	2.78539e-02	2.10667e-02	4.90860	1.98302	2.31180e-05
9.31714e+01	2.78465e-02	2.09723e-02	4.55966	4.73231	2.31180e-05
1.39757e+02	2.78489e-02	2.08246e-02	3.45417	0.96206	2.31180e-05
1.86343e+02	2.78537e-02	2.05621e-02	1.34553	3.21628	2.31180e-05
2.32928e+02	2.78579e-02	2.01074e-02	4.29010	5.17185	2.31180e-05
2.79514e+02	2.78682e-02	2.01204e-02	5.74259	0.53866	2.31180e-05
3.26100e+02	2.78689e-02	1.99324e-02	5.48838	1.83618	2.31180e-05
3.72685e+02	2.78694e-02	1.90205e-02	3.28540	2.76091	2.31180e-05
4.19271e+02	2.78618e-02	1.90328e-02	5.21545	3.27296	2.31180e-05
4.65857e+02	2.78622e-02	1.86273e-02	4.74465	3.32921	2.31180e-05
5.12442e+02	2.78750e-02	1.83364e-02	1.66900	2.89718	2.31180e-05
5.59028e+02	2.78757e-02	1.78101e-02	2.10006	1.89892	2.31180e-05
6.05614e+02	2.78813e-02	1.75141e-02	5.81275	0.30994	2.31180e-05
6.52199e+02	2.78798e-02	1.70911e-02	0.03334	4.37251	2.31180e-05
6.98785e+02	2.78941e-02	1.63847e-02	3.48064	1.40916	2.31180e-05
7.45371e+02	2.78869e-02	1.63088e-02	3.35706	3.97213	2.31180e-05
7.91956e+02	2.79045e-02	1.59361e-02	5.82611	5.65879	2.31180e-05
8.38542e+02	2.79045e-02	1.51037e-02	4.46606	0.10255	2.31180e-05
8.85128e+02	2.79083e-02	1.47083e-02	5.38465	6.05207	2.31180e-05
9.31713e+02	2.79174e-02	1.41345e-02	2.14981	4.58252	2.31180e-05
9.78299e+02	2.79287e-02	1.38378e-02	1.01243	1.76771	2.31180e-05
1.02488e+03	2.79260e-02	1.30867e-02	1.85420	3.75958	2.31180e-05
1.07147e+03	2.79331e-02	1.26243e-02	4.62226	4.07605	2.31180e-05
1.11806e+03	2.79327e-02	1.20879e-02	2.93068	2.55451	2.31180e-05
1.16464e+03	2.79386e-02	1.14944e-02	3.11540	5.14940	2.31180e-05
1.21123e+03	2.79460e-02	1.08923e-02	5.17773	5.27822	2.31180e-05
1.25781e+03	2.79565e-02	1.01193e-02	2.92803	2.54088	2.31180e-05
1.30440e+03	2.79601e-02	9.61884e-03	2.72233	2.74800	2.31180e-05
1.35098e+03	2.79796e-02	9.04368e-03	4.84340	5.22105	2.31180e-05
1.39757e+03	2.79807e-02	8.13411e-03	3.18653	3.00479	2.31180e-05
1.44416e+03	2.79958e-02	7.30655e-03	4.61433	1.20876	2.31180e-05
1.49074e+03	2.80068e-02	6.50973e-03	3.34650	4.86822	2.31180e-05
1.53733e+03	2.80061e-02	5.93184e-03	0.24694	5.88447	2.31180e-05
1.58391e+03	2.80183e-02	5.42712e-03	2.80931	1.82243	2.31180e-05
1.63050e+03	2.80410e-02	4.76087e-03	6.24434	2.19142	2.31180e-05
1.67708e+03	2.80573e-02	4.09199e-03	0.04452	3.05726	2.31180e-05
1.72367e+03	2.80770e-02	3.56646e-03	5.22293	0.17498	2.31180e-05
1.77026e+03	2.80919e-02	2.87163e-03	5.10393	2.16359	2.31180e-05
1.81684e+03	2.81100e-02	2.48457e-03	1.45604	6.19871	2.31180e-05
1.86343e+03	2.81401e-02	2.25588e-03	1.33460	5.13229	2.31180e-05
1.91001e+03	2.81497e-02	1.99096e-03	5.30513	5.40918	2.31180e-05
1.95660e+03	2.81662e-02	1.70037e-03	0.34721	2.41209	2.31180e-05
2.00318e+03	2.81936e-02	1.76075e-03	4.79318	4.33265	2.31180e-05
2.04977e+03	2.82152e-02	1.71765e-03	5.43816	0.61300	2.31180e-05
