# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.20457e-02	4.54797e-02	4.59682	4.08557	4.59020e-05
4.65857e+01	1.20391e-02	3.63590e-02	3.94354	4.64140	4.59020e-05
9.31714e+01	1.20378e-02	4.40148e-02	3.32240	5.17722	4.59020e-05
1.39757e+02	1.20437e-02	5.54418e-02	2.65422	5.89311	4.59020e-05
1.86343e+02	1.20442e-02	4.83831e-02	2.04574	0.34792	4.59020e-05
2.32928e+02	1.20393e-02	3.62072e-02	1.51767	0.99641	4.59020e-05
2.79514e+02	1.20389e-02	4.05895e-02	1.22886	1.48689	4.59020e-05
3.26100e+02	1.20482e-02	5.22095e-02	1.34556	2.14650	4.59020e-05
3.72685e+02	1.20444e-02	4.79053e-02	1.87298	2.86630	4.59020e-05
4.19271e+02	1.20391e-02	3.39639e-02	2.51500	3.52404	4.59020e-05
4.65857e+02	1.20379e-02	3.56059e-02	3.27864	4.02228	4.59020e-05
5.12442e+02	1.20391e-02	4.97408e-02	4.06381	4.62606	4.59020e-05
5.59028e+02	1.20454e-02	4.80968e-02	4.94322	5.31813	4.59020e-05
6.05614e+02	1.20383e-02	3.57563e-02	5.87079	5.92191	4.59020e-05
6.52199e+02	1.20397e-02	3.61982e-02	0.65713	0.14001	4.59020e-05
6.98785e+02	1.20383e-02	5.12523e-02	1.65807	0.82340	4.59020e-05
7.45371e+02	1.20451e-02	5.21877e-02	2.82357	1.53943	4.59020e-05
7.91956e+02	1.20449e-02	4.01090e-02	4.00640	2.20823	4.59020e-05
8.38542e+02	1.20388e-02	3.79691e-02	5.50245	2.68783	4.59020e-05
8.85128e+02	1.20381e-02	5.13139e-02	0.51849	3.36347	4.59020e-05
9.31713e+02	1.20465e-02	5.44431e-02	1.93088	4.09740	4.59020e-05
9.78299e+02	1.20443e-02	4.05881e-02	3.33422	4.83520	4.59020e-05
1.02488e+03	1.20386e-02	3.51728e-02	4.98858	5.34350	4.59020e-05
1.07147e+03	1.20395e-02	4.65499e-02	0.37488	5.89369	4.59020e-05
