# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.64658e-02	7.29875e-02	5.31111	0.83006	4.36970e-05
4.65857e+01	1.64769e-02	6.96819e-02	3.24641	1.50872	4.36970e-05
9.31714e+01	1.64826e-02	7.18919e-02	1.14833	2.23163	4.36970e-05
1.39757e+02	1.64754e-02	7.79223e-02	5.56291	2.78510	4.36970e-05
1.86343e+02	1.64682e-02	7.36074e-02	3.78459	3.29663	4.36970e-05
2.32928e+02	1.64757e-02	6.95165e-02	1.84584	3.98662	4.36970e-05
2.79514e+02	1.64787e-02	7.20323e-02	6.19094	4.73443	4.36970e-05
3.26100e+02	1.64680e-02	7.79129e-02	4.76263	5.30013	4.36970e-05
3.72685e+02	1.64669e-02	7.65665e-02	3.68271	5.79899	4.36970e-05
4.19271e+02	1.64758e-02	7.11980e-02	2.49015	0.19215	4.36970e-05
4.65857e+02	1.64823e-02	7.30317e-02	1.18524	0.99521	4.36970e-05
5.12442e+02	1.64813e-02	8.03678e-02	0.11601	1.59071	4.36970e-05
5.59028e+02	1.64642e-02	7.79834e-02	5.51378	2.08263	4.36970e-05
6.05614e+02	1.64782e-02	7.17619e-02	4.50492	2.70120	4.36970e-05
6.52199e+02	1.64811e-02	7.07586e-02	3.39874	3.48934	4.36970e-05
6.98785e+02	1.64783e-02	7.79226e-02	2.48431	4.13685	4.36970e-05
7.45371e+02	1.64662e-02	7.64953e-02	1.80009	4.63176	4.36970e-05
7.91956e+02	1.64711e-02	7.03354e-02	1.03188	5.21835	4.36970e-05
8.38542e+02	1.64775e-02	6.92439e-02	0.19193	5.95945	4.36970e-05
8.85128e+02	1.64782e-02	7.54295e-02	5.73617	0.33884	4.36970e-05
9.31713e+02	1.64715e-02	7.72446e-02	5.22493	0.84700	4.36970e-05
9.78299e+02	1.64678e-02	7.04284e-02	4.63633	1.43431	4.36970e-05
1.02488e+03	1.64764e-02	7.09387e-02	3.90969	2.18493	4.36970e-05
1.07147e+03	1.64801e-02	7.64220e-02	3.29557	2.85543	4.36970e-05
1.11806e+03	1.64776e-02	8.05468e-02	2.91827	3.37973	4.36970e-05
1.16464e+03	1.64687e-02	7.27140e-02	2.53833	3.95515	4.36970e-05
1.21123e+03	1.64700e-02	6.99871e-02	1.92685	4.73116	4.36970e-05
1.25781e+03	1.64757e-02	7.65166e-02	1.45389	5.44864	4.36970e-05
1.30440e+03	1.64830e-02	8.12380e-02	1.19257	5.98044	4.36970e-05
1.35098e+03	1.64814e-02	7.43123e-02	0.97224	0.23377	4.36970e-05
1.39757e+03	1.64658e-02	6.77505e-02	0.56079	0.96415	4.36970e-05
1.44416e+03	1.64778e-02	7.27982e-02	0.15388	1.73833	4.36970e-05
1.49074e+03	1.64777e-02	7.93580e-02	0.02754	2.29296	4.36970e-05
1.53733e+03	1.64799e-02	7.42247e-02	6.28298	2.80936	4.36970e-05
1.58391e+03	1.64794e-02	6.84651e-02	6.10275	3.47363	4.36970e-05
1.63050e+03	1.64652e-02	6.92846e-02	5.86564	4.23691	4.36970e-05
1.67708e+03	1.64801e-02	7.86801e-02	5.89089	4.84110	4.36970e-05
1.72367e+03	1.64799e-02	7.67195e-02	6.02062	5.36894	4.36970e-05
1.77026e+03	1.64779e-02	7.11532e-02	6.01147	6.03943	4.36970e-05
1.81684e+03	1.64790e-02	7.17428e-02	5.92472	0.51539	4.36970e-05
1.86343e+03	1.64637e-02	7.78658e-02	6.04258	1.14559	4.36970e-05
1.91001e+03	1.64783e-02	7.93847e-02	0.03298	1.67616	4.36970e-05
1.95660e+03	1.64765e-02	7.23666e-02	0.19674	2.33914	4.36970e-05
2.00318e+03	1.64804e-02	7.16124e-02	0.22586	3.15989	4.36970e-05
2.04977e+03	1.64823e-02	7.70918e-02	0.44690	3.83550	4.36970e-05
2.09636e+03	1.64646e-02	7.80840e-02	0.92427	4.35160	4.36970e-05
2.14294e+03	1.64680e-02	7.14140e-02	1.36912	4.93302	4.36970e-05
2.18953e+03	1.64745e-02	6.86915e-02	1.64212	5.72800	4.36970e-05
2.23611e+03	1.64817e-02	7.38019e-02	2.02943	0.19406	4.36970e-05
2.28270e+03	1.64772e-02	7.87626e-02	2.68236	0.72327	4.36970e-05
2.32928e+03	1.64697e-02	7.15903e-02	3.37308	1.26219	4.36970e-05
2.37587e+03	1.64679e-02	6.79717e-02	3.90027	1.97611	4.36970e-05
2.42245e+03	1.64777e-02	7.22899e-02	4.41275	2.74408	4.36970e-05
2.46904e+03	1.64799e-02	8.00902e-02	5.21380	3.33214	4.36970e-05
2.51563e+03	1.64781e-02	7.58493e-02	6.07200	3.88642	4.36970e-05
2.56221e+03	1.64813e-02	7.09449e-02	0.54457	4.59166	4.36970e-05
2.60880e+03	1.64662e-02	7.23226e-02	1.65635	5.35284	4.36970e-05
2.65538e+03	1.64665e-02	7.91374e-02	3.18789	5.95228	4.36970e-05
2.70197e+03	1.64794e-02	7.82074e-02	4.81337	0.20845	4.36970e-05
2.74855e+03	1.64774e-02	7.06272e-02	0.05635	0.89691	4.36970e-05
2.79514e+03	1.64819e-02	7.20693e-02	1.48455	1.69969	4.36970e-05
2.84173e+03	1.64778e-02	7.78597e-02	3.15113	2.31957	4.36970e-05
2.88831e+03	1.64686e-02	7.67089e-02	5.03398	2.83287	4.36970e-05
2.93490e+03	1.64658e-02	6.88895e-02	0.49385	3.46833	4.36970e-05
2.98148e+03	1.64694e-02	6.70366e-02	2.06454	4.29424	4.36970e-05
3.02807e+03	1.64764e-02	7.49876e-02	3.82712	5.00315	4.36970e-05
3.07465e+03	1.64804e-02	7.90060e-02	5.80185	5.54960	4.36970e-05
3.12124e+03	1.64818e-02	7.25519e-02	1.41801	6.14152	4.36970e-05
3.16783e+03	1.64766e-02	6.91167e-02	3.08240	0.63625	4.36970e-05
3.21441e+03	1.64672e-02	7.26847e-02	4.79005	1.42703	4.36970e-05
3.26100e+03	1.64638e-02	7.90542e-02	0.40077	2.08761	4.36970e-05
3.30758e+03	1.64665e-02	7.43852e-02	2.42191	2.75494	4.36970e-05
3.35417e+03	1.64780e-02	7.07492e-02	4.24445	3.56258	4.36970e-05
3.40075e+03	1.64793e-02	7.34141e-02	6.08431	4.41486	4.36970e-05
3.44734e+03	1.64811e-02	7.92668e-02	1.90182	5.12771	4.36970e-05
3.49393e+03	1.64755e-02	8.03714e-02	4.17122	5.74001	4.36970e-05
3.54051e+03	1.64779e-02	7.23494e-02	0.12558	0.15179	4.36970e-05
3.58710e+03	1.64671e-02	6.89717e-02	2.19210	1.04542	4.36970e-05
3.63368e+03	1.64657e-02	7.48353e-02	4.37667	1.85355	4.36970e-05
3.68027e+03	1.64781e-02	8.01598e-02	0.50182	2.49889	4.36970e-05
3.72685e+03	1.64764e-02	7.42821e-02	2.91381	3.15499	4.36970e-05
3.77344e+03	1.64827e-02	6.87054e-02	5.12348	4.02740	4.36970e-05
3.82002e+03	1.64815e-02	6.94485e-02	0.95456	5.01848	4.36970e-05
3.86661e+03	1.64772e-02	7.63888e-02	3.39019	5.74453	4.36970e-05
3.91320e+03	1.64787e-02	7.71907e-02	6.01973	0.08588	4.36970e-05
3.95978e+03	1.64695e-02	6.86367e-02	2.32134	0.78618	4.36970e-05
4.00637e+03	1.64674e-02	6.78855e-02	4.80479	1.61980	4.36970e-05
4.05295e+03	1.64666e-02	7.36513e-02	1.22903	2.33940	4.36970e-05
4.09954e+03	1.64757e-02	7.95220e-02	4.23903	2.88084	4.36970e-05
4.14612e+03	1.64733e-02	7.33179e-02	0.84441	3.51986	4.36970e-05
4.19271e+03	1.64836e-02	6.84893e-02	3.39230	4.56658	4.36970e-05
4.23930e+03	1.64814e-02	6.70431e-02	5.56453	5.98553	4.36970e-05
4.28588e+03	1.64766e-02	7.05185e-02	1.58901	0.96380	4.36970e-05
4.33247e+03	1.64694e-02	7.74855e-02	4.46267	1.68043	4.36970e-05
4.37905e+03	1.64620e-02	7.47867e-02	1.26937	2.26356	4.36970e-05
4.42564e+03	1.64671e-02	6.91388e-02	3.97028	3.20810	4.36970e-05
4.47222e+03	1.64723e-02	6.59670e-02	6.27490	4.62284	4.36970e-05
4.51881e+03	1.64696e-02	6.16206e-02	1.53702	0.44297	4.36970e-05
4.56540e+03	1.64726e-02	5.59149e-02	1.74083	3.36429	4.36970e-05
4.61198e+03	1.64905e-02	7.26546e-02	0.15869	1.95307	4.36970e-05
4.65857e+03	1.64761e-02	3.66086e-02	6.05732	0.14541	4.36970e-05
4.70515e+03	1.64680e-02	2.55086e-02	3.83227	0.84781	4.36970e-05
4.75174e+03	1.64753e-02	5.22115e-02	2.35679	0.93229	4.36970e-05
4.79832e+03	1.64776e-02	3.23362e-02	2.05869	1.67137	4.36970e-05
4.84491e+03	1.64685e-02	3.11871e-02	2.81029	2.18104	4.36970e-05
4.89150e+03	1.64726e-02	3.54119e-02	6.14242	2.89861	4.36970e-05
4.93808e+03	1.64829e-02	7.21452e-02	6.12349	0.65677	4.36970e-05
4.98467e+03	1.64760e-02	3.44920e-02	5.46812	5.48833	4.36970e-05
5.03125e+03	1.64810e-02	3.30910e-02	3.39223	5.89569	4.36970e-05
5.07784e+03	1.64691e-02	2.05169e-02	5.94814	5.13760	4.36970e-05
5.12442e+03	1.64685e-02	7.62621e-03	3.65878	5.05243	4.36970e-05
5.17101e+03	1.64734e-02	1.00022e-02	1.28239	4.82898	4.36970e-05
5.21759e+03	1.64782e-02	2.59324e-02	3.51370	3.99082	4.36970e-05
5.26418e+03	1.64717e-02	2.81789e-02	3.29768	2.94547	4.36970e-05
5.31077e+03	1.64771e-02	9.62582e-03	6.07451	5.41789	4.36970e-05
5.35735e+03	1.64713e-02	3.54583e-02	0.92913	5.72620	4.36970e-05
5.40394e+03	1.64681e-02	3.70930e-02	4.43129	3.71380	4.36970e-05
5.45052e+03	1.64748e-02	4.17311e-02	1.23748	1.66313	4.36970e-05
5.49711e+03	1.64790e-02	5.66330e-02	2.59719	1.91619	4.36970e-05
5.54369e+03	1.64707e-02	3.73215e-02	3.57297	1.81690	4.36970e-05
5.59028e+03	1.64726e-02	3.96464e-02	5.75564	1.75475	4.36970e-05
5.63687e+03	1.64754e-02	2.05250e-02	2.92681	4.47644	4.36970e-05
5.68345e+03	1.64742e-02	2.38083e-02	1.26056	4.39573	4.36970e-05
5.73004e+03	1.64697e-02	1.37799e-02	1.18378	3.18339	4.36970e-05
5.77662e+03	1.64729e-02	2.08389e-02	2.54698	1.94429	4.36970e-05
5.82321e+03	1.64770e-02	2.54951e-02	0.84736	1.19741	4.36970e-05
5.86979e+03	1.64786e-02	3.93697e-02	1.41542	0.97719	4.36970e-05
5.91638e+03	1.64752e-02	3.98536e-02	4.19636	0.58682	4.36970e-05
5.96297e+03	1.64800e-02	2.60966e-02	1.18294	0.02527	4.36970e-05
6.00955e+03	1.64785e-02	9.29464e-03	0.56194	5.60593	4.36970e-05
6.05614e+03	1.64779e-02	8.17951e-03	1.03905	3.44858	4.36970e-05
6.10272e+03	1.64736e-02	5.65482e-03	2.05562	5.24531	4.36970e-05
6.14931e+03	1.64730e-02	3.15599e-02	2.54968	5.27574	4.36970e-05
6.19589e+03	1.64663e-02	5.31718e-03	0.57474	1.61747	4.36970e-05
6.24248e+03	1.64763e-02	2.76975e-02	0.87570	2.27535	4.36970e-05
6.28907e+03	1.64814e-02	1.91219e-02	4.36330	0.25409	4.36970e-05
6.33565e+03	1.64688e-02	1.52832e-02	1.94565	3.58823	4.36970e-05
6.38224e+03	1.64781e-02	3.55348e-02	4.44057	2.21286	4.36970e-05
6.42882e+03	1.64756e-02	2.46647e-02	2.73857	5.00021	4.36970e-05
6.47541e+03	1.64785e-02	3.29728e-02	5.90702	2.86946	4.36970e-05
6.52199e+03	1.64722e-02	4.82698e-03	0.36117	2.34630	4.36970e-05
6.56858e+03	1.64740e-02	2.53533e-02	1.82603	3.81320	4.36970e-05
6.61516e+03	1.64773e-02	1.61205e-02	1.63230	4.43157	4.36970e-05
6.66175e+03	1.64732e-02	3.74368e-02	1.65124	5.31390	4.36970e-05
6.70834e+03	1.64666e-02	2.29232e-02	2.92154	5.02910	4.36970e-05
6.75492e+03	1.64694e-02	1.06850e-02	4.54480	0.58450	4.36970e-05
6.80151e+03	1.64686e-02	7.82968e-03	5.83375	0.58899	4.36970e-05
6.84809e+03	1.64701e-02	2.86489e-02	4.90261	2.37079	4.36970e-05
6.89468e+03	1.64703e-02	3.29717e-02	4.89821	3.04257	4.36970e-05
6.94126e+03	1.64686e-02	3.78899e-02	5.77897	2.94983	4.36970e-05
6.98785e+03	1.64705e-02	1.48854e-02	4.45782	4.26828	4.36970e-05
7.03444e+03	1.64680e-02	3.10104e-02	4.63187	5.64103	4.36970e-05
7.08102e+03	1.64692e-02	1.81119e-02	3.22559	0.73863	4.36970e-05
7.12761e+03	1.64714e-02	3.51895e-02	6.28242	0.45630	4.36970e-05
7.17419e+03	1.64794e-02	2.55185e-02	5.97821	3.46922	4.36970e-05
7.22078e+03	1.64740e-02	1.58961e-02	2.12543	3.47106	4.36970e-05
7.26736e+03	1.64800e-02	2.17365e-02	1.67735	4.08218	4.36970e-05
7.31395e+03	1.64779e-02	2.67381e-02	0.98466	5.84493	4.36970e-05
7.36054e+03	1.64780e-02	1.61554e-02	3.63270	6.11414	4.36970e-05
7.40712e+03	1.64794e-02	5.47223e-02	4.00237	0.30682	4.36970e-05
7.45371e+03	1.64790e-02	2.02003e-02	2.91187	3.56742	4.36970e-05
7.50029e+03	1.64750e-02	1.83851e-02	1.98293	0.13466	4.36970e-05
7.54688e+03	1.64840e-02	5.26483e-02	0.81866	3.86644	4.36970e-05
7.59346e+03	1.64757e-02	1.26047e-02	3.24392	4.54183	4.36970e-05
7.64005e+03	1.64704e-02	5.30207e-02	5.43363	4.70189	4.36970e-05
7.68664e+03	1.64717e-02	3.99691e-02	5.42690	2.57867	4.36970e-05
7.73322e+03	1.64683e-02	6.95464e-02	1.01599	1.13917	4.36970e-05
7.77981e+03	1.64697e-02	4.40302e-02	4.15960	5.50452	4.36970e-05
7.82639e+03	1.64762e-02	3.91483e-02	1.54688	3.60720	4.36970e-05
7.87298e+03	1.64623e-02	2.26731e-02	2.97159	2.10019	4.36970e-05
7.91956e+03	1.64650e-02	4.38884e-02	4.53814	0.44572	4.36970e-05
7.96615e+03	1.64606e-02	5.48448e-02	5.49625	5.21611	4.36970e-05
8.01273e+03	1.64630e-02	2.56747e-02	0.93589	2.04675	4.36970e-05
8.05932e+03	1.64737e-02	4.51721e-02	1.11695	1.10943	4.36970e-05
8.10591e+03	1.64712e-02	3.86096e-02	5.08383	5.99031	4.36970e-05
8.15249e+03	1.64654e-02	8.54410e-03	5.63640	4.13539	4.36970e-05
8.19908e+03	1.64693e-02	2.39877e-02	1.92014	1.61573	4.36970e-05
8.24566e+03	1.64586e-02	7.43915e-03	3.54983	0.89900	4.36970e-05
8.29225e+03	1.64692e-02	3.34694e-02	3.25776	3.19913	4.36970e-05
8.33883e+03	1.64607e-02	9.67740e-03	2.30487	2.69358	4.36970e-05
8.38542e+03	1.64650e-02	2.47660e-02	6.03462	4.98549	4.36970e-05
8.43201e+03	1.64611e-02	1.73523e-02	3.68428	5.36102	4.36970e-05
8.47859e+03	1.64572e-02	4.00410e-03	3.76430	0.81264	4.36970e-05
8.52518e+03	1.64606e-02	3.15430e-02	3.34863	0.76962	4.36970e-05
8.57176e+03	1.64622e-02	1.89043e-02	4.70068	1.71094	4.36970e-05
8.61835e+03	1.64588e-02	1.75079e-02	4.76199	3.17091	4.36970e-05
8.66493e+03	1.64666e-02	3.19636e-02	4.86781	4.25326	4.36970e-05
8.71152e+03	1.64730e-02	3.90368e-02	5.87325	4.48176	4.36970e-05
8.75811e+03	1.64496e-02	3.00492e-02	5.63783	5.13146	4.36970e-05
8.80469e+03	1.64658e-02	3.22740e-02	0.05420	5.90618	4.36970e-05
8.85128e+03	1.64623e-02	1.88162e-02	2.34490	5.91093	4.36970e-05
