# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.31553e-02	7.09614e-02	2.51690	3.24513	1.29620e-05
4.65857e+01	2.31672e-02	9.88785e-02	3.32933	4.52476	1.29620e-05
9.31714e+01	2.31663e-02	8.21022e-02	4.03587	5.88502	1.29620e-05
1.39757e+02	2.31506e-02	3.32946e-02	5.51211	6.27295	1.29620e-05
1.86343e+02	2.31740e-02	6.50902e-02	1.56493	5.77074	1.29620e-05
2.32928e+02	2.31682e-02	9.65926e-02	2.53692	0.65773	1.29620e-05
2.79514e+02	2.31608e-02	8.84837e-02	3.32133	2.06561	1.29620e-05
3.26100e+02	2.31497e-02	3.69502e-02	4.88212	2.75322	1.29620e-05
3.72685e+02	2.31747e-02	5.99684e-02	1.50093	1.97465	1.29620e-05
4.19271e+02	2.31699e-02	9.37761e-02	2.95672	3.08810	1.29620e-05
4.65857e+02	2.31643e-02	9.01534e-02	4.17022	4.50200	1.29620e-05
5.12442e+02	2.31565e-02	4.54805e-02	5.79920	5.41754	1.29620e-05
5.59028e+02	2.31648e-02	5.29819e-02	2.66017	4.43775	1.29620e-05
6.05614e+02	2.31684e-02	9.37623e-02	4.23006	5.49730	1.29620e-05
6.52199e+02	2.31679e-02	9.19248e-02	5.56757	0.62622	1.29620e-05
6.98785e+02	2.31679e-02	5.38274e-02	0.93799	1.64111	1.29620e-05
7.45371e+02	2.31592e-02	4.36323e-02	4.15254	0.76406	1.29620e-05
7.91956e+02	2.31744e-02	9.17358e-02	6.00795	1.64046	1.29620e-05
8.38542e+02	2.31606e-02	9.55226e-02	1.15770	3.05327	1.29620e-05
8.85128e+02	2.31656e-02	5.94216e-02	2.86106	4.15960	1.29620e-05
9.31713e+02	2.31445e-02	3.67578e-02	6.08357	3.46904	1.29620e-05
9.78299e+02	2.31615e-02	8.48322e-02	1.93515	4.09029	1.29620e-05
1.02488e+03	2.31728e-02	9.77775e-02	3.46739	5.48262	1.29620e-05
1.07147e+03	2.31756e-02	6.70003e-02	5.15016	0.42258	1.29620e-05
1.11806e+03	2.31580e-02	3.05696e-02	2.13667	6.10614	1.29620e-05
1.16464e+03	2.31584e-02	7.95401e-02	4.50027	0.25123	1.29620e-05
1.21123e+03	2.31767e-02	9.74576e-02	6.20560	1.60059	1.29620e-05
1.25781e+03	2.31726e-02	7.48151e-02	1.62450	2.92067	1.29620e-05
1.30440e+03	2.31681e-02	2.61570e-02	4.62558	2.72820	1.29620e-05
1.35098e+03	2.31466e-02	7.59347e-02	1.10163	2.70559	1.29620e-05
1.39757e+03	2.31592e-02	9.71754e-02	2.95669	4.01926	1.29620e-05
1.44416e+03	2.31714e-02	8.17667e-02	4.76264	5.37148	1.29620e-05
1.49074e+03	2.31701e-02	3.32627e-02	0.96052	5.77770	1.29620e-05
1.53733e+03	2.31522e-02	6.63463e-02	4.31154	5.21902	1.29620e-05
1.58391e+03	2.31419e-02	9.71180e-02	0.00286	0.17461	1.29620e-05
1.63050e+03	2.31616e-02	8.70081e-02	1.95681	1.56112	1.29620e-05
1.67708e+03	2.31682e-02	4.09869e-02	4.28632	2.26488	1.29620e-05
1.72367e+03	2.31557e-02	5.43733e-02	1.63323	1.52744	1.29620e-05
1.77026e+03	2.31644e-02	9.37111e-02	3.77473	2.60934	1.29620e-05
1.81684e+03	2.31439e-02	9.07254e-02	5.80989	4.03804	1.29620e-05
1.86343e+03	2.31601e-02	4.75196e-02	1.74137	4.98662	1.29620e-05
1.91001e+03	2.31570e-02	4.66998e-02	5.60278	4.11689	1.29620e-05
1.95660e+03	2.31706e-02	8.92634e-02	1.70010	5.05224	1.29620e-05
2.00318e+03	2.31572e-02	9.42750e-02	3.73705	0.19167	1.29620e-05
2.04977e+03	2.31472e-02	6.09527e-02	5.96327	1.37663	1.29620e-05
2.09636e+03	2.31584e-02	3.50672e-02	3.64079	0.58131	1.29620e-05
2.14294e+03	2.31762e-02	8.60786e-02	6.28217	1.26189	1.29620e-05
2.18953e+03	2.31720e-02	9.75054e-02	2.18423	2.63657	1.29620e-05
2.23611e+03	2.31709e-02	7.36832e-02	4.49004	3.92053	1.29620e-05
2.28270e+03	2.31705e-02	2.93776e-02	1.65936	3.80715	1.29620e-05
2.32928e+03	2.31566e-02	7.59867e-02	5.05989	3.76833	1.29620e-05
2.37587e+03	2.31753e-02	9.89835e-02	1.12588	5.10117	1.29620e-05
2.42245e+03	2.31693e-02	8.11692e-02	3.45252	0.16602	1.29620e-05
2.46904e+03	2.31695e-02	3.31569e-02	0.24515	0.57069	1.29620e-05
2.51563e+03	2.31540e-02	6.24072e-02	4.21738	0.05349	1.29620e-05
2.56221e+03	2.31459e-02	9.53381e-02	0.49456	1.24811	1.29620e-05
2.60880e+03	2.31721e-02	8.74165e-02	3.15880	2.68194	1.29620e-05
2.65538e+03	2.31690e-02	3.80709e-02	0.10208	3.40759	1.29620e-05
2.70197e+03	2.31550e-02	5.57616e-02	4.78856	2.59242	1.29620e-05
2.74855e+03	2.31517e-02	9.27564e-02	1.52364	3.69677	1.29620e-05
2.79514e+03	2.31673e-02	9.22754e-02	4.49013	5.12786	1.29620e-05
2.84173e+03	2.31526e-02	4.90913e-02	1.33602	6.14963	1.29620e-05
2.88831e+03	2.31499e-02	4.77042e-02	6.20472	5.20994	1.29620e-05
2.93490e+03	2.31545e-02	9.08353e-02	3.07180	6.20067	1.29620e-05
2.98148e+03	2.31660e-02	9.60186e-02	6.17979	1.33136	1.29620e-05
3.02807e+03	2.31590e-02	6.45430e-02	3.07045	2.53427	1.29620e-05
3.07465e+03	2.31665e-02	3.30263e-02	1.28171	1.99112	1.29620e-05
3.12124e+03	2.31712e-02	8.37148e-02	4.98301	2.45803	1.29620e-05
3.16783e+03	2.31520e-02	9.74629e-02	1.80200	3.86894	1.29620e-05
3.21441e+03	2.31535e-02	7.41829e-02	4.94660	5.19892	1.29620e-05
3.26100e+03	2.31590e-02	2.88960e-02	2.63484	5.42211	1.29620e-05
3.30758e+03	2.31708e-02	6.44383e-02	0.70173	5.20655	1.29620e-05
3.35417e+03	2.31566e-02	9.59382e-02	3.96371	0.17048	1.29620e-05
3.40075e+03	2.31634e-02	9.16076e-02	0.88724	1.66749	1.29620e-05
3.44734e+03	2.31589e-02	4.75310e-02	4.30352	2.71740	1.29620e-05
3.49393e+03	2.31626e-02	4.42481e-02	3.15950	1.86148	1.29620e-05
3.54051e+03	2.31485e-02	8.73417e-02	0.39440	2.81466	1.29620e-05
3.58710e+03	2.31575e-02	9.62955e-02	3.80774	4.26498	1.29620e-05
3.63368e+03	2.31706e-02	7.27084e-02	0.91294	5.61506	1.29620e-05
3.68027e+03	2.31642e-02	2.63482e-02	5.41085	5.58542	1.29620e-05
3.72685e+03	2.31576e-02	7.38798e-02	3.54626	5.57046	1.29620e-05
3.77344e+03	2.31568e-02	1.00662e-01	0.72133	0.70211	1.29620e-05
3.82002e+03	2.31689e-02	9.23267e-02	4.04946	2.24412	1.29620e-05
3.86661e+03	2.31568e-02	5.02039e-02	1.53631	3.26167	1.29620e-05
3.91320e+03	2.31584e-02	4.20652e-02	0.37143	2.56380	1.29620e-05
3.95978e+03	2.31560e-02	8.80040e-02	4.26328	3.41615	1.29620e-05
4.00637e+03	2.31634e-02	1.00234e-01	1.56603	4.88893	1.29620e-05
4.05295e+03	2.31743e-02	6.95121e-02	5.25165	6.17684	1.29620e-05
4.09954e+03	2.31603e-02	3.06178e-02	4.06119	5.67618	1.29620e-05
4.14612e+03	2.31610e-02	7.93648e-02	2.16792	6.08182	1.29620e-05
4.19271e+03	2.31610e-02	1.00920e-01	5.91846	1.29234	1.29620e-05
4.23930e+03	2.31597e-02	1.03567e-01	3.20051	3.03964	1.29620e-05
4.28588e+03	2.31541e-02	8.48107e-02	0.48885	4.65530	1.29620e-05
4.33247e+03	2.31516e-02	3.66065e-02	4.72963	5.38737	1.29620e-05
4.37905e+03	2.31686e-02	5.85326e-02	3.88454	4.66152	1.29620e-05
4.42564e+03	2.31657e-02	9.44491e-02	1.44754	5.98286	1.29620e-05
4.47222e+03	2.31666e-02	1.09797e-01	5.00644	1.48418	1.29620e-05
4.51881e+03	2.31581e-02	1.16878e-01	2.14958	3.59731	1.29620e-05
4.56540e+03	2.31806e-02	1.27893e-01	5.18913	6.08544	1.29620e-05
4.61198e+03	2.31364e-02	3.58967e-02	6.15755	5.35662	1.29620e-05
4.65857e+03	2.31389e-02	1.21343e-01	1.92943	3.73753	1.29620e-05
4.70515e+03	2.31648e-02	1.10980e-01	3.46913	3.90652	1.29620e-05
4.75174e+03	2.31947e-02	1.16931e-01	5.08335	4.13767	1.29620e-05
4.79832e+03	2.31694e-02	1.14969e-01	1.28774	4.52788	1.29620e-05
4.84491e+03	2.31642e-02	1.28258e-01	4.40922	5.19190	1.29620e-05
4.89150e+03	2.31851e-02	1.24274e-01	4.93211	6.00640	1.29620e-05
4.93808e+03	2.31478e-02	4.92158e-02	1.43517	3.44694	1.29620e-05
4.98467e+03	2.31383e-02	1.17287e-01	2.93032	2.88954	1.29620e-05
5.03125e+03	2.31430e-02	1.01390e-01	4.72052	2.45146	1.29620e-05
5.07784e+03	2.31924e-02	1.24878e-01	4.54199	2.37688	1.29620e-05
5.12442e+03	2.31711e-02	1.22105e-01	5.42204	2.70049	1.29620e-05
5.17101e+03	2.31589e-02	1.00712e-01	3.98009	2.35862	1.29620e-05
5.21759e+03	2.31624e-02	8.15333e-02	0.40578	1.30727	1.29620e-05
5.26418e+03	2.31678e-02	7.37701e-02	4.18281	4.86064	1.29620e-05
5.31077e+03	2.31452e-02	1.20082e-01	0.55718	3.20042	1.29620e-05
5.35735e+03	2.31674e-02	1.08340e-01	3.78654	3.46187	1.29620e-05
5.40394e+03	2.31654e-02	8.19688e-02	2.31860	0.95425	1.29620e-05
5.45052e+03	2.31183e-02	1.12903e-01	0.85611	4.71576	1.29620e-05
5.49711e+03	2.31388e-02	1.05183e-01	3.85816	5.31649	1.29620e-05
5.54369e+03	2.31540e-02	1.07378e-01	0.67168	5.17276	1.29620e-05
5.59028e+03	2.31489e-02	1.10268e-01	4.58034	5.09625	1.29620e-05
5.63687e+03	2.31510e-02	6.90151e-02	2.27974	2.50625	1.29620e-05
5.68345e+03	2.31818e-02	8.35334e-02	4.85402	0.75649	1.29620e-05
5.73004e+03	2.31230e-02	9.56080e-02	0.73507	6.27106	1.29620e-05
5.77662e+03	2.31797e-02	9.38708e-02	3.59967	5.66669	1.29620e-05
5.82321e+03	2.31623e-02	1.01147e-01	1.22991	5.17214	1.29620e-05
5.86979e+03	2.31530e-02	8.62579e-02	3.04768	4.55591	1.29620e-05
5.91638e+03	2.31609e-02	7.45576e-02	0.05542	3.52722	1.29620e-05
5.96297e+03	2.31544e-02	7.69988e-02	1.21909	2.37980	1.29620e-05
6.00955e+03	2.31729e-02	9.25118e-02	1.81543	1.84749	1.29620e-05
6.05614e+03	2.31483e-02	7.71731e-02	1.33879	1.14314	1.29620e-05
6.10272e+03	2.31434e-02	4.18050e-02	2.22705	0.86896	1.29620e-05
6.14931e+03	2.31513e-02	2.66711e-02	2.08789	2.64648	1.29620e-05
6.19589e+03	2.31786e-02	5.35798e-02	0.24980	0.54780	1.29620e-05
