# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	3.48058e-02	7.25274e-04	3.74340	1.19152	2.31180e-05
4.65857e+01	3.48164e-02	4.76183e-04	3.67640	5.02066	2.31180e-05
9.31714e+01	3.48111e-02	1.06587e-03	1.09177	5.09099	2.31180e-05
1.39757e+02	3.48112e-02	1.55018e-03	6.23882	3.70956	2.31180e-05
1.86343e+02	3.48241e-02	4.73176e-03	1.69761	5.72795	2.31180e-05
2.32928e+02	3.48074e-02	3.18251e-03	3.88628	0.88696	2.31180e-05
2.79514e+02	3.48108e-02	4.19057e-03	5.27710	3.03333	2.31180e-05
3.26100e+02	3.48251e-02	3.35084e-03	5.18266	5.06195	2.31180e-05
3.72685e+02	3.48215e-02	7.00072e-04	4.42448	0.31500	2.31180e-05
4.19271e+02	3.48183e-02	4.36320e-04	3.58207	1.84496	2.31180e-05
4.65857e+02	3.48104e-02	1.15429e-03	1.87352	4.22743	2.31180e-05
5.12442e+02	3.48132e-02	2.08944e-03	0.53692	6.17265	2.31180e-05
5.59028e+02	3.48211e-02	8.08621e-04	5.84892	1.61185	2.31180e-05
6.05614e+02	3.48108e-02	5.71645e-04	5.87515	2.30430	2.31180e-05
6.52199e+02	3.48084e-02	1.65891e-03	5.83504	2.99083	2.31180e-05
6.98785e+02	3.48164e-02	2.65338e-03	4.14062	5.30038	2.31180e-05
7.45371e+02	3.48145e-02	2.59234e-03	3.06226	0.67307	2.31180e-05
7.91956e+02	3.48106e-02	1.99699e-03	2.09648	2.19974	2.31180e-05
8.38542e+02	3.48093e-02	3.15533e-03	1.31181	3.52935	2.31180e-05
8.85128e+02	3.48211e-02	8.32199e-04	4.54562	0.80629	2.31180e-05
9.31713e+02	3.48256e-02	1.68761e-03	4.53682	1.30254	2.31180e-05
9.78299e+02	3.48249e-02	3.20217e-03	2.31867	4.04650	2.31180e-05
1.02488e+03	3.48148e-02	4.21001e-03	0.86442	6.04542	2.31180e-05
1.07147e+03	3.48220e-02	3.28648e-03	0.25359	0.98773	2.31180e-05
1.11806e+03	3.48206e-02	4.62958e-03	5.17980	2.93594	2.31180e-05
1.16464e+03	3.48092e-02	1.77660e-03	3.60780	5.05014	2.31180e-05
1.21123e+03	3.48070e-02	3.40071e-03	2.15538	0.99520	2.31180e-05
1.25781e+03	3.48204e-02	1.47015e-03	1.39953	2.53850	2.31180e-05
1.30440e+03	3.48100e-02	1.48394e-03	2.76035	1.95165	2.31180e-05
1.35098e+03	3.48084e-02	6.46510e-04	5.25142	0.25650	2.31180e-05
1.39757e+03	3.48186e-02	9.50646e-04	1.60766	4.71582	2.31180e-05
1.44416e+03	3.48193e-02	1.54089e-03	1.67122	5.46460	2.31180e-05
1.49074e+03	3.48192e-02	4.50177e-04	2.83219	5.09828	2.31180e-05
1.53733e+03	3.48225e-02	9.85044e-04	0.57290	1.87609	2.31180e-05
1.58391e+03	3.48197e-02	3.01276e-03	2.19295	1.05882	2.31180e-05
1.63050e+03	3.48182e-02	1.72390e-03	0.34008	3.66628	2.31180e-05
1.67708e+03	3.48220e-02	1.97487e-03	0.00417	4.81764	2.31180e-05
1.72367e+03	3.48212e-02	2.40852e-03	5.33184	0.29052	2.31180e-05
1.77026e+03	3.48205e-02	1.01865e-03	0.88034	5.57574	2.31180e-05
1.81684e+03	3.48188e-02	3.72666e-03	1.74686	5.56039	2.31180e-05
