# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	4.68167e-02	3.16609e-02	5.37673	2.13950	3.47100e-05
4.65857e+01	4.67952e-02	3.05847e-02	0.85784	3.92855	3.47100e-05
9.31714e+01	4.67858e-02	2.90928e-02	0.88560	5.02132	3.47100e-05
1.39757e+02	4.67681e-02	2.83198e-02	5.36579	5.50197	3.47100e-05
1.86343e+02	4.67740e-02	2.76933e-02	1.82039	5.29052	3.47100e-05
2.32928e+02	4.67455e-02	2.81854e-02	2.81524	4.42184	3.47100e-05
2.79514e+02	4.67272e-02	2.66249e-02	2.06669	2.86184	3.47100e-05
3.26100e+02	4.66911e-02	2.66427e-02	6.09005	0.53871	3.47100e-05
3.72685e+02	4.66940e-02	2.57812e-02	2.18716	3.81247	3.47100e-05
4.19271e+02	4.66850e-02	2.54790e-02	2.91932	0.01185	3.47100e-05
4.65857e+02	4.66729e-02	2.51613e-02	1.91128	1.76367	3.47100e-05
5.12442e+02	4.66815e-02	2.48733e-02	5.49866	2.76204	3.47100e-05
5.59028e+02	4.66609e-02	2.31642e-02	0.99032	3.06626	3.47100e-05
6.05614e+02	4.66349e-02	2.23991e-02	1.01349	2.66900	3.47100e-05
6.52199e+02	4.66402e-02	2.42117e-02	5.75417	1.36918	3.47100e-05
6.98785e+02	4.66181e-02	2.06142e-02	2.39771	5.69558	3.47100e-05
7.45371e+02	4.65929e-02	2.22765e-02	3.67801	2.92412	3.47100e-05
7.91956e+02	4.65663e-02	2.10642e-02	3.28655	5.65405	3.47100e-05
8.38542e+02	4.65626e-02	2.17133e-02	1.21848	1.31517	3.47100e-05
8.85128e+02	4.65624e-02	1.97271e-02	3.80051	2.41890	3.47100e-05
9.31713e+02	4.65404e-02	2.01989e-02	4.77542	2.67394	3.47100e-05
9.78299e+02	4.65306e-02	2.03556e-02	3.97952	2.22960	3.47100e-05
1.02488e+03	4.65074e-02	1.87111e-02	1.49840	1.01674	3.47100e-05
1.07147e+03	4.64815e-02	1.90421e-02	3.69584	5.20340	3.47100e-05
1.11806e+03	4.64852e-02	1.76384e-02	4.22259	2.30981	3.47100e-05
1.16464e+03	4.64619e-02	1.82782e-02	2.90847	5.06772	3.47100e-05
1.21123e+03	4.64731e-02	1.83972e-02	0.02760	0.64373	3.47100e-05
1.25781e+03	4.64431e-02	1.69767e-02	1.74298	1.72769	3.47100e-05
1.30440e+03	4.64239e-02	1.64821e-02	1.89506	1.92039	3.47100e-05
1.35098e+03	4.64326e-02	1.76236e-02	0.16327	1.52693	3.47100e-05
1.39757e+03	4.63966e-02	1.74645e-02	3.25795	0.14390	3.47100e-05
1.44416e+03	4.64110e-02	1.62916e-02	4.50064	4.42926	3.47100e-05
1.49074e+03	4.63675e-02	1.65881e-02	4.12729	1.62020	3.47100e-05
1.53733e+03	4.63652e-02	1.68874e-02	2.24104	4.14007	3.47100e-05
1.58391e+03	4.63652e-02	1.63168e-02	4.85417	6.00638	3.47100e-05
1.63050e+03	4.63635e-02	1.60689e-02	5.60113	1.01478	3.47100e-05
1.67708e+03	4.63171e-02	1.55577e-02	4.88260	1.31582	3.47100e-05
1.72367e+03	4.63070e-02	1.59236e-02	2.34043	0.99625	3.47100e-05
1.77026e+03	4.62992e-02	1.46032e-02	4.32966	6.24564	3.47100e-05
1.81684e+03	4.62842e-02	1.52515e-02	4.68333	4.40633	3.47100e-05
1.86343e+03	4.62698e-02	1.54213e-02	3.17652	1.96711	3.47100e-05
1.91001e+03	4.62832e-02	1.47557e-02	6.18779	5.13646	3.47100e-05
1.95660e+03	4.62441e-02	1.43572e-02	1.15128	1.32601	3.47100e-05
2.00318e+03	4.62342e-02	1.38090e-02	0.68651	3.06805	3.47100e-05
2.04977e+03	4.62091e-02	1.35449e-02	4.73657	4.12620	3.47100e-05
2.09636e+03	4.62079e-02	1.42894e-02	0.78009	4.45970	3.47100e-05
2.14294e+03	4.61981e-02	1.45942e-02	1.25831	4.25945	3.47100e-05
2.18953e+03	4.61829e-02	1.40729e-02	0.20753	3.15150	3.47100e-05
2.23611e+03	4.61473e-02	1.44754e-02	3.58080	1.47189	3.47100e-05
2.28270e+03	4.61651e-02	1.49749e-02	5.12869	5.44239	3.47100e-05
2.32928e+03	4.61244e-02	1.37143e-02	4.81095	2.54146	3.47100e-05
2.37587e+03	4.61284e-02	1.16939e-02	2.50594	5.46781	3.47100e-05
2.42245e+03	4.61215e-02	1.40372e-02	4.62406	1.51027	3.47100e-05
2.46904e+03	4.60991e-02	1.20266e-02	4.90505	3.23538	3.47100e-05
2.51563e+03	4.60847e-02	1.47191e-02	3.18857	4.47874	3.47100e-05
2.56221e+03	4.60840e-02	1.38030e-02	5.57230	5.44178	3.47100e-05
2.60880e+03	4.60638e-02	1.23313e-02	0.28583	5.52621	3.47100e-05
2.65538e+03	4.60444e-02	1.15141e-02	6.06892	4.74476	3.47100e-05
2.70197e+03	4.60171e-02	1.05580e-02	3.27155	3.79729	3.47100e-05
2.74855e+03	4.60149e-02	1.10453e-02	4.84318	2.30966	3.47100e-05
2.79514e+03	4.59892e-02	1.14910e-02	4.48767	0.29826	3.47100e-05
2.84173e+03	4.59950e-02	1.19463e-02	2.03376	4.21660	3.47100e-05
2.88831e+03	4.59633e-02	1.37927e-02	4.25115	1.00158	3.47100e-05
2.93490e+03	4.59552e-02	1.14506e-02	4.33079	3.80389	3.47100e-05
2.98148e+03	4.58940e-02	1.30616e-02	3.92993	6.25299	3.47100e-05
3.02807e+03	4.59642e-02	1.19018e-02	0.39560	4.01549	3.47100e-05
3.07465e+03	4.58021e-02	1.21600e-02	3.72614	1.89058	3.47100e-05
3.12124e+03	4.58606e-02	1.32088e-02	4.28070	1.97429	3.47100e-05
3.16783e+03	4.58417e-02	1.85580e-02	5.06356	5.68295	3.47100e-05
3.21441e+03	4.58229e-02	1.10104e-02	0.12068	4.97787	3.47100e-05
3.26100e+03	4.57810e-02	2.93815e-03	3.51349	3.80868	3.47100e-05
3.30758e+03	4.57436e-02	4.05857e-03	3.63527	2.52419	3.47100e-05
3.35417e+03	4.57789e-02	1.23113e-02	0.03414	1.07029	3.47100e-05
3.40075e+03	4.58402e-02	1.23280e-02	4.14455	5.42369	3.47100e-05
3.44734e+03	4.57365e-02	1.39451e-02	0.49353	3.66105	3.47100e-05
3.49393e+03	4.57103e-02	1.08072e-02	5.27100	3.83401	3.47100e-05
3.54051e+03	4.56978e-02	7.70030e-03	4.58680	2.05674	3.47100e-05
3.58710e+03	4.57630e-02	1.54019e-02	2.72117	0.33125	3.47100e-05
3.63368e+03	4.57681e-02	7.99390e-03	2.37987	5.42748	3.47100e-05
3.68027e+03	4.57695e-02	2.27467e-02	1.81993	0.66217	3.47100e-05
3.72685e+03	4.56901e-02	1.81746e-02	3.31586	3.52092	3.47100e-05
3.77344e+03	4.57302e-02	1.13689e-02	3.29454	3.13457	3.47100e-05
