# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	5.67616e-02	2.65133e-02	0.90618	5.27866	4.41310e-05
4.65857e+01	5.67297e-02	2.57146e-02	0.65046	0.77364	4.41310e-05
9.31714e+01	5.66941e-02	2.51445e-02	3.81739	1.86005	4.41310e-05
1.39757e+02	5.66839e-02	2.48313e-02	4.02733	2.35921	4.41310e-05
1.86343e+02	5.66655e-02	2.43241e-02	1.34387	2.18686	4.41310e-05
2.32928e+02	5.66676e-02	2.31372e-02	2.12177	1.28108	4.41310e-05
2.79514e+02	5.66545e-02	2.35759e-02	6.25756	6.00937	4.41310e-05
3.26100e+02	5.66470e-02	2.24279e-02	1.44041	3.66604	4.41310e-05
3.72685e+02	5.66122e-02	2.21262e-02	0.06476	0.66559	4.41310e-05
4.19271e+02	5.66076e-02	2.17288e-02	2.18775	3.15392	4.41310e-05
4.65857e+02	5.65866e-02	2.12324e-02	1.41839	4.93046	4.41310e-05
5.12442e+02	5.65685e-02	2.02279e-02	4.09037	5.95468	4.41310e-05
5.59028e+02	5.65448e-02	1.93829e-02	3.90387	6.20443	4.41310e-05
6.05614e+02	5.65437e-02	2.00818e-02	0.74589	5.81211	4.41310e-05
6.52199e+02	5.65389e-02	1.85131e-02	1.11620	4.57410	4.41310e-05
6.98785e+02	5.65304e-02	1.97835e-02	4.97803	2.52203	4.41310e-05
7.45371e+02	5.65176e-02	1.85745e-02	5.97106	6.00351	4.41310e-05
7.91956e+02	5.64948e-02	1.73708e-02	4.07557	2.46756	4.41310e-05
8.38542e+02	5.64696e-02	1.77231e-02	5.62697	4.44618	4.41310e-05
8.85128e+02	5.64456e-02	1.74725e-02	4.46453	5.51846	4.41310e-05
9.31713e+02	5.64682e-02	1.74211e-02	0.40896	5.85977	4.41310e-05
9.78299e+02	5.64314e-02	1.67296e-02	6.13421	5.37849	4.41310e-05
1.02488e+03	5.64008e-02	1.66109e-02	2.72970	4.11280	4.41310e-05
1.07147e+03	5.63891e-02	1.56197e-02	2.74060	2.10140	4.41310e-05
1.11806e+03	5.63711e-02	1.62850e-02	6.27901	5.49742	4.41310e-05
1.16464e+03	5.63565e-02	1.55085e-02	0.64483	1.88643	4.41310e-05
1.21123e+03	5.63553e-02	1.51156e-02	4.75375	3.75397	4.41310e-05
1.25781e+03	5.63430e-02	1.54232e-02	6.04668	4.83803	4.41310e-05
1.30440e+03	5.62986e-02	1.49044e-02	4.52249	5.11336	4.41310e-05
1.35098e+03	5.62750e-02	1.41876e-02	0.17648	4.60747	4.41310e-05
1.39757e+03	5.62836e-02	1.44735e-02	5.56340	3.31434	4.41310e-05
1.44416e+03	5.62719e-02	1.44068e-02	1.80617	1.28522	4.41310e-05
1.49074e+03	5.62479e-02	1.30860e-02	1.52684	4.73341	4.41310e-05
1.53733e+03	5.62249e-02	1.33033e-02	4.80938	1.03092	4.41310e-05
1.58391e+03	5.62132e-02	1.37818e-02	5.14068	2.95617	4.41310e-05
1.63050e+03	5.61834e-02	1.27886e-02	2.65905	4.10447	4.41310e-05
1.67708e+03	5.61754e-02	1.35339e-02	3.65634	4.46959	4.41310e-05
1.72367e+03	5.61843e-02	1.29309e-02	1.70419	4.18098	4.41310e-05
1.77026e+03	5.61643e-02	1.29863e-02	3.29164	3.05182	4.41310e-05
1.81684e+03	5.61248e-02	1.25779e-02	1.83022	1.37694	4.41310e-05
1.86343e+03	5.61294e-02	1.28507e-02	3.99886	5.06370	4.41310e-05
1.91001e+03	5.60640e-02	1.23753e-02	3.11195	1.92969	4.41310e-05
1.95660e+03	5.61229e-02	1.25871e-02	5.64419	4.36748	4.41310e-05
2.00318e+03	5.60822e-02	1.18994e-02	5.28240	6.11674	4.41310e-05
2.04977e+03	5.60602e-02	1.19942e-02	2.00355	0.93018	4.41310e-05
2.09636e+03	5.60574e-02	1.14245e-02	2.15808	1.31277	4.41310e-05
2.14294e+03	5.60752e-02	1.19014e-02	5.73538	0.99028	4.41310e-05
2.18953e+03	5.60136e-02	1.18628e-02	0.19959	6.23339	4.41310e-05
2.23611e+03	5.60217e-02	1.10758e-02	4.31219	4.54323	4.41310e-05
2.28270e+03	5.59768e-02	1.14003e-02	5.40259	2.31621	4.41310e-05
2.32928e+03	5.59943e-02	1.10338e-02	3.50501	5.80929	4.41310e-05
2.37587e+03	5.59802e-02	1.15170e-02	5.07935	2.27280	4.41310e-05
2.42245e+03	5.59370e-02	1.12114e-02	3.44878	4.67051	4.41310e-05
2.46904e+03	5.59119e-02	1.07303e-02	5.20716	0.13501	4.41310e-05
2.51563e+03	5.59071e-02	1.11617e-02	3.91305	1.39670	4.41310e-05
2.56221e+03	5.58748e-02	1.10927e-02	5.91608	2.12171	4.41310e-05
2.60880e+03	5.58860e-02	1.12182e-02	5.03170	2.25899	4.41310e-05
2.65538e+03	5.58875e-02	1.00565e-02	1.36186	1.66957	4.41310e-05
2.70197e+03	5.58435e-02	1.06010e-02	0.81873	0.70180	4.41310e-05
2.74855e+03	5.58474e-02	1.02322e-02	3.68919	5.36320	4.41310e-05
2.79514e+03	5.58109e-02	1.02053e-02	3.33074	3.44180	4.41310e-05
2.84173e+03	5.58219e-02	1.10986e-02	0.00269	0.96439	4.41310e-05
2.88831e+03	5.57833e-02	1.04457e-02	0.06909	4.14886	4.41310e-05
2.93490e+03	5.57776e-02	1.05300e-02	3.13226	0.79993	4.41310e-05
2.98148e+03	5.57997e-02	1.15439e-02	2.93039	3.15913	4.41310e-05
3.02807e+03	5.57175e-02	8.58463e-03	3.46494	1.11925	4.41310e-05
3.07465e+03	5.58279e-02	1.35741e-02	6.12159	4.88657	4.41310e-05
3.12124e+03	5.57748e-02	1.01939e-02	1.33110	5.12870	4.41310e-05
3.16783e+03	5.57636e-02	1.32816e-02	3.48775	2.68060	4.41310e-05
3.21441e+03	5.57028e-02	5.38644e-03	5.63456	2.08228	4.41310e-05
3.26100e+03	5.57217e-02	6.72227e-03	5.52693	2.79766	4.41310e-05
3.30758e+03	5.56939e-02	8.72602e-03	5.57757	4.27214	4.41310e-05
3.35417e+03	5.56793e-02	1.45001e-02	6.13724	4.55981	4.41310e-05
3.40075e+03	5.56010e-02	1.79258e-03	1.61875	5.43623	4.41310e-05
3.44734e+03	5.56764e-02	3.95681e-03	5.94215	1.28087	4.41310e-05
3.49393e+03	5.56561e-02	1.04894e-02	4.08665	0.44017	4.41310e-05
3.54051e+03	5.56402e-02	1.04718e-02	0.09329	5.57838	4.41310e-05
3.58710e+03	5.55978e-02	2.78851e-03	4.65151	4.04917	4.41310e-05
3.63368e+03	5.55665e-02	1.01116e-02	0.45914	1.98729	4.41310e-05
