# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.17210e-02	1.16905e-01	0.14559	1.70913	4.59020e-05
1.24228e+02	1.17290e-02	1.49404e-01	2.19841	5.15357	4.59020e-05
2.48457e+02	1.16980e-02	1.74238e-01	4.50769	3.36387	4.59020e-05
3.72685e+02	1.17138e-02	1.51347e-01	4.39752	0.23087	4.59020e-05
4.96914e+02	1.17079e-02	1.57896e-01	6.08795	4.91473	4.59020e-05
6.21142e+02	1.17372e-02	1.21445e-01	1.98403	2.60464	4.59020e-05
7.45371e+02	1.17238e-02	4.65891e-02	6.20606	5.52056	4.59020e-05
8.69599e+02	1.17153e-02	1.12116e-01	2.10486	2.45565	4.59020e-05
9.93828e+02	1.17128e-02	9.06876e-02	1.67547	5.11736	4.59020e-05
1.11806e+03	1.16970e-02	7.18787e-02	3.80140	2.45201	4.59020e-05
1.24228e+03	1.16949e-02	4.35297e-02	5.57908	5.38950	4.59020e-05
1.36651e+03	1.17078e-02	7.02250e-02	6.19056	2.05527	4.59020e-05
1.49074e+03	1.16895e-02	2.79716e-02	5.91516	1.31157	4.59020e-05
1.61497e+03	1.16881e-02	1.13762e-01	1.55156	1.91287	4.59020e-05
1.73920e+03	1.16972e-02	5.21038e-02	1.24071	3.79037	4.59020e-05
1.86343e+03	1.16880e-02	9.38334e-03	6.11473	2.08355	4.59020e-05
1.98766e+03	1.16857e-02	6.19739e-02	3.10603	5.52480	4.59020e-05
2.11188e+03	1.17053e-02	8.77032e-02	5.34325	2.63651	4.59020e-05
2.23611e+03	1.16899e-02	5.67682e-02	5.53364	3.52980	4.59020e-05
2.36034e+03	1.16782e-02	1.17654e-01	5.80290	4.88114	4.59020e-05
2.48457e+03	1.16909e-02	9.16606e-02	5.11713	4.45512	4.59020e-05
2.60880e+03	1.16800e-02	3.11613e-02	2.61581	2.06617	4.59020e-05
2.73303e+03	1.16811e-02	6.47924e-02	0.32290	3.87958	4.59020e-05
2.85725e+03	1.16893e-02	1.18555e-02	5.21287	0.97262	4.59020e-05
2.98148e+03	1.16676e-02	5.63952e-02	3.69166	0.67805	4.59020e-05
3.10571e+03	1.16796e-02	1.66611e-02	4.44300	4.37021	4.59020e-05
3.22994e+03	1.16745e-02	6.55378e-02	0.45614	0.15536	4.59020e-05
3.35417e+03	1.16851e-02	4.10539e-02	5.93007	2.40436	4.59020e-05
3.47840e+03	1.16873e-02	2.73443e-02	2.82749	4.32540	4.59020e-05
3.60262e+03	1.16794e-02	1.97640e-02	6.21131	3.02179	4.59020e-05
3.72685e+03	1.16612e-02	4.48713e-02	4.79716	1.04516	4.59020e-05
3.85108e+03	1.16665e-02	6.85522e-02	1.20979	2.56201	4.59020e-05
3.97531e+03	1.16688e-02	5.71460e-02	4.73060	5.20005	4.59020e-05
4.09954e+03	1.16646e-02	5.78173e-02	1.86926	3.15612	4.59020e-05
4.22377e+03	1.16603e-02	5.68626e-02	0.78302	0.66123	4.59020e-05
4.34800e+03	1.16607e-02	3.76554e-02	1.73950	1.97711	4.59020e-05
4.47222e+03	1.16545e-02	6.41701e-02	2.36291	0.02829	4.59020e-05
4.59645e+03	1.16581e-02	6.13685e-02	3.68934	2.31921	4.59020e-05
4.72068e+03	1.16683e-02	5.82300e-02	4.95778	5.52619	4.59020e-05
4.84491e+03	1.16517e-02	5.57593e-02	0.61545	1.85637	4.59020e-05
4.96914e+03	1.16575e-02	3.08346e-02	1.99334	4.88640	4.59020e-05
5.09337e+03	1.16512e-02	3.88741e-02	5.35008	1.15313	4.59020e-05
5.21759e+03	1.16555e-02	7.55520e-02	3.76629	3.40813	4.59020e-05
5.34182e+03	1.16617e-02	7.97420e-02	5.24940	0.88125	4.59020e-05
5.46605e+03	1.16457e-02	8.51238e-02	3.20024	4.61300	4.59020e-05
5.59028e+03	1.16597e-02	2.74591e-02	2.56998	2.20287	4.59020e-05
5.71451e+03	1.16492e-02	1.03082e-01	4.16359	3.81328	4.59020e-05
