# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.60472e-02	1.19685e-01	5.65887	1.95192	4.36970e-05
1.24228e+02	1.60469e-02	8.05651e-02	2.19039	4.02311	4.36970e-05
2.48457e+02	1.60646e-02	4.16878e-02	3.60056	0.10907	4.36970e-05
3.72685e+02	1.60498e-02	8.90716e-02	2.02783	1.66563	4.36970e-05
4.96914e+02	1.60342e-02	1.22285e-01	1.16572	3.10324	4.36970e-05
6.21142e+02	1.60029e-02	8.71084e-02	3.68688	1.37264	4.36970e-05
7.45371e+02	1.60187e-02	1.07216e-01	5.11750	5.42939	4.36970e-05
8.69599e+02	1.59951e-02	6.59880e-02	4.40135	3.90920	4.36970e-05
9.93828e+02	1.59972e-02	8.99632e-02	4.56470	0.50089	4.36970e-05
1.11806e+03	1.60253e-02	4.16846e-02	0.28204	3.60282	4.36970e-05
1.24228e+03	1.60571e-02	4.34865e-02	0.46000	0.34787	4.36970e-05
1.36651e+03	1.60151e-02	5.38334e-02	0.68958	5.48161	4.36970e-05
1.49074e+03	1.60159e-02	9.78187e-02	3.90774	4.78534	4.36970e-05
1.61497e+03	1.60337e-02	1.93450e-02	1.85832	1.13563	4.36970e-05
1.73920e+03	1.60247e-02	8.45988e-02	5.84375	5.00708	4.36970e-05
1.86343e+03	1.59949e-02	8.67825e-02	2.53130	1.31765	4.36970e-05
1.98766e+03	1.60011e-02	3.21744e-02	6.22430	3.79589	4.36970e-05
2.11188e+03	1.59834e-02	6.32365e-02	3.83691	4.36501	4.36970e-05
2.23611e+03	1.59925e-02	9.52052e-02	6.11711	1.57815	4.36970e-05
2.36034e+03	1.60048e-02	2.01648e-02	0.79438	1.98184	4.36970e-05
2.48457e+03	1.59797e-02	4.19097e-02	2.01284	1.79159	4.36970e-05
2.60880e+03	1.60148e-02	1.01366e-01	1.42965	0.51506	4.36970e-05
2.73303e+03	1.59742e-02	5.63164e-02	2.56174	3.24546	4.36970e-05
2.85725e+03	1.59604e-02	4.61095e-03	3.83189	0.42901	4.36970e-05
2.98148e+03	1.59775e-02	3.86863e-02	2.83628	4.87488	4.36970e-05
3.10571e+03	1.59729e-02	6.42341e-02	1.27360	3.73295	4.36970e-05
3.22994e+03	1.59913e-02	1.82814e-02	6.03704	0.16657	4.36970e-05
3.35417e+03	1.59514e-02	6.12545e-02	3.80811	3.02728	4.36970e-05
3.47840e+03	1.59564e-02	1.63001e-02	4.34947	5.65931	4.36970e-05
3.60262e+03	1.59439e-02	7.24694e-02	3.14559	2.61401	4.36970e-05
3.72685e+03	1.59760e-02	8.94578e-02	3.59730	4.48486	4.36970e-05
3.85108e+03	1.59775e-02	2.86231e-02	2.86358	5.21167	4.36970e-05
3.97531e+03	1.59670e-02	7.37650e-02	2.87544	1.02663	4.36970e-05
4.09954e+03	1.59630e-02	2.05350e-02	6.21950	4.17100	4.36970e-05
4.22377e+03	1.59697e-02	4.31602e-02	3.44806	0.10872	4.36970e-05
4.34800e+03	1.59590e-02	5.60261e-02	2.50891	2.57990	4.36970e-05
4.47222e+03	1.59685e-02	7.88148e-02	3.39497	4.65749	4.36970e-05
4.59645e+03	1.59416e-02	6.23341e-02	0.16748	3.38891	4.36970e-05
4.72068e+03	1.59387e-02	7.39780e-02	3.15020	5.71055	4.36970e-05
4.84491e+03	1.59613e-02	6.20325e-02	5.48101	2.19787	4.36970e-05
4.96914e+03	1.59550e-02	4.72671e-02	1.19091	4.45793	4.36970e-05
5.09337e+03	1.59530e-02	5.94257e-02	3.10203	0.84301	4.36970e-05
5.21759e+03	1.59492e-02	4.06638e-02	3.77525	4.22589	4.36970e-05
5.34182e+03	1.59291e-02	1.26082e-02	4.47237	2.60191	4.36970e-05
5.46605e+03	1.59600e-02	4.96792e-02	4.78734	1.89882	4.36970e-05
5.59028e+03	1.59278e-02	6.86042e-02	2.70628	1.06295	4.36970e-05
5.71451e+03	1.59397e-02	4.57483e-02	5.34880	1.01844	4.36970e-05
5.83874e+03	1.59355e-02	5.80507e-02	5.89585	0.99059	4.36970e-05
5.96297e+03	1.59237e-02	5.13414e-02	2.17285	3.18719	4.36970e-05
6.08719e+03	1.59496e-02	2.25840e-02	0.63748	5.19042	4.36970e-05
6.21142e+03	1.59352e-02	3.23139e-02	5.42721	3.04477	4.36970e-05
6.33565e+03	1.59216e-02	5.90732e-02	2.16577	5.30018	4.36970e-05
6.45988e+03	1.59235e-02	3.57025e-02	5.54437	2.44435	4.36970e-05
6.58411e+03	1.59337e-02	4.90725e-02	2.96024	3.38328	4.36970e-05
6.70834e+03	1.59244e-02	6.84044e-02	0.89206	1.90051	4.36970e-05
6.83256e+03	1.59235e-02	6.49733e-02	4.18974	3.39927	4.36970e-05
6.95679e+03	1.59227e-02	6.29173e-02	4.41103	1.20398	4.36970e-05
7.08102e+03	1.59268e-02	4.87104e-02	3.90414	4.17092	4.36970e-05
7.20525e+03	1.59186e-02	2.34379e-02	5.27793	3.22549	4.36970e-05
7.32948e+03	1.58972e-02	3.68812e-02	3.62126	1.24698	4.36970e-05
7.45371e+03	1.59192e-02	3.86620e-02	2.66639	3.76289	4.36970e-05
7.57794e+03	1.59069e-02	1.27096e-02	5.07310	4.91714	4.36970e-05
7.70216e+03	1.59068e-02	3.09077e-02	2.68730	1.60456	4.36970e-05
7.82639e+03	1.58983e-02	1.40482e-02	0.42572	4.25739	4.36970e-05
7.95062e+03	1.59062e-02	2.31288e-03	1.42531	5.16310	4.36970e-05
8.07485e+03	1.59025e-02	1.31833e-02	0.52865	3.27182	4.36970e-05
8.19908e+03	1.58953e-02	1.90136e-02	3.22712	6.22531	4.36970e-05
8.32331e+03	1.59034e-02	3.69951e-02	0.06632	2.34421	4.36970e-05
8.44753e+03	1.59080e-02	2.42158e-02	6.14368	4.52235	4.36970e-05
8.57176e+03	1.58988e-02	4.09068e-02	5.43208	0.43390	4.36970e-05
