# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.25596e-02	1.10139e-01	1.03041	3.59236	1.29620e-05
1.24228e+02	2.24430e-02	1.37235e-01	4.48759	3.16964	1.29620e-05
2.48457e+02	2.26367e-02	1.08197e-01	3.69565	0.62352	1.29620e-05
3.72685e+02	2.25191e-02	3.71262e-02	0.60934	2.09570	1.29620e-05
4.96914e+02	2.25766e-02	6.42437e-02	1.06243	4.50472	1.29620e-05
6.21142e+02	2.25674e-02	1.03822e-01	5.18443	5.81530	1.29620e-05
7.45371e+02	2.24176e-02	2.10604e-01	0.22257	4.84920	1.29620e-05
8.69599e+02	2.26178e-02	4.45241e-02	3.75142	2.09652	1.29620e-05
9.93828e+02	2.25830e-02	2.60350e-02	3.62014	1.39722	1.29620e-05
1.11806e+03	2.25513e-02	1.16192e-01	2.01290	3.06006	1.29620e-05
1.24228e+03	2.25623e-02	1.85525e-02	0.07274	3.51488	1.29620e-05
1.36651e+03	2.24579e-02	9.15533e-02	5.93441	1.81351	1.29620e-05
1.49074e+03	2.25705e-02	9.14170e-02	5.81080	4.28212	1.29620e-05
1.61497e+03	2.24533e-02	6.04835e-02	0.06710	0.12472	1.29620e-05
1.73920e+03	2.24730e-02	4.59751e-02	2.64958	0.93133	1.29620e-05
1.86343e+03	2.25408e-02	1.03648e-01	1.43594	2.61269	1.29620e-05
1.98766e+03	2.25312e-02	2.04145e-01	4.57689	3.15321	1.29620e-05
2.11188e+03	2.24816e-02	1.16649e-01	4.50732	6.04031	1.29620e-05
2.23611e+03	2.24819e-02	9.08746e-02	1.96867	3.49572	1.29620e-05
2.36034e+03	2.25687e-02	1.40697e-01	1.27460	3.68247	1.29620e-05
2.48457e+03	2.25478e-02	1.09574e-01	4.95145	5.23412	1.29620e-05
2.60880e+03	2.23848e-02	1.37824e-01	5.15673	3.20802	1.29620e-05
2.73303e+03	2.24401e-02	1.53796e-01	2.31627	2.34265	1.29620e-05
2.85725e+03	2.24524e-02	1.13046e-01	0.99087	4.96637	1.29620e-05
2.98148e+03	2.24440e-02	1.87618e-01	4.45072	1.65138	1.29620e-05
3.10571e+03	2.24878e-02	3.96295e-02	3.31990	3.20013	1.29620e-05
3.22994e+03	2.24279e-02	3.01481e-02	5.68179	0.67631	1.29620e-05
3.35417e+03	2.24109e-02	1.03191e-01	5.36756	5.60893	1.29620e-05
3.47840e+03	2.24584e-02	6.90050e-02	1.47648	0.23685	1.29620e-05
3.60262e+03	2.24431e-02	1.13843e-01	2.16059	1.06499	1.29620e-05
3.72685e+03	2.24462e-02	1.75040e-01	2.13029	3.59236	1.29620e-05
3.85108e+03	2.24788e-02	1.48876e-01	4.42393	5.73400	1.29620e-05
3.97531e+03	2.24133e-02	2.45845e-02	0.54733	3.16204	1.29620e-05
4.09954e+03	2.24676e-02	1.18474e-01	4.45800	0.04852	1.29620e-05
4.22377e+03	2.24554e-02	1.24915e-01	0.94189	4.95563	1.29620e-05
4.34800e+03	2.24585e-02	1.21912e-01	1.20644	4.34787	1.29620e-05
4.47222e+03	2.24440e-02	5.86968e-02	0.25778	2.23161	1.29620e-05
4.59645e+03	2.24642e-02	8.24311e-02	1.27611	3.67764	1.29620e-05
4.72068e+03	2.23766e-02	7.10432e-02	1.90610	4.93668	1.29620e-05
4.84491e+03	2.24490e-02	7.48376e-02	4.41590	3.74688	1.29620e-05
4.96914e+03	2.24213e-02	8.82502e-02	0.46448	6.13991	1.29620e-05
5.09337e+03	2.24052e-02	8.97790e-02	0.30419	1.01352	1.29620e-05
5.21759e+03	2.24074e-02	4.33852e-02	1.32452	3.69170	1.29620e-05
5.34182e+03	2.24317e-02	1.29804e-01	3.39134	0.10731	1.29620e-05
5.46605e+03	2.23673e-02	1.07521e-01	2.62748	3.43283	1.29620e-05
5.59028e+03	2.24055e-02	1.72684e-01	6.10389	5.08459	1.29620e-05
5.71451e+03	2.23653e-02	7.61673e-02	6.22485	3.44387	1.29620e-05
5.83874e+03	2.24614e-02	1.12521e-01	6.14180	3.86843	1.29620e-05
5.96297e+03	2.24276e-02	1.70035e-01	2.75240	3.57766	1.29620e-05
6.08719e+03	2.24271e-02	1.63676e-01	3.30124	5.85275	1.29620e-05
6.21142e+03	2.23858e-02	5.04139e-02	0.86409	5.83211	1.29620e-05
6.33565e+03	2.24159e-02	5.41241e-02	1.68039	5.53797	1.29620e-05
6.45988e+03	2.23768e-02	6.04692e-02	3.13373	1.97958	1.29620e-05
6.58411e+03	2.24140e-02	3.45472e-02	4.49303	0.19154	1.29620e-05
6.70834e+03	2.24143e-02	3.28489e-02	0.43627	3.63917	1.29620e-05
6.83256e+03	2.23896e-02	2.86372e-02	5.50052	4.17319	1.29620e-05
6.95679e+03	2.23440e-02	7.84075e-02	2.28660	4.83882	1.29620e-05
7.08102e+03	2.23849e-02	3.83644e-02	6.11971	1.10488	1.29620e-05
7.20525e+03	2.23579e-02	4.55363e-02	6.06809	6.16122	1.29620e-05
7.32948e+03	2.24072e-02	1.33296e-01	3.90426	3.58900	1.29620e-05
7.45371e+03	2.23968e-02	4.12184e-02	3.06402	3.41438	1.29620e-05
7.57794e+03	2.23621e-02	1.18453e-01	2.84533	1.97253	1.29620e-05
7.70216e+03	2.23550e-02	6.42327e-02	1.73596	4.93189	1.29620e-05
7.82639e+03	2.23397e-02	7.31255e-02	2.94042	2.90171	1.29620e-05
7.95062e+03	2.23772e-02	2.75940e-02	5.18952	1.46236	1.29620e-05
8.07485e+03	2.23757e-02	2.56805e-02	4.94156	2.71725	1.29620e-05
8.19908e+03	2.23369e-02	7.40476e-02	5.19577	6.01177	1.29620e-05
8.32331e+03	2.23820e-02	2.87782e-02	4.92107	5.58958	1.29620e-05
8.44753e+03	2.23649e-02	9.25604e-02	2.79968	5.09436	1.29620e-05
8.57176e+03	2.23987e-02	6.75354e-02	3.34555	3.28051	1.29620e-05
8.69599e+03	2.23206e-02	2.48099e-02	0.64024	0.30043	1.29620e-05
8.82022e+03	2.23422e-02	1.24443e-01	1.31012	3.48526	1.29620e-05
8.94445e+03	2.23478e-02	1.42972e-01	5.63577	1.71572	1.29620e-05
9.06868e+03	2.23564e-02	5.46361e-02	4.57351	4.02282	1.29620e-05
9.19291e+03	2.23298e-02	1.07887e-01	3.58892	4.42555	1.29620e-05
9.31713e+03	2.23044e-02	1.19687e-01	5.91803	4.88713	1.29620e-05
9.44136e+03	2.23326e-02	8.07687e-02	2.71804	0.58664	1.29620e-05
9.56559e+03	2.23350e-02	1.21770e-01	3.46768	3.87511	1.29620e-05
9.68982e+03	2.23472e-02	5.10393e-02	2.00009	2.22172	1.29620e-05
9.81405e+03	2.23272e-02	5.44823e-02	4.50748	0.90166	1.29620e-05
9.93828e+03	2.23493e-02	7.22577e-02	4.16011	5.83087	1.29620e-05
1.00625e+04	2.23491e-02	1.06541e-01	2.15954	1.29128	1.29620e-05
1.01867e+04	2.23445e-02	3.74990e-02	0.06577	4.67286	1.29620e-05
1.03110e+04	2.23322e-02	5.32230e-02	5.61312	6.15589	1.29620e-05
1.04352e+04	2.23133e-02	6.88638e-02	5.57371	2.06889	1.29620e-05
1.05594e+04	2.23271e-02	3.02118e-02	2.64694	1.80428	1.29620e-05
1.06836e+04	2.23147e-02	7.03234e-02	4.31750	1.04864	1.29620e-05
1.08079e+04	2.23297e-02	3.73058e-02	2.48027	3.23795	1.29620e-05
1.09321e+04	2.23177e-02	1.26752e-01	2.79393	4.95795	1.29620e-05
1.10563e+04	2.23139e-02	1.10296e-01	3.54062	2.17738	1.29620e-05
1.11806e+04	2.23122e-02	9.15150e-02	2.10252	5.56060	1.29620e-05
1.13048e+04	2.23009e-02	3.80349e-02	4.55100	4.22084	1.29620e-05
1.14290e+04	2.23374e-02	7.36813e-02	2.25265	2.29973	1.29620e-05
1.15532e+04	2.23520e-02	8.32440e-02	6.11060	0.55642	1.29620e-05
1.16775e+04	2.23242e-02	7.16508e-02	2.24508	0.68834	1.29620e-05
1.18017e+04	2.23021e-02	5.44575e-02	4.35952	2.71893	1.29620e-05
1.19259e+04	2.23117e-02	6.98618e-02	4.17148	3.56748	1.29620e-05
1.20502e+04	2.22928e-02	6.70365e-02	3.17239	5.85479	1.29620e-05
1.21744e+04	2.22939e-02	7.88758e-02	3.43634	0.95265	1.29620e-05
1.22986e+04	2.23322e-02	8.34145e-02	0.30630	2.30563	1.29620e-05
1.24228e+04	2.23178e-02	4.47603e-02	5.32169	2.59691	1.29620e-05
1.25471e+04	2.23313e-02	7.31239e-02	4.56036	2.14510	1.29620e-05
1.26713e+04	2.22995e-02	1.94418e-02	3.22400	4.72541	1.29620e-05
1.27955e+04	2.23050e-02	5.91820e-02	2.86545	1.14966	1.29620e-05
1.29198e+04	2.23103e-02	5.99632e-02	5.19637	4.86999	1.29620e-05
1.30440e+04	2.22948e-02	5.73833e-02	1.44565	1.90838	1.29620e-05
1.31682e+04	2.23114e-02	2.35620e-02	2.29638	1.50968	1.29620e-05
1.32924e+04	2.23201e-02	6.83508e-02	1.94362	2.15978	1.29620e-05
1.34167e+04	2.22949e-02	4.33379e-02	2.45434	2.07160	1.29620e-05
1.35409e+04	2.23033e-02	6.08958e-02	2.87813	3.98802	1.29620e-05
1.36651e+04	2.23127e-02	2.57292e-02	5.17579	5.86509	1.29620e-05
1.37894e+04	2.23098e-02	9.32049e-02	4.64774	0.29755	1.29620e-05
1.39136e+04	2.23312e-02	3.03684e-02	4.48768	5.17200	1.29620e-05
1.40378e+04	2.22819e-02	5.23748e-02	3.47268	4.25869	1.29620e-05
1.41620e+04	2.23009e-02	5.29282e-02	1.34607	1.80076	1.29620e-05
1.42863e+04	2.22948e-02	4.50379e-02	1.93665	3.66357	1.29620e-05
