# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.95299e-02	1.00648e-01	1.87723	1.88647	2.31180e-05
1.24228e+02	2.95044e-02	5.85758e-02	2.88972	0.69859	2.31180e-05
2.48457e+02	2.94392e-02	8.73762e-02	4.27133	0.47654	2.31180e-05
3.72685e+02	2.94639e-02	6.45150e-02	2.28806	2.22078	2.31180e-05
4.96914e+02	2.94847e-02	2.42393e-02	3.03956	5.93968	2.31180e-05
6.21142e+02	2.95816e-02	9.93513e-02	3.29138	1.82899	2.31180e-05
7.45371e+02	2.95959e-02	3.79591e-02	2.20640	5.39664	2.31180e-05
8.69599e+02	2.96538e-02	7.45568e-02	1.98523	0.68012	2.31180e-05
9.93828e+02	2.95859e-02	1.48712e-01	5.76050	1.03478	2.31180e-05
1.11806e+03	2.95097e-02	6.55070e-02	4.82333	3.28328	2.31180e-05
1.24228e+03	2.94741e-02	1.58970e-01	0.06372	4.00915	2.31180e-05
1.36651e+03	2.94720e-02	1.51901e-01	2.31685	3.33829	2.31180e-05
1.49074e+03	2.94875e-02	1.59401e-01	5.23804	1.15528	2.31180e-05
1.61497e+03	2.94650e-02	1.01417e-01	4.75227	1.51928	2.31180e-05
1.73920e+03	2.96028e-02	1.11069e-01	5.67249	3.00821	2.31180e-05
1.86343e+03	2.94549e-02	2.78714e-02	4.71598	1.63448	2.31180e-05
1.98766e+03	2.94533e-02	1.12849e-01	4.92138	1.89506	2.31180e-05
2.11188e+03	2.94309e-02	1.76222e-02	4.45656	2.47271	2.31180e-05
2.23611e+03	2.94939e-02	8.65442e-02	5.55989	1.98330	2.31180e-05
2.36034e+03	2.94436e-02	5.33846e-02	0.10532	0.16934	2.31180e-05
2.48457e+03	2.94705e-02	1.41416e-01	3.38355	6.02502	2.31180e-05
2.60880e+03	2.94525e-02	6.15175e-02	6.20138	0.72726	2.31180e-05
2.73303e+03	2.95579e-02	7.26997e-02	5.04730	4.62621	2.31180e-05
2.85725e+03	2.94544e-02	9.32076e-02	0.04316	3.29474	2.31180e-05
2.98148e+03	2.94456e-02	7.32697e-02	0.40181	5.77529	2.31180e-05
3.10571e+03	2.93571e-02	1.02165e-01	4.44048	1.43112	2.31180e-05
3.22994e+03	2.94159e-02	8.52537e-02	4.25353	2.51232	2.31180e-05
