# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	3.87403e-02	7.45052e-02	1.53734	0.04161	3.47100e-05
1.24228e+02	3.87192e-02	3.48877e-02	1.11479	4.16447	3.47100e-05
2.48457e+02	3.87936e-02	9.66140e-02	0.97618	2.00316	3.47100e-05
3.72685e+02	3.87874e-02	4.75859e-02	1.85974	2.92860	3.47100e-05
4.96914e+02	3.87885e-02	6.34198e-02	0.07126	4.80975	3.47100e-05
6.21142e+02	3.86153e-02	8.01375e-02	2.94503	5.15995	3.47100e-05
7.45371e+02	3.87296e-02	9.50179e-02	4.15665	0.50458	3.47100e-05
8.69599e+02	3.87233e-02	6.75262e-02	0.19490	1.11966	3.47100e-05
9.93828e+02	3.87277e-02	6.73365e-02	3.25675	1.89842	3.47100e-05
1.11806e+03	3.87855e-02	2.99182e-03	3.22927	4.62324	3.47100e-05
1.24228e+03	3.86246e-02	5.44208e-02	3.83563	2.92778	3.47100e-05
1.36651e+03	3.85520e-02	6.07451e-02	2.58444	0.60076	3.47100e-05
1.49074e+03	3.86263e-02	6.45974e-02	0.30079	4.34170	3.47100e-05
1.61497e+03	3.86123e-02	5.93382e-02	2.18487	1.64959	3.47100e-05
1.73920e+03	3.85240e-02	7.05415e-02	0.10796	0.77795	3.47100e-05
1.86343e+03	3.87209e-02	1.14652e-01	1.23312	3.34935	3.47100e-05
1.98766e+03	3.86281e-02	4.51571e-02	2.76423	3.87590	3.47100e-05
2.11188e+03	3.86472e-02	8.11585e-02	6.20284	2.54965	3.47100e-05
2.23611e+03	3.86276e-02	1.12300e-01	1.80290	3.91101	3.47100e-05
2.36034e+03	3.86038e-02	2.80113e-02	3.16340	3.44356	3.47100e-05
2.48457e+03	3.85489e-02	3.05985e-02	2.71835	1.49194	3.47100e-05
2.60880e+03	3.86921e-02	7.66929e-02	3.25657	1.47818	3.47100e-05
2.73303e+03	3.85646e-02	1.12752e-01	3.60638	2.58504	3.47100e-05
2.85725e+03	3.85925e-02	1.00463e-01	1.08141	0.16388	3.47100e-05
2.98148e+03	3.87341e-02	9.46999e-02	2.08653	1.60062	3.47100e-05
3.10571e+03	3.86428e-02	5.69865e-02	6.14027	4.90771	3.47100e-05
3.22994e+03	3.85913e-02	1.07810e-01	3.86636	2.91960	3.47100e-05
3.35417e+03	3.86297e-02	8.93091e-02	0.31444	4.38713	3.47100e-05
3.47840e+03	3.84680e-02	1.55593e-02	5.21385	2.39720	3.47100e-05
3.60262e+03	3.86427e-02	5.53429e-02	3.68378	2.07809	3.47100e-05
3.72685e+03	3.86317e-02	6.12920e-02	3.95701	1.71196	3.47100e-05
