# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	4.69769e-02	4.49596e-02	5.61458	5.69100	4.41310e-05
1.24228e+02	4.69880e-02	6.27454e-02	4.05502	0.99790	4.41310e-05
2.48457e+02	4.70681e-02	2.15081e-02	3.68583	3.75732	4.41310e-05
3.72685e+02	4.70978e-02	8.38843e-02	0.10371	3.25114	4.41310e-05
4.96914e+02	4.70703e-02	6.81735e-02	4.09118	2.32474	4.41310e-05
6.21142e+02	4.68548e-02	2.87119e-02	2.67170	5.93336	4.41310e-05
7.45371e+02	4.69437e-02	5.08366e-02	0.69974	4.81655	4.41310e-05
8.69599e+02	4.69189e-02	9.24839e-02	1.05708	0.47805	4.41310e-05
9.93828e+02	4.70457e-02	6.17855e-02	2.62276	1.87012	4.41310e-05
1.11806e+03	4.68970e-02	1.26992e-01	1.99703	1.85987	4.41310e-05
1.24228e+03	4.68305e-02	5.38050e-02	3.95750	0.46508	4.41310e-05
1.36651e+03	4.70663e-02	6.18833e-02	5.69085	5.06422	4.41310e-05
1.49074e+03	4.69962e-02	4.54944e-02	1.77659	5.82393	4.41310e-05
1.61497e+03	4.70001e-02	9.02546e-02	0.66092	6.09551	4.41310e-05
1.73920e+03	4.68381e-02	5.01173e-02	2.98247	2.37955	4.41310e-05
1.86343e+03	4.69583e-02	7.18164e-02	3.61765	0.32094	4.41310e-05
1.98766e+03	4.69387e-02	5.12194e-02	1.21001	0.13340	4.41310e-05
2.11188e+03	4.68439e-02	3.97209e-02	5.63423	2.77186	4.41310e-05
2.23611e+03	4.68984e-02	2.57947e-02	3.23554	3.69250	4.41310e-05
2.36034e+03	4.68508e-02	8.95245e-02	5.87722	4.37877	4.41310e-05
2.48457e+03	4.68898e-02	3.23627e-02	3.00674	5.05495	4.41310e-05
2.60880e+03	4.67344e-02	3.51929e-02	4.77151	5.54565	4.41310e-05
2.73303e+03	4.69291e-02	1.40785e-02	3.37811	0.63975	4.41310e-05
2.85725e+03	4.69143e-02	8.47790e-02	1.92695	3.46718	4.41310e-05
2.98148e+03	4.68062e-02	5.64199e-02	2.30226	3.89369	4.41310e-05
3.10571e+03	4.68355e-02	7.51645e-02	6.17240	1.61566	4.41310e-05
3.22994e+03	4.67573e-02	2.45787e-02	2.73209	0.01796	4.41310e-05
3.35417e+03	4.67686e-02	6.53340e-02	1.64071	1.56195	4.41310e-05
3.47840e+03	4.68036e-02	1.55877e-02	4.67175	4.55212	4.41310e-05
3.60262e+03	4.67490e-02	5.25610e-02	2.87804	5.11954	4.41310e-05
3.72685e+03	4.66997e-02	3.07841e-02	0.30841	2.77208	4.41310e-05
3.85108e+03	4.66704e-02	6.40015e-02	5.79201	0.55689	4.41310e-05
3.97531e+03	4.67561e-02	7.29663e-02	4.32322	2.49902	4.41310e-05
4.09954e+03	4.68345e-02	5.35390e-02	5.55407	4.86438	4.41310e-05
4.22377e+03	4.67495e-02	4.87259e-03	5.27795	2.50953	4.41310e-05
4.34800e+03	4.68662e-02	5.59749e-02	1.66984	2.53934	4.41310e-05
4.47222e+03	4.67144e-02	2.67637e-02	5.77619	4.40688	4.41310e-05
4.59645e+03	4.68008e-02	9.40206e-02	5.40939	0.72267	4.41310e-05
4.72068e+03	4.67038e-02	4.39504e-02	5.79176	1.67017	4.41310e-05
4.84491e+03	4.66120e-02	6.94506e-02	2.97799	2.65763	4.41310e-05
4.96914e+03	4.66200e-02	1.35354e-02	6.26038	1.11472	4.41310e-05
5.09337e+03	4.66211e-02	2.05613e-02	2.44040	3.29606	4.41310e-05
5.21759e+03	4.65818e-02	6.88570e-02	0.47500	3.75308	4.41310e-05
5.34182e+03	4.66074e-02	6.43040e-02	5.32959	4.04190	4.41310e-05
5.46605e+03	4.66449e-02	3.41493e-02	0.99727	3.29098	4.41310e-05
5.59028e+03	4.67123e-02	3.32987e-02	2.16693	3.05776	4.41310e-05
