# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	6.22393e-02	0.00000e+00	0.00000	0.00000	1.08910e-05
1.24228e+02	6.21999e-02	7.34570e-02	2.50022	0.68651	1.08910e-05
2.48457e+02	6.19834e-02	1.67358e-02	1.34101	4.53639	1.08910e-05
3.72685e+02	6.17374e-02	4.86934e-02	3.57091	5.70243	1.08910e-05
4.96914e+02	6.23486e-02	4.86278e-02	3.71277	0.98497	1.08910e-05
6.21142e+02	6.23012e-02	7.57050e-02	5.88011	4.89339	1.08910e-05
7.45371e+02	6.20693e-02	2.60732e-02	1.87851	2.88805	1.08910e-05
8.69599e+02	6.14621e-02	8.53122e-02	5.62783	1.84496	1.08910e-05
9.93828e+02	6.11724e-02	3.85859e-02	4.20949	1.49975	1.08910e-05
1.11806e+03	6.17465e-02	8.25349e-02	4.83184	2.62433	1.08910e-05
1.24228e+03	6.13874e-02	1.07256e-01	4.28722	2.40554	1.08910e-05
1.36651e+03	6.15633e-02	8.79559e-02	1.20879	0.03725	1.08910e-05
1.49074e+03	6.17526e-02	8.49662e-02	2.65518	5.59360	1.08910e-05
1.61497e+03	6.16883e-02	8.24482e-02	6.13848	2.62981	1.08910e-05
1.73920e+03	6.10286e-02	7.42329e-02	3.11579	1.36565	1.08910e-05
1.86343e+03	6.15024e-02	1.02803e-01	1.49080	0.68740	1.08910e-05
1.98766e+03	6.17701e-02	1.10328e-01	5.96942	2.01817	1.08910e-05
2.11188e+03	6.17160e-02	1.40352e-01	4.46887	3.31935	1.08910e-05
2.23611e+03	6.12218e-02	6.19170e-03	5.28581	5.48505	1.08910e-05
2.36034e+03	6.14649e-02	3.29489e-02	2.35477	4.02362	1.08910e-05
2.48457e+03	6.15613e-02	1.08531e-01	1.52190	2.09464	1.08910e-05
2.60880e+03	6.12668e-02	8.24513e-02	0.24256	0.91193	1.08910e-05
2.73303e+03	6.14891e-02	8.87919e-02	0.20380	5.29248	1.08910e-05
2.85725e+03	6.12918e-02	3.97409e-02	4.08710	3.20986	1.08910e-05
2.98148e+03	6.18165e-02	8.86222e-02	4.61513	0.75278	1.08910e-05
3.10571e+03	6.10075e-02	1.18064e-01	5.38805	2.87613	1.08910e-05
3.22994e+03	6.15609e-02	1.33088e-01	0.34586	4.41255	1.08910e-05
3.35417e+03	6.14724e-02	7.70312e-02	3.05715	2.86394	1.08910e-05
3.47840e+03	6.13823e-02	1.79590e-01	3.16240	5.91540	1.08910e-05
3.60262e+03	6.13696e-02	9.38124e-02	2.81462	5.38336	1.08910e-05
3.72685e+03	6.11365e-02	4.73175e-02	5.81215	2.39285	1.08910e-05
3.85108e+03	6.10809e-02	8.60784e-02	5.36017	3.16848	1.08910e-05
3.97531e+03	6.12415e-02	1.29000e-01	3.96637	5.30742	1.08910e-05
4.09954e+03	6.16143e-02	1.49553e-01	5.35898	0.44146	1.08910e-05
4.22377e+03	6.13109e-02	1.57918e-01	2.20949	3.93069	1.08910e-05
4.34800e+03	6.10199e-02	1.04020e-01	5.96680	4.13199	1.08910e-05
4.47222e+03	6.13187e-02	8.84278e-02	6.01782	0.41174	1.08910e-05
4.59645e+03	6.12798e-02	6.26748e-02	3.33473	4.93392	1.08910e-05
4.72068e+03	6.13420e-02	7.32412e-02	1.28629	6.23457	1.08910e-05
4.84491e+03	6.12993e-02	3.51765e-02	3.16596	0.97197	1.08910e-05
4.96914e+03	6.10023e-02	7.73275e-02	4.85272	0.90466	1.08910e-05
5.09337e+03	6.12989e-02	5.35767e-02	1.08034	2.21595	1.08910e-05
5.21759e+03	6.12198e-02	2.23722e-03	5.66053	4.47626	1.08910e-05
5.34182e+03	6.12510e-02	5.65430e-02	0.30498	3.60785	1.08910e-05
5.46605e+03	6.13600e-02	1.35671e-01	5.48421	0.14602	1.08910e-05
5.59028e+03	6.13138e-02	4.84556e-02	4.77456	2.71289	1.08910e-05
5.71451e+03	6.12546e-02	1.67699e-02	2.49161	5.52662	1.08910e-05
5.83874e+03	6.12289e-02	4.98436e-02	0.49901	5.19404	1.08910e-05
5.96297e+03	6.12370e-02	7.80323e-02	4.32131	5.34311	1.08910e-05
6.08719e+03	6.11181e-02	3.12639e-02	2.60335	6.06525	1.08910e-05
6.21142e+03	6.08885e-02	6.79132e-02	4.08025	0.81234	1.08910e-05
6.33565e+03	6.10490e-02	6.22316e-02	5.50954	6.01073	1.08910e-05
6.45988e+03	6.10792e-02	8.94131e-02	5.73456	2.35200	1.08910e-05
6.58411e+03	6.13273e-02	6.74134e-02	0.09716	6.10453	1.08910e-05
6.70834e+03	6.10182e-02	4.16576e-02	4.96301	5.19771	1.08910e-05
6.83256e+03	6.10933e-02	5.53705e-02	0.70080	5.90854	1.08910e-05
6.95679e+03	6.09507e-02	5.82695e-02	3.24209	3.84018	1.08910e-05
7.08102e+03	6.11480e-02	8.72268e-02	3.61967	0.26138	1.08910e-05
7.20525e+03	6.10114e-02	4.05823e-02	0.05476	0.54652	1.08910e-05
7.32948e+03	6.12028e-02	7.31952e-02	6.12122	2.68963	1.08910e-05
7.45371e+03	6.08276e-02	5.70695e-02	2.65334	1.52790	1.08910e-05
7.57794e+03	6.12273e-02	4.36112e-02	2.74158	5.60973	1.08910e-05
7.70216e+03	6.09727e-02	3.40698e-02	2.63788	6.27007	1.08910e-05
7.82639e+03	6.10047e-02	3.62786e-02	4.96669	5.31160	1.08910e-05
7.95062e+03	6.09897e-02	3.80480e-02	2.09937	3.40832	1.08910e-05
8.07485e+03	6.10102e-02	9.17896e-02	4.35946	0.83891	1.08910e-05
8.19908e+03	6.11136e-02	8.94872e-02	4.02499	3.47384	1.08910e-05
8.32331e+03	6.11089e-02	8.01341e-02	4.36497	1.16184	1.08910e-05
8.44753e+03	6.09440e-02	7.08202e-02	5.39264	3.24761	1.08910e-05
8.57176e+03	6.09059e-02	4.75484e-02	1.75320	2.11142	1.08910e-05
8.69599e+03	6.10134e-02	4.19412e-02	1.62958	5.81852	1.08910e-05
8.82022e+03	6.10537e-02	5.53089e-02	5.22228	3.45669	1.08910e-05
8.94445e+03	6.09994e-02	4.59878e-02	2.68289	0.03644	1.08910e-05
9.06868e+03	6.09907e-02	4.38425e-02	2.70208	4.51565	1.08910e-05
9.19291e+03	6.08863e-02	1.35276e-02	4.28736	3.34987	1.08910e-05
9.31713e+03	6.10057e-02	5.36112e-02	4.85604	5.51147	1.08910e-05
9.44136e+03	6.10263e-02	2.51903e-02	0.96180	4.03704	1.08910e-05
9.56559e+03	6.10085e-02	5.25509e-02	4.89557	5.84349	1.08910e-05
9.68982e+03	6.08928e-02	1.52068e-02	2.71842	2.60401	1.08910e-05
9.81405e+03	6.10610e-02	5.13979e-02	5.08411	3.39352	1.08910e-05
9.93828e+03	6.09520e-02	7.11341e-02	3.33574	0.46109	1.08910e-05
1.00625e+04	6.09801e-02	7.02770e-02	5.73148	2.66784	1.08910e-05
1.01867e+04	6.08054e-02	5.74943e-02	1.30359	0.50055	1.08910e-05
1.03110e+04	6.09505e-02	6.09601e-02	4.28686	4.92131	1.08910e-05
1.04352e+04	6.10043e-02	5.79632e-02	3.19669	2.72943	1.08910e-05
1.05594e+04	6.09751e-02	2.76066e-02	2.00016	1.44799	1.08910e-05
1.06836e+04	6.09626e-02	9.06489e-03	3.68859	6.20329	1.08910e-05
1.08079e+04	6.09558e-02	2.73877e-02	1.35928	3.04341	1.08910e-05
1.09321e+04	6.09163e-02	4.15580e-02	6.22963	0.42441	1.08910e-05
1.10563e+04	6.09685e-02	2.80973e-02	5.81591	3.82176	1.08910e-05
1.11806e+04	6.10228e-02	5.34891e-02	2.93508	1.75276	1.08910e-05
