# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.16084e-02	4.97314e-04	0.81022	5.20531	4.59020e-05
1.55286e+03	1.16097e-02	5.18628e-04	1.36621	0.93446	4.59020e-05
3.10571e+03	1.16080e-02	4.80348e-04	2.91571	2.03904	4.59020e-05
4.65857e+03	1.16088e-02	6.82524e-04	4.20704	3.55246	4.59020e-05
6.21142e+03	1.16086e-02	3.49110e-04	6.07752	4.67820	4.59020e-05
7.76428e+03	1.16081e-02	1.24787e-03	4.31872	3.37151	4.59020e-05
9.31713e+03	1.16115e-02	8.23921e-04	5.41623	5.73239	4.59020e-05
1.08700e+04	1.16078e-02	1.06366e-03	0.82626	1.46827	4.59020e-05
1.24228e+04	1.16086e-02	7.62841e-04	0.33687	5.93487	4.59020e-05
1.39757e+04	1.16092e-02	1.01414e-03	3.39627	0.84309	4.59020e-05
1.55286e+04	1.16088e-02	1.17717e-04	0.99133	1.50065	4.59020e-05
1.70814e+04	1.16083e-02	4.46229e-04	5.60934	1.71097	4.59020e-05
1.86343e+04	1.16080e-02	7.69255e-04	5.26904	0.90149	4.59020e-05
2.01871e+04	1.16078e-02	1.07189e-03	3.59138	1.74135	4.59020e-05
2.17400e+04	1.16079e-02	6.37164e-04	5.34667	5.75780	4.59020e-05
2.32928e+04	1.16081e-02	9.58390e-04	3.71903	0.99613	4.59020e-05
2.48457e+04	1.16079e-02	2.69513e-04	2.15162	2.74015	4.59020e-05
2.63985e+04	1.16078e-02	4.50858e-04	3.92755	1.36819	4.59020e-05
2.79514e+04	1.16081e-02	8.51241e-04	5.97294	0.10864	4.59020e-05
2.95043e+04	1.16086e-02	1.11682e-03	0.11569	0.86360	4.59020e-05
3.10571e+04	1.16089e-02	8.16453e-04	3.83932	5.01584	4.59020e-05
3.26100e+04	1.16087e-02	8.53797e-04	5.37251	5.50185	4.59020e-05
3.41628e+04	1.16078e-02	7.23493e-04	2.17067	4.88483	4.59020e-05
3.57157e+04	1.16114e-02	1.05318e-03	1.83883	1.85619	4.59020e-05
3.72685e+04	1.16081e-02	5.31216e-04	4.82514	2.26743	4.59020e-05
3.88214e+04	1.16089e-02	7.44951e-04	4.39600	0.30226	4.59020e-05
4.03742e+04	1.16082e-02	9.99169e-04	3.75352	5.34132	4.59020e-05
4.19271e+04	1.16078e-02	3.80289e-04	5.97153	1.75931	4.59020e-05
4.34800e+04	1.16088e-02	9.87060e-04	4.69852	2.20835	4.59020e-05
4.50328e+04	1.16105e-02	4.43989e-04	5.54493	1.09308	4.59020e-05
4.65857e+04	1.16091e-02	1.05644e-03	3.39419	3.54722	4.59020e-05
4.81385e+04	1.16117e-02	3.64279e-04	1.43709	0.10877	4.59020e-05
4.96914e+04	1.16089e-02	1.25395e-03	4.73833	4.58030	4.59020e-05
5.12442e+04	1.16079e-02	4.02569e-04	4.56220	0.57607	4.59020e-05
5.27971e+04	1.16079e-02	4.36122e-04	2.03166	5.83903	4.59020e-05
5.43499e+04	1.16089e-02	7.13341e-04	4.05682	0.90444	4.59020e-05
5.59028e+04	1.16078e-02	6.02143e-04	3.81583	5.10233	4.59020e-05
5.74557e+04	1.16107e-02	5.50641e-04	0.85506	0.19165	4.59020e-05
5.90085e+04	1.16078e-02	4.95063e-04	1.69979	4.71746	4.59020e-05
6.05614e+04	1.16087e-02	1.06488e-03	5.61893	0.57605	4.59020e-05
6.21142e+04	1.16088e-02	6.95048e-04	4.43124	2.24006	4.59020e-05
6.36671e+04	1.16089e-02	1.01775e-03	2.23133	5.62623	4.59020e-05
6.52199e+04	1.16091e-02	7.86811e-04	3.61067	6.15152	4.59020e-05
6.67728e+04	1.16088e-02	3.62636e-04	6.26092	6.13517	4.59020e-05
6.83256e+04	1.16084e-02	9.67058e-04	5.97160	3.51068	4.59020e-05
6.98785e+04	1.16080e-02	8.60673e-04	2.50049	4.81418	4.59020e-05
7.14314e+04	1.16103e-02	6.02288e-04	2.56654	3.33136	4.59020e-05
7.29842e+04	1.16083e-02	6.62291e-04	0.05556	5.18632	4.59020e-05
7.45371e+04	1.16086e-02	6.44428e-04	4.29035	1.06206	4.59020e-05
7.60899e+04	1.16121e-02	5.81313e-04	6.16644	0.06876	4.59020e-05
7.76428e+04	1.16088e-02	6.62215e-04	1.29190	0.32138	4.59020e-05
