# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.58850e-02	4.20561e-03	0.56413	3.49702	4.36970e-05
1.55286e+03	1.58865e-02	2.88791e-03	2.05143	6.13733	4.36970e-05
3.10571e+03	1.58875e-02	2.72091e-03	3.74568	2.33694	4.36970e-05
4.65857e+03	1.58825e-02	3.91346e-03	5.15735	5.19216	4.36970e-05
6.21142e+03	1.58835e-02	3.58954e-03	1.03215	1.13058	4.36970e-05
7.76428e+03	1.58876e-02	2.69041e-03	3.04807	3.62258	4.36970e-05
9.31713e+03	1.58844e-02	2.25510e-03	5.06206	6.25424	4.36970e-05
1.08700e+04	1.58873e-02	3.47694e-03	1.23116	2.31085	4.36970e-05
1.24228e+04	1.58844e-02	3.31664e-03	4.03966	4.44562	4.36970e-05
1.39757e+04	1.58823e-02	2.60898e-03	0.70409	0.31350	4.36970e-05
1.55286e+04	1.58828e-02	3.69165e-03	3.26976	3.00615	4.36970e-05
1.70814e+04	1.58852e-02	4.02131e-03	0.43616	4.98033	4.36970e-05
1.86343e+04	1.58868e-02	2.91436e-03	3.71267	1.01413	4.36970e-05
2.01871e+04	1.58888e-02	3.06677e-03	0.85444	3.35823	4.36970e-05
2.17400e+04	1.58877e-02	3.71938e-03	5.01396	5.14968	4.36970e-05
2.32928e+04	1.58877e-02	2.29375e-03	3.20594	0.57420	4.36970e-05
2.48457e+04	1.58887e-02	3.48845e-03	0.84467	2.98813	4.36970e-05
2.63985e+04	1.58872e-02	4.09340e-03	5.69380	4.59224	4.36970e-05
2.79514e+04	1.58861e-02	2.79300e-03	4.09899	0.28591	4.36970e-05
2.95043e+04	1.58837e-02	3.13868e-03	2.89901	2.08987	4.36970e-05
3.10571e+04	1.58818e-02	3.51546e-03	2.32221	3.50263	4.36970e-05
3.26100e+04	1.58835e-02	2.94857e-03	1.86446	5.03485	4.36970e-05
3.41628e+04	1.58874e-02	3.72282e-03	1.25457	0.68352	4.36970e-05
3.57157e+04	1.58844e-02	2.86277e-03	1.67434	1.84551	4.36970e-05
3.72685e+04	1.58863e-02	2.92398e-03	2.06436	3.30416	4.36970e-05
3.88214e+04	1.58822e-02	4.01809e-03	3.03060	4.46261	4.36970e-05
4.03742e+04	1.58878e-02	2.63701e-03	4.17369	5.72800	4.36970e-05
4.19271e+04	1.58869e-02	3.41247e-03	5.87649	0.44862	4.36970e-05
4.34800e+04	1.58832e-02	2.84096e-03	1.55364	1.49896	4.36970e-05
4.50328e+04	1.58857e-02	3.93365e-03	3.87594	2.50077	4.36970e-05
4.65857e+04	1.58821e-02	2.03570e-03	0.54988	3.19120	4.36970e-05
4.81385e+04	1.58841e-02	4.02321e-03	3.57736	4.14440	4.36970e-05
4.96914e+04	1.58826e-02	2.62341e-03	1.00063	4.75715	4.36970e-05
5.12442e+04	1.58877e-02	3.76726e-03	5.28669	5.14194	4.36970e-05
5.27971e+04	1.58871e-02	2.46203e-03	3.25878	5.91205	4.36970e-05
5.43499e+04	1.58818e-02	3.59062e-03	2.17265	6.10699	4.36970e-05
5.59028e+04	1.58885e-02	3.68208e-03	1.09221	0.34246	4.36970e-05
5.74557e+04	1.58854e-02	3.06678e-03	1.10079	0.19307	4.36970e-05
5.90085e+04	1.58868e-02	3.65462e-03	0.97745	0.56434	4.36970e-05
6.05614e+04	1.58837e-02	2.22877e-03	1.67987	0.50147	4.36970e-05
6.21142e+04	1.58821e-02	4.04853e-03	2.97118	0.25068	4.36970e-05
6.36671e+04	1.58819e-02	3.43764e-03	4.35063	0.31546	4.36970e-05
6.52199e+04	1.58822e-02	2.91723e-03	0.57114	5.95190	4.36970e-05
6.67728e+04	1.58826e-02	3.54720e-03	3.31210	5.48374	4.36970e-05
6.83256e+04	1.58843e-02	3.65668e-03	6.25426	5.23595	4.36970e-05
6.98785e+04	1.58875e-02	2.20688e-03	4.02741	4.30052	4.36970e-05
7.14314e+04	1.58857e-02	2.48665e-03	1.88215	3.71478	4.36970e-05
7.29842e+04	1.58850e-02	3.77834e-03	0.48470	2.81705	4.36970e-05
7.45371e+04	1.58829e-02	3.02277e-03	5.59678	2.13143	4.36970e-05
7.60899e+04	1.58836e-02	2.67300e-03	5.19672	1.11795	4.36970e-05
7.76428e+04	1.58830e-02	2.52494e-03	5.68548	5.94720	4.36970e-05
