# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.23434e-02	3.37517e-02	5.34872	0.40543	1.29620e-05
1.55286e+03	2.23375e-02	3.31874e-02	3.79804	2.93361	1.29620e-05
3.10571e+03	2.23323e-02	3.30302e-02	2.25631	5.48257	1.29620e-05
4.65857e+03	2.23439e-02	3.35022e-02	0.80689	1.70197	1.29620e-05
6.21142e+03	2.23437e-02	3.38366e-02	5.71124	4.19314	1.29620e-05
7.76428e+03	2.23338e-02	3.29172e-02	4.41528	0.38548	1.29620e-05
9.31713e+03	2.23411e-02	3.28545e-02	3.21271	2.83665	1.29620e-05
1.08700e+04	2.23392e-02	3.33836e-02	2.13371	5.23825	1.29620e-05
1.24228e+04	2.23378e-02	3.37674e-02	1.17360	1.31233	1.29620e-05
1.39757e+04	2.23367e-02	3.31905e-02	0.30815	3.65098	1.29620e-05
1.55286e+04	2.23409e-02	3.36762e-02	5.88501	5.91118	1.29620e-05
1.70814e+04	2.23432e-02	3.38456e-02	5.30001	1.84402	1.29620e-05
1.86343e+04	2.23327e-02	3.30621e-02	4.84363	4.01287	1.29620e-05
2.01871e+04	2.23402e-02	3.32960e-02	4.51316	6.13956	1.29620e-05
2.17400e+04	2.23370e-02	3.34723e-02	4.34145	1.90879	1.29620e-05
2.32928e+04	2.23342e-02	3.31642e-02	4.31966	3.92723	1.29620e-05
2.48457e+04	2.23399e-02	3.28491e-02	4.44578	5.86617	1.29620e-05
2.63985e+04	2.23395e-02	3.34256e-02	4.68120	1.45539	1.29620e-05
2.79514e+04	2.23326e-02	3.30041e-02	5.08829	3.25891	1.29620e-05
2.95043e+04	2.23401e-02	3.38413e-02	5.65426	5.00785	1.29620e-05
3.10571e+04	2.23416e-02	3.40323e-02	0.14182	0.37604	1.29620e-05
3.26100e+04	2.23336e-02	3.28852e-02	1.07473	1.98233	1.29620e-05
3.41628e+04	2.23369e-02	3.34314e-02	2.23406	3.48163	1.29620e-05
3.57157e+04	2.23409e-02	3.27823e-02	3.57896	4.91755	1.29620e-05
3.72685e+04	2.23388e-02	3.34771e-02	5.10034	0.02118	1.29620e-05
3.88214e+04	2.23392e-02	3.35226e-02	0.59458	1.28497	1.29620e-05
4.03742e+04	2.23346e-02	3.30264e-02	2.57079	2.49104	1.29620e-05
4.19271e+04	2.23403e-02	3.39190e-02	4.80088	3.58432	1.29620e-05
4.34800e+04	2.23342e-02	3.29209e-02	0.95980	4.61418	1.29620e-05
4.50328e+04	2.23315e-02	3.34903e-02	3.65607	5.54416	1.29620e-05
4.65857e+04	2.23358e-02	3.31153e-02	0.29830	0.11789	1.29620e-05
4.81385e+04	2.23307e-02	3.35431e-02	3.49497	0.86744	1.29620e-05
4.96914e+04	2.23367e-02	3.30357e-02	0.65706	1.53675	1.29620e-05
5.12442e+04	2.23368e-02	3.37262e-02	4.37884	2.09930	1.29620e-05
5.27971e+04	2.23315e-02	3.30987e-02	2.09345	2.56498	1.29620e-05
5.43499e+04	2.23412e-02	3.36404e-02	0.07912	2.93828	1.29620e-05
5.59028e+04	2.23389e-02	3.27787e-02	4.58481	3.23511	1.29620e-05
5.74557e+04	2.23428e-02	3.29116e-02	3.13923	3.41229	1.29620e-05
5.90085e+04	2.23389e-02	3.35631e-02	1.97742	3.49906	1.29620e-05
6.05614e+04	2.23334e-02	3.31538e-02	1.12305	3.47592	1.29620e-05
6.21142e+04	2.23388e-02	3.33464e-02	0.56436	3.35446	1.29620e-05
6.36671e+04	2.23431e-02	3.34355e-02	0.29553	3.14792	1.29620e-05
6.52199e+04	2.23365e-02	3.28769e-02	0.33350	2.83844	1.29620e-05
6.67728e+04	2.23384e-02	3.37615e-02	0.70707	2.40153	1.29620e-05
6.83256e+04	2.23421e-02	3.33498e-02	1.38043	1.87914	1.29620e-05
6.98785e+04	2.23338e-02	3.29209e-02	2.36017	1.26259	1.29620e-05
7.14314e+04	2.23384e-02	3.30982e-02	3.69563	0.50994	1.29620e-05
7.29842e+04	2.23432e-02	3.38334e-02	5.33725	5.95073	1.29620e-05
7.45371e+04	2.23435e-02	3.37140e-02	1.01225	5.01361	1.29620e-05
7.60899e+04	2.23416e-02	3.25192e-02	3.30340	3.96932	1.29620e-05
7.76428e+04	2.23358e-02	3.30620e-02	5.93054	2.81129	1.29620e-05
