# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.92838e-02	3.99842e-02	0.48912	3.47496	2.31180e-05
1.55286e+03	2.92818e-02	3.94741e-02	3.63655	6.01404	2.31180e-05
3.10571e+03	2.92814e-02	3.98973e-02	0.53043	2.25734	2.31180e-05
4.65857e+03	2.92825e-02	3.99248e-02	3.75001	4.76657	2.31180e-05
6.21142e+03	2.92801e-02	3.99092e-02	0.73190	0.98163	2.31180e-05
7.76428e+03	2.92898e-02	3.96956e-02	4.05982	3.45051	2.31180e-05
9.31713e+03	2.92773e-02	3.98188e-02	1.16653	5.89555	2.31180e-05
1.08700e+04	2.92759e-02	3.99448e-02	4.63674	2.01443	2.31180e-05
1.24228e+04	2.92824e-02	3.97618e-02	1.90150	4.37355	2.31180e-05
1.39757e+04	2.92818e-02	4.00841e-02	5.53306	0.40485	2.31180e-05
1.55286e+04	2.92804e-02	3.99822e-02	2.94693	2.68871	2.31180e-05
1.70814e+04	2.92844e-02	3.99281e-02	0.45594	4.91470	2.31180e-05
1.86343e+04	2.92857e-02	3.96324e-02	4.34020	0.80228	2.31180e-05
2.01871e+04	2.92910e-02	3.98269e-02	2.02427	2.92724	2.31180e-05
2.17400e+04	2.92923e-02	4.03585e-02	6.10619	4.97555	2.31180e-05
2.32928e+04	2.92895e-02	3.95845e-02	4.00661	0.69655	2.31180e-05
2.48457e+04	2.92901e-02	3.97234e-02	1.97347	2.65720	2.31180e-05
2.63985e+04	2.92961e-02	4.02114e-02	0.05249	4.51485	2.31180e-05
2.79514e+04	2.92827e-02	3.99171e-02	4.51434	0.03385	2.31180e-05
2.95043e+04	2.92815e-02	3.99226e-02	2.79850	1.77846	2.31180e-05
3.10571e+04	2.92795e-02	3.96968e-02	1.20367	3.44949	2.31180e-05
3.26100e+04	2.92880e-02	4.00523e-02	6.02620	5.03988	2.31180e-05
3.41628e+04	2.92744e-02	4.00440e-02	4.69632	0.26928	2.31180e-05
3.57157e+04	2.92812e-02	3.97776e-02	3.49039	1.71426	2.31180e-05
3.72685e+04	2.92850e-02	3.95765e-02	2.42556	3.07775	2.31180e-05
3.88214e+04	2.92841e-02	3.98717e-02	1.51279	4.34952	2.31180e-05
4.03742e+04	2.92732e-02	3.99106e-02	0.74768	5.53982	2.31180e-05
4.19271e+04	2.92914e-02	4.00636e-02	0.12456	0.37079	2.31180e-05
4.34800e+04	2.92878e-02	3.99747e-02	5.94442	1.39629	2.31180e-05
4.50328e+04	2.92864e-02	4.01474e-02	5.65768	2.31668	2.31180e-05
4.65857e+04	2.92841e-02	3.98466e-02	5.51064	3.17338	2.31180e-05
4.81385e+04	2.92860e-02	3.98293e-02	5.54587	3.92604	2.31180e-05
4.96914e+04	2.92839e-02	4.01223e-02	5.75595	4.58477	2.31180e-05
5.12442e+04	2.92940e-02	4.01877e-02	6.13788	5.15478	2.31180e-05
5.27971e+04	2.92828e-02	3.97664e-02	0.41152	5.63665	2.31180e-05
5.43499e+04	2.92799e-02	3.98748e-02	1.16474	6.00963	2.31180e-05
5.59028e+04	2.92897e-02	3.96735e-02	2.06923	0.02231	2.31180e-05
5.74557e+04	2.92720e-02	3.99506e-02	3.21546	0.18677	2.31180e-05
5.90085e+04	2.92795e-02	3.99701e-02	4.53378	0.27515	2.31180e-05
6.05614e+04	2.92880e-02	3.98749e-02	6.04909	0.26293	2.31180e-05
6.21142e+04	2.92824e-02	3.98865e-02	1.48560	0.14561	2.31180e-05
6.36671e+04	2.92797e-02	3.96850e-02	3.40652	6.21249	2.31180e-05
6.52199e+04	2.92818e-02	4.00467e-02	5.54256	5.88363	2.31180e-05
6.67728e+04	2.92818e-02	3.96708e-02	1.58316	5.47195	2.31180e-05
6.83256e+04	2.92816e-02	3.99449e-02	4.14351	4.93100	2.31180e-05
6.98785e+04	2.92744e-02	3.96082e-02	0.60501	4.31338	2.31180e-05
7.14314e+04	2.92800e-02	3.96037e-02	3.58185	3.57294	2.31180e-05
7.29842e+04	2.92838e-02	3.97676e-02	0.47831	2.74136	2.31180e-05
7.45371e+04	2.92827e-02	3.97527e-02	3.89668	1.78401	2.31180e-05
7.60899e+04	2.92783e-02	3.97672e-02	1.22384	0.74757	2.31180e-05
7.76428e+04	2.92782e-02	3.98634e-02	5.07928	5.86495	2.31180e-05
