# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	3.83991e-02	3.96026e-02	4.91024	1.19930	3.47100e-05
1.55286e+03	3.83868e-02	3.97002e-02	0.72033	3.74262	3.47100e-05
3.10571e+03	3.83827e-02	3.98236e-02	2.83236	6.27640	3.47100e-05
4.65857e+03	3.83956e-02	3.97941e-02	4.97686	2.50747	3.47100e-05
6.21142e+03	3.83817e-02	3.96516e-02	0.86197	5.01251	3.47100e-05
7.76428e+03	3.83747e-02	3.96768e-02	3.07901	1.20139	3.47100e-05
9.31713e+03	3.83901e-02	3.95123e-02	5.34144	3.64151	3.47100e-05
1.08700e+04	3.84026e-02	3.95659e-02	1.38837	6.02394	3.47100e-05
1.24228e+04	3.83894e-02	3.96388e-02	3.76858	2.08797	3.47100e-05
1.39757e+04	3.83927e-02	3.99285e-02	6.17607	4.41755	3.47100e-05
1.55286e+04	3.83862e-02	3.97185e-02	2.35696	0.41649	3.47100e-05
1.70814e+04	3.83986e-02	3.96104e-02	4.88693	2.64062	3.47100e-05
1.86343e+04	3.84057e-02	3.98652e-02	1.17410	4.83106	3.47100e-05
2.01871e+04	3.84070e-02	3.93874e-02	3.83876	0.65166	3.47100e-05
2.17400e+04	3.83909e-02	3.97332e-02	0.25055	2.73110	3.47100e-05
2.32928e+04	3.83748e-02	3.96929e-02	3.04148	4.73305	3.47100e-05
2.48457e+04	3.84073e-02	3.96086e-02	5.89839	0.37958	3.47100e-05
2.63985e+04	3.84030e-02	3.93261e-02	2.52085	2.24323	3.47100e-05
2.79514e+04	3.83871e-02	3.98275e-02	5.50039	4.04364	3.47100e-05
2.95043e+04	3.83842e-02	3.97530e-02	2.25582	5.79207	3.47100e-05
3.10571e+04	3.83961e-02	3.97521e-02	5.38376	1.17695	3.47100e-05
3.26100e+04	3.83996e-02	3.95094e-02	2.30018	2.78249	3.47100e-05
3.41628e+04	3.83846e-02	3.96189e-02	5.60275	4.29676	3.47100e-05
3.57157e+04	3.83875e-02	3.93071e-02	2.70429	5.74118	3.47100e-05
3.72685e+04	3.84250e-02	4.00394e-02	6.19403	0.80809	3.47100e-05
3.88214e+04	3.83908e-02	3.95040e-02	3.50898	2.06357	3.47100e-05
4.03742e+04	3.83970e-02	3.99485e-02	0.88657	3.27332	3.47100e-05
4.19271e+04	3.83897e-02	3.95353e-02	4.66000	4.38654	3.47100e-05
4.34800e+04	3.83996e-02	3.95301e-02	2.24666	5.42037	3.47100e-05
4.50328e+04	3.84035e-02	4.00163e-02	6.23508	0.07280	3.47100e-05
4.65857e+04	3.83875e-02	3.94129e-02	4.04739	0.92200	3.47100e-05
4.81385e+04	3.83901e-02	3.96896e-02	1.99770	1.65087	3.47100e-05
4.96914e+04	3.83909e-02	3.98374e-02	0.04166	2.31409	3.47100e-05
5.12442e+04	3.83817e-02	3.95841e-02	4.47233	2.89677	3.47100e-05
5.27971e+04	3.83854e-02	3.97287e-02	2.75595	3.36882	3.47100e-05
5.43499e+04	3.83866e-02	3.95869e-02	1.14961	3.75817	3.47100e-05
5.59028e+04	3.84120e-02	3.96560e-02	5.96172	4.02880	3.47100e-05
5.74557e+04	3.83931e-02	3.95255e-02	4.64150	4.18804	3.47100e-05
5.90085e+04	3.83956e-02	3.93997e-02	3.41110	4.29021	3.47100e-05
6.05614e+04	3.83995e-02	3.94998e-02	2.31719	4.28646	3.47100e-05
6.21142e+04	3.83845e-02	3.94992e-02	1.36580	4.17392	3.47100e-05
6.36671e+04	3.84158e-02	3.98113e-02	0.56569	3.94180	3.47100e-05
6.52199e+04	3.83926e-02	3.98497e-02	6.18412	3.61117	3.47100e-05
6.67728e+04	3.83966e-02	3.96840e-02	5.63552	3.19983	3.47100e-05
6.83256e+04	3.83876e-02	3.96855e-02	5.22891	2.68303	3.47100e-05
6.98785e+04	3.84030e-02	3.95040e-02	4.97392	2.05293	3.47100e-05
7.14314e+04	3.84030e-02	3.96846e-02	4.89204	1.28507	3.47100e-05
7.29842e+04	3.83989e-02	3.95584e-02	4.90331	0.46566	3.47100e-05
7.45371e+04	3.83931e-02	3.97423e-02	5.06922	5.81421	3.47100e-05
7.60899e+04	3.83891e-02	3.93773e-02	5.38050	4.77569	3.47100e-05
7.76428e+04	3.83884e-02	3.97486e-02	5.87871	3.58843	3.47100e-05
