# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	4.65344e-02	2.43498e-02	5.09043	4.55042	4.41310e-05
1.55286e+03	4.65469e-02	2.44524e-02	0.37007	0.81641	4.41310e-05
3.10571e+03	4.65447e-02	2.40269e-02	1.95000	3.35286	4.41310e-05
4.65857e+03	4.65478e-02	2.38162e-02	3.56382	5.86174	4.41310e-05
6.21142e+03	4.65410e-02	2.41955e-02	5.19499	2.07633	4.41310e-05
7.76428e+03	4.65392e-02	2.41091e-02	0.56614	4.55513	4.41310e-05
9.31713e+03	4.65277e-02	2.39981e-02	2.27337	0.70085	4.41310e-05
1.08700e+04	4.65390e-02	2.40123e-02	4.04152	3.07147	4.41310e-05
1.24228e+04	4.65435e-02	2.42065e-02	5.80665	5.44185	4.41310e-05
1.39757e+04	4.65417e-02	2.40391e-02	1.32816	1.48637	4.41310e-05
1.55286e+04	4.65438e-02	2.38801e-02	3.18201	3.76010	4.41310e-05
1.70814e+04	4.65354e-02	2.43350e-02	5.07401	5.99032	4.41310e-05
1.86343e+04	4.65209e-02	2.40486e-02	0.73198	1.87985	4.41310e-05
2.01871e+04	4.65295e-02	2.42039e-02	2.70251	4.01463	4.41310e-05
2.17400e+04	4.65627e-02	2.41372e-02	4.75868	6.05474	4.41310e-05
2.32928e+04	4.65415e-02	2.41130e-02	0.53669	1.80468	4.41310e-05
2.48457e+04	4.65227e-02	2.41945e-02	2.67889	3.73725	4.41310e-05
2.63985e+04	4.65617e-02	2.42172e-02	4.90392	5.56155	4.41310e-05
2.79514e+04	4.65342e-02	2.40387e-02	0.82674	1.10736	4.41310e-05
2.95043e+04	4.65466e-02	2.37989e-02	3.10621	2.85225	4.41310e-05
3.10571e+04	4.65357e-02	2.42648e-02	5.44836	4.52366	4.41310e-05
3.26100e+04	4.65263e-02	2.42003e-02	1.57207	6.11890	4.41310e-05
3.41628e+04	4.65372e-02	2.40942e-02	4.03849	1.36098	4.41310e-05
3.57157e+04	4.65636e-02	2.45902e-02	0.28044	2.81622	4.41310e-05
3.72685e+04	4.65354e-02	2.38432e-02	2.90399	4.16336	4.41310e-05
3.88214e+04	4.65508e-02	2.42843e-02	5.61958	5.40964	4.41310e-05
4.03742e+04	4.65490e-02	2.38204e-02	2.07365	0.33980	4.41310e-05
4.19271e+04	4.65474e-02	2.43410e-02	4.91788	1.43766	4.41310e-05
4.34800e+04	4.65258e-02	2.41756e-02	1.53137	2.47427	4.41310e-05
4.50328e+04	4.65496e-02	2.38944e-02	4.52126	3.41041	4.41310e-05
4.65857e+04	4.65425e-02	2.40552e-02	1.28859	4.27873	4.41310e-05
4.81385e+04	4.65465e-02	2.38377e-02	4.49525	4.98629	4.41310e-05
4.96914e+04	4.65372e-02	2.40172e-02	1.44401	5.66108	4.41310e-05
5.12442e+04	4.65536e-02	2.42080e-02	4.78771	6.21920	4.41310e-05
5.27971e+04	4.65437e-02	2.40482e-02	1.89146	0.44636	4.41310e-05
5.43499e+04	4.65460e-02	2.42055e-02	5.41581	0.81554	4.41310e-05
5.59028e+04	4.65261e-02	2.40885e-02	2.72578	1.10423	4.41310e-05
5.74557e+04	4.65663e-02	2.45829e-02	0.17595	1.26059	4.41310e-05
5.90085e+04	4.65387e-02	2.40575e-02	3.97772	1.34513	4.41310e-05
6.05614e+04	4.65266e-02	2.41732e-02	1.58300	1.34156	4.41310e-05
6.21142e+04	4.65488e-02	2.42794e-02	5.57691	1.23230	4.41310e-05
6.36671e+04	4.65325e-02	2.38822e-02	3.41138	1.00030	4.41310e-05
6.52199e+04	4.65415e-02	2.40015e-02	1.33364	0.68029	4.41310e-05
6.67728e+04	4.65372e-02	2.42914e-02	5.63754	0.26284	4.41310e-05
6.83256e+04	4.65528e-02	2.37189e-02	3.76507	6.02324	4.41310e-05
6.98785e+04	4.65511e-02	2.38065e-02	1.97143	5.42331	4.41310e-05
7.14314e+04	4.65618e-02	2.44128e-02	0.35027	4.65573	4.41310e-05
7.29842e+04	4.65347e-02	2.42748e-02	5.08450	3.81716	4.41310e-05
7.45371e+04	4.65509e-02	2.36933e-02	3.63728	2.88011	4.41310e-05
7.60899e+04	4.65247e-02	2.39867e-02	2.30421	1.83312	4.41310e-05
7.76428e+04	4.65458e-02	2.40903e-02	1.10081	0.66193	4.41310e-05
