# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	6.10649e-02	1.40531e-02	2.32643	1.40305	1.08910e-05
1.55286e+03	6.10577e-02	1.41262e-02	3.43161	3.88602	1.08910e-05
3.10571e+03	6.10780e-02	1.42769e-02	4.51397	0.10849	1.08910e-05
4.65857e+03	6.10872e-02	1.46684e-02	5.57339	2.63578	1.08910e-05
6.21142e+03	6.10563e-02	1.43405e-02	0.34440	5.16588	1.08910e-05
7.76428e+03	6.10461e-02	1.43213e-02	1.44894	1.35636	1.08910e-05
9.31713e+03	6.10506e-02	1.41537e-02	2.56693	3.80853	1.08910e-05
1.08700e+04	6.10479e-02	1.40456e-02	3.73168	6.20268	1.08910e-05
1.24228e+04	6.10715e-02	1.42294e-02	4.94273	2.25355	1.08910e-05
1.39757e+04	6.10737e-02	1.45955e-02	6.12051	4.60446	1.08910e-05
1.55286e+04	6.10761e-02	1.44735e-02	1.03594	0.63260	1.08910e-05
1.70814e+04	6.10669e-02	1.40289e-02	2.31390	2.84458	1.08910e-05
1.86343e+04	6.10323e-02	1.44729e-02	3.64730	4.97931	1.08910e-05
2.01871e+04	6.10895e-02	1.42759e-02	5.02403	0.76248	1.08910e-05
2.17400e+04	6.10653e-02	1.44500e-02	0.02983	2.89188	1.08910e-05
2.32928e+04	6.10427e-02	1.43066e-02	1.43474	4.88316	1.08910e-05
2.48457e+04	6.10548e-02	1.39325e-02	2.86020	0.53837	1.08910e-05
2.63985e+04	6.10388e-02	1.40584e-02	4.28998	2.43087	1.08910e-05
2.79514e+04	6.10697e-02	1.45128e-02	5.78558	4.22887	1.08910e-05
2.95043e+04	6.10758e-02	1.45225e-02	0.98831	6.00501	1.08910e-05
3.10571e+04	6.10533e-02	1.42019e-02	2.57116	1.37000	1.08910e-05
3.26100e+04	6.10588e-02	1.41517e-02	4.22722	2.91401	1.08910e-05
3.41628e+04	6.10553e-02	1.42699e-02	5.86801	4.43971	1.08910e-05
3.57157e+04	6.10322e-02	1.40339e-02	1.27425	5.88413	1.08910e-05
3.72685e+04	6.10285e-02	1.43697e-02	3.01106	0.96430	1.08910e-05
3.88214e+04	6.10593e-02	1.41168e-02	4.80124	2.24005	1.08910e-05
4.03742e+04	6.10884e-02	1.47992e-02	0.31782	3.47260	1.08910e-05
4.19271e+04	6.10855e-02	1.39158e-02	2.18124	4.60697	1.08910e-05
4.34800e+04	6.10561e-02	1.41669e-02	4.19805	5.55462	1.08910e-05
4.50328e+04	6.10917e-02	1.48578e-02	6.17881	0.21976	1.08910e-05
4.65857e+04	6.10482e-02	1.41799e-02	1.92872	1.08086	1.08910e-05
4.81385e+04	6.10309e-02	1.43715e-02	4.03182	1.83804	1.08910e-05
4.96914e+04	6.10710e-02	1.45366e-02	6.18884	2.50617	1.08910e-05
5.12442e+04	6.10889e-02	1.40390e-02	2.07941	3.12252	1.08910e-05
5.27971e+04	6.10809e-02	1.41766e-02	4.47855	3.48103	1.08910e-05
5.43499e+04	6.10645e-02	1.43929e-02	0.47845	3.91940	1.08910e-05
5.59028e+04	6.10484e-02	1.40182e-02	2.89472	4.18504	1.08910e-05
5.74557e+04	6.10473e-02	1.40426e-02	5.35639	4.37585	1.08910e-05
5.90085e+04	6.10859e-02	1.41993e-02	1.54769	4.52056	1.08910e-05
6.05614e+04	6.10599e-02	1.41160e-02	4.23707	4.41691	1.08910e-05
6.21142e+04	6.10576e-02	1.42675e-02	0.58735	4.33446	1.08910e-05
6.36671e+04	6.10353e-02	1.42469e-02	3.32691	4.11218	1.08910e-05
6.52199e+04	6.10739e-02	1.45613e-02	6.12384	3.79876	1.08910e-05
6.67728e+04	6.10530e-02	1.41411e-02	2.70440	3.38507	1.08910e-05
6.83256e+04	6.10755e-02	1.45756e-02	5.68739	2.81976	1.08910e-05
6.98785e+04	6.10267e-02	1.43422e-02	2.40541	2.20178	1.08910e-05
7.14314e+04	6.10755e-02	1.43237e-02	5.50265	1.45461	1.08910e-05
7.29842e+04	6.10657e-02	1.40026e-02	2.32311	0.66870	1.08910e-05
7.45371e+04	6.10855e-02	1.46507e-02	5.61699	5.94344	1.08910e-05
7.60899e+04	6.10550e-02	1.40492e-02	2.58409	4.94464	1.08910e-05
7.76428e+04	6.10643e-02	1.43760e-02	5.97575	3.77248	1.08910e-05
