# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.16088e-02	6.62215e-04	1.29190	0.32138	4.59020e-05
3.70137e-01	1.16081e-02	6.86399e-04	6.21961	0.39735	4.59020e-05
7.40275e-01	1.16082e-02	8.88814e-04	0.64121	0.46994	4.59020e-05
1.11041e+00	1.16087e-02	9.48171e-04	3.41974	0.56976	4.59020e-05
1.48055e+00	1.16074e-02	6.83490e-04	2.46051	0.20899	4.59020e-05
1.85069e+00	1.16075e-02	6.67104e-04	5.53358	4.15844	4.59020e-05
2.22082e+00	1.16075e-02	5.77588e-04	2.69121	3.57342	4.59020e-05
2.59096e+00	1.16077e-02	2.80368e-04	5.71370	5.36100	4.59020e-05
2.96110e+00	1.16080e-02	9.47180e-04	3.07064	2.25771	4.59020e-05
3.33124e+00	1.16077e-02	6.44624e-04	2.48372	5.37196	4.59020e-05
3.70137e+00	1.16073e-02	2.91747e-04	5.81779	0.25748	4.59020e-05
4.07151e+00	1.16070e-02	7.42968e-04	3.61740	2.70450	4.59020e-05
4.44165e+00	1.16066e-02	3.45401e-04	0.32440	1.83023	4.59020e-05
4.81179e+00	1.16061e-02	8.12509e-04	2.35965	3.83709	4.59020e-05
5.18192e+00	1.16070e-02	3.52149e-04	3.26054	2.60314	4.59020e-05
5.55206e+00	1.16060e-02	5.59808e-04	4.91627	2.50950	4.59020e-05
5.92220e+00	1.16058e-02	7.93702e-04	4.31372	0.34076	4.59020e-05
6.29233e+00	1.16056e-02	3.20807e-04	5.40287	4.55569	4.59020e-05
6.66247e+00	1.16063e-02	6.15140e-04	0.73202	3.81322	4.59020e-05
7.03261e+00	1.16059e-02	8.21325e-04	6.18549	1.06747	4.59020e-05
7.40275e+00	1.16062e-02	7.04003e-04	2.76964	2.72682	4.59020e-05
7.77288e+00	1.16059e-02	3.34030e-04	5.67372	6.15564	4.59020e-05
8.14302e+00	1.16054e-02	3.55913e-04	0.22634	0.95048	4.59020e-05
8.51316e+00	1.16063e-02	1.75681e-04	2.87700	1.92417	4.59020e-05
8.88330e+00	1.16080e-02	2.66679e-04	4.37199	5.81910	4.59020e-05
9.25343e+00	1.16088e-02	1.96628e-04	5.03273	6.02057	4.59020e-05
9.62357e+00	1.16048e-02	2.83603e-04	3.77321	3.59916	4.59020e-05
9.99371e+00	1.16052e-02	3.87076e-04	1.74712	3.74079	4.59020e-05
1.03638e+01	1.16043e-02	2.93802e-04	1.68459	3.56818	4.59020e-05
1.07340e+01	1.16043e-02	7.64148e-04	5.44216	1.27685	4.59020e-05
1.11041e+01	1.16042e-02	7.28770e-04	2.89627	0.70112	4.59020e-05
1.14743e+01	1.16048e-02	6.35212e-04	3.89561	4.53980	4.59020e-05
1.18444e+01	1.16047e-02	3.97610e-04	2.16228	0.28419	4.59020e-05
1.22145e+01	1.16044e-02	7.96419e-04	1.00421	3.32429	4.59020e-05
1.25847e+01	1.16047e-02	6.01925e-04	1.38997	0.18421	4.59020e-05
1.29548e+01	1.16045e-02	3.76485e-04	5.04370	1.69322	4.59020e-05
1.33249e+01	1.16038e-02	6.94720e-04	3.26650	3.97473	4.59020e-05
1.36951e+01	1.16036e-02	3.71618e-04	6.10006	3.25597	4.59020e-05
1.40652e+01	1.16032e-02	7.27996e-04	1.62343	5.23929	4.59020e-05
1.44354e+01	1.16039e-02	4.09395e-04	1.80210	4.08775	4.59020e-05
1.48055e+01	1.16035e-02	4.64508e-04	2.45793	4.04271	4.59020e-05
1.51756e+01	1.16050e-02	2.32029e-04	5.39196	3.29132	4.59020e-05
1.55458e+01	1.16032e-02	4.79152e-04	2.78103	3.36176	4.59020e-05
