# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.58830e-02	2.52494e-03	5.68548	5.94720	4.36970e-05
3.70137e-01	1.58851e-02	2.61189e-03	4.71984	6.27696	4.36970e-05
7.40275e-01	1.58841e-02	2.67593e-03	5.06707	0.19454	4.36970e-05
1.11041e+00	1.58817e-02	2.54278e-03	0.56369	0.17727	4.36970e-05
1.48055e+00	1.58869e-02	2.27578e-03	3.83102	6.15643	4.36970e-05
1.85069e+00	1.58848e-02	3.15826e-03	2.15330	5.70646	4.36970e-05
2.22082e+00	1.58867e-02	3.43102e-03	2.08832	4.86456	4.36970e-05
2.59096e+00	1.58822e-02	3.35107e-03	3.75634	3.41546	4.36970e-05
2.96110e+00	1.58808e-02	2.24261e-03	0.26541	1.99834	4.36970e-05
3.33124e+00	1.58801e-02	3.18752e-03	4.19139	0.59374	4.36970e-05
3.70137e+00	1.58819e-02	3.34734e-03	3.78002	4.66234	4.36970e-05
4.07151e+00	1.58857e-02	2.08493e-03	4.49411	2.49094	4.36970e-05
4.44165e+00	1.58835e-02	3.40834e-03	0.27214	0.04686	4.36970e-05
4.81179e+00	1.58853e-02	1.98809e-03	3.69364	3.63155	4.36970e-05
5.18192e+00	1.58793e-02	3.32984e-03	2.29028	0.57282	4.36970e-05
5.55206e+00	1.58842e-02	2.77876e-03	1.80844	3.96181	4.36970e-05
5.92220e+00	1.58848e-02	2.06808e-03	3.39718	0.11874	4.36970e-05
6.29233e+00	1.58839e-02	3.33614e-03	5.81980	2.75186	4.36970e-05
6.66247e+00	1.58800e-02	2.87730e-03	3.12280	5.28212	4.36970e-05
7.03261e+00	1.58815e-02	1.98781e-03	2.18748	0.81815	4.36970e-05
7.40275e+00	1.58839e-02	2.01958e-03	2.40744	2.52644	4.36970e-05
7.77288e+00	1.58802e-02	3.04292e-03	3.83050	4.06698	4.36970e-05
8.14302e+00	1.58818e-02	3.13305e-03	0.24918	5.39803	4.36970e-05
8.51316e+00	1.58830e-02	3.10201e-03	4.23289	0.13924	4.36970e-05
8.88330e+00	1.58811e-02	2.93108e-03	2.98034	1.12771	4.36970e-05
9.25343e+00	1.58800e-02	2.97647e-03	3.23272	1.61348	4.36970e-05
9.62357e+00	1.58836e-02	3.11825e-03	4.86553	1.71499	4.36970e-05
9.99371e+00	1.58786e-02	2.95969e-03	1.32495	1.73729	4.36970e-05
1.03638e+01	1.58830e-02	2.76699e-03	5.29783	1.46478	4.36970e-05
1.07340e+01	1.58818e-02	1.83905e-03	4.14173	1.01326	4.36970e-05
1.11041e+01	1.58830e-02	1.60535e-03	4.08149	0.42836	4.36970e-05
1.14743e+01	1.58773e-02	2.57035e-03	5.05753	6.05135	4.36970e-05
1.18444e+01	1.58774e-02	2.85245e-03	1.61356	4.52196	4.36970e-05
1.22145e+01	1.58789e-02	1.72354e-03	5.23744	3.10942	4.36970e-05
1.25847e+01	1.58771e-02	2.56818e-03	3.45476	1.75738	4.36970e-05
1.29548e+01	1.58774e-02	2.79405e-03	3.49863	5.79428	4.36970e-05
