# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.23358e-02	3.30620e-02	5.93054	2.81129	1.29620e-05
3.70137e-01	2.23334e-02	3.28191e-02	5.29389	3.24054	1.29620e-05
7.40275e-01	2.23339e-02	3.22513e-02	5.52046	3.40923	1.29620e-05
1.11041e+00	2.23360e-02	3.23326e-02	0.34655	3.31807	1.29620e-05
1.48055e+00	2.23320e-02	3.21450e-02	2.35373	2.94458	1.29620e-05
1.85069e+00	2.23378e-02	3.21571e-02	5.21794	2.32248	1.29620e-05
2.22082e+00	2.23309e-02	3.24148e-02	2.71032	1.41500	1.29620e-05
2.59096e+00	2.23360e-02	3.19624e-02	1.02209	0.25822	1.29620e-05
2.96110e+00	2.23346e-02	3.13933e-02	0.16822	5.14048	1.29620e-05
3.33124e+00	2.23408e-02	3.16779e-02	0.18658	3.45134	1.29620e-05
3.70137e+00	2.23358e-02	3.14680e-02	1.02556	1.51677	1.29620e-05
4.07151e+00	2.23336e-02	3.06996e-02	2.72198	5.60747	1.29620e-05
4.44165e+00	2.23396e-02	3.11430e-02	5.23213	3.14124	1.29620e-05
4.81179e+00	2.23297e-02	3.04323e-02	2.26458	0.43158	1.29620e-05
5.18192e+00	2.23382e-02	3.08587e-02	0.11129	3.74387	1.29620e-05
5.55206e+00	2.23365e-02	3.04566e-02	5.05398	0.51373	1.29620e-05
5.92220e+00	2.23293e-02	2.99623e-02	4.52565	3.32050	1.29620e-05
6.29233e+00	2.23369e-02	3.00467e-02	4.79551	5.84598	1.29620e-05
6.66247e+00	2.23370e-02	3.02133e-02	5.81588	1.87339	1.29620e-05
7.03261e+00	2.23291e-02	2.91154e-02	1.35468	3.90982	1.29620e-05
7.40275e+00	2.23322e-02	2.93604e-02	3.96792	5.68072	1.29620e-05
7.77288e+00	2.23337e-02	2.95855e-02	1.04473	0.94156	1.29620e-05
8.14302e+00	2.23379e-02	2.94132e-02	5.22486	2.20774	1.29620e-05
8.51316e+00	2.23270e-02	2.94926e-02	3.82393	3.25604	1.29620e-05
