# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.92782e-02	3.98634e-02	5.07928	5.86495	2.31180e-05
3.70137e-01	2.92815e-02	3.94901e-02	4.64794	0.02011	2.31180e-05
7.40275e-01	2.92819e-02	3.95646e-02	4.79930	0.18772	2.31180e-05
1.11041e+00	2.92812e-02	3.95160e-02	5.54895	0.08335	2.31180e-05
1.48055e+00	2.92797e-02	3.91168e-02	0.58954	6.00948	2.31180e-05
1.85069e+00	2.92824e-02	3.87995e-02	2.49734	5.38668	2.31180e-05
2.22082e+00	2.92753e-02	3.89342e-02	5.00757	4.49119	2.31180e-05
2.59096e+00	2.92816e-02	3.87050e-02	1.78967	3.33424	2.31180e-05
2.96110e+00	2.92788e-02	3.87382e-02	5.42588	1.91065	2.31180e-05
3.33124e+00	2.92768e-02	3.85331e-02	3.33507	0.23295	2.31180e-05
3.70137e+00	2.92812e-02	3.82794e-02	1.79810	4.58283	2.31180e-05
4.07151e+00	2.92769e-02	3.81801e-02	0.83831	2.38484	2.31180e-05
4.44165e+00	2.92885e-02	3.81783e-02	0.40705	6.21607	2.31180e-05
4.81179e+00	2.92787e-02	3.78597e-02	0.52477	3.50188	2.31180e-05
5.18192e+00	2.92807e-02	3.77929e-02	1.18858	0.52661	2.31180e-05
5.55206e+00	2.92830e-02	3.75703e-02	2.38241	3.58566	2.31180e-05
5.92220e+00	2.92832e-02	3.73444e-02	4.14279	0.09076	2.31180e-05
6.29233e+00	2.92867e-02	3.77938e-02	0.11422	2.64217	2.31180e-05
6.66247e+00	2.92768e-02	3.73308e-02	2.89498	4.93907	2.31180e-05
7.03261e+00	2.92811e-02	3.72681e-02	6.19863	0.69857	2.31180e-05
7.40275e+00	2.92799e-02	3.65477e-02	3.74469	2.48177	2.31180e-05
7.77288e+00	2.92791e-02	3.68130e-02	1.80637	4.01182	2.31180e-05
8.14302e+00	2.92804e-02	3.69701e-02	0.39439	5.29363	2.31180e-05
8.51316e+00	2.92864e-02	3.68500e-02	5.75793	0.03963	2.31180e-05
8.88330e+00	2.92759e-02	3.63916e-02	5.33342	0.82889	2.31180e-05
9.25343e+00	2.92760e-02	3.65223e-02	5.42358	1.35412	2.31180e-05
9.62357e+00	2.92886e-02	3.65941e-02	5.99767	1.64515	2.31180e-05
9.99371e+00	2.92805e-02	3.61522e-02	0.79991	1.68874	2.31180e-05
1.03638e+01	2.92712e-02	3.60349e-02	2.36651	1.47879	2.31180e-05
1.07340e+01	2.92792e-02	3.56868e-02	4.41620	1.02711	2.31180e-05
1.11041e+01	2.92678e-02	3.58025e-02	0.66869	0.32751	2.31180e-05
1.14743e+01	2.92765e-02	3.54670e-02	3.68138	5.67212	2.31180e-05
1.18444e+01	2.92731e-02	3.56080e-02	0.91324	4.48213	2.31180e-05
1.22145e+01	2.92736e-02	3.53547e-02	4.87641	3.05948	2.31180e-05
1.25847e+01	2.92735e-02	3.54566e-02	3.03674	1.38514	2.31180e-05
1.29548e+01	2.92776e-02	3.52331e-02	1.66459	5.75384	2.31180e-05
1.33249e+01	2.92668e-02	3.49837e-02	0.75492	3.60374	2.31180e-05
1.36951e+01	2.92795e-02	3.52959e-02	0.31866	1.20369	2.31180e-05
1.40652e+01	2.92769e-02	3.49217e-02	0.34471	4.86229	2.31180e-05
1.44354e+01	2.92723e-02	3.46811e-02	0.82027	1.98868	2.31180e-05
1.48055e+01	2.92832e-02	3.48531e-02	1.74215	5.17009	2.31180e-05
1.51756e+01	2.92636e-02	3.47930e-02	3.13979	1.80690	2.31180e-05
1.55458e+01	2.92674e-02	3.44152e-02	4.96230	4.51656	2.31180e-05
1.59159e+01	2.92668e-02	3.43339e-02	0.97732	0.69366	2.31180e-05
1.62860e+01	2.92783e-02	3.40535e-02	3.70377	2.91853	2.31180e-05
1.66562e+01	2.92735e-02	3.42982e-02	0.58785	4.90967	2.31180e-05
1.70263e+01	2.92729e-02	3.42664e-02	4.19980	0.37785	2.31180e-05
1.73965e+01	2.92832e-02	3.40295e-02	1.93743	1.92320	2.31180e-05
1.77666e+01	2.92779e-02	3.39738e-02	0.15019	3.21475	2.31180e-05
1.81367e+01	2.92712e-02	3.37027e-02	5.05896	4.27483	2.31180e-05
1.85069e+01	2.92786e-02	3.33240e-02	4.11891	5.09827	2.31180e-05
1.88770e+01	2.92724e-02	3.32469e-02	3.59186	5.70551	2.31180e-05
1.92471e+01	2.92700e-02	3.32177e-02	3.49598	6.07664	2.31180e-05
1.96173e+01	2.92766e-02	3.29736e-02	3.84624	6.21205	2.31180e-05
1.99874e+01	2.92731e-02	3.31998e-02	4.59436	6.12393	2.31180e-05
2.03576e+01	2.92775e-02	3.32981e-02	5.75957	5.80793	2.31180e-05
2.07277e+01	2.92714e-02	3.32724e-02	1.06010	5.26093	2.31180e-05
2.10978e+01	2.92678e-02	3.32017e-02	3.05882	4.48738	2.31180e-05
2.14680e+01	2.92730e-02	3.31465e-02	5.48862	3.48499	2.31180e-05
2.18381e+01	2.92719e-02	3.28316e-02	2.00842	2.27561	2.31180e-05
2.22082e+01	2.92718e-02	3.28474e-02	5.22939	0.83069	2.31180e-05
2.25784e+01	2.92717e-02	3.25259e-02	2.56798	5.44854	2.31180e-05
2.29485e+01	2.92827e-02	3.28242e-02	0.32104	3.54811	2.31180e-05
2.33187e+01	2.92692e-02	3.26762e-02	4.77848	1.42178	2.31180e-05
