# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	3.83884e-02	3.97486e-02	5.87871	3.58843	3.47100e-05
3.70137e-01	3.84039e-02	3.95138e-02	1.37790	4.04959	3.47100e-05
7.40275e-01	3.83881e-02	3.89513e-02	3.57176	4.21972	3.47100e-05
1.11041e+00	3.83921e-02	3.94038e-02	6.18938	4.09246	3.47100e-05
1.48055e+00	3.83809e-02	3.91929e-02	2.87338	3.74301	3.47100e-05
1.85069e+00	3.84258e-02	3.92835e-02	6.24300	3.11488	3.47100e-05
2.22082e+00	3.83979e-02	3.85027e-02	3.73651	2.21196	3.47100e-05
2.59096e+00	3.83793e-02	3.84976e-02	1.56972	1.07672	3.47100e-05
2.96110e+00	3.83911e-02	3.87116e-02	6.10905	5.91708	3.47100e-05
3.33124e+00	3.83946e-02	3.83435e-02	4.70210	4.25324	3.47100e-05
3.70137e+00	3.83888e-02	3.80905e-02	3.70200	2.29309	3.47100e-05
4.07151e+00	3.83792e-02	3.82682e-02	3.03620	0.12149	3.47100e-05
4.44165e+00	3.83923e-02	3.77022e-02	2.77009	3.92846	3.47100e-05
4.81179e+00	3.83805e-02	3.79542e-02	2.83202	1.23223	3.47100e-05
5.18192e+00	3.83846e-02	3.76154e-02	3.29197	4.52295	3.47100e-05
5.55206e+00	3.83965e-02	3.75066e-02	4.07627	1.31082	3.47100e-05
5.92220e+00	3.83940e-02	3.77213e-02	5.25837	4.09321	3.47100e-05
6.29233e+00	3.83786e-02	3.71684e-02	0.45007	0.38829	3.47100e-05
6.66247e+00	3.83829e-02	3.72396e-02	2.32423	2.66256	3.47100e-05
7.03261e+00	3.83910e-02	3.67315e-02	4.51379	4.71775	3.47100e-05
7.40275e+00	3.83872e-02	3.70332e-02	0.79201	0.20833	3.47100e-05
7.77288e+00	3.83873e-02	3.67253e-02	3.71010	1.71802	3.47100e-05
8.14302e+00	3.83748e-02	3.65505e-02	0.64141	3.03372	3.47100e-05
8.51316e+00	3.83761e-02	3.67102e-02	4.22223	4.05870	3.47100e-05
8.88330e+00	3.83833e-02	3.65252e-02	1.86499	4.82325	3.47100e-05
9.25343e+00	3.83998e-02	3.67446e-02	6.08758	5.38006	3.47100e-05
9.62357e+00	3.83757e-02	3.62712e-02	4.38135	5.66386	3.47100e-05
9.99371e+00	3.83817e-02	3.61095e-02	3.03714	5.67846	3.47100e-05
1.03638e+01	3.83821e-02	3.59743e-02	1.94819	5.50927	3.47100e-05
1.07340e+01	3.84020e-02	3.60904e-02	1.22491	5.05118	3.47100e-05
1.11041e+01	3.83908e-02	3.61185e-02	0.84166	4.33169	3.47100e-05
1.14743e+01	3.84125e-02	3.59537e-02	0.75206	3.39417	3.47100e-05
1.18444e+01	3.83803e-02	3.55918e-02	0.98510	2.22304	3.47100e-05
1.22145e+01	3.83948e-02	3.55031e-02	1.53915	0.79087	3.47100e-05
1.25847e+01	3.83825e-02	3.54046e-02	2.42113	5.38716	3.47100e-05
1.29548e+01	3.83865e-02	3.51505e-02	3.61874	3.45489	3.47100e-05
1.33249e+01	3.83958e-02	3.51101e-02	5.07660	1.33566	3.47100e-05
1.36951e+01	3.83733e-02	3.49091e-02	0.59123	5.22469	3.47100e-05
1.40652e+01	3.83817e-02	3.50317e-02	2.71643	2.58310	3.47100e-05
1.44354e+01	3.83952e-02	3.49683e-02	5.13750	5.98444	3.47100e-05
1.48055e+01	3.83810e-02	3.47276e-02	1.56946	2.87335	3.47100e-05
1.51756e+01	3.83855e-02	3.46006e-02	4.60031	5.79309	3.47100e-05
1.55458e+01	3.83853e-02	3.45092e-02	1.62377	2.21725	3.47100e-05
1.59159e+01	3.83896e-02	3.43747e-02	5.22103	4.71159	3.47100e-05
1.62860e+01	3.83746e-02	3.42545e-02	2.84943	0.65402	3.47100e-05
1.66562e+01	3.83741e-02	3.42099e-02	0.77261	2.64433	3.47100e-05
1.70263e+01	3.83805e-02	3.42647e-02	5.27129	4.40226	3.47100e-05
1.73965e+01	3.84021e-02	3.37738e-02	3.79102	5.91347	3.47100e-05
1.77666e+01	3.83864e-02	3.39545e-02	2.58583	0.93474	3.47100e-05
1.81367e+01	3.83899e-02	3.39368e-02	1.66497	1.99963	3.47100e-05
1.85069e+01	3.83964e-02	3.40917e-02	1.03315	2.83057	3.47100e-05
1.88770e+01	3.83800e-02	3.37480e-02	0.69748	3.41971	3.47100e-05
1.92471e+01	3.83780e-02	3.35971e-02	0.63476	3.78906	3.47100e-05
1.96173e+01	3.83878e-02	3.37384e-02	0.86050	3.93349	3.47100e-05
1.99874e+01	3.83986e-02	3.35800e-02	1.34790	3.85661	3.47100e-05
2.03576e+01	3.83919e-02	3.33638e-02	2.12782	3.53752	3.47100e-05
2.07277e+01	3.83797e-02	3.33797e-02	3.18812	2.98821	3.47100e-05
2.10978e+01	3.83868e-02	3.32426e-02	4.52302	2.21319	3.47100e-05
2.14680e+01	3.83973e-02	3.35430e-02	6.13162	1.22372	3.47100e-05
2.18381e+01	3.83734e-02	3.30091e-02	1.72001	0.00769	3.47100e-05
2.22082e+01	3.83837e-02	3.26685e-02	3.86806	4.84510	3.47100e-05
2.25784e+01	3.84229e-02	3.33524e-02	0.01441	3.16162	3.47100e-05
2.29485e+01	3.83894e-02	3.25547e-02	2.72148	1.24546	3.47100e-05
2.33187e+01	3.83784e-02	3.28330e-02	5.68872	5.41057	3.47100e-05
2.36888e+01	3.83795e-02	3.26611e-02	2.61440	3.08231	3.47100e-05
2.40589e+01	3.84004e-02	3.29715e-02	6.09283	0.52704	3.47100e-05
2.44291e+01	3.83984e-02	3.20978e-02	3.55725	4.02749	3.47100e-05
2.47992e+01	3.83789e-02	3.23407e-02	1.26683	1.04191	3.47100e-05
2.51693e+01	3.83832e-02	3.20126e-02	5.54995	4.10154	3.47100e-05
2.55395e+01	3.83804e-02	3.22652e-02	3.84012	0.61355	3.47100e-05
2.59096e+01	3.83786e-02	3.22526e-02	2.32449	3.25645	3.47100e-05
2.62797e+01	3.83963e-02	3.23568e-02	1.06848	5.67777	3.47100e-05
2.66499e+01	3.83911e-02	3.23095e-02	0.09339	1.58584	3.47100e-05
2.70200e+01	3.83864e-02	3.16425e-02	5.65078	3.55336	3.47100e-05
2.73902e+01	3.83911e-02	3.21927e-02	5.21789	5.26300	3.47100e-05
2.77603e+01	3.83928e-02	3.18157e-02	4.97669	0.53579	3.47100e-05
2.81304e+01	3.83876e-02	3.18676e-02	4.99356	1.86935	3.47100e-05
2.85006e+01	3.83860e-02	3.15104e-02	5.26712	2.99360	3.47100e-05
2.88707e+01	3.83795e-02	3.17219e-02	5.83089	3.84742	3.47100e-05
2.92408e+01	3.83807e-02	3.14662e-02	0.29691	4.55239	3.47100e-05
2.96110e+01	3.83777e-02	3.13652e-02	1.30363	5.03314	3.47100e-05
2.99811e+01	3.83931e-02	3.10523e-02	2.60032	5.25427	3.47100e-05
3.03513e+01	3.83754e-02	3.14319e-02	4.11028	5.31018	3.47100e-05
3.07214e+01	3.83872e-02	3.13877e-02	5.85545	5.14885	3.47100e-05
3.10915e+01	3.83848e-02	3.10783e-02	1.58655	4.74800	3.47100e-05
3.14617e+01	3.83890e-02	3.09672e-02	3.81759	4.16515	3.47100e-05
3.18318e+01	3.83943e-02	3.14088e-02	6.26761	3.39176	3.47100e-05
3.22019e+01	3.83873e-02	3.07199e-02	2.74195	2.34977	3.47100e-05
3.25721e+01	3.83895e-02	3.10150e-02	5.67769	1.15103	3.47100e-05
3.29422e+01	3.83858e-02	3.03846e-02	2.55861	6.03547	3.47100e-05
3.33124e+01	3.83832e-02	3.09972e-02	6.02352	4.36142	3.47100e-05
3.36825e+01	3.83882e-02	3.04910e-02	3.37237	2.55019	3.47100e-05
3.40526e+01	3.84104e-02	3.08465e-02	0.99760	0.49957	3.47100e-05
3.44228e+01	3.83920e-02	3.06575e-02	5.13131	4.52546	3.47100e-05
3.47929e+01	3.83673e-02	3.04935e-02	3.17580	2.10021	3.47100e-05
3.51630e+01	3.83813e-02	3.03943e-02	1.50722	5.69490	3.47100e-05
