# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	4.65458e-02	2.40903e-02	1.10081	0.66193	4.41310e-05
3.70137e-01	4.65247e-02	2.39998e-02	0.88557	1.09677	4.41310e-05
7.40275e-01	4.65408e-02	2.39601e-02	0.93784	1.28687	4.41310e-05
1.11041e+00	4.65411e-02	2.37170e-02	1.33717	1.16205	4.41310e-05
1.48055e+00	4.65443e-02	2.35835e-02	1.97906	0.82077	4.41310e-05
1.85069e+00	4.65356e-02	2.33423e-02	2.94173	0.18575	4.41310e-05
2.22082e+00	4.65232e-02	2.36600e-02	4.20285	5.56956	4.41310e-05
2.59096e+00	4.65441e-02	2.36043e-02	5.72282	4.42533	4.41310e-05
2.96110e+00	4.65434e-02	2.33085e-02	1.27338	2.99029	4.41310e-05
3.33124e+00	4.65400e-02	2.31161e-02	3.35362	1.32801	4.41310e-05
3.70137e+00	4.65457e-02	2.33277e-02	5.75771	5.64575	4.41310e-05
4.07151e+00	4.65386e-02	2.29612e-02	2.10833	3.47484	4.41310e-05
4.44165e+00	4.65489e-02	2.31811e-02	5.07210	0.98366	4.41310e-05
4.81179e+00	4.65441e-02	2.28688e-02	1.94623	4.59456	4.41310e-05
5.18192e+00	4.65480e-02	2.29815e-02	5.45910	1.58282	4.41310e-05
5.55206e+00	4.65434e-02	2.25786e-02	2.87540	4.67778	4.41310e-05
5.92220e+00	4.65361e-02	2.26083e-02	0.63555	1.16781	4.41310e-05
6.29233e+00	4.65568e-02	2.28221e-02	4.89968	3.72003	4.41310e-05
6.66247e+00	4.65442e-02	2.23044e-02	3.15607	6.00665	4.41310e-05
7.03261e+00	4.65387e-02	2.25152e-02	1.63408	1.79473	4.41310e-05
7.40275e+00	4.65410e-02	2.26485e-02	0.42295	3.56434	4.41310e-05
7.77288e+00	4.65452e-02	2.24825e-02	5.76267	5.07146	4.41310e-05
8.14302e+00	4.65468e-02	2.24542e-02	5.03061	0.09533	4.41310e-05
8.51316e+00	4.65461e-02	2.21281e-02	4.59174	1.10506	4.41310e-05
8.88330e+00	4.65361e-02	2.19368e-02	4.38450	1.88675	4.41310e-05
9.25343e+00	4.65380e-02	2.19084e-02	4.39365	2.45117	4.41310e-05
9.62357e+00	4.65526e-02	2.20421e-02	4.71858	2.70255	4.41310e-05
9.99371e+00	4.65428e-02	2.19766e-02	5.26371	2.74244	4.41310e-05
1.03638e+01	4.65352e-02	2.18224e-02	6.00786	2.57078	4.41310e-05
1.07340e+01	4.65204e-02	2.17393e-02	0.77039	2.09754	4.41310e-05
1.11041e+01	4.65500e-02	2.14535e-02	2.03277	1.40468	4.41310e-05
1.14743e+01	4.65392e-02	2.13207e-02	3.55419	0.44877	4.41310e-05
1.18444e+01	4.65414e-02	2.16653e-02	5.28504	5.56955	4.41310e-05
1.22145e+01	4.65305e-02	2.16566e-02	0.99673	4.12999	4.41310e-05
1.25847e+01	4.65415e-02	2.12599e-02	3.22816	2.44799	4.41310e-05
1.29548e+01	4.65483e-02	2.15770e-02	5.69610	0.52305	4.41310e-05
1.33249e+01	4.65464e-02	2.10540e-02	2.04753	4.70433	4.41310e-05
1.36951e+01	4.65494e-02	2.14685e-02	4.99449	2.28397	4.41310e-05
1.40652e+01	4.65423e-02	2.12131e-02	1.85740	5.94631	4.41310e-05
1.44354e+01	4.65301e-02	2.12738e-02	5.25350	3.05759	4.41310e-05
1.48055e+01	4.65221e-02	2.12826e-02	2.59005	6.21716	4.41310e-05
1.51756e+01	4.65646e-02	2.15191e-02	0.14311	2.86657	4.41310e-05
1.55458e+01	4.65301e-02	2.09193e-02	4.20084	5.56605	4.41310e-05
1.59159e+01	4.65363e-02	2.06809e-02	2.16891	1.78258	4.41310e-05
1.62860e+01	4.65549e-02	2.11374e-02	0.37899	4.02052	4.41310e-05
1.66562e+01	4.65422e-02	2.09218e-02	5.12203	5.99493	4.41310e-05
1.70263e+01	4.65522e-02	2.04253e-02	3.79298	1.46057	4.41310e-05
1.73965e+01	4.65262e-02	2.08435e-02	2.66059	2.99760	4.41310e-05
1.77666e+01	4.65373e-02	2.07129e-02	1.76534	4.29104	4.41310e-05
1.81367e+01	4.65342e-02	2.06998e-02	1.08487	5.34509	4.41310e-05
1.85069e+01	4.65246e-02	2.04473e-02	0.61712	6.17009	4.41310e-05
1.88770e+01	4.65482e-02	2.08235e-02	0.34729	0.49664	4.41310e-05
1.92471e+01	4.65516e-02	2.08478e-02	0.30091	0.86525	4.41310e-05
1.96173e+01	4.65363e-02	2.04625e-02	0.47482	1.00423	4.41310e-05
1.99874e+01	4.65240e-02	2.03197e-02	0.86132	0.90298	4.41310e-05
2.03576e+01	4.65269e-02	2.02784e-02	1.43860	0.59233	4.41310e-05
2.07277e+01	4.65291e-02	2.01364e-02	2.22786	0.05038	4.41310e-05
2.10978e+01	4.65422e-02	1.99454e-02	3.21625	5.57193	4.41310e-05
2.14680e+01	4.65423e-02	1.99071e-02	4.42790	4.57516	4.41310e-05
2.18381e+01	4.65390e-02	2.00896e-02	5.82701	3.36184	4.41310e-05
2.22082e+01	4.65471e-02	2.00440e-02	1.14115	1.92855	4.41310e-05
2.25784e+01	4.65351e-02	1.96524e-02	2.97951	0.23351	4.41310e-05
2.29485e+01	4.65525e-02	2.00428e-02	5.03871	4.57972	4.41310e-05
2.33187e+01	4.65408e-02	1.98562e-02	0.96026	2.48066	4.41310e-05
2.36888e+01	4.65401e-02	1.96332e-02	3.36955	0.14609	4.41310e-05
2.40589e+01	4.65253e-02	1.97005e-02	5.97232	3.87824	4.41310e-05
2.44291e+01	4.65163e-02	1.99768e-02	2.50107	1.09430	4.41310e-05
2.47992e+01	4.65493e-02	1.98124e-02	5.49951	4.38277	4.41310e-05
2.51693e+01	4.65155e-02	1.97288e-02	2.42797	1.15895	4.41310e-05
2.55395e+01	4.65418e-02	1.95773e-02	5.85531	3.97146	4.41310e-05
2.59096e+01	4.65459e-02	1.92245e-02	3.15397	0.31842	4.41310e-05
2.62797e+01	4.65242e-02	1.93672e-02	0.64561	2.73101	4.41310e-05
2.66499e+01	4.65601e-02	1.92765e-02	4.63481	4.91149	4.41310e-05
2.70200e+01	4.65146e-02	1.95510e-02	2.49914	0.61601	4.41310e-05
2.73902e+01	4.65402e-02	1.92208e-02	0.59746	2.34517	4.41310e-05
2.77603e+01	4.65334e-02	1.94519e-02	5.13025	3.89444	4.41310e-05
2.81304e+01	4.65501e-02	1.88964e-02	3.56893	5.22722	4.41310e-05
2.85006e+01	4.65338e-02	1.89896e-02	2.20537	0.06081	4.41310e-05
2.88707e+01	4.65462e-02	1.91776e-02	1.06029	0.92425	4.41310e-05
2.92408e+01	4.65507e-02	1.95316e-02	0.06387	1.60943	4.41310e-05
2.96110e+01	4.65504e-02	1.92321e-02	5.52606	2.09147	4.41310e-05
2.99811e+01	4.65599e-02	1.91508e-02	4.95929	2.29283	4.41310e-05
3.03513e+01	4.65404e-02	1.88598e-02	4.49500	2.36835	4.41310e-05
3.07214e+01	4.65313e-02	1.89304e-02	4.20578	2.23253	4.41310e-05
3.10915e+01	4.65327e-02	1.88207e-02	4.17423	1.81154	4.41310e-05
3.14617e+01	4.65252e-02	1.89085e-02	4.25508	1.24609	4.41310e-05
3.18318e+01	4.65544e-02	1.85998e-02	4.54298	0.44441	4.41310e-05
3.22019e+01	4.65530e-02	1.89004e-02	5.05310	5.68499	4.41310e-05
3.25721e+01	4.65385e-02	1.89209e-02	5.66074	4.50298	4.41310e-05
3.29422e+01	4.65683e-02	1.92323e-02	0.16933	3.10664	4.41310e-05
3.33124e+01	4.65478e-02	1.86052e-02	1.20089	1.44213	4.41310e-05
3.36825e+01	4.65203e-02	1.87456e-02	2.37000	5.89077	4.41310e-05
3.40526e+01	4.65508e-02	1.81017e-02	3.75317	3.82109	4.41310e-05
3.44228e+01	4.65330e-02	1.86268e-02	5.24533	1.60108	4.41310e-05
3.47929e+01	4.65372e-02	1.83905e-02	0.63305	5.45368	4.41310e-05
3.51630e+01	4.65230e-02	1.86255e-02	2.54768	2.74972	4.41310e-05
3.55332e+01	4.65574e-02	1.82130e-02	4.57156	6.18627	4.41310e-05
3.59033e+01	4.65482e-02	1.83646e-02	0.51853	3.11213	4.41310e-05
3.62735e+01	4.65475e-02	1.80844e-02	2.87212	6.15435	4.41310e-05
3.66436e+01	4.65521e-02	1.83858e-02	5.48092	2.62832	4.41310e-05
3.70137e+01	4.65464e-02	1.82221e-02	1.86692	5.28991	4.41310e-05
3.73839e+01	4.65677e-02	1.82307e-02	4.83662	1.33784	4.41310e-05
3.77540e+01	4.65297e-02	1.82560e-02	1.56597	3.59909	4.41310e-05
3.81241e+01	4.65675e-02	1.81786e-02	4.85113	5.54893	4.41310e-05
3.84943e+01	4.65473e-02	1.80578e-02	1.88499	1.14745	4.41310e-05
3.88644e+01	4.65531e-02	1.81774e-02	5.50199	2.69855	4.41310e-05
3.92346e+01	4.65489e-02	1.77676e-02	2.89074	4.15879	4.41310e-05
