# t [tau_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	6.10643e-02	1.43760e-02	5.97575	3.77248	1.08910e-05
3.70137e-01	6.10455e-02	1.41653e-02	3.75427	4.19147	1.08910e-05
7.40275e-01	6.10625e-02	1.39531e-02	1.67913	4.38981	1.08910e-05
1.11041e+00	6.10748e-02	1.43741e-02	6.12776	4.27864	1.08910e-05
1.48055e+00	6.10769e-02	1.40303e-02	4.53348	3.85903	1.08910e-05
1.85069e+00	6.10281e-02	1.40753e-02	3.03367	3.27293	1.08910e-05
2.22082e+00	6.10588e-02	1.38121e-02	1.73956	2.41560	1.08910e-05
2.59096e+00	6.10560e-02	1.38395e-02	0.69360	1.23356	1.08910e-05
2.96110e+00	6.10755e-02	1.40473e-02	6.08795	6.10408	1.08910e-05
3.33124e+00	6.10833e-02	1.39391e-02	5.43970	4.37789	1.08910e-05
3.70137e+00	6.10723e-02	1.35538e-02	4.90792	2.46052	1.08910e-05
4.07151e+00	6.10648e-02	1.37035e-02	4.60265	0.24875	1.08910e-05
4.44165e+00	6.10645e-02	1.32617e-02	4.43648	4.09824	1.08910e-05
4.81179e+00	6.10822e-02	1.34914e-02	4.51876	1.34217	1.08910e-05
5.18192e+00	6.10598e-02	1.33216e-02	4.68955	4.70265	1.08910e-05
5.55206e+00	6.11016e-02	1.36231e-02	5.15062	1.41314	1.08910e-05
5.92220e+00	6.10932e-02	1.37646e-02	5.68218	4.26377	1.08910e-05
6.29233e+00	6.10528e-02	1.31809e-02	0.13467	0.54429	1.08910e-05
6.66247e+00	6.10824e-02	1.34600e-02	1.01749	2.88065	1.08910e-05
7.03261e+00	6.10616e-02	1.29155e-02	2.15848	4.88090	1.08910e-05
7.40275e+00	6.10569e-02	1.31013e-02	3.47239	0.34537	1.08910e-05
7.77288e+00	6.10763e-02	1.30076e-02	4.91378	1.88414	1.08910e-05
8.14302e+00	6.10523e-02	1.29052e-02	0.23758	3.18345	1.08910e-05
8.51316e+00	6.10779e-02	1.30518e-02	1.96513	4.27371	1.08910e-05
8.88330e+00	6.10522e-02	1.29228e-02	3.97809	4.99990	1.08910e-05
9.25343e+00	6.10986e-02	1.34341e-02	6.11991	5.51368	1.08910e-05
9.62357e+00	6.10933e-02	1.27397e-02	2.03091	5.89214	1.08910e-05
9.99371e+00	6.10718e-02	1.26575e-02	4.57423	5.84639	1.08910e-05
1.03638e+01	6.10850e-02	1.29957e-02	0.86864	5.67655	1.08910e-05
1.07340e+01	6.10440e-02	1.28694e-02	3.67757	5.19298	1.08910e-05
1.11041e+01	6.10950e-02	1.31502e-02	0.29762	4.52984	1.08910e-05
1.14743e+01	6.10381e-02	1.27489e-02	3.42038	3.56461	1.08910e-05
1.18444e+01	6.10735e-02	1.27138e-02	0.40573	2.37440	1.08910e-05
1.22145e+01	6.10671e-02	1.23999e-02	3.84953	0.91908	1.08910e-05
1.25847e+01	6.10865e-02	1.26589e-02	1.06471	5.60633	1.08910e-05
1.29548e+01	6.10767e-02	1.23320e-02	4.86480	3.62463	1.08910e-05
1.33249e+01	6.10401e-02	1.25306e-02	2.45645	1.48243	1.08910e-05
1.36951e+01	6.10567e-02	1.22136e-02	0.21327	5.37317	1.08910e-05
1.40652e+01	6.10942e-02	1.22186e-02	4.47269	2.68065	1.08910e-05
1.44354e+01	6.10647e-02	1.22243e-02	2.44734	6.18014	1.08910e-05
1.48055e+01	6.10617e-02	1.21086e-02	0.65983	3.07346	1.08910e-05
1.51756e+01	6.10578e-02	1.19649e-02	5.33190	5.98640	1.08910e-05
1.55458e+01	6.10727e-02	1.18780e-02	3.86530	2.38538	1.08910e-05
1.59159e+01	6.10532e-02	1.21623e-02	2.51838	4.86584	1.08910e-05
1.62860e+01	6.10457e-02	1.19662e-02	1.35881	0.78385	1.08910e-05
1.66562e+01	6.10667e-02	1.20229e-02	0.30716	2.78940	1.08910e-05
1.70263e+01	6.10876e-02	1.22899e-02	5.71584	4.53040	1.08910e-05
