# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.54853e-02	0.00000e+00	0.00000	0.00000	4.59020e-05
2.79514e+02	1.50789e-02	3.78160e-04	3.16496	2.00423	4.59020e-05
5.59028e+02	1.50802e-02	3.84544e-03	6.14105	2.91192	4.59020e-05
8.38542e+02	1.50109e-02	2.75608e-02	3.83625	3.02523	4.59020e-05
1.11806e+03	1.50075e-02	2.78493e-02	3.15970	2.52508	4.59020e-05
1.39757e+03	1.50029e-02	2.97656e-02	2.22577	4.98647	4.59020e-05
1.67708e+03	1.49945e-02	3.24289e-02	1.59692	0.48597	4.59020e-05
1.95660e+03	1.50066e-02	2.93433e-02	1.68376	2.47069	4.59020e-05
2.23611e+03	1.50079e-02	2.81308e-02	1.69869	2.84862	4.59020e-05
2.51563e+03	1.50082e-02	2.82180e-02	6.26070	3.33381	4.59020e-05
2.79514e+03	1.50095e-02	2.83855e-02	3.64238	1.22998	4.59020e-05
3.07465e+03	1.50012e-02	2.89032e-02	1.94631	2.23986	4.59020e-05
3.35417e+03	1.49884e-02	3.38911e-02	4.97090	5.21218	4.59020e-05
3.63368e+03	1.49888e-02	3.40810e-02	4.37280	4.31519	4.59020e-05
3.91320e+03	1.49906e-02	3.47563e-02	5.86737	3.64603	4.59020e-05
4.19271e+03	1.49889e-02	3.44739e-02	1.07653	2.86220	4.59020e-05
4.47222e+03	1.49876e-02	3.44351e-02	2.41170	2.03235	4.59020e-05
4.75174e+03	1.49867e-02	3.46053e-02	3.69777	1.17813	4.59020e-05
5.03125e+03	1.49871e-02	3.45120e-02	4.95774	0.31633	4.59020e-05
5.31077e+03	1.49879e-02	3.45652e-02	6.21422	5.73876	4.59020e-05
5.59028e+03	1.49883e-02	3.46436e-02	1.26328	4.90534	4.59020e-05
5.86979e+03	1.49533e-02	3.85885e-02	3.10451	5.25528	4.59020e-05
6.14931e+03	1.49041e-02	4.05916e-02	0.21133	0.68756	4.59020e-05
6.42882e+03	1.48139e-02	3.78558e-02	3.90335	0.67081	4.59020e-05
6.70834e+03	1.46486e-02	3.07618e-02	5.48065	4.83274	4.59020e-05
6.98785e+03	1.45756e-02	5.40541e-02	5.58933	0.96391	4.59020e-05
7.26736e+03	1.45302e-02	6.96745e-02	2.68495	2.96760	4.59020e-05
7.54688e+03	1.44939e-02	8.10428e-02	3.59582	1.85695	4.59020e-05
7.82639e+03	1.44591e-02	9.11535e-02	2.36557	3.31314	4.59020e-05
8.10591e+03	1.44253e-02	1.00215e-01	3.90647	0.61404	4.59020e-05
8.38542e+03	1.43950e-02	1.07947e-01	3.32097	1.45124	4.59020e-05
8.66493e+03	1.43594e-02	1.14397e-01	3.29136	2.79521	4.59020e-05
8.94445e+03	1.43271e-02	1.20132e-01	6.13859	2.80351	4.59020e-05
9.22396e+03	1.42932e-02	1.25110e-01	2.05628	0.25967	4.59020e-05
9.50348e+03	1.42574e-02	1.29458e-01	0.44678	0.61060	4.59020e-05
9.78299e+03	1.42202e-02	1.33043e-01	4.59551	3.24786	4.59020e-05
1.00625e+04	1.41862e-02	1.36280e-01	5.04955	1.43857	4.59020e-05
1.03420e+04	1.41477e-02	1.39174e-01	4.47147	1.11891	4.59020e-05
1.06215e+04	1.41104e-02	1.41613e-01	4.79608	2.01993	4.59020e-05
1.09010e+04	1.40717e-02	1.43842e-01	0.75017	3.92835	4.59020e-05
1.11806e+04	1.40329e-02	1.45693e-01	4.83632	0.38552	4.59020e-05
1.14601e+04	1.39944e-02	1.47291e-01	3.24413	3.81750	4.59020e-05
1.17396e+04	1.39555e-02	1.48733e-01	6.07130	1.54068	4.59020e-05
1.20191e+04	1.39181e-02	1.49934e-01	3.32572	6.02384	4.59020e-05
1.22986e+04	1.38759e-02	1.50994e-01	2.64693	4.62057	4.59020e-05
1.25781e+04	1.38353e-02	1.51996e-01	4.22500	3.54424	4.59020e-05
1.28576e+04	1.37966e-02	1.52849e-01	0.84597	2.73816	4.59020e-05
1.31372e+04	1.37547e-02	1.53513e-01	3.19535	2.15050	4.59020e-05
1.34167e+04	1.37137e-02	1.54210e-01	1.90978	1.74046	4.59020e-05
1.36962e+04	1.36750e-02	1.54697e-01	5.83255	1.47159	4.59020e-05
1.39757e+04	1.36348e-02	1.55162e-01	4.07174	1.31346	4.59020e-05
1.42552e+04	1.35942e-02	1.55518e-01	3.87157	1.23780	4.59020e-05
1.45347e+04	1.35510e-02	1.55860e-01	5.53547	1.22125	4.59020e-05
1.48142e+04	1.35122e-02	1.56183e-01	2.57073	1.24426	4.59020e-05
1.50938e+04	1.34705e-02	1.56393e-01	0.28997	1.28889	4.59020e-05
1.53733e+04	1.34287e-02	1.56561e-01	3.76129	1.33945	4.59020e-05
1.56528e+04	1.33895e-02	1.56781e-01	4.96128	1.38350	4.59020e-05
1.59323e+04	1.33488e-02	1.56964e-01	1.74883	1.40763	4.59020e-05
1.62118e+04	1.33063e-02	1.57044e-01	4.15452	1.40224	4.59020e-05
1.64913e+04	1.32678e-02	1.57169e-01	3.05834	1.35806	4.59020e-05
1.67708e+04	1.32256e-02	1.57212e-01	1.28573	1.26648	4.59020e-05
1.70504e+04	1.31860e-02	1.57381e-01	1.48617	1.11853	4.59020e-05
1.73299e+04	1.31438e-02	1.57401e-01	5.76855	0.90896	4.59020e-05
1.76094e+04	1.31033e-02	1.57462e-01	3.15871	0.62927	4.59020e-05
1.78889e+04	1.30649e-02	1.57470e-01	0.90194	0.27206	4.59020e-05
1.81684e+04	1.30233e-02	1.57537e-01	5.47257	6.11587	4.59020e-05
1.84479e+04	1.29833e-02	1.57417e-01	3.62930	5.58483	4.59020e-05
