# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.16227e-02	0.00000e+00	0.00000	0.00000	4.36970e-05
2.79514e+02	2.07264e-02	6.42120e-04	5.17954	5.50361	4.36970e-05
5.59028e+02	1.98615e-02	4.22651e-03	3.01801	6.07785	4.36970e-05
8.38542e+02	1.96781e-02	3.10879e-02	3.61041	6.16335	4.36970e-05
1.11806e+03	1.96829e-02	3.15843e-02	1.06224	5.66329	4.36970e-05
1.39757e+03	1.96751e-02	3.49425e-02	0.42607	1.85259	4.36970e-05
1.67708e+03	1.96646e-02	3.67073e-02	0.14397	3.44620	4.36970e-05
1.95660e+03	1.96754e-02	3.12561e-02	4.32603	5.53751	4.36970e-05
2.23611e+03	1.96804e-02	3.15277e-02	0.08016	5.99575	4.36970e-05
2.51563e+03	1.96765e-02	3.18319e-02	5.20283	0.21090	4.36970e-05
2.79514e+03	1.96722e-02	3.17817e-02	3.49796	4.35144	4.36970e-05
3.07465e+03	1.96527e-02	3.84037e-02	2.46391	5.24043	4.36970e-05
3.35417e+03	1.96523e-02	4.50874e-02	2.31650	2.04255	4.36970e-05
3.63368e+03	1.96528e-02	4.53288e-02	1.87077	1.18230	4.36970e-05
3.91320e+03	1.96496e-02	4.64656e-02	2.87687	0.50538	4.36970e-05
4.19271e+03	1.96507e-02	4.62265e-02	3.87134	6.00537	4.36970e-05
4.47222e+03	1.96526e-02	4.61766e-02	4.75135	5.17893	4.36970e-05
4.75174e+03	1.96517e-02	4.64349e-02	5.60142	4.33057	4.36970e-05
5.03125e+03	1.96500e-02	4.63733e-02	0.16099	3.46874	4.36970e-05
5.31077e+03	1.96486e-02	4.60619e-02	1.00111	2.60414	4.36970e-05
5.59028e+03	1.96458e-02	4.60848e-02	1.88581	1.77366	4.36970e-05
5.86979e+03	1.95968e-02	5.16620e-02	3.12297	2.10985	4.36970e-05
6.14931e+03	1.95334e-02	5.43137e-02	3.29864	3.81458	4.36970e-05
6.42882e+03	1.94249e-02	5.07330e-02	5.75571	3.80262	4.36970e-05
6.70834e+03	1.92023e-02	4.09420e-02	4.70748	1.68229	4.36970e-05
6.98785e+03	1.91017e-02	7.27460e-02	4.77412	4.10430	4.36970e-05
7.26736e+03	1.90469e-02	9.46380e-02	0.74490	6.10693	4.36970e-05
7.54688e+03	1.89883e-02	1.10905e-01	3.44353	5.00028	4.36970e-05
7.82639e+03	1.89432e-02	1.25073e-01	2.62372	0.17269	4.36970e-05
8.10591e+03	1.89076e-02	1.38619e-01	5.74242	3.75926	4.36970e-05
8.38542e+03	1.88581e-02	1.50137e-01	3.26042	4.59321	4.36970e-05
8.66493e+03	1.88211e-02	1.60094e-01	1.14756	5.93723	4.36970e-05
8.94445e+03	1.87725e-02	1.68558e-01	5.14217	5.94341	4.36970e-05
9.22396e+03	1.87237e-02	1.76240e-01	2.41904	3.40051	4.36970e-05
9.50348e+03	1.86822e-02	1.82754e-01	5.53665	3.75052	4.36970e-05
9.78299e+03	1.86401e-02	1.88546e-01	2.01546	0.10692	4.36970e-05
1.00625e+04	1.85849e-02	1.93711e-01	4.41536	4.57936	4.36970e-05
1.03420e+04	1.85413e-02	1.98276e-01	6.12095	4.26123	4.36970e-05
1.06215e+04	1.84918e-02	2.02185e-01	0.05541	5.16210	4.36970e-05
1.09010e+04	1.84452e-02	2.05575e-01	3.64345	0.78575	4.36970e-05
1.11806e+04	1.83946e-02	2.08454e-01	2.17775	3.52699	4.36970e-05
1.14601e+04	1.83411e-02	2.11360e-01	5.30473	0.67531	4.36970e-05
1.17396e+04	1.82918e-02	2.13486e-01	3.00197	4.68125	4.36970e-05
1.20191e+04	1.82344e-02	2.15475e-01	3.26443	2.88213	4.36970e-05
1.22986e+04	1.81860e-02	2.17470e-01	0.71763	1.47894	4.36970e-05
1.25781e+04	1.81352e-02	2.18839e-01	1.76797	0.40343	4.36970e-05
1.28576e+04	1.80790e-02	2.20269e-01	5.80317	5.87811	4.36970e-05
1.31372e+04	1.80286e-02	2.21329e-01	5.27289	5.29133	4.36970e-05
1.34167e+04	1.79773e-02	2.22273e-01	4.41464	4.88219	4.36970e-05
1.36962e+04	1.79184e-02	2.23279e-01	0.74434	4.61442	4.36970e-05
1.39757e+04	1.78620e-02	2.23915e-01	3.76100	4.45556	4.36970e-05
1.42552e+04	1.78081e-02	2.24739e-01	3.62817	4.37951	4.36970e-05
1.45347e+04	1.77624e-02	2.25140e-01	2.64179	4.36343	4.36970e-05
1.48142e+04	1.77014e-02	2.25623e-01	2.76206	4.38497	4.36970e-05
1.50938e+04	1.76497e-02	2.26158e-01	5.43075	4.42980	4.36970e-05
1.53733e+04	1.75998e-02	2.26448e-01	5.64756	4.48150	4.36970e-05
1.56528e+04	1.75422e-02	2.26655e-01	4.35478	4.52496	4.36970e-05
1.59323e+04	1.74872e-02	2.27011e-01	2.21197	4.54909	4.36970e-05
1.62118e+04	1.74393e-02	2.27219e-01	5.91179	4.54336	4.36970e-05
1.64913e+04	1.73824e-02	2.27345e-01	3.08683	4.49932	4.36970e-05
1.67708e+04	1.73321e-02	2.27527e-01	6.09611	4.40658	4.36970e-05
1.70504e+04	1.72733e-02	2.27771e-01	2.03726	4.26014	4.36970e-05
1.73299e+04	1.72292e-02	2.27630e-01	2.80001	4.04998	4.36970e-05
1.76094e+04	1.71746e-02	2.27968e-01	1.05853	3.77082	4.36970e-05
1.78889e+04	1.71161e-02	2.27868e-01	1.64904	3.41357	4.36970e-05
1.81684e+04	1.70710e-02	2.27906e-01	2.60032	2.97468	4.36970e-05
1.84479e+04	1.70182e-02	2.27812e-01	1.37213	2.44331	4.36970e-05
1.87274e+04	1.69634e-02	2.27674e-01	0.72838	1.81267	4.36970e-05
1.90070e+04	1.69078e-02	2.27800e-01	2.58141	1.07224	4.36970e-05
1.92865e+04	1.68585e-02	2.27402e-01	1.19808	0.21198	4.36970e-05
1.95660e+04	1.68125e-02	2.27466e-01	1.75031	5.50257	4.36970e-05
1.98455e+04	1.67615e-02	2.27222e-01	1.02183	4.35991	4.36970e-05
2.01250e+04	1.67106e-02	2.26754e-01	5.75511	3.04760	4.36970e-05
2.04045e+04	1.66631e-02	2.26336e-01	0.34225	1.54124	4.36970e-05
2.06840e+04	1.66169e-02	2.25660e-01	2.91904	6.09269	4.36970e-05
2.09636e+04	1.65697e-02	2.25022e-01	1.41400	4.09429	4.36970e-05
2.12431e+04	1.65187e-02	2.24029e-01	2.86862	1.78113	4.36970e-05
2.15226e+04	1.64804e-02	2.22533e-01	1.03164	5.37560	4.36970e-05
2.18021e+04	1.64409e-02	2.21083e-01	0.61624	2.23666	4.36970e-05
2.20816e+04	1.64003e-02	2.19280e-01	3.80806	4.83567	4.36970e-05
2.23611e+04	1.63637e-02	2.17137e-01	3.99710	0.49662	4.36970e-05
2.26406e+04	1.63377e-02	2.14590e-01	4.66268	1.65435	4.36970e-05
2.29201e+04	1.63046e-02	2.11273e-01	1.55336	1.86958	4.36970e-05
2.31997e+04	1.62858e-02	2.07713e-01	3.23871	0.96149	4.36970e-05
2.34792e+04	1.62575e-02	2.03819e-01	2.12517	5.01287	4.36970e-05
2.37587e+04	1.62457e-02	1.99456e-01	2.19358	1.22730	4.36970e-05
2.40382e+04	1.62316e-02	1.94520e-01	3.39308	1.92047	4.36970e-05
2.43177e+04	1.62141e-02	1.89319e-01	4.09944	0.53825	4.36970e-05
2.45972e+04	1.62137e-02	1.83722e-01	3.30288	3.07005	4.36970e-05
2.48767e+04	1.62013e-02	1.78012e-01	2.03817	2.92334	4.36970e-05
2.51563e+04	1.61969e-02	1.72137e-01	4.07593	6.05464	4.36970e-05
2.54358e+04	1.62027e-02	1.66115e-01	3.44809	5.83567	4.36970e-05
2.57153e+04	1.62024e-02	1.60139e-01	2.57685	1.91595	4.36970e-05
2.59948e+04	1.62020e-02	1.54145e-01	5.55790	0.20571	4.36970e-05
2.62743e+04	1.62030e-02	1.48452e-01	4.34523	0.33065	4.36970e-05
2.65538e+04	1.61989e-02	1.42728e-01	2.91499	1.90934	4.36970e-05
2.68333e+04	1.62002e-02	1.37196e-01	3.70233	4.54894	4.36970e-05
2.71129e+04	1.62087e-02	1.31838e-01	0.44550	1.57384	4.36970e-05
2.73924e+04	1.62129e-02	1.26473e-01	2.27706	5.16371	4.36970e-05
2.76719e+04	1.62144e-02	1.21764e-01	1.99512	2.35695	4.36970e-05
2.79514e+04	1.62165e-02	1.16918e-01	0.35764	5.34482	4.36970e-05
