# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.92705e-02	0.00000e+00	0.00000	0.00000	1.29620e-05
2.79514e+02	2.89078e-02	8.00117e-05	3.97157	3.28981	1.29620e-05
5.59028e+02	2.85614e-02	2.78798e-04	2.07226	5.07242	1.29620e-05
8.38542e+02	2.82120e-02	6.60053e-04	6.17583	5.70244	1.29620e-05
1.11806e+03	2.78577e-02	1.04741e-03	3.58192	5.97730	1.29620e-05
1.39757e+03	2.76899e-02	4.48615e-03	1.28540	5.47873	1.29620e-05
1.67708e+03	2.76745e-02	5.63043e-02	1.27427	5.00469	1.29620e-05
1.95660e+03	2.74085e-02	2.78670e-02	0.61167	5.34760	1.29620e-05
2.23611e+03	2.69376e-02	2.33152e-02	5.50481	1.38027	1.29620e-05
2.51563e+03	2.65223e-02	2.32824e-02	4.78794	3.22458	1.29620e-05
2.79514e+03	2.60786e-02	2.53440e-02	4.68238	2.01860	1.29620e-05
3.07465e+03	2.57220e-02	4.10880e-02	5.10073	1.48605	1.29620e-05
3.35417e+03	2.57708e-02	3.95372e-02	4.93021	5.16078	1.29620e-05
3.63368e+03	2.57465e-02	3.43300e-02	0.16131	4.45259	1.29620e-05
3.91320e+03	2.57567e-02	3.49550e-02	3.00787	3.70725	1.29620e-05
4.19271e+03	2.57638e-02	3.56877e-02	5.73831	2.91312	1.29620e-05
4.47222e+03	2.57658e-02	3.53348e-02	2.05578	2.10919	1.29620e-05
4.75174e+03	2.57643e-02	3.54181e-02	4.72097	1.24255	1.29620e-05
5.03125e+03	2.57615e-02	3.56226e-02	1.12707	0.37458	1.29620e-05
5.31077e+03	2.57618e-02	3.55587e-02	3.77788	5.79900	1.29620e-05
5.59028e+03	2.57689e-02	3.57613e-02	0.15441	4.98046	1.29620e-05
5.86979e+03	2.57007e-02	4.04599e-02	0.98983	5.30315	1.29620e-05
6.14931e+03	2.56143e-02	4.22826e-02	5.31591	0.70595	1.29620e-05
6.42882e+03	2.54662e-02	3.90344e-02	2.76378	0.69270	1.29620e-05
6.70834e+03	2.51955e-02	3.15491e-02	6.27273	4.83069	1.29620e-05
6.98785e+03	2.50385e-02	5.76132e-02	4.21810	0.98276	1.29620e-05
7.26736e+03	2.49603e-02	7.56728e-02	1.53220	2.98219	1.29620e-05
7.54688e+03	2.48969e-02	8.99203e-02	5.42999	1.86969	1.29620e-05
7.82639e+03	2.48335e-02	1.02516e-01	4.87965	3.32989	1.29620e-05
8.10591e+03	2.47817e-02	1.13657e-01	2.77004	0.63395	1.29620e-05
8.38542e+03	2.47151e-02	1.23826e-01	3.21223	1.46366	1.29620e-05
8.66493e+03	2.46611e-02	1.32559e-01	5.99480	2.80695	1.29620e-05
8.94445e+03	2.45969e-02	1.40126e-01	4.46730	2.81313	1.29620e-05
9.22396e+03	2.45466e-02	1.46856e-01	4.75163	0.26794	1.29620e-05
9.50348e+03	2.44900e-02	1.52752e-01	0.54563	0.61798	1.29620e-05
9.78299e+03	2.44299e-02	1.57900e-01	4.48541	3.25253	1.29620e-05
1.00625e+04	2.43557e-02	1.62378e-01	3.99100	1.44238	1.29620e-05
1.03420e+04	2.42983e-02	1.66295e-01	5.13145	1.12107	1.29620e-05
1.06215e+04	2.42244e-02	1.69946e-01	1.08136	2.02314	1.29620e-05
1.09010e+04	2.41596e-02	1.73149e-01	3.47414	3.93008	1.29620e-05
1.11806e+04	2.41078e-02	1.75990e-01	4.59409	0.38414	1.29620e-05
1.14601e+04	2.40417e-02	1.78216e-01	2.49206	3.81666	1.29620e-05
1.17396e+04	2.39710e-02	1.80689e-01	0.95456	1.53851	1.29620e-05
1.20191e+04	2.38950e-02	1.82277e-01	3.22515	6.02134	1.29620e-05
1.22986e+04	2.38251e-02	1.83925e-01	5.72148	4.61660	1.29620e-05
1.25781e+04	2.37678e-02	1.85380e-01	4.32475	3.54006	1.29620e-05
1.28576e+04	2.36961e-02	1.86612e-01	0.73093	2.73431	1.29620e-05
1.31372e+04	2.36291e-02	1.87540e-01	2.47045	2.14610	1.29620e-05
1.34167e+04	2.35501e-02	1.88531e-01	3.99711	1.73611	1.29620e-05
1.36962e+04	2.34888e-02	1.89555e-01	5.73778	1.46621	1.29620e-05
1.39757e+04	2.34139e-02	1.90185e-01	1.46616	1.30850	1.29620e-05
1.42552e+04	2.33380e-02	1.90661e-01	3.47487	1.23108	1.29620e-05
1.45347e+04	2.32787e-02	1.91466e-01	4.91080	1.21435	1.29620e-05
1.48142e+04	2.32043e-02	1.91797e-01	4.98747	1.23709	1.29620e-05
1.50938e+04	2.31350e-02	1.92215e-01	2.57766	1.28281	1.29620e-05
1.53733e+04	2.30678e-02	1.92293e-01	2.72486	1.33334	1.29620e-05
1.56528e+04	2.29885e-02	1.92763e-01	3.95624	1.37586	1.29620e-05
1.59323e+04	2.29220e-02	1.93056e-01	4.62265	1.40063	1.29620e-05
1.62118e+04	2.28575e-02	1.93030e-01	2.89887	1.39507	1.29620e-05
1.64913e+04	2.27785e-02	1.93342e-01	3.11302	1.35102	1.29620e-05
1.67708e+04	2.27170e-02	1.93414e-01	3.02210	1.25938	1.29620e-05
1.70504e+04	2.26480e-02	1.93802e-01	0.31841	1.11217	1.29620e-05
1.73299e+04	2.25792e-02	1.93923e-01	5.01676	0.90056	1.29620e-05
1.76094e+04	2.25020e-02	1.93571e-01	1.76062	0.62187	1.29620e-05
1.78889e+04	2.24430e-02	1.94051e-01	0.05901	0.26607	1.29620e-05
1.81684e+04	2.23600e-02	1.93790e-01	2.79063	6.10804	1.29620e-05
1.84479e+04	2.22959e-02	1.93852e-01	6.15755	5.57694	1.29620e-05
1.87274e+04	2.22361e-02	1.93865e-01	5.73018	4.94619	1.29620e-05
1.90070e+04	2.21580e-02	1.93545e-01	2.77285	4.20675	1.29620e-05
1.92865e+04	2.20965e-02	1.93581e-01	3.94727	3.34624	1.29620e-05
1.95660e+04	2.20257e-02	1.93151e-01	2.21807	2.35403	1.29620e-05
1.98455e+04	2.19618e-02	1.92835e-01	1.73505	1.21201	1.29620e-05
2.01250e+04	2.18901e-02	1.92681e-01	4.88875	6.18328	1.29620e-05
2.04045e+04	2.18293e-02	1.92213e-01	5.46987	4.67596	1.29620e-05
2.06840e+04	2.17764e-02	1.91920e-01	0.90721	2.94317	1.29620e-05
2.09636e+04	2.17191e-02	1.90937e-01	4.09195	0.94426	1.29620e-05
2.12431e+04	2.16564e-02	1.90132e-01	5.06054	4.91469	1.29620e-05
2.15226e+04	2.15923e-02	1.89001e-01	1.74211	2.22580	1.29620e-05
2.18021e+04	2.15500e-02	1.87617e-01	5.65719	5.36849	1.29620e-05
2.20816e+04	2.14923e-02	1.85786e-01	3.59581	1.68441	1.29620e-05
2.23611e+04	2.14496e-02	1.83821e-01	1.62540	3.62923	1.29620e-05
2.26406e+04	2.14070e-02	1.81448e-01	6.25714	4.78682	1.29620e-05
2.29201e+04	2.13763e-02	1.78726e-01	6.28029	5.00154	1.29620e-05
2.31997e+04	2.13417e-02	1.75485e-01	5.30849	4.09261	1.29620e-05
2.34792e+04	2.13107e-02	1.71649e-01	4.56702	1.86043	1.29620e-05
2.37587e+04	2.12936e-02	1.67666e-01	4.61307	4.35657	1.29620e-05
2.40382e+04	2.12751e-02	1.63383e-01	1.22186	5.05206	1.29620e-05
2.43177e+04	2.12595e-02	1.58602e-01	5.88452	3.66837	1.29620e-05
2.45972e+04	2.12367e-02	1.53541e-01	3.25615	6.20215	1.29620e-05
2.48767e+04	2.12327e-02	1.48327e-01	2.40991	6.05646	1.29620e-05
2.51563e+04	2.12372e-02	1.43347e-01	5.86547	2.90215	1.29620e-05
2.54358e+04	2.12230e-02	1.37959e-01	3.34993	2.68606	1.29620e-05
2.57153e+04	2.12226e-02	1.32663e-01	2.77524	5.04582	1.29620e-05
2.59948e+04	2.12303e-02	1.27312e-01	4.75932	3.33752	1.29620e-05
2.62743e+04	2.12387e-02	1.22446e-01	1.85581	3.46609	1.29620e-05
2.65538e+04	2.12308e-02	1.17298e-01	2.99705	5.04204	1.29620e-05
2.68333e+04	2.12393e-02	1.12651e-01	1.42532	1.39989	1.29620e-05
2.71129e+04	2.12366e-02	1.07870e-01	5.53652	4.70943	1.29620e-05
2.73924e+04	2.12449e-02	1.03629e-01	0.47570	2.01408	1.29620e-05
2.76719e+04	2.12540e-02	9.92887e-02	4.47984	5.48921	1.29620e-05
2.79514e+04	2.12462e-02	9.51043e-02	5.47847	2.19739	1.29620e-05
