# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	4.08714e-02	0.00000e+00	0.00000	0.00000	2.31180e-05
2.79514e+02	4.00163e-02	4.31739e-04	0.31889	4.74126	2.31180e-05
5.59028e+02	3.91673e-02	1.10637e-04	5.28156	2.06447	2.31180e-05
8.38542e+02	3.83508e-02	3.28466e-04	6.13606	1.10369	2.31180e-05
1.11806e+03	3.75393e-02	1.73861e-04	5.11616	3.51155	2.31180e-05
1.39757e+03	3.67476e-02	4.83185e-04	5.44495	5.49675	2.31180e-05
1.67708e+03	3.62146e-02	1.62830e-02	2.23121	1.63823	2.31180e-05
1.95660e+03	3.59339e-02	1.61534e-02	1.64006	2.17514	2.31180e-05
2.23611e+03	3.53369e-02	1.47110e-02	2.67640	4.59620	2.31180e-05
2.51563e+03	3.47787e-02	1.49361e-02	6.06531	0.02015	2.31180e-05
2.79514e+03	3.42120e-02	1.67829e-02	2.13045	5.19535	2.31180e-05
3.07465e+03	3.38003e-02	7.06884e-03	2.50984	0.49807	2.31180e-05
3.35417e+03	3.37897e-02	9.80739e-03	5.98267	2.36990	2.31180e-05
3.63368e+03	3.37894e-02	6.75191e-03	3.09078	1.41407	2.31180e-05
3.91320e+03	3.37904e-02	6.01047e-03	0.82705	0.67325	2.31180e-05
4.19271e+03	3.38006e-02	6.47497e-03	4.86579	6.05748	2.31180e-05
4.47222e+03	3.37827e-02	6.64241e-03	2.41861	5.26956	2.31180e-05
4.75174e+03	3.38023e-02	6.71181e-03	0.00778	4.41792	2.31180e-05
5.03125e+03	3.37844e-02	6.42633e-03	3.86579	3.56485	2.31180e-05
5.31077e+03	3.37980e-02	6.55036e-03	1.39472	2.75128	2.31180e-05
5.59028e+03	3.37884e-02	6.46520e-03	5.33648	1.86189	2.31180e-05
5.86979e+03	3.37009e-02	7.64904e-03	5.89136	2.18375	2.31180e-05
6.14931e+03	3.35705e-02	7.64798e-03	0.38729	3.88243	2.31180e-05
6.42882e+03	3.33974e-02	7.39436e-03	5.00062	3.83365	2.31180e-05
6.70834e+03	3.30416e-02	5.29419e-03	3.12814	1.70855	2.31180e-05
6.98785e+03	3.28316e-02	1.12396e-02	3.87155	4.12173	2.31180e-05
7.26736e+03	3.27308e-02	1.62667e-02	6.26366	6.12700	2.31180e-05
7.54688e+03	3.26293e-02	1.97366e-02	4.68926	4.99875	2.31180e-05
7.82639e+03	3.25454e-02	2.36507e-02	0.13950	0.17123	2.31180e-05
8.10591e+03	3.24786e-02	2.73267e-02	0.83023	3.75190	2.31180e-05
8.38542e+03	3.24019e-02	3.04708e-02	5.33040	4.56666	2.31180e-05
8.66493e+03	3.23189e-02	3.33364e-02	2.99555	5.90711	2.31180e-05
8.94445e+03	3.22464e-02	3.59984e-02	1.98328	5.90694	2.31180e-05
9.22396e+03	3.21715e-02	3.85206e-02	4.27813	3.34914	2.31180e-05
9.50348e+03	3.20939e-02	4.09639e-02	5.67081	3.69156	2.31180e-05
9.78299e+03	3.20158e-02	4.28984e-02	2.00904	0.04967	2.31180e-05
1.00625e+04	3.19296e-02	4.48228e-02	1.68589	4.51286	2.31180e-05
1.03420e+04	3.18541e-02	4.68639e-02	0.35744	4.18591	2.31180e-05
1.06215e+04	3.17655e-02	4.83502e-02	6.04435	5.07990	2.31180e-05
1.09010e+04	3.16659e-02	4.93818e-02	1.36144	0.69624	2.31180e-05
1.11806e+04	3.15798e-02	5.08757e-02	0.01245	3.43615	2.31180e-05
1.14601e+04	3.14912e-02	5.19913e-02	2.80809	0.57455	2.31180e-05
1.17396e+04	3.14184e-02	5.25156e-02	3.88180	4.57478	2.31180e-05
1.20191e+04	3.13114e-02	5.37684e-02	3.30202	2.77466	2.31180e-05
1.22986e+04	3.12417e-02	5.46462e-02	0.77354	1.37101	2.31180e-05
