# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.61697e-02	1.96423e-02	0.03111	0.69103	4.83340e-05
2.00369e+01	1.60847e-02	5.73764e-03	5.84322	4.85999	4.83340e-05
4.00738e+01	1.60547e-02	4.55012e-03	0.96413	4.65011	4.83340e-05
6.01107e+01	1.60325e-02	3.88390e-03	3.63056	5.23937	4.83340e-05
8.01477e+01	1.60171e-02	3.54859e-03	1.46512	4.55892	4.83340e-05
1.00185e+02	1.60021e-02	3.22092e-03	0.84115	3.98511	4.83340e-05
1.20221e+02	1.59899e-02	3.10967e-03	1.01856	0.05386	4.83340e-05
1.40258e+02	1.59803e-02	2.93847e-03	4.19927	3.09976	4.83340e-05
1.60295e+02	1.59720e-02	2.68612e-03	1.19725	3.47311	4.83340e-05
1.80332e+02	1.59613e-02	2.75989e-03	3.80989	6.03484	4.83340e-05
2.00369e+02	1.59521e-02	2.57849e-03	5.57804	5.25546	4.83340e-05
2.20406e+02	1.59431e-02	2.46126e-03	4.22166	6.11316	4.83340e-05
2.40443e+02	1.59367e-02	2.49414e-03	6.19427	0.01902	4.83340e-05
2.60480e+02	1.59288e-02	2.30766e-03	2.82278	1.09354	4.83340e-05
2.80517e+02	1.59256e-02	2.27610e-03	5.14160	4.56746	4.83340e-05
3.00554e+02	1.59173e-02	2.14353e-03	1.87718	3.39339	4.83340e-05
3.20591e+02	1.59159e-02	2.16223e-03	0.56705	4.08700	4.83340e-05
3.40627e+02	1.59039e-02	2.15191e-03	5.05109	4.84021	4.83340e-05
3.60664e+02	1.58993e-02	2.15548e-03	0.36700	4.10789	4.83340e-05
3.80701e+02	1.58933e-02	2.03508e-03	3.63500	6.20026	4.83340e-05
4.00738e+02	1.58894e-02	2.14633e-03	2.55318	1.46651	4.83340e-05
4.20775e+02	1.58826e-02	1.99111e-03	2.39264	0.51452	4.83340e-05
4.40812e+02	1.58795e-02	2.02193e-03	4.22044	5.78436	4.83340e-05
4.60849e+02	1.58748e-02	2.04078e-03	2.48363	1.59109	4.83340e-05
4.80886e+02	1.58686e-02	1.95517e-03	4.65607	3.10639	4.83340e-05
5.00923e+02	1.58652e-02	1.94454e-03	5.69243	0.72387	4.83340e-05
5.20960e+02	1.58614e-02	1.95987e-03	2.27108	2.11588	4.83340e-05
5.40997e+02	1.58573e-02	1.92796e-03	2.12382	3.89701	4.83340e-05
5.61034e+02	1.58528e-02	1.91204e-03	1.61267	1.52076	4.83340e-05
5.81070e+02	1.58472e-02	1.82922e-03	3.38496	3.28003	4.83340e-05
6.01107e+02	1.58455e-02	1.80098e-03	3.36645	5.23188	4.83340e-05
6.21144e+02	1.58401e-02	1.74166e-03	5.55938	1.97619	4.83340e-05
6.41181e+02	1.58369e-02	1.79475e-03	0.26844	1.96222	4.83340e-05
6.61218e+02	1.58341e-02	1.76783e-03	3.50510	0.25906	4.83340e-05
6.81255e+02	1.58293e-02	1.71464e-03	0.15212	4.52450	4.83340e-05
7.01292e+02	1.58261e-02	1.75247e-03	6.17627	3.66089	4.83340e-05
7.21329e+02	1.58227e-02	1.68849e-03	0.84845	4.90687	4.83340e-05
7.41366e+02	1.58192e-02	1.71106e-03	6.07755	4.03851	4.83340e-05
7.61403e+02	1.58163e-02	1.73390e-03	1.84441	1.23983	4.83340e-05
7.81440e+02	1.58132e-02	1.72180e-03	4.06283	4.72832	4.83340e-05
8.01476e+02	1.58109e-02	1.49602e-03	4.75990	2.70622	4.83340e-05
8.21513e+02	1.58071e-02	1.64651e-03	2.55868	2.01948	4.83340e-05
8.41550e+02	1.58059e-02	1.47540e-03	1.10007	4.24816	4.83340e-05
8.61587e+02	1.58004e-02	1.66520e-03	4.68498	4.32172	4.83340e-05
8.81624e+02	1.58030e-02	1.60379e-03	5.91188	2.52703	4.83340e-05
9.01661e+02	1.57929e-02	1.57614e-03	3.19235	6.03302	4.83340e-05
9.21698e+02	1.57976e-02	1.60310e-03	0.24648	3.94313	4.83340e-05
9.41735e+02	1.57888e-02	1.63483e-03	2.46984	2.72262	4.83340e-05
9.61772e+02	1.57860e-02	1.56433e-03	2.11611	3.20377	4.83340e-05
9.81809e+02	1.57817e-02	1.51146e-03	3.59607	0.30711	4.83340e-05
1.00185e+03	1.57795e-02	1.53765e-03	0.12257	0.23621	4.83340e-05
1.02188e+03	1.57759e-02	1.47894e-03	2.12544	4.36351	4.83340e-05
1.04192e+03	1.57735e-02	1.48125e-03	2.83802	0.06364	4.83340e-05
1.06196e+03	1.57714e-02	1.47801e-03	5.90646	1.99755	4.83340e-05
1.08199e+03	1.57684e-02	1.48766e-03	5.59239	2.82593	4.83340e-05
1.10203e+03	1.57697e-02	1.35073e-03	5.28273	4.73213	4.83340e-05
1.12207e+03	1.57642e-02	1.51481e-03	5.13584	0.81593	4.83340e-05
1.14210e+03	1.57601e-02	1.41099e-03	3.77485	4.48888	4.83340e-05
1.16214e+03	1.57590e-02	1.49962e-03	5.47520	4.75753	4.83340e-05
1.18218e+03	1.57559e-02	1.34593e-03	3.73941	1.21759	4.83340e-05
1.20221e+03	1.57535e-02	1.33041e-03	3.85724	0.73302	4.83340e-05
1.22225e+03	1.57518e-02	1.48868e-03	4.86392	3.76736	4.83340e-05
1.24229e+03	1.57522e-02	1.27997e-03	5.24650	5.13887	4.83340e-05
1.26233e+03	1.57474e-02	1.34784e-03	4.49053	4.99905	4.83340e-05
1.28236e+03	1.57449e-02	1.48598e-03	2.07694	3.31882	4.83340e-05
1.30240e+03	1.57427e-02	1.46887e-03	2.50270	1.52040	4.83340e-05
1.32244e+03	1.57430e-02	1.32639e-03	5.28660	5.98104	4.83340e-05
1.34247e+03	1.57366e-02	1.29845e-03	3.42587	4.50443	4.83340e-05
1.36251e+03	1.57343e-02	1.32569e-03	3.08959	2.99489	4.83340e-05
1.38255e+03	1.57319e-02	1.34245e-03	1.50117	3.86093	4.83340e-05
