# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.12081e-02	2.62448e-02	5.25530	3.83006	4.53990e-05
2.00369e+01	2.11564e-02	7.54000e-03	4.96532	1.68234	4.53990e-05
4.00738e+01	2.11385e-02	5.92804e-03	1.66171	1.55415	4.53990e-05
6.01107e+01	2.11336e-02	5.28241e-03	1.37253	2.06299	4.53990e-05
8.01477e+01	2.11168e-02	4.69672e-03	2.04446	1.41360	4.53990e-05
1.00185e+02	2.11124e-02	4.24040e-03	5.80269	0.80383	4.53990e-05
1.20221e+02	2.11057e-02	3.99819e-03	5.97305	3.10141	4.53990e-05
1.40258e+02	2.10952e-02	3.90789e-03	3.85253	6.22526	4.53990e-05
1.60295e+02	2.10947e-02	3.62917e-03	3.98202	0.32350	4.53990e-05
1.80332e+02	2.10834e-02	3.49017e-03	3.63035	2.83889	4.53990e-05
2.00369e+02	2.10810e-02	3.39111e-03	4.78385	2.06739	4.53990e-05
2.20406e+02	2.10810e-02	3.34343e-03	5.97133	3.00877	4.53990e-05
2.40443e+02	2.10735e-02	3.20802e-03	0.91715	3.27054	4.53990e-05
2.60480e+02	2.10739e-02	3.16485e-03	5.08754	4.23511	4.53990e-05
2.80517e+02	2.10676e-02	3.06691e-03	2.31826	1.44653	4.53990e-05
3.00554e+02	2.10657e-02	3.00322e-03	4.41516	0.28366	4.53990e-05
3.20591e+02	2.10562e-02	2.92083e-03	3.54445	0.95146	4.53990e-05
3.40627e+02	2.10593e-02	2.94342e-03	0.21017	1.75517	4.53990e-05
3.60664e+02	2.10515e-02	2.65166e-03	1.30251	0.98517	4.53990e-05
3.80701e+02	2.10539e-02	2.74214e-03	1.32918	3.04572	4.53990e-05
4.00738e+02	2.10412e-02	2.77573e-03	2.70744	4.66362	4.53990e-05
4.20775e+02	2.10477e-02	2.67614e-03	0.57198	3.57738	4.53990e-05
4.40812e+02	2.10365e-02	2.66727e-03	3.82321	2.66232	4.53990e-05
4.60849e+02	2.10330e-02	2.53635e-03	2.78283	4.65754	4.53990e-05
4.80886e+02	2.10369e-02	2.63117e-03	6.17122	0.09647	4.53990e-05
5.00923e+02	2.10309e-02	2.36781e-03	4.82214	3.85665	4.53990e-05
5.20960e+02	2.10252e-02	2.41027e-03	2.50787	5.33123	4.53990e-05
5.40997e+02	2.10232e-02	2.40647e-03	2.51026	0.71553	4.53990e-05
5.61034e+02	2.10209e-02	2.31251e-03	2.06696	4.74987	4.53990e-05
5.81070e+02	2.10262e-02	2.52433e-03	5.42105	0.18588	4.53990e-05
6.01107e+02	2.10164e-02	2.33592e-03	3.28756	2.09069	4.53990e-05
6.21144e+02	2.10178e-02	2.27095e-03	0.55354	5.19208	4.53990e-05
6.41181e+02	2.10145e-02	2.26604e-03	1.25518	5.11075	4.53990e-05
6.61218e+02	2.10091e-02	2.36333e-03	3.39852	3.38110	4.53990e-05
6.81255e+02	2.10103e-02	2.25254e-03	5.32790	1.33622	4.53990e-05
7.01292e+02	2.10079e-02	2.20694e-03	5.24624	0.38328	4.53990e-05
7.21329e+02	2.10047e-02	2.16612e-03	1.58086	1.84532	4.53990e-05
7.41366e+02	2.10041e-02	2.15623e-03	5.06190	0.89529	4.53990e-05
7.61403e+02	2.09988e-02	2.08593e-03	2.22063	4.46859	4.53990e-05
7.81440e+02	2.09965e-02	2.09482e-03	3.66245	1.67069	4.53990e-05
8.01476e+02	2.10008e-02	2.12018e-03	2.09734	5.80967	4.53990e-05
8.21513e+02	2.09930e-02	2.18363e-03	2.74034	5.18542	4.53990e-05
8.41550e+02	2.09953e-02	2.07906e-03	3.89287	1.14295	4.53990e-05
8.61587e+02	2.09895e-02	1.99379e-03	4.23348	1.08140	4.53990e-05
8.81624e+02	2.09885e-02	2.12715e-03	2.89859	5.64244	4.53990e-05
9.01661e+02	2.09937e-02	2.19485e-03	5.30559	2.93870	4.53990e-05
9.21698e+02	2.09851e-02	2.01261e-03	3.32460	0.79689	4.53990e-05
9.41735e+02	2.09814e-02	2.08834e-03	2.77111	5.79269	4.53990e-05
9.61772e+02	2.09807e-02	2.05201e-03	2.45119	0.09033	4.53990e-05
9.81809e+02	2.09869e-02	2.10698e-03	1.28809	3.42272	4.53990e-05
1.00185e+03	2.09812e-02	1.94865e-03	5.29864	3.34971	4.53990e-05
1.02188e+03	2.09837e-02	1.98537e-03	0.40642	1.11394	4.53990e-05
1.04192e+03	2.09816e-02	2.05920e-03	5.03002	3.30168	4.53990e-05
1.06196e+03	2.09744e-02	1.84518e-03	4.97778	5.08763	4.53990e-05
1.08199e+03	2.09763e-02	1.85193e-03	0.59494	6.01829	4.53990e-05
1.10203e+03	2.09723e-02	1.88368e-03	2.41420	1.58449	4.53990e-05
1.12207e+03	2.09690e-02	1.80277e-03	4.42194	3.97843	4.53990e-05
1.14210e+03	2.09729e-02	1.97556e-03	5.70733	1.39179	4.53990e-05
1.16214e+03	2.09660e-02	1.74872e-03	4.61306	1.66186	4.53990e-05
1.18218e+03	2.09704e-02	1.99632e-03	1.35315	4.34824	4.53990e-05
1.20221e+03	2.09685e-02	1.91713e-03	1.46691	3.82413	4.53990e-05
1.22225e+03	2.09604e-02	1.74741e-03	4.18166	0.70646	4.53990e-05
1.24229e+03	2.09621e-02	1.81246e-03	2.43042	1.96094	4.53990e-05
1.26233e+03	2.09640e-02	1.78152e-03	1.89564	1.81605	4.53990e-05
1.28236e+03	2.09549e-02	1.86359e-03	2.38398	0.25288	4.53990e-05
1.30240e+03	2.09535e-02	1.78112e-03	2.82010	4.56429	4.53990e-05
1.32244e+03	2.09569e-02	1.81095e-03	2.38609	2.87276	4.53990e-05
1.34247e+03	2.09587e-02	1.88573e-03	1.19187	1.29752	4.53990e-05
1.36251e+03	2.09580e-02	1.76879e-03	5.19892	6.23168	4.53990e-05
1.38255e+03	2.09565e-02	1.86523e-03	6.26657	0.62098	4.53990e-05
1.40258e+03	2.09505e-02	1.63175e-03	5.03139	2.56622	4.53990e-05
1.42262e+03	2.09527e-02	1.83423e-03	0.49616	0.41544	4.53990e-05
1.44266e+03	2.09517e-02	1.86935e-03	5.48441	0.08889	4.53990e-05
1.46269e+03	2.09472e-02	1.76152e-03	5.60624	3.34900	4.53990e-05
1.48273e+03	2.09429e-02	1.71184e-03	1.63714	2.96650	4.53990e-05
1.50277e+03	2.09483e-02	1.83872e-03	5.15277	6.16495	4.53990e-05
1.52281e+03	2.09410e-02	1.66393e-03	2.72130	1.14398	4.53990e-05
1.54284e+03	2.09455e-02	1.77586e-03	0.85408	0.15083	4.53990e-05
1.56288e+03	2.09400e-02	1.69060e-03	5.38643	3.55208	4.53990e-05
1.58292e+03	2.09348e-02	1.67077e-03	2.98032	5.78705	4.53990e-05
1.60295e+03	2.09425e-02	1.78961e-03	6.09189	0.51917	4.53990e-05
1.62299e+03	2.09404e-02	1.79180e-03	1.01845	1.41321	4.53990e-05
1.64303e+03	2.09347e-02	1.54095e-03	1.30610	1.12429	4.53990e-05
1.66306e+03	2.09338e-02	1.53340e-03	5.02171	1.50351	4.53990e-05
1.68310e+03	2.09357e-02	1.77145e-03	0.28516	1.79195	4.53990e-05
1.70314e+03	2.09307e-02	1.60191e-03	5.26945	2.63336	4.53990e-05
1.72317e+03	2.09301e-02	1.61000e-03	0.82617	4.16821	4.53990e-05
1.74321e+03	2.09280e-02	1.55514e-03	4.98622	0.89636	4.53990e-05
1.76325e+03	2.09290e-02	1.51592e-03	5.38404	5.10886	4.53990e-05
1.78328e+03	2.09245e-02	1.51467e-03	1.65246	4.55150	4.53990e-05
1.80332e+03	2.09274e-02	1.51729e-03	5.54576	6.23981	4.53990e-05
1.82336e+03	2.09226e-02	1.60801e-03	4.62946	3.73644	4.53990e-05
1.84340e+03	2.09281e-02	1.73679e-03	5.12217	3.24189	4.53990e-05
1.86343e+03	2.09273e-02	1.63666e-03	5.77167	5.98855	4.53990e-05
1.88347e+03	2.09240e-02	1.70238e-03	0.24935	5.66247	4.53990e-05
1.90351e+03	2.09243e-02	1.72743e-03	1.24322	2.08989	4.53990e-05
1.92354e+03	2.09152e-02	1.54467e-03	2.61736	1.34514	4.53990e-05
1.94358e+03	2.09137e-02	1.55535e-03	2.82067	4.94977	4.53990e-05
1.96362e+03	2.09181e-02	1.50702e-03	2.12017	6.24465	4.53990e-05
1.98365e+03	2.09204e-02	1.58268e-03	0.76343	4.93955	4.53990e-05
2.00369e+03	2.09182e-02	1.59378e-03	4.50683	1.50662	4.53990e-05
2.02373e+03	2.09148e-02	1.59324e-03	5.86982	3.35857	4.53990e-05
2.04376e+03	2.09127e-02	1.55199e-03	5.52729	3.49491	4.53990e-05
2.06380e+03	2.09087e-02	1.59296e-03	2.93751	2.43455	4.53990e-05
2.08384e+03	2.09076e-02	1.48289e-03	4.06959	0.35713	4.53990e-05
2.10388e+03	2.09062e-02	1.54065e-03	2.66729	3.50831	4.53990e-05
2.12391e+03	2.09050e-02	1.45605e-03	4.22908	0.04770	4.53990e-05
2.14395e+03	2.09072e-02	1.48489e-03	2.46016	2.50974	4.53990e-05
2.16399e+03	2.09023e-02	1.48860e-03	3.73913	4.46599	4.53990e-05
2.18402e+03	2.09039e-02	1.44313e-03	1.33607	0.08045	4.53990e-05
2.20406e+03	2.09033e-02	1.46834e-03	0.97728	2.34963	4.53990e-05
2.22410e+03	2.08993e-02	1.51055e-03	2.75099	4.87714	4.53990e-05
2.24413e+03	2.09041e-02	1.58941e-03	6.05398	1.93355	4.53990e-05
2.26417e+03	2.09050e-02	1.61666e-03	5.37266	5.27660	4.53990e-05
2.28421e+03	2.09003e-02	1.36779e-03	5.15537	4.12708	4.53990e-05
2.30425e+03	2.08998e-02	1.43595e-03	0.40161	3.47897	4.53990e-05
2.32428e+03	2.08994e-02	1.41196e-03	2.35104	4.53640	4.53990e-05
2.34432e+03	2.08971e-02	1.47480e-03	5.44219	0.28226	4.53990e-05
2.36436e+03	2.08923e-02	1.44639e-03	2.70473	3.93643	4.53990e-05
2.38439e+03	2.08994e-02	1.47492e-03	0.04504	3.25778	4.53990e-05
2.40443e+03	2.08932e-02	1.43130e-03	3.66927	4.56538	4.53990e-05
2.42447e+03	2.08967e-02	1.59108e-03	0.57029	2.01841	4.53990e-05
2.44450e+03	2.08890e-02	1.52441e-03	3.72853	1.32492	4.53990e-05
2.46454e+03	2.08935e-02	1.52950e-03	0.05610	3.04513	4.53990e-05
2.48458e+03	2.08949e-02	1.50188e-03	1.32034	1.65316	4.53990e-05
2.50461e+03	2.08856e-02	1.48187e-03	2.30803	2.32615	4.53990e-05
2.52465e+03	2.08927e-02	1.44545e-03	1.57235	0.18310	4.53990e-05
2.54469e+03	2.08910e-02	1.40023e-03	0.27258	0.35595	4.53990e-05
2.56472e+03	2.08835e-02	1.45697e-03	3.17147	4.23721	4.53990e-05
2.58476e+03	2.08831e-02	1.41266e-03	4.29454	5.24413	4.53990e-05
2.60480e+03	2.08808e-02	1.47340e-03	3.87768	3.10856	4.53990e-05
2.62484e+03	2.08828e-02	1.39979e-03	1.35860	4.63832	4.53990e-05
2.64487e+03	2.08830e-02	1.41524e-03	2.50783	4.01994	4.53990e-05
2.66491e+03	2.08796e-02	1.43378e-03	1.90009	0.40563	4.53990e-05
