# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.78249e-02	1.94165e-02	4.56222	0.67400	1.26440e-05
2.00369e+01	2.78886e-02	5.49301e-03	0.13903	4.86903	1.26440e-05
4.00738e+01	2.79119e-02	4.36910e-03	6.24565	4.81057	1.26440e-05
6.01107e+01	2.79171e-02	3.42388e-03	1.93240	5.22762	1.26440e-05
8.01477e+01	2.79327e-02	3.17371e-03	2.25413	4.74120	1.26440e-05
1.00185e+02	2.79406e-02	3.01029e-03	4.83875	4.01215	1.26440e-05
1.20221e+02	2.79586e-02	2.83999e-03	0.84576	6.24490	1.26440e-05
1.40258e+02	2.79616e-02	2.52486e-03	3.54127	3.16232	1.26440e-05
1.60295e+02	2.79812e-02	2.63705e-03	1.33951	3.77580	1.26440e-05
1.80332e+02	2.79815e-02	2.57532e-03	5.73455	5.82288	1.26440e-05
2.00369e+02	2.79814e-02	2.27215e-03	4.14486	5.29732	1.26440e-05
2.20406e+02	2.79848e-02	2.22039e-03	0.85733	6.18091	1.26440e-05
2.40443e+02	2.80000e-02	2.32826e-03	5.81281	0.17625	1.26440e-05
2.60480e+02	2.79988e-02	2.14759e-03	0.22208	1.19215	1.26440e-05
2.80517e+02	2.79961e-02	2.11538e-03	2.81020	4.32903	1.26440e-05
3.00554e+02	2.80202e-02	2.12231e-03	1.53941	3.82793	1.26440e-05
3.20591e+02	2.80242e-02	2.13983e-03	5.53797	4.09529	1.26440e-05
3.40627e+02	2.80161e-02	1.94269e-03	3.27045	4.93806	1.26440e-05
3.60664e+02	2.80216e-02	1.80906e-03	4.02263	4.14868	1.26440e-05
3.80701e+02	2.80354e-02	1.61406e-03	4.29721	5.87379	1.26440e-05
4.00738e+02	2.80360e-02	1.97919e-03	0.57969	1.70322	1.26440e-05
4.20775e+02	2.80368e-02	1.60115e-03	3.80360	0.13606	1.26440e-05
4.40812e+02	2.80373e-02	1.68678e-03	3.76988	5.61314	1.26440e-05
4.60849e+02	2.80433e-02	1.81080e-03	5.20798	1.34076	1.26440e-05
4.80886e+02	2.80477e-02	1.64737e-03	5.22580	3.19380	1.26440e-05
5.00923e+02	2.80478e-02	1.62404e-03	2.08374	0.77754	1.26440e-05
5.20960e+02	2.80569e-02	1.84856e-03	0.31828	2.49885	1.26440e-05
5.40997e+02	2.80569e-02	1.55413e-03	4.88026	3.82100	1.26440e-05
5.61034e+02	2.80643e-02	1.85549e-03	0.04157	1.90696	1.26440e-05
5.81070e+02	2.80601e-02	1.39474e-03	4.37265	3.67556	1.26440e-05
6.01107e+02	2.80641e-02	1.54799e-03	3.22845	5.24389	1.26440e-05
6.21144e+02	2.80624e-02	1.59770e-03	1.46744	2.04047	1.26440e-05
6.41181e+02	2.80690e-02	1.59279e-03	4.08492	1.90363	1.26440e-05
6.61218e+02	2.80709e-02	1.39878e-03	3.18270	0.37753	1.26440e-05
6.81255e+02	2.80703e-02	1.50951e-03	4.68059	4.36581	1.26440e-05
7.01292e+02	2.80830e-02	1.65219e-03	0.35276	3.52762	1.26440e-05
7.21329e+02	2.80781e-02	1.38209e-03	2.15307	4.96001	1.26440e-05
7.41366e+02	2.80821e-02	1.52736e-03	2.16226	4.17032	1.26440e-05
7.61403e+02	2.80908e-02	1.67430e-03	0.11218	1.65288	1.26440e-05
7.81440e+02	2.80882e-02	1.50382e-03	1.09756	5.07408	1.26440e-05
8.01476e+02	2.81003e-02	1.59130e-03	4.95859	2.20225	1.26440e-05
8.21513e+02	2.80911e-02	1.28903e-03	2.94364	1.98670	1.26440e-05
8.41550e+02	2.81048e-02	1.65038e-03	1.14074	4.73373	1.26440e-05
8.61587e+02	2.81026e-02	1.63259e-03	6.23635	3.95235	1.26440e-05
