# t [t_{circ,b}]	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	3.65405e-02	3.11839e-03	6.23089	3.76983	2.31300e-05
2.00369e+01	3.68487e-02	6.89289e-04	5.32983	1.76122	2.31300e-05
4.00738e+01	3.69713e-02	5.20937e-04	0.90635	1.80765	2.31300e-05
6.01107e+01	3.70711e-02	8.69188e-04	6.21392	2.42058	2.31300e-05
8.01477e+01	3.71272e-02	5.20101e-04	0.20961	1.84601	2.31300e-05
1.00185e+02	3.71936e-02	4.20082e-04	4.95619	0.18499	2.31300e-05
1.20221e+02	3.72291e-02	4.10558e-04	1.78792	2.96054	2.31300e-05
1.40258e+02	3.72876e-02	5.09664e-04	0.71262	0.63103	2.31300e-05
1.60295e+02	3.73390e-02	3.80286e-04	5.43974	5.48663	2.31300e-05
1.80332e+02	3.73643e-02	4.49423e-04	0.40723	3.04827	2.31300e-05
2.00369e+02	3.74006e-02	3.39357e-04	0.99128	2.87507	2.31300e-05
2.20406e+02	3.74350e-02	4.30885e-04	1.11400	3.60607	2.31300e-05
2.40443e+02	3.74659e-02	3.34240e-04	0.46098	3.61352	2.31300e-05
2.60480e+02	3.74878e-02	3.53072e-04	1.28958	4.29531	2.31300e-05
2.80517e+02	3.75124e-02	2.29397e-04	4.76838	1.50194	2.31300e-05
3.00554e+02	3.75395e-02	2.91558e-04	2.67112	0.02114	2.31300e-05
3.20591e+02	3.75846e-02	1.78167e-04	0.48552	3.17293	2.31300e-05
3.40627e+02	3.75926e-02	2.80199e-04	2.94416	2.11625	2.31300e-05
3.60664e+02	3.76298e-02	4.01826e-04	0.70785	1.98994	2.31300e-05
3.80701e+02	3.76576e-02	5.23018e-04	0.74722	3.89437	2.31300e-05
4.00738e+02	3.76674e-02	2.16304e-04	1.22680	5.02752	2.31300e-05
4.20775e+02	3.77009e-02	6.03029e-04	5.92537	3.13076	2.31300e-05
4.40812e+02	3.77113e-02	3.47703e-04	5.94229	2.24859	2.31300e-05
4.60849e+02	3.77320e-02	3.73862e-04	0.24238	4.69313	2.31300e-05
4.80886e+02	3.77614e-02	5.30604e-04	0.19055	0.26127	2.31300e-05
