# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.21581e-02	1.45354e-03	0.99007	1.67312	4.59020e-05
4.65857e+01	1.21605e-02	2.57981e-03	3.39900	1.52467	4.59020e-05
9.31714e+01	1.21586e-02	1.62679e-03	3.11231	2.39334	4.59020e-05
1.39757e+02	1.21577e-02	1.00247e-03	2.00338	4.15762	4.59020e-05
1.86343e+02	1.21585e-02	2.82077e-03	3.20722	4.86346	4.59020e-05
2.32928e+02	1.21589e-02	1.34549e-03	5.80263	4.65416	4.59020e-05
2.79514e+02	1.21577e-02	2.83276e-03	1.38576	0.50833	4.59020e-05
3.26100e+02	1.21579e-02	1.45574e-03	0.80387	6.27123	4.59020e-05
3.72685e+02	1.21588e-02	2.41691e-03	3.33441	1.14218	4.59020e-05
4.19271e+02	1.21615e-02	1.27626e-03	0.92321	1.65241	4.59020e-05
4.65857e+02	1.21587e-02	2.59752e-03	4.70756	2.47714	4.59020e-05
5.12442e+02	1.21581e-02	5.47191e-04	0.82553	3.58912	4.59020e-05
5.59028e+02	1.21569e-02	2.97889e-03	5.60085	3.65020	4.59020e-05
6.05614e+02	1.21576e-02	1.34577e-03	2.63579	5.15529	4.59020e-05
6.52199e+02	1.21582e-02	3.33746e-03	5.47516	4.86243	4.59020e-05
6.98785e+02	1.21581e-02	1.48847e-03	5.99246	5.29185	4.59020e-05
7.45371e+02	1.21578e-02	2.96213e-03	1.15456	1.01629	4.59020e-05
7.91956e+02	1.21583e-02	1.70275e-03	6.15475	1.19917	4.59020e-05
8.38542e+02	1.21576e-02	2.79927e-03	3.20033	2.07778	4.59020e-05
8.85128e+02	1.21580e-02	2.95187e-03	4.04384	2.60613	4.59020e-05
9.31713e+02	1.21584e-02	1.55713e-03	5.16533	3.20249	4.59020e-05
9.78299e+02	1.21588e-02	2.19265e-03	5.62352	4.65970	4.59020e-05
1.02488e+03	1.21575e-02	2.72088e-03	5.88882	5.42864	4.59020e-05
1.07147e+03	1.21619e-02	2.67471e-03	2.63605	5.81912	4.59020e-05
1.11806e+03	1.21586e-02	3.47443e-03	5.78911	1.03735	4.59020e-05
1.16464e+03	1.21617e-02	1.25986e-03	3.80131	1.69044	4.59020e-05
1.21123e+03	1.21602e-02	2.98591e-03	5.89952	2.50849	4.59020e-05
1.25781e+03	1.21587e-02	2.89347e-03	5.76766	3.23810	4.59020e-05
1.30440e+03	1.21581e-02	2.33027e-03	0.70496	3.91391	4.59020e-05
1.35098e+03	1.21581e-02	2.64451e-03	0.66105	5.08939	4.59020e-05
1.39757e+03	1.21583e-02	3.63049e-03	1.25959	0.16866	4.59020e-05
1.44416e+03	1.21586e-02	4.47676e-03	2.32607	0.88641	4.59020e-05
1.49074e+03	1.21624e-02	3.10418e-03	4.72774	1.12630	4.59020e-05
1.53733e+03	1.21576e-02	3.66824e-03	0.69764	2.95570	4.59020e-05
1.58391e+03	1.21621e-02	3.62074e-03	2.45355	3.18918	4.59020e-05
1.63050e+03	1.21587e-02	3.12253e-03	3.39866	3.70218	4.59020e-05
1.67708e+03	1.21573e-02	3.87974e-03	5.80429	5.36333	4.59020e-05
1.72367e+03	1.21582e-02	2.69016e-03	4.27497	6.19449	4.59020e-05
1.77026e+03	1.21582e-02	4.06585e-03	0.82448	0.69072	4.59020e-05
1.81684e+03	1.21598e-02	2.40595e-03	5.11533	0.99400	4.59020e-05
1.86343e+03	1.21586e-02	5.15838e-03	2.97688	1.72655	4.59020e-05
1.91001e+03	1.21574e-02	3.24497e-03	6.03914	2.45920	4.59020e-05
1.95660e+03	1.21582e-02	4.53075e-03	4.25087	3.33343	4.59020e-05
2.00318e+03	1.21576e-02	4.09036e-03	1.67013	4.52115	4.59020e-05
2.04977e+03	1.21587e-02	5.43880e-03	2.50123	5.19859	4.59020e-05
2.09636e+03	1.21584e-02	3.98730e-03	4.67960	5.55047	4.59020e-05
2.14294e+03	1.21577e-02	2.35765e-03	4.75467	0.49871	4.59020e-05
2.18953e+03	1.21583e-02	4.61548e-03	5.98240	1.76408	4.59020e-05
2.23611e+03	1.21573e-02	4.29671e-03	0.20805	2.48392	4.59020e-05
2.28270e+03	1.21577e-02	3.84835e-03	2.95239	2.78251	4.59020e-05
2.32928e+03	1.21573e-02	3.44319e-03	4.52969	4.13691	4.59020e-05
2.37587e+03	1.21577e-02	4.62630e-03	0.32266	5.00888	4.59020e-05
2.42245e+03	1.21592e-02	4.60893e-03	0.40741	5.85140	4.59020e-05
