# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.66440e-02	5.84014e-03	4.99424	3.24492	4.36970e-05
4.65857e+01	1.66380e-02	1.88701e-03	4.05863	1.16746	4.36970e-05
9.31714e+01	1.66386e-02	4.37701e-03	2.81502	0.40103	4.36970e-05
1.39757e+02	1.66425e-02	6.70940e-03	0.74750	0.53034	4.36970e-05
1.86343e+02	1.66362e-02	5.62847e-03	4.68609	6.18669	4.36970e-05
2.32928e+02	1.66372e-02	3.24378e-03	4.58743	3.22191	4.36970e-05
2.79514e+02	1.66403e-02	6.04497e-03	1.49527	1.98264	4.36970e-05
3.26100e+02	1.66391e-02	7.86068e-03	0.95124	3.83724	4.36970e-05
3.72685e+02	1.66381e-02	2.41525e-03	4.29498	2.70080	4.36970e-05
4.19271e+02	1.66376e-02	8.76567e-03	3.67014	5.20931	4.36970e-05
4.65857e+02	1.66377e-02	2.06894e-03	2.68378	1.57614	4.36970e-05
5.12442e+02	1.66391e-02	7.31459e-03	0.24782	0.06950	4.36970e-05
5.59028e+02	1.66415e-02	5.32113e-03	5.77205	2.35248	4.36970e-05
6.05614e+02	1.66394e-02	4.61644e-03	2.79010	0.50129	4.36970e-05
6.52199e+02	1.66384e-02	4.19465e-03	2.80432	3.59339	4.36970e-05
6.98785e+02	1.66420e-02	7.39371e-03	0.35984	3.88354	4.36970e-05
7.45371e+02	1.66392e-02	3.15413e-03	4.01968	2.63227	4.36970e-05
7.91956e+02	1.66419e-02	8.51671e-03	2.87052	5.02522	4.36970e-05
8.38542e+02	1.66391e-02	3.21483e-03	1.28184	2.40941	4.36970e-05
8.85128e+02	1.66399e-02	6.46829e-03	6.23562	1.29953	4.36970e-05
9.31713e+02	1.66371e-02	8.07782e-03	3.68836	1.15840	4.36970e-05
9.78299e+02	1.66388e-02	3.49246e-03	0.82176	1.16999	4.36970e-05
1.02488e+03	1.66416e-02	2.96201e-03	6.01403	0.03295	4.36970e-05
1.07147e+03	1.66368e-02	7.75202e-03	4.31494	4.18912	4.36970e-05
1.11806e+03	1.66377e-02	1.62499e-03	2.22024	1.63021	4.36970e-05
1.16464e+03	1.66367e-02	7.45255e-03	0.36276	4.96209	4.36970e-05
1.21123e+03	1.66407e-02	1.32416e-03	5.10296	2.97002	4.36970e-05
1.25781e+03	1.66349e-02	4.37038e-03	3.58740	2.72540	4.36970e-05
1.30440e+03	1.66401e-02	6.93196e-03	1.24591	2.42194	4.36970e-05
1.35098e+03	1.66397e-02	6.82196e-03	4.95170	2.62162	4.36970e-05
1.39757e+03	1.66354e-02	5.35794e-03	2.82694	2.29301	4.36970e-05
1.44416e+03	1.66413e-02	2.15813e-03	1.81383	0.79597	4.36970e-05
1.49074e+03	1.66380e-02	6.01773e-03	0.18951	5.73063	4.36970e-05
1.53733e+03	1.66394e-02	2.15895e-03	4.10957	4.13852	4.36970e-05
1.58391e+03	1.66359e-02	6.16162e-03	3.50483	2.23508	4.36970e-05
1.63050e+03	1.66346e-02	7.73949e-03	1.56525	2.00100	4.36970e-05
1.67708e+03	1.66421e-02	2.40664e-03	5.79395	0.21969	4.36970e-05
1.72367e+03	1.66356e-02	8.54865e-03	4.17975	3.15030	4.36970e-05
1.77026e+03	1.66371e-02	2.47105e-03	3.14824	0.51408	4.36970e-05
1.81684e+03	1.66408e-02	6.82103e-03	0.92709	4.79356	4.36970e-05
1.86343e+03	1.66359e-02	3.45925e-03	6.18061	1.30571	4.36970e-05
1.91001e+03	1.66399e-02	7.54649e-03	4.14427	5.94071	4.36970e-05
1.95660e+03	1.66381e-02	4.57648e-03	3.16442	2.14943	4.36970e-05
2.00318e+03	1.66419e-02	4.53888e-03	0.67642	0.26674	4.36970e-05
2.04977e+03	1.66354e-02	2.40004e-03	0.05408	4.97141	4.36970e-05
2.09636e+03	1.66397e-02	4.59690e-03	4.51426	3.93910	4.36970e-05
2.14294e+03	1.66414e-02	5.99468e-03	2.18510	4.21558	4.36970e-05
2.18953e+03	1.66388e-02	2.71952e-03	6.17348	3.51018	4.36970e-05
2.23611e+03	1.66435e-02	2.47119e-03	5.27720	2.44781	4.36970e-05
2.28270e+03	1.66396e-02	6.72693e-03	3.27053	1.17661	4.36970e-05
2.32928e+03	1.66437e-02	5.12190e-03	0.50950	0.74965	4.36970e-05
2.37587e+03	1.66407e-02	3.94013e-03	5.47858	5.19922	4.36970e-05
2.42245e+03	1.66368e-02	1.80734e-03	3.81114	4.99685	4.36970e-05
2.46904e+03	1.66388e-02	5.99480e-03	1.35013	4.79173	4.36970e-05
2.51563e+03	1.66390e-02	6.83571e-03	5.26573	5.43811	4.36970e-05
2.56221e+03	1.66386e-02	5.01173e-03	2.59409	5.24380	4.36970e-05
2.60880e+03	1.66355e-02	6.19123e-03	0.56157	5.60953	4.36970e-05
2.65538e+03	1.66408e-02	2.35776e-03	4.54770	4.79625	4.36970e-05
2.70197e+03	1.66370e-02	1.16514e-03	6.18767	3.05391	4.36970e-05
2.74855e+03	1.66375e-02	5.59294e-03	1.51925	4.89833	4.36970e-05
2.79514e+03	1.66369e-02	2.77190e-03	2.52621	0.77821	4.36970e-05
