# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.33885e-02	1.77500e-02	2.25986	5.73132	1.29620e-05
4.65857e+01	2.33984e-02	2.51274e-02	4.82362	4.53614	1.29620e-05
9.31714e+01	2.33854e-02	1.86361e-02	1.26545	4.32120	1.29620e-05
1.39757e+02	2.33877e-02	1.74887e-02	3.84487	3.87763	1.29620e-05
1.86343e+02	2.33979e-02	2.26813e-02	0.95020	2.36298	1.29620e-05
2.32928e+02	2.33883e-02	2.13234e-02	3.41419	0.81160	1.29620e-05
2.79514e+02	2.33904e-02	2.11223e-02	0.27042	4.34502	1.29620e-05
3.26100e+02	2.33879e-02	1.90664e-02	2.78710	1.04664	1.29620e-05
3.72685e+02	2.33881e-02	2.00826e-02	5.77059	4.85134	1.29620e-05
4.19271e+02	2.33990e-02	2.22963e-02	2.16303	2.13460	1.29620e-05
4.65857e+02	2.33845e-02	2.12338e-02	4.85885	5.43335	1.29620e-05
5.12442e+02	2.33912e-02	1.89989e-02	1.54614	3.06218	1.29620e-05
5.59028e+02	2.34013e-02	2.63429e-02	4.17067	6.25587	1.29620e-05
6.05614e+02	2.33965e-02	2.43434e-02	0.98826	2.93830	1.29620e-05
6.52199e+02	2.33916e-02	1.98204e-02	3.41489	1.41874	1.29620e-05
6.98785e+02	2.33892e-02	2.03027e-02	6.18725	0.85716	1.29620e-05
7.45371e+02	2.34002e-02	2.32957e-02	2.76640	5.03756	1.29620e-05
7.91956e+02	2.34056e-02	2.28385e-02	5.63541	1.81301	1.29620e-05
8.38542e+02	2.33998e-02	2.68494e-02	1.92682	5.60188	1.29620e-05
8.85128e+02	2.33988e-02	2.39525e-02	4.47651	5.05388	1.29620e-05
9.31713e+02	2.33949e-02	2.24586e-02	0.88206	4.19651	1.29620e-05
9.78299e+02	2.33796e-02	1.56815e-02	3.56425	3.31612	1.29620e-05
1.02488e+03	2.33899e-02	2.44086e-02	6.01425	3.13980	1.29620e-05
1.07147e+03	2.34030e-02	2.29132e-02	2.33699	1.26608	1.29620e-05
1.11806e+03	2.33871e-02	2.21184e-02	5.15446	4.67683	1.29620e-05
1.16464e+03	2.33976e-02	2.31443e-02	1.66733	1.51203	1.29620e-05
1.21123e+03	2.33818e-02	2.04012e-02	4.50931	6.19264	1.29620e-05
1.25781e+03	2.34057e-02	2.59060e-02	0.49881	0.17143	1.29620e-05
1.30440e+03	2.33978e-02	2.13653e-02	2.94944	5.72237	1.29620e-05
1.35098e+03	2.33904e-02	1.88420e-02	5.83204	5.60759	1.29620e-05
1.39757e+03	2.34053e-02	2.52480e-02	2.05706	4.85173	1.29620e-05
1.44416e+03	2.34048e-02	2.55697e-02	4.73709	4.26119	1.29620e-05
1.49074e+03	2.33858e-02	1.72955e-02	1.14190	2.97487	1.29620e-05
1.53733e+03	2.33969e-02	2.57985e-02	4.12668	0.53357	1.29620e-05
1.58391e+03	2.34107e-02	2.48331e-02	0.52131	5.92126	1.29620e-05
1.63050e+03	2.34058e-02	2.32476e-02	3.33646	5.25705	1.29620e-05
1.67708e+03	2.33872e-02	2.39248e-02	6.08532	3.04090	1.29620e-05
1.72367e+03	2.34019e-02	2.35737e-02	2.69012	5.99366	1.29620e-05
1.77026e+03	2.34029e-02	2.60424e-02	5.46588	4.09183	1.29620e-05
1.81684e+03	2.33843e-02	1.94807e-02	1.87797	1.40473	1.29620e-05
1.86343e+03	2.33977e-02	2.36762e-02	4.81021	4.91305	1.29620e-05
1.91001e+03	2.34030e-02	2.48566e-02	1.31430	2.70124	1.29620e-05
1.95660e+03	2.33879e-02	2.07951e-02	4.11640	5.83013	1.29620e-05
2.00318e+03	2.33857e-02	2.19210e-02	0.58684	2.82512	1.29620e-05
2.04977e+03	2.33987e-02	2.35364e-02	3.36613	2.27429	1.29620e-05
2.09636e+03	2.33827e-02	1.63595e-02	6.27771	1.10974	1.29620e-05
2.14294e+03	2.33896e-02	2.14929e-02	2.52271	0.84863	1.29620e-05
2.18953e+03	2.33851e-02	1.96210e-02	5.62872	5.97029	1.29620e-05
2.23611e+03	2.33871e-02	2.06378e-02	1.58845	5.93116	1.29620e-05
2.28270e+03	2.33983e-02	2.41821e-02	4.34012	4.56813	1.29620e-05
2.32928e+03	2.33793e-02	1.84968e-02	0.60733	3.42500	1.29620e-05
2.37587e+03	2.34081e-02	2.49158e-02	3.11670	2.18684	1.29620e-05
2.42245e+03	2.33852e-02	1.60454e-02	5.43868	2.68150	1.29620e-05
2.46904e+03	2.33858e-02	2.02530e-02	1.91709	2.03007	1.29620e-05
2.51563e+03	2.33982e-02	2.43684e-02	4.13428	2.53574	1.29620e-05
2.56221e+03	2.33839e-02	1.94366e-02	0.41492	1.86373	1.29620e-05
2.60880e+03	2.34101e-02	2.49349e-02	2.96663	2.37893	1.29620e-05
2.65538e+03	2.33783e-02	1.77067e-02	5.43928	1.43560	1.29620e-05
2.70197e+03	2.33791e-02	1.43132e-02	0.71376	5.37107	1.29620e-05
2.74855e+03	2.33794e-02	3.10643e-03	0.40872	2.91461	1.29620e-05
2.79514e+03	2.33944e-02	1.04358e-02	6.10403	4.83229	1.29620e-05
2.84173e+03	2.33737e-02	6.33966e-03	5.26826	0.74071	1.29620e-05
2.88831e+03	2.33839e-02	8.61435e-03	3.02214	5.02527	1.29620e-05
2.93490e+03	2.33847e-02	5.81234e-03	1.65856	3.20103	1.29620e-05
2.98148e+03	2.33725e-02	9.88882e-03	1.93625	1.61845	1.29620e-05
3.02807e+03	2.33979e-02	1.07958e-02	4.66128	5.03222	1.29620e-05
3.07465e+03	2.33855e-02	1.18964e-02	0.11847	4.39609	1.29620e-05
3.12124e+03	2.33863e-02	1.62539e-02	4.02071	2.24294	1.29620e-05
3.16783e+03	2.33908e-02	1.20410e-02	5.90856	4.86677	1.29620e-05
3.21441e+03	2.33775e-02	1.04993e-02	2.03237	5.66822	1.29620e-05
3.26100e+03	2.34049e-02	2.21289e-02	0.81941	4.53458	1.29620e-05
3.30758e+03	2.33929e-02	1.09137e-02	3.88745	5.89665	1.29620e-05
3.35417e+03	2.33885e-02	1.38353e-02	1.49857	3.92067	1.29620e-05
3.40075e+03	2.33800e-02	9.12465e-03	4.31891	4.29657	1.29620e-05
3.44734e+03	2.33870e-02	1.95763e-02	5.38793	2.08042	1.29620e-05
