# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	3.48058e-02	7.25274e-04	3.74340	1.19152	2.31180e-05
4.65857e+01	3.48304e-02	2.02777e-03	5.86012	4.66882	2.31180e-05
9.31714e+01	3.48176e-02	3.19207e-03	4.47964	5.32690	2.31180e-05
1.39757e+02	3.48142e-02	1.83350e-03	2.47828	0.30674	2.31180e-05
1.86343e+02	3.48190e-02	2.87677e-03	6.10633	1.99480	2.31180e-05
2.32928e+02	3.48117e-02	2.34182e-03	4.07657	3.07433	2.31180e-05
2.79514e+02	3.48170e-02	4.14932e-03	0.67366	5.51798	2.31180e-05
3.26100e+02	3.48195e-02	2.63898e-03	4.41372	0.82569	2.31180e-05
3.72685e+02	3.48229e-02	2.07465e-03	1.61837	2.65005	2.31180e-05
4.19271e+02	3.48352e-02	4.02046e-03	5.41766	4.18919	2.31180e-05
4.65857e+02	3.48167e-02	2.26365e-03	2.61766	6.02546	2.31180e-05
5.12442e+02	3.48085e-02	2.63925e-03	5.81458	1.88512	2.31180e-05
5.59028e+02	3.48156e-02	1.59831e-03	4.63275	2.18397	2.31180e-05
6.05614e+02	3.48203e-02	1.84458e-03	1.35749	4.59104	2.31180e-05
6.52199e+02	3.48328e-02	4.13674e-03	4.91815	0.16308	2.31180e-05
6.98785e+02	3.48260e-02	2.42084e-03	1.99313	2.16106	2.31180e-05
7.45371e+02	3.48150e-02	2.00075e-03	0.07195	3.13036	2.31180e-05
7.91956e+02	3.48243e-02	1.00944e-03	2.67379	5.87306	2.31180e-05
8.38542e+02	3.48055e-02	2.98696e-03	0.92526	0.41999	2.31180e-05
8.85128e+02	3.48223e-02	2.44031e-03	3.28144	3.41621	2.31180e-05
9.31713e+02	3.48229e-02	2.79927e-03	1.32380	4.41280	2.31180e-05
9.78299e+02	3.48150e-02	5.60678e-04	2.71819	2.05402	2.31180e-05
1.02488e+03	3.48168e-02	1.47554e-03	1.29988	2.49660	2.31180e-05
1.07147e+03	3.48315e-02	2.65060e-03	5.58795	3.34088	2.31180e-05
1.11806e+03	3.48163e-02	3.11364e-03	3.14315	4.65840	2.31180e-05
1.16464e+03	3.48194e-02	2.23102e-03	5.40844	1.27315	2.31180e-05
1.21123e+03	3.48114e-02	2.04131e-03	2.98881	2.55450	2.31180e-05
1.25781e+03	3.48129e-02	1.99027e-03	0.53681	3.81063	2.31180e-05
1.30440e+03	3.48237e-02	3.63468e-03	3.22758	6.04044	2.31180e-05
1.35098e+03	3.48184e-02	2.71685e-03	6.21831	1.77936	2.31180e-05
1.39757e+03	3.48224e-02	1.45549e-03	1.58847	4.62038	2.31180e-05
1.44416e+03	3.48192e-02	3.12324e-03	4.26255	0.25892	2.31180e-05
1.49074e+03	3.48044e-02	3.26111e-03	1.41658	1.28765	2.31180e-05
1.53733e+03	3.48215e-02	2.92957e-03	4.01112	3.16739	2.31180e-05
1.58391e+03	3.48307e-02	2.13909e-03	5.55851	6.08806	2.31180e-05
1.63050e+03	3.48239e-02	1.35403e-03	4.66465	5.20881	2.31180e-05
1.67708e+03	3.48139e-02	1.16678e-03	5.77875	2.33193	2.31180e-05
1.72367e+03	3.48217e-02	1.96169e-03	1.54570	4.82919	2.31180e-05
1.77026e+03	3.48244e-02	1.89298e-03	4.38471	0.29706	2.31180e-05
1.81684e+03	3.48087e-02	1.96896e-03	0.31075	2.65572	2.31180e-05
1.86343e+03	3.48145e-02	2.74767e-03	3.63766	3.87775	2.31180e-05
1.91001e+03	3.48162e-02	3.20619e-03	5.64673	0.12847	2.31180e-05
1.95660e+03	3.48116e-02	3.55200e-03	1.51592	2.51939	2.31180e-05
2.00318e+03	3.48147e-02	3.94391e-03	4.25720	4.32233	2.31180e-05
2.04977e+03	3.48223e-02	3.40500e-03	0.90634	5.93773	2.31180e-05
2.09636e+03	3.48170e-02	1.33351e-03	3.21860	1.94109	2.31180e-05
2.14294e+03	3.48151e-02	2.00673e-03	5.52779	4.24407	2.31180e-05
2.18953e+03	3.48253e-02	2.52535e-03	2.09337	6.01419	2.31180e-05
2.23611e+03	3.48147e-02	4.29314e-03	4.73690	1.73098	2.31180e-05
2.28270e+03	3.48368e-02	5.60130e-03	0.62591	4.14618	2.31180e-05
2.32928e+03	3.48207e-02	3.18161e-03	3.32927	6.05805	2.31180e-05
2.37587e+03	3.48138e-02	2.94824e-03	5.07970	2.62420	2.31180e-05
2.42245e+03	3.48155e-02	1.33352e-03	3.36798	2.67810	2.31180e-05
2.46904e+03	3.48105e-02	5.07838e-03	3.38532	1.02955	2.31180e-05
2.51563e+03	3.48252e-02	2.64528e-03	6.27690	2.76141	2.31180e-05
2.56221e+03	3.48227e-02	3.97880e-03	2.52253	4.86565	2.31180e-05
2.60880e+03	3.48378e-02	1.82109e-03	3.59007	2.14425	2.31180e-05
2.65538e+03	3.48318e-02	5.57157e-03	5.56296	4.67057	2.31180e-05
2.70197e+03	3.48080e-02	4.69751e-03	3.39784	6.26049	2.31180e-05
2.74855e+03	3.48088e-02	1.02286e-03	2.40422	0.64867	2.31180e-05
2.79514e+03	3.48187e-02	2.94940e-03	3.90349	5.12370	2.31180e-05
2.84173e+03	3.48199e-02	8.72665e-04	5.18969	3.51123	2.31180e-05
