# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	4.68167e-02	3.15478e-02	3.20093	4.19452	3.47100e-05
4.65857e+01	4.67747e-02	3.10200e-02	0.73616	6.14020	3.47100e-05
9.31714e+01	4.67882e-02	3.02136e-02	2.70985	1.25250	3.47100e-05
1.39757e+02	4.67631e-02	2.83959e-02	2.98186	1.90205	3.47100e-05
1.86343e+02	4.67645e-02	2.74249e-02	1.54570	1.89845	3.47100e-05
2.32928e+02	4.67378e-02	2.84610e-02	4.70458	1.15583	3.47100e-05
2.79514e+02	4.67426e-02	2.73713e-02	6.00580	6.12534	3.47100e-05
3.26100e+02	4.67076e-02	2.70502e-02	5.66220	4.00565	3.47100e-05
3.72685e+02	4.66980e-02	2.62694e-02	3.57068	1.18751	3.47100e-05
4.19271e+02	4.67214e-02	2.48475e-02	6.00113	3.96342	3.47100e-05
4.65857e+02	4.66971e-02	2.49293e-02	0.39491	6.02702	3.47100e-05
5.12442e+02	4.66577e-02	2.47850e-02	5.66197	1.03633	3.47100e-05
5.59028e+02	4.66395e-02	2.40191e-02	2.86090	1.64234	3.47100e-05
6.05614e+02	4.66146e-02	2.32887e-02	4.68097	1.45560	3.47100e-05
6.52199e+02	4.66331e-02	2.16789e-02	4.76189	0.55580	3.47100e-05
6.98785e+02	4.65796e-02	2.28559e-02	3.16795	5.13587	3.47100e-05
7.45371e+02	4.66340e-02	2.26967e-02	6.22246	2.59023	3.47100e-05
7.91956e+02	4.65960e-02	2.07407e-02	1.26986	5.61702	3.47100e-05
8.38542e+02	4.65569e-02	2.11595e-02	0.89149	1.62134	3.47100e-05
8.85128e+02	4.65612e-02	2.08534e-02	5.24290	2.95727	3.47100e-05
9.31713e+02	4.65371e-02	1.92193e-02	1.61156	3.58499	3.47100e-05
9.78299e+02	4.65105e-02	2.05126e-02	2.55502	3.44781	3.47100e-05
1.02488e+03	4.65272e-02	1.89709e-02	1.88637	2.46222	3.47100e-05
1.07147e+03	4.65171e-02	2.00639e-02	6.09526	0.51931	3.47100e-05
1.11806e+03	4.64845e-02	1.78733e-02	2.24177	4.13961	3.47100e-05
1.16464e+03	4.64637e-02	1.87351e-02	3.09855	0.63493	3.47100e-05
1.21123e+03	4.64402e-02	1.69423e-02	2.30083	2.57321	3.47100e-05
1.25781e+03	4.64419e-02	1.80251e-02	6.03964	3.86300	3.47100e-05
1.30440e+03	4.64132e-02	1.77288e-02	1.91684	4.23606	3.47100e-05
1.35098e+03	4.64195e-02	1.70726e-02	2.31660	3.94472	3.47100e-05
1.39757e+03	4.64100e-02	1.70120e-02	1.28208	2.64102	3.47100e-05
1.44416e+03	4.63729e-02	1.62745e-02	4.61379	0.84035	3.47100e-05
1.49074e+03	4.64209e-02	1.72886e-02	0.24154	4.31123	3.47100e-05
1.53733e+03	4.63456e-02	1.69984e-02	0.51189	0.67125	3.47100e-05
