# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	5.67589e-02	2.64996e-02	0.83789	1.04627	4.41310e-05
4.65857e+01	5.67528e-02	2.57126e-02	2.11501	3.01974	4.41310e-05
9.31714e+01	5.67311e-02	2.58759e-02	0.45784	4.36881	4.41310e-05
1.39757e+02	5.66952e-02	2.46063e-02	2.23306	5.04099	4.41310e-05
1.86343e+02	5.66539e-02	2.46926e-02	1.17630	5.03280	4.41310e-05
2.32928e+02	5.66597e-02	2.34115e-02	3.48528	4.36546	4.41310e-05
2.79514e+02	5.66178e-02	2.34618e-02	2.97005	2.94524	4.41310e-05
3.26100e+02	5.66297e-02	2.30579e-02	5.83581	0.84812	4.41310e-05
3.72685e+02	5.66315e-02	2.22416e-02	5.78570	4.36938	4.41310e-05
4.19271e+02	5.65975e-02	2.23331e-02	2.87024	0.88758	4.41310e-05
4.65857e+02	5.65650e-02	2.16967e-02	3.46399	2.86776	4.41310e-05
5.12442e+02	5.65849e-02	2.12191e-02	1.10589	4.19695	4.41310e-05
5.59028e+02	5.65393e-02	2.01440e-02	2.15293	4.79090	4.41310e-05
6.05614e+02	5.65302e-02	1.89844e-02	0.40880	4.56284	4.41310e-05
6.52199e+02	5.65295e-02	1.94241e-02	1.98495	3.68284	4.41310e-05
6.98785e+02	5.65106e-02	1.88184e-02	0.78822	1.98261	4.41310e-05
7.45371e+02	5.64782e-02	1.84644e-02	3.09449	5.74689	4.41310e-05
7.91956e+02	5.64418e-02	1.86061e-02	2.55516	2.44288	4.41310e-05
8.38542e+02	5.64729e-02	1.86867e-02	5.43083	4.67695	4.41310e-05
8.85128e+02	5.64329e-02	1.82030e-02	5.53167	6.09276	4.41310e-05
9.31713e+02	5.64196e-02	1.65562e-02	2.78071	0.43983	4.41310e-05
9.78299e+02	5.64226e-02	1.66572e-02	3.53776	0.24474	4.41310e-05
1.02488e+03	5.63771e-02	1.68331e-02	1.44930	5.57211	4.41310e-05
1.07147e+03	5.63489e-02	1.58321e-02	2.97578	3.67707	4.41310e-05
1.11806e+03	5.63573e-02	1.59576e-02	1.66952	1.02216	4.41310e-05
1.16464e+03	5.63355e-02	1.61534e-02	3.85191	3.80472	4.41310e-05
1.21123e+03	5.63399e-02	1.52731e-02	3.30399	5.73760	4.41310e-05
1.25781e+03	5.63142e-02	1.60004e-02	6.10540	0.69208	4.41310e-05
1.30440e+03	5.62876e-02	1.43633e-02	6.11730	1.14019	4.41310e-05
1.35098e+03	5.62762e-02	1.51835e-02	3.39396	0.68984	4.41310e-05
1.39757e+03	5.62509e-02	1.40373e-02	4.03468	5.88248	4.41310e-05
1.44416e+03	5.62426e-02	1.47654e-02	1.95719	3.89489	4.41310e-05
1.49074e+03	5.62206e-02	1.29561e-02	3.33945	1.14076	4.41310e-05
1.53733e+03	5.62233e-02	1.36054e-02	1.93921	3.86160	4.41310e-05
1.58391e+03	5.61932e-02	1.32700e-02	3.84838	5.94092	4.41310e-05
1.63050e+03	5.61987e-02	1.32011e-02	3.11341	0.80980	4.41310e-05
1.67708e+03	5.61901e-02	1.32519e-02	5.73009	1.28051	4.41310e-05
1.72367e+03	5.61755e-02	1.34044e-02	5.46772	1.06076	4.41310e-05
1.77026e+03	5.61624e-02	1.17368e-02	2.28661	0.13796	4.41310e-05
1.81684e+03	5.61305e-02	1.28822e-02	2.58002	4.75711	4.41310e-05
1.86343e+03	5.61302e-02	1.27164e-02	0.04276	2.31413	4.41310e-05
1.91001e+03	5.61006e-02	1.22473e-02	0.87185	5.52203	4.41310e-05
1.95660e+03	5.60970e-02	1.15801e-02	5.07124	1.75589	4.41310e-05
2.00318e+03	5.60702e-02	1.17582e-02	0.15073	3.56679	4.41310e-05
2.04977e+03	5.60502e-02	1.14835e-02	4.95878	4.62398	4.41310e-05
2.09636e+03	5.60304e-02	1.25502e-02	0.42341	5.19427	4.41310e-05
2.14294e+03	5.60429e-02	1.11602e-02	5.62092	5.02735	4.41310e-05
2.18953e+03	5.60076e-02	1.18035e-02	1.43529	4.38248	4.41310e-05
2.23611e+03	5.60006e-02	1.14450e-02	0.75577	2.98611	4.41310e-05
2.28270e+03	5.59734e-02	1.12556e-02	3.52973	0.84476	4.41310e-05
2.32928e+03	5.59819e-02	1.13435e-02	3.24970	4.49138	4.41310e-05
2.37587e+03	5.59468e-02	1.12991e-02	6.25306	1.32878	4.41310e-05
2.42245e+03	5.59105e-02	1.05708e-02	0.07165	3.79010	4.41310e-05
2.46904e+03	5.59161e-02	1.04483e-02	3.39406	5.76740	4.41310e-05
2.51563e+03	5.59120e-02	1.11240e-02	3.70932	0.93732	4.41310e-05
2.56221e+03	5.58793e-02	1.17849e-02	1.05172	1.83574	4.41310e-05
2.60880e+03	5.58637e-02	9.71025e-03	1.62941	2.23978	4.41310e-05
2.65538e+03	5.58429e-02	1.10170e-02	5.62953	1.97919	4.41310e-05
2.70197e+03	5.58532e-02	1.04759e-02	6.04228	1.70813	4.41310e-05
2.74855e+03	5.58022e-02	1.00046e-02	3.56629	0.78791	4.41310e-05
2.79514e+03	5.58418e-02	1.00452e-02	4.41156	5.59247	4.41310e-05
2.84173e+03	5.57915e-02	1.13907e-02	1.98512	3.86905	4.41310e-05
2.88831e+03	5.57753e-02	1.07415e-02	3.01267	1.48890	4.41310e-05
2.93490e+03	5.57671e-02	1.13354e-02	1.11214	4.79022	4.41310e-05
2.98148e+03	5.57827e-02	1.48105e-02	3.61326	6.07766	4.41310e-05
3.02807e+03	5.57819e-02	1.24725e-02	2.12587	1.18194	4.41310e-05
3.07465e+03	5.58210e-02	1.09583e-02	0.72629	1.51315	4.41310e-05
3.12124e+03	5.57117e-02	6.78193e-03	3.03403	2.39891	4.41310e-05
3.16783e+03	5.57281e-02	5.01013e-03	5.01983	3.16116	4.41310e-05
3.21441e+03	5.57523e-02	1.23973e-02	3.18005	3.76181	4.41310e-05
3.26100e+03	5.57277e-02	6.26508e-03	4.85062	4.30144	4.41310e-05
3.30758e+03	5.56654e-02	7.26546e-03	1.50668	0.15582	4.41310e-05
3.35417e+03	5.56656e-02	4.31222e-03	5.61577	4.58902	4.41310e-05
3.40075e+03	5.56543e-02	1.27236e-02	3.55383	5.12162	4.41310e-05
3.44734e+03	5.55931e-02	3.73969e-03	2.05306	1.70248	4.41310e-05
3.49393e+03	5.56003e-02	8.79064e-03	2.49956	0.39870	4.41310e-05
3.54051e+03	5.55837e-02	8.80486e-03	1.48703	3.57467	4.41310e-05
3.58710e+03	5.55915e-02	7.81418e-03	0.37755	3.14246	4.41310e-05
3.63368e+03	5.55662e-02	1.19408e-02	3.91427	1.36833	4.41310e-05
3.68027e+03	5.55410e-02	8.47922e-03	1.29763	2.89393	4.41310e-05
3.72685e+03	5.55521e-02	6.89170e-03	5.72494	6.05730	4.41310e-05
3.77344e+03	5.55319e-02	1.14214e-02	4.59357	5.28773	4.41310e-05
3.82002e+03	5.54629e-02	6.57533e-03	1.35583	3.37859	4.41310e-05
3.86661e+03	5.54475e-02	1.57950e-02	5.00416	3.85943	4.41310e-05
3.91320e+03	5.54373e-02	7.37206e-03	2.56393	0.29122	4.41310e-05
3.95978e+03	5.53867e-02	7.87780e-03	6.17595	6.05012	4.41310e-05
4.00637e+03	5.54309e-02	6.40751e-03	1.93755	3.87129	4.41310e-05
4.05295e+03	5.53761e-02	8.45117e-03	4.08522	4.39208	4.41310e-05
4.09954e+03	5.53661e-02	3.80118e-03	4.55635	3.00021	4.41310e-05
4.14612e+03	5.53442e-02	5.89912e-03	5.08678	4.19619	4.41310e-05
4.19271e+03	5.53379e-02	7.89971e-03	0.22625	0.82966	4.41310e-05
4.23930e+03	5.53127e-02	9.72281e-03	1.69062	6.22399	4.41310e-05
4.28588e+03	5.53413e-02	9.89813e-03	3.47525	1.27463	4.41310e-05
4.33247e+03	5.53243e-02	7.69713e-03	5.81568	4.55574	4.41310e-05
4.37905e+03	5.52764e-02	9.81531e-03	2.58488	3.17907	4.41310e-05
4.42564e+03	5.52960e-02	7.82867e-03	0.24628	3.43210	4.41310e-05
4.47222e+03	5.53174e-02	9.45173e-03	0.07537	3.31446	4.41310e-05
4.51881e+03	5.52733e-02	1.46866e-02	0.66361	4.83170	4.41310e-05
4.56540e+03	5.52456e-02	1.81566e-02	3.59966	6.05973	4.41310e-05
4.61198e+03	5.52187e-02	1.22303e-02	1.71884	1.95186	4.41310e-05
4.65857e+03	5.52733e-02	5.59615e-03	6.14175	0.00666	4.41310e-05
4.70515e+03	5.52526e-02	2.14832e-02	0.20362	4.32732	4.41310e-05
4.75174e+03	5.52343e-02	1.29402e-02	2.46511	2.70356	4.41310e-05
4.79832e+03	5.52224e-02	1.76616e-02	4.84770	3.34560	4.41310e-05
4.84491e+03	5.51849e-02	1.46468e-02	4.15840	2.84531	4.41310e-05
4.89150e+03	5.52020e-02	1.90209e-02	2.86775	5.33221	4.41310e-05
4.93808e+03	5.51910e-02	4.96113e-03	5.08415	0.21043	4.41310e-05
4.98467e+03	5.51459e-02	1.99560e-02	1.70319	2.93942	4.41310e-05
5.03125e+03	5.51471e-02	2.07232e-02	4.43477	1.57821	4.41310e-05
5.07784e+03	5.51252e-02	2.07361e-02	2.85335	0.48394	4.41310e-05
5.12442e+03	5.51225e-02	2.26659e-02	3.17054	5.86855	4.41310e-05
5.17101e+03	5.51189e-02	2.30284e-02	4.90669	5.71940	4.41310e-05
5.21759e+03	5.50778e-02	1.99828e-02	3.24495	5.15626	4.41310e-05
5.26418e+03	5.50703e-02	2.30686e-02	2.97454	5.22098	4.41310e-05
5.31077e+03	5.50492e-02	2.20537e-02	3.55013	0.09367	4.41310e-05
5.35735e+03	5.50768e-02	1.26960e-02	1.45893	5.74963	4.41310e-05
5.40394e+03	5.50396e-02	1.07346e-02	1.54089	4.58800	4.41310e-05
5.45052e+03	5.50016e-02	2.38567e-02	3.21159	4.44590	4.41310e-05
5.49711e+03	5.50746e-02	1.86958e-02	0.62039	4.29901	4.41310e-05
5.54369e+03	5.50306e-02	1.46246e-02	0.36402	3.48400	4.41310e-05
5.59028e+03	5.50081e-02	7.55444e-03	1.70068	1.33634	4.41310e-05
5.63687e+03	5.50073e-02	3.32236e-02	2.00891	0.51755	4.41310e-05
5.68345e+03	5.50233e-02	2.55779e-02	0.72594	2.67658	4.41310e-05
5.73004e+03	5.50131e-02	2.22687e-02	4.33949	0.10555	4.41310e-05
5.77662e+03	5.49801e-02	9.86494e-03	5.65977	2.31125	4.41310e-05
5.82321e+03	5.49812e-02	1.11567e-02	4.65405	0.41164	4.41310e-05
5.86979e+03	5.49860e-02	1.62202e-02	5.05765	4.59395	4.41310e-05
5.91638e+03	5.49674e-02	2.68151e-02	5.10369	3.79152	4.41310e-05
5.96297e+03	5.49540e-02	2.39063e-02	4.68942	1.68309	4.41310e-05
6.00955e+03	5.49672e-02	2.09511e-02	0.41645	5.57794	4.41310e-05
6.05614e+03	5.49046e-02	2.06460e-02	4.23280	3.18295	4.41310e-05
6.10272e+03	5.49355e-02	1.74327e-02	3.83155	0.81620	4.41310e-05
6.14931e+03	5.49040e-02	1.83843e-02	5.38020	4.61929	4.41310e-05
6.19589e+03	5.49153e-02	2.28805e-02	1.15077	3.11157	4.41310e-05
6.24248e+03	5.49197e-02	1.89989e-02	0.57995	0.61372	4.41310e-05
6.28907e+03	5.48466e-02	2.00169e-02	1.35317	4.77959	4.41310e-05
6.33565e+03	5.48958e-02	1.75313e-02	4.98109	2.01434	4.41310e-05
6.38224e+03	5.48563e-02	1.98392e-02	3.63621	6.12955	4.41310e-05
6.42882e+03	5.48346e-02	1.37758e-02	4.01129	3.91203	4.41310e-05
6.47541e+03	5.49002e-02	2.16238e-02	0.38811	1.61118	4.41310e-05
6.52199e+03	5.48275e-02	1.56368e-02	5.25877	5.51348	4.41310e-05
6.56858e+03	5.47782e-02	1.81416e-02	5.72955	3.01564	4.41310e-05
6.61516e+03	5.48539e-02	2.01666e-02	1.89450	0.64678	4.41310e-05
6.66175e+03	5.48338e-02	2.20852e-02	0.62911	4.22632	4.41310e-05
6.70834e+03	5.47506e-02	2.20123e-02	1.11330	1.66061	4.41310e-05
6.75492e+03	5.47825e-02	2.41109e-02	3.43072	5.37306	4.41310e-05
6.80151e+03	5.47818e-02	3.04530e-02	1.45028	2.94127	4.41310e-05
6.84809e+03	5.47414e-02	2.51665e-02	1.76047	0.31527	4.41310e-05
6.89468e+03	5.47308e-02	3.22182e-02	4.04404	4.04250	4.41310e-05
6.94126e+03	5.47658e-02	2.59971e-02	2.40730	1.40309	4.41310e-05
6.98785e+03	5.46950e-02	2.82644e-02	3.02805	4.98692	4.41310e-05
7.03444e+03	5.46735e-02	1.87878e-02	6.03230	1.91743	4.41310e-05
7.08102e+03	5.46985e-02	1.63969e-02	4.98014	5.09438	4.41310e-05
7.12761e+03	5.46725e-02	1.88855e-02	0.96427	0.91466	4.41310e-05
7.17419e+03	5.46815e-02	2.30823e-02	4.72316	3.55820	4.41310e-05
7.22078e+03	5.46488e-02	2.87354e-02	3.99398	0.24688	4.41310e-05
7.26736e+03	5.46392e-02	2.46349e-02	5.68705	2.94498	4.41310e-05
7.31395e+03	5.46204e-02	1.36022e-02	3.83851	5.02870	4.41310e-05
7.36054e+03	5.46068e-02	1.96608e-02	4.28899	0.51662	4.41310e-05
7.40712e+03	5.46570e-02	3.02251e-02	0.09842	2.92395	4.41310e-05
7.45371e+03	5.45691e-02	2.01699e-02	4.34562	5.30434	4.41310e-05
7.50029e+03	5.45791e-02	1.31021e-02	5.05316	0.52546	4.41310e-05
7.54688e+03	5.46360e-02	2.63958e-02	1.69041	2.29364	4.41310e-05
7.59346e+03	5.45515e-02	2.35875e-02	6.10229	4.51244	4.41310e-05
7.64005e+03	5.46006e-02	1.64740e-02	0.72614	5.99958	4.41310e-05
7.68664e+03	5.45630e-02	2.55167e-02	4.33021	0.87036	4.41310e-05
7.73322e+03	5.45395e-02	2.30542e-02	2.76852	2.84954	4.41310e-05
7.77981e+03	5.45345e-02	1.39157e-02	4.28045	3.87090	4.41310e-05
7.82639e+03	5.45373e-02	2.39025e-02	1.16234	5.35070	4.41310e-05
7.87298e+03	5.45504e-02	2.19005e-02	6.20865	0.91236	4.41310e-05
7.91956e+03	5.44724e-02	1.73250e-02	1.79577	1.56118	4.41310e-05
7.96615e+03	5.45528e-02	2.92969e-02	5.19319	2.90594	4.41310e-05
8.01273e+03	5.44386e-02	1.61472e-02	4.94924	3.89918	4.41310e-05
8.05932e+03	5.44514e-02	2.42762e-02	0.38459	4.73444	4.41310e-05
8.10591e+03	5.44849e-02	2.02204e-02	3.94784	6.09819	4.41310e-05
8.15249e+03	5.44088e-02	2.01168e-02	4.48763	0.00425	4.41310e-05
8.19908e+03	5.44380e-02	2.14958e-02	5.87763	1.43680	4.41310e-05
8.24566e+03	5.43969e-02	1.47409e-02	4.21809	1.71586	4.41310e-05
8.29225e+03	5.44662e-02	2.46348e-02	4.06193	2.71224	4.41310e-05
8.33883e+03	5.43846e-02	1.39200e-02	0.54521	3.03450	4.41310e-05
8.38542e+03	5.43846e-02	2.32452e-02	5.08263	3.60998	4.41310e-05
8.43201e+03	5.44146e-02	1.94245e-02	0.60677	3.50043	4.41310e-05
8.47859e+03	5.43436e-02	2.32498e-02	5.13875	3.33558	4.41310e-05
8.52518e+03	5.43203e-02	1.98178e-02	1.24643	1.91849	4.41310e-05
8.57176e+03	5.43951e-02	1.84869e-02	1.46133	5.90162	4.41310e-05
8.61835e+03	5.42688e-02	1.30769e-02	6.16549	2.47762	4.41310e-05
8.66493e+03	5.42674e-02	1.98530e-02	2.58033	4.18843	4.41310e-05
8.71152e+03	5.42500e-02	2.07233e-02	3.63809	4.81484	4.41310e-05
8.75811e+03	5.42186e-02	6.99694e-03	3.60631	3.16593	4.41310e-05
8.80469e+03	5.42608e-02	2.74473e-02	1.20418	1.25819	4.41310e-05
8.85128e+03	5.42351e-02	1.57674e-02	3.87033	3.69625	4.41310e-05
8.89786e+03	5.41682e-02	1.17756e-02	3.34533	0.24146	4.41310e-05
8.94445e+03	5.41888e-02	1.86324e-02	2.57000	6.17357	4.41310e-05
8.99103e+03	5.41884e-02	1.97680e-02	1.22858	3.44540	4.41310e-05
9.03762e+03	5.41075e-02	1.78297e-02	6.23960	4.14306	4.41310e-05
9.08421e+03	5.40975e-02	1.08622e-02	2.05468	4.66251	4.41310e-05
9.13079e+03	5.41125e-02	1.46943e-02	2.28435	3.95948	4.41310e-05
9.17738e+03	5.41549e-02	2.49909e-02	0.58927	2.22485	4.41310e-05
9.22396e+03	5.40799e-02	9.00439e-03	2.86883	6.07831	4.41310e-05
9.27055e+03	5.40802e-02	1.68307e-02	5.65856	0.27831	4.41310e-05
9.31713e+03	5.40448e-02	1.05221e-02	5.59471	0.29377	4.41310e-05
9.36372e+03	5.40349e-02	1.36891e-02	1.11240	1.46829	4.41310e-05
9.41030e+03	5.40034e-02	1.91661e-02	6.00041	3.06387	4.41310e-05
9.45689e+03	5.40029e-02	8.83606e-03	0.37766	5.08560	4.41310e-05
9.50348e+03	5.39635e-02	1.46794e-02	1.89969	2.69220	4.41310e-05
9.55006e+03	5.39552e-02	1.50436e-02	3.09479	3.41056	4.41310e-05
9.59665e+03	5.39751e-02	1.10784e-02	0.89008	4.48749	4.41310e-05
9.64323e+03	5.39454e-02	1.21781e-02	0.52875	0.65875	4.41310e-05
9.68982e+03	5.39103e-02	1.22796e-02	2.14576	4.70577	4.41310e-05
9.73640e+03	5.39788e-02	1.70853e-02	5.31922	3.55572	4.41310e-05
9.78299e+03	5.38804e-02	8.31514e-03	2.43801	4.92637	4.41310e-05
9.82958e+03	5.38967e-02	1.52772e-02	0.96256	2.40227	4.41310e-05
9.87616e+03	5.38688e-02	1.82070e-02	3.57150	4.74186	4.41310e-05
9.92275e+03	5.38337e-02	3.43784e-03	2.71289	0.64204	4.41310e-05
9.96933e+03	5.38323e-02	1.32519e-02	1.42741	0.29157	4.41310e-05
1.00159e+04	5.38080e-02	1.48711e-02	4.44590	4.59558	4.41310e-05
1.00625e+04	5.37747e-02	3.60861e-03	0.30976	0.77696	4.41310e-05
1.01091e+04	5.38264e-02	8.17174e-03	3.07851	5.05206	4.41310e-05
1.01557e+04	5.37314e-02	8.00310e-03	2.52693	2.55569	4.41310e-05
1.02023e+04	5.37507e-02	8.74051e-03	5.56879	5.63078	4.41310e-05
1.02488e+04	5.37658e-02	1.05945e-02	5.79835	0.89982	4.41310e-05
1.02954e+04	5.37673e-02	1.15162e-02	3.95575	3.08552	4.41310e-05
1.03420e+04	5.37304e-02	1.09592e-02	3.25755	0.01633	4.41310e-05
1.03886e+04	5.36898e-02	6.42790e-03	1.66190	3.99740	4.41310e-05
1.04352e+04	5.36540e-02	5.64816e-03	3.44972	3.28515	4.41310e-05
