# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.21581e-02	1.45354e-03	0.99007	1.67312	4.59020e-05
4.65857e+01	1.21576e-02	2.46439e-03	4.97618	0.94719	4.59020e-05
9.31714e+01	1.21579e-02	1.17749e-03	0.31306	3.19709	4.59020e-05
1.39757e+02	1.21586e-02	3.38576e-03	3.39772	2.41374	4.59020e-05
1.86343e+02	1.21580e-02	1.38103e-03	5.96486	3.03134	4.59020e-05
2.32928e+02	1.21585e-02	3.03186e-03	0.45177	4.62373	4.59020e-05
2.79514e+02	1.21591e-02	1.67245e-03	4.17059	5.20672	4.59020e-05
3.26100e+02	1.21588e-02	3.23414e-03	2.43686	5.15016	4.59020e-05
3.72685e+02	1.21588e-02	3.16400e-03	3.47718	0.45294	4.59020e-05
4.19271e+02	1.21597e-02	3.58236e-03	3.89645	1.00987	4.59020e-05
4.65857e+02	1.21574e-02	2.93924e-03	5.95055	2.25957	4.59020e-05
5.12442e+02	1.21570e-02	2.51132e-03	4.30658	2.54172	4.59020e-05
5.59028e+02	1.21583e-02	4.08940e-03	1.24785	3.22512	4.59020e-05
6.05614e+02	1.21574e-02	3.13110e-03	1.74211	4.04066	4.59020e-05
6.52199e+02	1.21573e-02	4.08378e-03	3.50753	5.17740	4.59020e-05
6.98785e+02	1.21610e-02	3.34763e-03	0.25405	5.86879	4.59020e-05
7.45371e+02	1.21583e-02	4.40342e-03	4.34916	0.32949	4.59020e-05
7.91956e+02	1.21576e-02	4.56348e-03	2.61820	1.09518	4.59020e-05
8.38542e+02	1.21583e-02	4.96827e-03	5.79134	2.40507	4.59020e-05
8.85128e+02	1.21585e-02	4.46587e-03	1.05555	2.69488	4.59020e-05
9.31713e+02	1.21577e-02	3.13399e-03	1.67853	4.24894	4.59020e-05
9.78299e+02	1.21588e-02	5.04791e-03	2.74866	4.69512	4.59020e-05
1.02488e+03	1.21579e-02	3.41685e-03	4.48494	5.67722	4.59020e-05
1.07147e+03	1.21579e-02	5.18503e-03	2.22573	0.07212	4.59020e-05
1.11806e+03	1.21592e-02	5.14140e-03	5.91421	1.16144	4.59020e-05
1.16464e+03	1.21584e-02	3.41874e-03	2.44413	1.75886	4.59020e-05
1.21123e+03	1.21588e-02	5.63499e-03	3.73878	2.63814	4.59020e-05
1.25781e+03	1.21576e-02	2.86252e-03	5.45346	3.54080	4.59020e-05
1.30440e+03	1.21578e-02	4.78234e-03	2.85604	4.03733	4.59020e-05
1.35098e+03	1.21614e-02	4.06342e-03	3.74380	5.37838	4.59020e-05
1.39757e+03	1.21582e-02	3.87001e-03	0.41203	5.80009	4.59020e-05
1.44416e+03	1.21596e-02	5.81350e-03	1.87508	0.74409	4.59020e-05
