# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	1.66440e-02	5.84014e-03	4.99424	3.24492	4.36970e-05
4.65857e+01	1.66408e-02	3.16168e-03	4.44393	5.98079	4.36970e-05
9.31714e+01	1.66398e-02	5.98931e-03	0.86004	4.85185	4.36970e-05
1.39757e+02	1.66353e-02	2.13985e-03	5.94759	2.57913	4.36970e-05
1.86343e+02	1.66383e-02	8.31702e-03	3.89017	0.69281	4.36970e-05
2.32928e+02	1.66378e-02	5.67035e-04	1.64146	5.74260	4.36970e-05
2.79514e+02	1.66412e-02	7.16067e-03	0.48979	2.14932	4.36970e-05
3.26100e+02	1.66356e-02	6.81261e-03	0.20957	3.97306	4.36970e-05
3.72685e+02	1.66363e-02	4.34518e-03	3.99553	2.85060	4.36970e-05
4.19271e+02	1.66416e-02	4.20496e-03	4.68959	6.10537	4.36970e-05
4.65857e+02	1.66423e-02	5.18843e-03	1.85441	4.94332	4.36970e-05
5.12442e+02	1.66416e-02	8.96877e-03	1.42916	0.34876	4.36970e-05
5.59028e+02	1.66420e-02	3.08164e-03	1.02063	2.68012	4.36970e-05
6.05614e+02	1.66423e-02	7.10780e-03	5.58121	1.76672	4.36970e-05
6.52199e+02	1.66419e-02	3.05203e-03	5.40513	4.69662	4.36970e-05
6.98785e+02	1.66401e-02	6.05573e-03	3.20390	2.76325	4.36970e-05
7.45371e+02	1.66369e-02	8.22428e-03	2.87819	4.57253	4.36970e-05
7.91956e+02	1.66402e-02	5.55807e-03	2.15036	0.11122	4.36970e-05
8.38542e+02	1.66386e-02	1.38013e-03	0.03763	4.02552	4.36970e-05
8.85128e+02	1.66381e-02	5.75624e-03	6.26703	1.17633	4.36970e-05
9.31713e+02	1.66393e-02	4.44875e-03	4.27418	0.10154	4.36970e-05
9.78299e+02	1.66398e-02	4.18262e-03	3.83670	4.15797	4.36970e-05
1.02488e+03	1.66443e-02	6.92460e-03	1.72376	2.76661	4.36970e-05
1.07147e+03	1.66373e-02	7.34519e-03	1.38079	4.68258	4.36970e-05
1.11806e+03	1.66419e-02	2.43686e-03	0.43934	0.77067	4.36970e-05
1.16464e+03	1.66441e-02	5.64931e-03	4.77256	5.10675	4.36970e-05
1.21123e+03	1.66409e-02	3.06803e-03	4.57516	2.34216	4.36970e-05
1.25781e+03	1.66412e-02	5.83410e-03	3.34576	0.39339	4.36970e-05
1.30440e+03	1.66418e-02	5.10054e-03	3.38340	2.55022	4.36970e-05
1.35098e+03	1.66379e-02	4.83105e-03	2.03829	0.94026	4.36970e-05
1.39757e+03	1.66415e-02	5.90173e-03	1.60913	3.89513	4.36970e-05
1.44416e+03	1.66416e-02	1.74146e-03	0.91756	1.36035	4.36970e-05
1.49074e+03	1.66412e-02	6.15807e-03	0.52225	5.42514	4.36970e-05
1.53733e+03	1.66425e-02	3.35464e-03	0.41206	1.79154	4.36970e-05
1.58391e+03	1.66358e-02	4.20632e-03	5.09555	5.00104	4.36970e-05
1.63050e+03	1.66403e-02	6.26823e-03	4.79744	1.23323	4.36970e-05
1.67708e+03	1.66427e-02	3.68335e-03	3.77669	4.32971	4.36970e-05
1.72367e+03	1.66363e-02	6.08398e-03	2.37727	1.12546	4.36970e-05
1.77026e+03	1.66415e-02	5.45249e-03	1.85746	3.61585	4.36970e-05
1.81684e+03	1.66367e-02	2.64580e-03	0.42002	0.40267	4.36970e-05
1.86343e+03	1.66412e-02	7.55173e-03	5.69264	3.48216	4.36970e-05
1.91001e+03	1.66378e-02	5.33866e-03	4.99948	5.72445	4.36970e-05
1.95660e+03	1.66411e-02	4.07881e-03	3.44353	1.90110	4.36970e-05
2.00318e+03	1.66407e-02	4.68660e-03	0.89293	4.50219	4.36970e-05
2.04977e+03	1.66404e-02	5.65818e-03	5.96956	0.06747	4.36970e-05
2.09636e+03	1.66404e-02	5.90859e-03	5.63179	2.06051	4.36970e-05
2.14294e+03	1.66421e-02	5.64514e-03	5.71446	4.08981	4.36970e-05
2.18953e+03	1.66362e-02	4.90469e-03	5.13404	0.52239	4.36970e-05
2.23611e+03	1.66401e-02	6.00845e-03	4.78630	3.82080	4.36970e-05
2.28270e+03	1.66400e-02	4.67699e-03	4.88936	1.16541	4.36970e-05
2.32928e+03	1.66378e-02	5.57572e-03	3.19161	1.93316	4.36970e-05
2.37587e+03	1.66401e-02	4.10598e-03	0.66248	4.64569	4.36970e-05
2.42245e+03	1.66334e-02	5.07839e-03	0.31485	5.85539	4.36970e-05
2.46904e+03	1.66333e-02	3.81107e-03	4.23118	1.46462	4.36970e-05
2.51563e+03	1.66353e-02	2.80233e-03	2.19175	4.53281	4.36970e-05
2.56221e+03	1.66387e-02	3.93530e-03	4.81757	1.60367	4.36970e-05
2.60880e+03	1.66370e-02	6.59805e-03	4.24228	2.88290	4.36970e-05
2.65538e+03	1.66366e-02	6.50566e-03	2.16476	3.98934	4.36970e-05
2.70197e+03	1.66312e-02	1.01158e-02	1.38767	4.82749	4.36970e-05
2.74855e+03	1.66375e-02	8.31415e-03	4.93698	4.77443	4.36970e-05
2.79514e+03	1.66334e-02	6.94320e-03	1.13166	6.03286	4.36970e-05
2.84173e+03	1.66391e-02	1.49662e-02	5.65409	0.10465	4.36970e-05
2.88831e+03	1.66344e-02	1.26169e-02	1.83939	0.41168	4.36970e-05
2.93490e+03	1.66352e-02	1.17594e-02	3.32384	1.01290	4.36970e-05
2.98148e+03	1.66364e-02	6.66400e-03	4.88418	1.62248	4.36970e-05
3.02807e+03	1.66388e-02	8.42633e-03	4.32109	2.72185	4.36970e-05
3.07465e+03	1.66366e-02	6.74145e-03	0.63434	3.50920	4.36970e-05
3.12124e+03	1.66326e-02	6.03599e-03	0.30711	3.71072	4.36970e-05
3.16783e+03	1.66380e-02	6.47939e-03	5.01449	4.67333	4.36970e-05
3.21441e+03	1.66346e-02	5.75354e-03	2.91616	3.18680	4.36970e-05
3.26100e+03	1.66365e-02	2.76884e-03	1.97892	3.61204	4.36970e-05
3.30758e+03	1.66383e-02	6.49849e-03	4.54415	3.76476	4.36970e-05
3.35417e+03	1.66333e-02	4.97986e-03	4.64621	5.95524	4.36970e-05
