# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	2.33885e-02	1.77500e-02	2.25986	5.73132	1.29620e-05
4.65857e+01	2.33844e-02	2.19739e-02	4.39635	3.86708	1.29620e-05
9.31714e+01	2.33845e-02	1.95526e-02	0.96628	1.08439	1.29620e-05
1.39757e+02	2.34018e-02	2.60462e-02	3.42640	6.00014	1.29620e-05
1.86343e+02	2.34052e-02	2.16225e-02	0.03248	3.70578	1.29620e-05
2.32928e+02	2.33920e-02	2.26405e-02	2.50049	1.93481	1.29620e-05
2.79514e+02	2.33959e-02	1.96817e-02	5.76131	4.71946	1.29620e-05
3.26100e+02	2.33986e-02	2.20492e-02	2.25141	1.27801	1.29620e-05
3.72685e+02	2.33962e-02	2.25720e-02	5.63493	5.07820	1.29620e-05
4.19271e+02	2.33867e-02	1.76105e-02	2.20695	3.99502	1.29620e-05
4.65857e+02	2.33904e-02	2.14725e-02	5.51258	0.95361	1.29620e-05
5.12442e+02	2.34004e-02	2.23257e-02	2.13007	3.38547	1.29620e-05
5.59028e+02	2.33932e-02	1.93057e-02	5.06864	0.24920	1.29620e-05
6.05614e+02	2.33898e-02	1.76545e-02	2.13086	4.80307	1.29620e-05
6.52199e+02	2.33889e-02	2.29085e-02	5.21715	2.26587	1.29620e-05
6.98785e+02	2.33881e-02	1.89565e-02	2.25091	5.43159	1.29620e-05
7.45371e+02	2.33966e-02	2.06216e-02	5.27475	1.64164	1.29620e-05
7.91956e+02	2.33927e-02	2.32565e-02	2.28518	3.75978	1.29620e-05
8.38542e+02	2.33852e-02	2.03841e-02	5.47827	0.12914	1.29620e-05
8.85128e+02	2.33855e-02	1.83882e-02	2.39036	4.70756	1.29620e-05
9.31713e+02	2.33957e-02	2.48597e-02	5.37678	2.78135	1.29620e-05
9.78299e+02	2.34012e-02	2.42809e-02	1.93094	1.51222	1.29620e-05
1.02488e+03	2.33935e-02	2.04131e-02	5.13748	5.51310	1.29620e-05
1.07147e+03	2.33963e-02	2.29124e-02	1.73696	1.94930	1.29620e-05
1.11806e+03	2.33850e-02	2.07424e-02	4.93872	4.56961	1.29620e-05
1.16464e+03	2.33896e-02	1.84092e-02	1.90235	1.68195	1.29620e-05
1.21123e+03	2.33944e-02	2.34678e-02	4.85360	5.89553	1.29620e-05
1.25781e+03	2.33942e-02	2.33548e-02	2.30490	3.24161	1.29620e-05
1.30440e+03	2.33937e-02	1.97364e-02	5.43315	6.06951	1.29620e-05
1.35098e+03	2.33940e-02	2.46043e-02	2.78242	3.79041	1.29620e-05
1.39757e+03	2.33995e-02	2.13437e-02	6.02926	0.82125	1.29620e-05
1.44416e+03	2.33905e-02	1.92534e-02	3.10181	4.38959	1.29620e-05
1.49074e+03	2.33837e-02	1.82696e-02	0.39709	2.27095	1.29620e-05
1.53733e+03	2.33945e-02	1.98849e-02	3.80983	5.41773	1.29620e-05
1.58391e+03	2.33978e-02	2.34123e-02	0.76246	1.45716	1.29620e-05
1.63050e+03	2.33891e-02	2.18837e-02	3.84914	4.54804	1.29620e-05
1.67708e+03	2.33984e-02	2.20996e-02	0.86918	1.33516	1.29620e-05
1.72367e+03	2.33964e-02	2.16549e-02	4.16156	4.17253	1.29620e-05
1.77026e+03	2.33865e-02	2.22431e-02	0.77561	0.84515	1.29620e-05
1.81684e+03	2.33955e-02	2.24286e-02	4.20430	3.44427	1.29620e-05
1.86343e+03	2.34001e-02	2.21256e-02	0.69071	0.43958	1.29620e-05
1.91001e+03	2.33977e-02	2.38222e-02	3.88989	3.09422	1.29620e-05
1.95660e+03	2.34094e-02	2.56310e-02	0.67711	5.29458	1.29620e-05
2.00318e+03	2.34046e-02	2.39145e-02	3.17094	1.18216	1.29620e-05
2.04977e+03	2.33910e-02	2.18350e-02	6.10855	3.09119	1.29620e-05
2.09636e+03	2.33961e-02	2.16493e-02	3.26874	5.40637	1.29620e-05
2.14294e+03	2.33973e-02	2.33753e-02	0.69882	1.16592	1.29620e-05
2.18953e+03	2.34017e-02	2.52857e-02	4.29418	3.63918	1.29620e-05
2.23611e+03	2.33916e-02	2.25735e-02	1.55637	0.59782	1.29620e-05
2.28270e+03	2.33900e-02	2.07491e-02	5.49591	4.58855	1.29620e-05
2.32928e+03	2.33990e-02	2.24765e-02	1.65780	5.19501	1.29620e-05
2.37587e+03	2.34001e-02	2.09364e-02	4.01661	2.16690	1.29620e-05
2.42245e+03	2.33977e-02	1.86073e-02	4.33793	2.55457	1.29620e-05
2.46904e+03	2.33911e-02	1.75325e-02	3.92902	4.92267	1.29620e-05
2.51563e+03	2.33876e-02	9.77092e-03	3.98710	2.23264	1.29620e-05
2.56221e+03	2.33708e-02	4.21269e-03	6.14342	2.84867	1.29620e-05
2.60880e+03	2.33886e-02	4.09517e-03	1.65544	0.53499	1.29620e-05
2.65538e+03	2.33789e-02	9.71210e-03	0.49373	2.85528	1.29620e-05
2.70197e+03	2.34046e-02	1.55835e-02	5.25704	2.42581	1.29620e-05
2.74855e+03	2.33785e-02	1.07574e-02	0.32921	0.21887	1.29620e-05
2.79514e+03	2.33855e-02	1.01269e-02	1.93171	4.55987	1.29620e-05
2.84173e+03	2.33894e-02	2.05657e-03	1.62748	1.90598	1.29620e-05
2.88831e+03	2.33864e-02	7.05755e-03	1.95449	2.71725	1.29620e-05
2.93490e+03	2.33853e-02	1.13059e-02	5.01290	1.90751	1.29620e-05
2.98148e+03	2.33910e-02	1.95890e-02	1.67461	2.18461	1.29620e-05
3.02807e+03	2.33924e-02	1.47372e-02	1.04633	2.08962	1.29620e-05
3.07465e+03	2.33900e-02	9.97445e-03	4.66499	1.54346	1.29620e-05
3.12124e+03	2.33972e-02	1.96673e-02	4.20469	0.49266	1.29620e-05
3.16783e+03	2.33950e-02	1.80146e-02	3.87948	1.78820	1.29620e-05
3.21441e+03	2.33845e-02	1.88402e-02	2.91931	0.56540	1.29620e-05
3.26100e+03	2.33858e-02	1.97327e-02	5.61502	1.74005	1.29620e-05
3.30758e+03	2.33883e-02	1.25504e-02	2.07399	5.20667	1.29620e-05
3.35417e+03	2.33983e-02	1.75422e-02	5.08726	4.53996	1.29620e-05
3.40075e+03	2.33885e-02	1.02442e-02	4.10460	4.24576	1.29620e-05
3.44734e+03	2.33951e-02	5.14887e-03	5.47885	2.60450	1.29620e-05
3.49393e+03	2.34088e-02	2.31788e-02	5.24859	5.68032	1.29620e-05
3.54051e+03	2.33959e-02	1.93457e-02	5.15168	5.61953	1.29620e-05
3.58710e+03	2.33930e-02	1.51982e-02	1.78715	5.20116	1.29620e-05
3.63368e+03	2.33828e-02	4.04209e-03	2.84538	0.71720	1.29620e-05
3.68027e+03	2.33808e-02	2.18512e-03	1.92548	4.63028	1.29620e-05
3.72685e+03	2.33906e-02	1.57647e-02	2.10988	1.48775	1.29620e-05
3.77344e+03	2.33742e-02	1.22290e-02	6.20243	6.20880	1.29620e-05
3.82002e+03	2.33986e-02	1.46018e-02	2.50988	2.60461	1.29620e-05
3.86661e+03	2.33896e-02	1.42508e-02	4.79036	2.72300	1.29620e-05
3.91320e+03	2.33998e-02	2.31226e-02	1.88751	5.98363	1.29620e-05
3.95978e+03	2.33938e-02	2.90221e-02	5.30528	1.23122	1.29620e-05
4.00637e+03	2.33846e-02	3.12370e-02	4.65316	5.56533	1.29620e-05
