# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	3.48058e-02	7.25274e-04	3.74340	1.19152	2.31180e-05
4.65857e+01	3.48239e-02	2.60673e-03	4.66890	0.37193	2.31180e-05
9.31714e+01	3.48169e-02	3.80487e-03	2.32972	2.87791	2.31180e-05
1.39757e+02	3.48176e-02	2.00914e-03	2.42744	2.65737	2.31180e-05
1.86343e+02	3.48251e-02	7.75518e-04	4.01291	0.70485	2.31180e-05
2.32928e+02	3.48175e-02	2.18272e-03	3.74563	1.05566	2.31180e-05
2.79514e+02	3.48098e-02	6.21579e-03	4.07021	0.63843	2.31180e-05
3.26100e+02	3.48153e-02	1.75503e-03	2.18247	2.53671	2.31180e-05
3.72685e+02	3.48197e-02	1.46941e-03	5.94876	5.14963	2.31180e-05
4.19271e+02	3.48271e-02	3.94593e-03	3.08145	1.90085	2.31180e-05
4.65857e+02	3.48158e-02	3.20339e-03	0.82015	4.39413	2.31180e-05
5.12442e+02	3.48198e-02	1.96577e-03	2.16796	3.32028	2.31180e-05
5.59028e+02	3.48175e-02	5.41341e-03	5.14771	0.56186	2.31180e-05
6.05614e+02	3.48255e-02	5.82090e-03	4.10534	1.89323	2.31180e-05
6.52199e+02	3.48038e-02	6.77020e-03	3.31889	2.66158	2.31180e-05
6.98785e+02	3.48260e-02	3.11891e-03	0.07756	5.97787	2.31180e-05
7.45371e+02	3.48207e-02	4.27199e-03	5.63450	0.69099	2.31180e-05
7.91956e+02	3.48148e-02	3.87388e-03	1.61094	5.19962	2.31180e-05
8.38542e+02	3.48117e-02	8.17381e-03	0.99779	0.26354	2.31180e-05
8.85128e+02	3.48144e-02	6.32977e-03	4.92358	3.83877	2.31180e-05
9.31713e+02	3.48115e-02	9.06229e-03	3.73356	1.07948	2.31180e-05
9.78299e+02	3.48182e-02	4.76084e-03	4.29092	5.14982	2.31180e-05
1.02488e+03	3.47982e-02	9.43970e-03	2.91285	6.05020	2.31180e-05
1.07147e+03	3.48000e-02	1.18914e-02	0.36775	4.11706	2.31180e-05
1.11806e+03	3.47975e-02	1.25851e-02	3.35646	4.38689	2.31180e-05
1.16464e+03	3.47987e-02	3.86235e-03	0.97327	5.39985	2.31180e-05
1.21123e+03	3.48125e-02	1.05128e-02	1.21200	5.81348	2.31180e-05
1.25781e+03	3.47876e-02	1.46553e-02	1.50812	0.73834	2.31180e-05
1.30440e+03	3.47784e-02	1.05540e-02	0.00951	3.82566	2.31180e-05
1.35098e+03	3.47819e-02	1.06026e-02	3.05109	2.90637	2.31180e-05
1.39757e+03	3.48007e-02	4.11508e-03	1.58137	0.98658	2.31180e-05
1.44416e+03	3.47566e-02	1.79515e-02	3.53641	2.77353	2.31180e-05
1.49074e+03	3.47799e-02	1.51604e-02	1.24539	3.41026	2.31180e-05
1.53733e+03	3.47934e-02	3.69909e-03	5.66530	5.74397	2.31180e-05
1.58391e+03	3.47515e-02	2.10454e-02	1.55067	5.84126	2.31180e-05
1.63050e+03	3.47529e-02	2.17669e-02	2.59234	2.64338	2.31180e-05
1.67708e+03	3.47301e-02	2.03416e-02	3.34493	1.39253	2.31180e-05
1.72367e+03	3.47647e-02	1.45937e-02	3.44736	2.51272	2.31180e-05
1.77026e+03	3.47823e-02	7.21203e-03	0.69617	2.51428	2.31180e-05
1.81684e+03	3.47852e-02	8.55829e-03	5.46052	2.37631	2.31180e-05
1.86343e+03	3.47086e-02	8.74697e-03	5.64523	0.82815	2.31180e-05
1.91001e+03	3.47187e-02	1.58977e-02	0.01624	1.76143	2.31180e-05
1.95660e+03	3.47180e-02	1.53210e-02	3.25862	2.04367	2.31180e-05
2.00318e+03	3.46855e-02	1.52664e-02	4.05385	0.68603	2.31180e-05
2.04977e+03	3.47148e-02	1.90960e-02	1.88193	1.16775	2.31180e-05
2.09636e+03	3.47145e-02	1.34006e-02	5.79678	5.65849	2.31180e-05
2.14294e+03	3.46671e-02	7.87198e-03	5.62977	1.63476	2.31180e-05
2.18953e+03	3.47102e-02	1.97274e-02	3.19739	3.01966	2.31180e-05
2.23611e+03	3.47049e-02	2.30541e-02	4.44203	1.06730	2.31180e-05
2.28270e+03	3.47354e-02	1.37726e-02	2.15721	3.71478	2.31180e-05
2.32928e+03	3.47461e-02	1.25144e-02	4.44703	2.21559	2.31180e-05
2.37587e+03	3.46661e-02	2.62997e-02	0.66535	0.00124	2.31180e-05
2.42245e+03	3.46987e-02	1.19115e-02	5.25953	3.55234	2.31180e-05
2.46904e+03	3.47003e-02	5.93854e-03	4.91221	2.56153	2.31180e-05
2.51563e+03	3.46499e-02	1.56381e-02	1.70003	5.90635	2.31180e-05
2.56221e+03	3.47245e-02	1.48701e-02	0.15574	0.29414	2.31180e-05
2.60880e+03	3.47112e-02	1.48149e-02	5.51503	2.21305	2.31180e-05
2.65538e+03	3.47030e-02	2.48953e-02	4.23429	4.81533	2.31180e-05
2.70197e+03	3.47174e-02	9.73821e-03	3.24278	4.26335	2.31180e-05
2.74855e+03	3.46743e-02	1.29614e-02	0.37632	2.68204	2.31180e-05
2.79514e+03	3.46939e-02	1.67000e-02	1.79486	6.11135	2.31180e-05
2.84173e+03	3.46774e-02	1.31266e-02	5.17569	2.43805	2.31180e-05
2.88831e+03	3.46897e-02	2.47430e-02	3.55548	4.26655	2.31180e-05
2.93490e+03	3.46246e-02	1.24019e-02	0.20565	2.66481	2.31180e-05
2.98148e+03	3.46969e-02	1.13496e-02	3.03583	1.42798	2.31180e-05
3.02807e+03	3.46338e-02	2.13175e-02	4.68616	3.35658	2.31180e-05
3.07465e+03	3.46931e-02	2.37637e-02	5.91921	2.15390	2.31180e-05
3.12124e+03	3.46739e-02	7.76056e-03	0.69881	5.99158	2.31180e-05
3.16783e+03	3.46321e-02	1.62517e-02	4.44461	4.27045	2.31180e-05
3.21441e+03	3.46636e-02	3.20445e-02	5.12292	3.23959	2.31180e-05
3.26100e+03	3.46139e-02	3.64295e-02	6.05460	4.43827	2.31180e-05
3.30758e+03	3.46016e-02	3.96919e-03	0.39161	4.38451	2.31180e-05
3.35417e+03	3.46199e-02	2.52774e-02	1.70786	4.18248	2.31180e-05
3.40075e+03	3.45978e-02	2.85403e-02	5.18102	0.81326	2.31180e-05
3.44734e+03	3.45810e-02	2.13839e-02	1.72450	0.50149	2.31180e-05
3.49393e+03	3.45774e-02	2.92565e-02	2.92996	3.84425	2.31180e-05
3.54051e+03	3.46028e-02	1.72550e-02	5.84024	1.75942	2.31180e-05
3.58710e+03	3.45612e-02	1.20698e-02	5.75687	6.18606	2.31180e-05
3.63368e+03	3.45798e-02	1.05199e-02	4.32285	3.57510	2.31180e-05
3.68027e+03	3.45673e-02	2.24267e-02	4.24006	2.92648	2.31180e-05
3.72685e+03	3.45295e-02	2.26427e-02	0.69189	3.50496	2.31180e-05
3.77344e+03	3.45602e-02	4.28135e-03	5.66079	4.84142	2.31180e-05
3.82002e+03	3.45535e-02	1.22510e-02	0.29238	1.43316	2.31180e-05
3.86661e+03	3.45311e-02	2.94920e-02	0.10871	3.26168	2.31180e-05
3.91320e+03	3.45699e-02	2.68842e-02	3.60099	5.16375	2.31180e-05
3.95978e+03	3.45192e-02	1.75025e-02	3.66323	1.56060	2.31180e-05
4.00637e+03	3.45244e-02	1.99180e-02	6.06433	5.98504	2.31180e-05
4.05295e+03	3.45465e-02	2.87885e-02	1.01098	3.00238	2.31180e-05
4.09954e+03	3.45114e-02	9.68565e-03	5.21539	0.52123	2.31180e-05
4.14612e+03	3.44936e-02	3.72386e-02	6.10693	5.57726	2.31180e-05
4.19271e+03	3.45002e-02	1.11734e-02	3.99366	5.02846	2.31180e-05
4.23930e+03	3.45034e-02	2.71749e-02	0.48648	3.14955	2.31180e-05
4.28588e+03	3.44764e-02	2.05747e-02	5.41360	3.47083	2.31180e-05
4.33247e+03	3.44724e-02	2.12716e-02	3.81517	1.92083	2.31180e-05
4.37905e+03	3.44929e-02	3.25975e-02	4.06193	2.21643	2.31180e-05
4.42564e+03	3.44452e-02	2.37684e-02	1.73304	3.07178	2.31180e-05
4.47222e+03	3.44681e-02	1.50146e-02	4.68572	2.56839	2.31180e-05
4.51881e+03	3.44476e-02	3.31731e-02	4.03907	3.29540	2.31180e-05
4.56540e+03	3.44234e-02	3.42095e-02	0.95196	4.57185	2.31180e-05
4.61198e+03	3.44486e-02	2.14454e-02	1.12069	6.06872	2.31180e-05
4.65857e+03	3.44067e-02	1.99290e-02	5.39382	1.42025	2.31180e-05
4.70515e+03	3.44538e-02	1.49528e-02	0.79261	3.26167	2.31180e-05
4.75174e+03	3.44076e-02	2.21682e-02	0.01838	5.25692	2.31180e-05
4.79832e+03	3.44303e-02	1.28468e-02	3.58809	1.03104	2.31180e-05
4.84491e+03	3.43917e-02	2.14889e-02	3.87507	3.75900	2.31180e-05
4.89150e+03	3.44059e-02	1.92542e-02	2.66008	0.02132	2.31180e-05
4.93808e+03	3.43865e-02	1.93728e-02	5.07814	2.57713	2.31180e-05
4.98467e+03	3.44052e-02	2.11306e-02	5.26226	5.72996	2.31180e-05
5.03125e+03	3.43694e-02	2.08909e-02	3.24977	2.04114	2.31180e-05
5.07784e+03	3.43862e-02	1.71035e-02	4.86738	5.70259	2.31180e-05
5.12442e+03	3.43643e-02	2.09449e-02	4.49169	2.28211	2.31180e-05
5.17101e+03	3.43654e-02	1.56809e-02	1.54166	6.13178	2.31180e-05
5.21759e+03	3.43520e-02	2.39138e-02	2.88657	3.02584	2.31180e-05
5.26418e+03	3.43460e-02	2.22026e-02	2.06321	0.51100	2.31180e-05
5.31077e+03	3.43265e-02	3.20491e-02	5.40290	3.82131	2.31180e-05
5.35735e+03	3.43525e-02	2.93779e-02	0.23589	1.30394	2.31180e-05
5.40394e+03	3.42857e-02	3.27604e-02	5.63724	4.75260	2.31180e-05
5.45052e+03	3.43349e-02	2.49206e-02	2.05972	2.45424	2.31180e-05
5.49711e+03	3.43020e-02	2.04321e-02	2.89601	0.02584	2.31180e-05
5.54369e+03	3.43237e-02	2.43276e-02	0.86503	4.22013	2.31180e-05
5.59028e+03	3.42931e-02	1.97724e-02	3.38015	2.39040	2.31180e-05
5.63687e+03	3.42711e-02	3.01526e-02	3.89610	6.24539	2.31180e-05
5.68345e+03	3.42978e-02	2.75833e-02	2.31146	4.27447	2.31180e-05
5.73004e+03	3.42636e-02	2.74771e-02	5.23442	1.74506	2.31180e-05
5.77662e+03	3.42729e-02	2.71103e-02	5.32938	6.07693	2.31180e-05
5.82321e+03	3.42484e-02	2.06038e-02	3.31578	4.69214	2.31180e-05
5.86979e+03	3.42320e-02	2.46855e-02	5.84782	2.40415	2.31180e-05
5.91638e+03	3.42805e-02	3.25104e-02	6.20463	0.59502	2.31180e-05
5.96297e+03	3.42149e-02	2.86501e-02	4.75007	4.78792	2.31180e-05
6.00955e+03	3.42283e-02	2.68620e-02	1.03586	2.68343	2.31180e-05
6.05614e+03	3.42475e-02	2.09892e-02	1.00543	1.48988	2.31180e-05
6.10272e+03	3.41923e-02	2.57453e-02	5.55487	5.84613	2.31180e-05
6.14931e+03	3.42087e-02	3.23986e-02	2.05677	3.82331	2.31180e-05
6.19589e+03	3.42105e-02	2.71216e-02	2.66425	2.13145	2.31180e-05
6.24248e+03	3.41732e-02	2.34109e-02	0.76870	0.35419	2.31180e-05
6.28907e+03	3.42060e-02	2.34620e-02	3.10703	5.22975	2.31180e-05
6.33565e+03	3.42006e-02	2.97436e-02	3.62357	3.69244	2.31180e-05
6.38224e+03	3.41536e-02	2.99314e-02	2.14577	1.74883	2.31180e-05
6.42882e+03	3.41955e-02	2.19441e-02	4.97568	0.05517	2.31180e-05
6.47541e+03	3.41587e-02	2.52307e-02	5.16122	5.23254	2.31180e-05
6.52199e+03	3.41266e-02	2.82962e-02	3.60786	3.62383	2.31180e-05
6.56858e+03	3.41764e-02	2.70381e-02	0.43619	1.68245	2.31180e-05
6.61516e+03	3.41351e-02	2.82393e-02	1.17016	0.36331	2.31180e-05
6.66175e+03	3.41252e-02	2.39640e-02	5.76468	5.35124	2.31180e-05
6.70834e+03	3.41291e-02	2.55063e-02	2.36927	3.67553	2.31180e-05
6.75492e+03	3.41382e-02	2.77840e-02	3.66646	2.10824	2.31180e-05
6.80151e+03	3.41011e-02	2.85366e-02	2.30881	0.74873	2.31180e-05
6.84809e+03	3.40844e-02	2.09128e-02	4.97063	5.80290	2.31180e-05
6.89468e+03	3.41170e-02	2.75846e-02	0.08326	4.06761	2.31180e-05
6.94126e+03	3.41039e-02	3.40234e-02	6.06619	2.62200	2.31180e-05
6.98785e+03	3.40566e-02	2.26448e-02	4.51965	0.77394	2.31180e-05
7.03444e+03	3.40750e-02	2.39939e-02	3.30936	4.68302	2.31180e-05
7.08102e+03	3.40879e-02	1.16687e-02	3.19014	2.22257	2.31180e-05
7.12761e+03	3.40378e-02	2.52062e-02	6.08723	4.06792	2.31180e-05
7.17419e+03	3.40279e-02	2.80770e-02	5.60852	4.48487	2.31180e-05
7.22078e+03	3.40273e-02	2.17602e-02	1.45505	4.55073	2.31180e-05
7.26736e+03	3.39831e-02	3.25339e-02	5.33304	0.33627	2.31180e-05
7.31395e+03	3.40094e-02	2.21374e-02	0.60805	1.06007	2.31180e-05
