# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	4.60130e-02	0.00000e+00	0.00000	0.00000	3.47100e-05
4.65857e+01	4.59553e-02	4.47076e-03	4.75798	2.90043	3.47100e-05
9.31714e+01	4.59589e-02	1.35683e-03	4.93796	1.26837	3.47100e-05
1.39757e+02	4.59365e-02	4.83331e-03	2.64891	5.51768	3.47100e-05
1.86343e+02	4.59166e-02	3.43491e-03	2.93479	4.39768	3.47100e-05
2.32928e+02	4.59171e-02	6.19153e-03	5.48040	4.45425	3.47100e-05
2.79514e+02	4.59330e-02	4.22687e-03	5.06806	4.58306	3.47100e-05
3.26100e+02	4.58982e-02	2.79200e-03	1.47938	4.96720	3.47100e-05
3.72685e+02	4.58858e-02	1.46489e-03	5.75227	0.90011	3.47100e-05
4.19271e+02	4.58901e-02	5.78230e-03	6.14395	4.14268	3.47100e-05
4.65857e+02	4.58536e-02	2.04709e-03	0.93919	3.83752	3.47100e-05
5.12442e+02	4.58427e-02	2.25551e-03	2.49989	0.20896	3.47100e-05
5.59028e+02	4.58523e-02	7.22011e-03	6.07169	4.38912	3.47100e-05
6.05614e+02	4.58114e-02	6.48298e-03	3.59217	5.45553	3.47100e-05
6.52199e+02	4.58122e-02	5.49636e-03	4.88786	6.25750	3.47100e-05
6.98785e+02	4.58016e-02	2.43267e-03	2.46518	1.64169	3.47100e-05
7.45371e+02	4.58030e-02	4.11828e-03	3.22404	3.48530	3.47100e-05
7.91956e+02	4.58075e-02	1.82049e-03	5.42371	0.94361	3.47100e-05
8.38542e+02	4.57827e-02	3.18585e-03	5.62145	3.75341	3.47100e-05
8.85128e+02	4.57766e-02	3.82159e-03	2.38198	0.58560	3.47100e-05
9.31713e+02	4.57838e-02	4.74347e-03	0.81189	4.69394	3.47100e-05
9.78299e+02	4.57311e-02	3.47704e-03	1.72312	1.72712	3.47100e-05
1.02488e+03	4.57722e-02	7.00706e-03	0.91681	3.02748	3.47100e-05
1.07147e+03	4.57266e-02	8.59782e-03	5.39004	0.74579	3.47100e-05
1.11806e+03	4.57103e-02	1.35042e-02	3.16048	1.22314	3.47100e-05
1.16464e+03	4.57111e-02	1.86417e-03	1.74119	3.03950	3.47100e-05
1.21123e+03	4.57140e-02	9.97118e-03	4.57970	2.50357	3.47100e-05
1.25781e+03	4.57010e-02	1.29484e-02	1.80913	3.92579	3.47100e-05
1.30440e+03	4.57038e-02	8.55328e-03	0.97305	0.45801	3.47100e-05
1.35098e+03	4.56630e-02	7.82058e-03	0.26965	6.26377	3.47100e-05
1.39757e+03	4.56550e-02	3.08124e-03	0.40934	1.85208	3.47100e-05
1.44416e+03	4.56707e-02	1.57512e-02	1.36628	5.81523	3.47100e-05
