# t	a	e	mean_anomaly	varpi	mass/M_star
0.00000e+00	5.62968e-02	0.00000e+00	0.00000	0.00000	4.41310e-05
4.65857e+01	5.63218e-02	1.94704e-03	4.09014	5.71177	4.41310e-05
9.31714e+01	5.63091e-02	2.04306e-03	4.94473	5.21688	4.41310e-05
1.39757e+02	5.62978e-02	2.57000e-03	4.97421	2.46469	4.41310e-05
1.86343e+02	5.62639e-02	1.11924e-03	0.22943	1.36067	4.41310e-05
2.32928e+02	5.62692e-02	2.70794e-03	4.16403	0.97927	4.41310e-05
2.79514e+02	5.62117e-02	1.98834e-03	2.98193	2.62720	4.41310e-05
3.26100e+02	5.62097e-02	2.68749e-03	1.67859	1.29231	4.41310e-05
3.72685e+02	5.61906e-02	1.02923e-03	0.49632	3.00283	4.41310e-05
4.19271e+02	5.61539e-02	2.70702e-03	0.37880	0.54410	4.41310e-05
4.65857e+02	5.61654e-02	3.45439e-03	0.44689	1.05180	4.41310e-05
5.12442e+02	5.61317e-02	9.12981e-04	1.25069	3.99234	4.41310e-05
5.59028e+02	5.61351e-02	2.70980e-03	4.38428	1.45668	4.41310e-05
6.05614e+02	5.60932e-02	1.70996e-03	1.08710	2.24873	4.41310e-05
6.52199e+02	5.61043e-02	1.79268e-03	0.36287	3.65505	4.41310e-05
6.98785e+02	5.60565e-02	2.15346e-03	4.17222	3.69257	4.41310e-05
7.45371e+02	5.60405e-02	1.20436e-03	2.85789	5.75110	4.41310e-05
7.91956e+02	5.60004e-02	2.38176e-03	3.30463	2.95116	4.41310e-05
8.38542e+02	5.60090e-02	2.04528e-03	4.05939	3.02642	4.41310e-05
8.85128e+02	5.59824e-02	8.12374e-04	3.82767	1.00522	4.41310e-05
9.31713e+02	5.59889e-02	1.46430e-03	2.01158	3.87245	4.41310e-05
9.78299e+02	5.59534e-02	2.24564e-04	0.59965	3.55552	4.41310e-05
1.02488e+03	5.59283e-02	8.51395e-04	3.76422	1.99991	4.41310e-05
1.07147e+03	5.59279e-02	1.65717e-03	1.49388	3.08049	4.41310e-05
1.11806e+03	5.59272e-02	3.66845e-03	2.20485	4.55351	4.41310e-05
1.16464e+03	5.58783e-02	7.03871e-04	5.70839	0.36466	4.41310e-05
1.21123e+03	5.58545e-02	3.59032e-03	3.56762	5.26119	4.41310e-05
1.25781e+03	5.58537e-02	2.75449e-03	0.94216	1.42714	4.41310e-05
1.30440e+03	5.58251e-02	1.52160e-03	3.92172	1.43253	4.41310e-05
1.35098e+03	5.58038e-02	2.19573e-03	1.15106	4.12214	4.41310e-05
1.39757e+03	5.57700e-02	3.29338e-03	3.81859	4.51359	4.41310e-05
1.44416e+03	5.58179e-02	3.61723e-03	5.69058	2.62364	4.41310e-05
1.49074e+03	5.57642e-02	2.40012e-03	1.08802	4.17962	4.41310e-05
1.53733e+03	5.56918e-02	2.36021e-03	3.08047	2.53656	4.41310e-05
1.58391e+03	5.57289e-02	2.86833e-03	2.66544	0.42758	4.41310e-05
1.63050e+03	5.56920e-02	2.90303e-03	4.39215	5.77746	4.41310e-05
1.67708e+03	5.56920e-02	2.08775e-03	1.99948	6.07724	4.41310e-05
1.72367e+03	5.56183e-02	2.01796e-03	3.85716	5.46972	4.41310e-05
1.77026e+03	5.56170e-02	8.81820e-04	0.40032	0.94746	4.41310e-05
1.81684e+03	5.56417e-02	1.72005e-03	0.98104	2.09869	4.41310e-05
1.86343e+03	5.56057e-02	1.17377e-02	2.52736	6.25513	4.41310e-05
1.91001e+03	5.56160e-02	1.02974e-02	4.53462	0.76507	4.41310e-05
1.95660e+03	5.55345e-02	9.83662e-03	5.05005	4.01700	4.41310e-05
2.00318e+03	5.54932e-02	1.07017e-02	0.81191	2.06186	4.41310e-05
2.04977e+03	5.55122e-02	6.97473e-03	0.99644	0.81320	4.41310e-05
2.09636e+03	5.54832e-02	8.25448e-03	1.06225	3.19801	4.41310e-05
2.14294e+03	5.54703e-02	1.76956e-02	5.23761	5.00341	4.41310e-05
2.18953e+03	5.54967e-02	1.35839e-02	2.14972	5.76039	4.41310e-05
2.23611e+03	5.54450e-02	1.08972e-02	3.43132	3.46049	4.41310e-05
2.28270e+03	5.54243e-02	1.27932e-02	2.70621	1.03005	4.41310e-05
2.32928e+03	5.53678e-02	5.35019e-03	4.70506	4.19351	4.41310e-05
2.37587e+03	5.53906e-02	1.53981e-02	2.92804	3.45924	4.41310e-05
2.42245e+03	5.53525e-02	7.70048e-03	6.02820	1.27634	4.41310e-05
2.46904e+03	5.52904e-02	1.88346e-03	4.99675	0.76793	4.41310e-05
2.51563e+03	5.53662e-02	1.87051e-02	2.04697	5.26847	4.41310e-05
2.56221e+03	5.52925e-02	3.75388e-03	1.55718	3.04925	4.41310e-05
2.60880e+03	5.52948e-02	1.88089e-02	5.37808	5.48458	4.41310e-05
2.65538e+03	5.52693e-02	4.08978e-03	0.47547	0.34431	4.41310e-05
2.70197e+03	5.52651e-02	9.59756e-03	3.44734	3.30743	4.41310e-05
2.74855e+03	5.52492e-02	1.01821e-02	4.45028	4.19300	4.41310e-05
2.79514e+03	5.52659e-02	1.14167e-02	0.70237	6.00166	4.41310e-05
2.84173e+03	5.51364e-02	8.11544e-03	2.53788	5.74532	4.41310e-05
2.88831e+03	5.51884e-02	1.04762e-02	4.76435	1.17898	4.41310e-05
2.93490e+03	5.51914e-02	1.91255e-02	4.63146	1.78870	4.41310e-05
2.98148e+03	5.51932e-02	1.50412e-02	2.08830	1.33729	4.41310e-05
3.02807e+03	5.51946e-02	1.58260e-02	0.18869	3.03223	4.41310e-05
3.07465e+03	5.50890e-02	6.74638e-03	5.15858	0.24923	4.41310e-05
3.12124e+03	5.50569e-02	1.38595e-02	1.07954	2.04457	4.41310e-05
3.16783e+03	5.51891e-02	1.73909e-02	3.96076	5.79272	4.41310e-05
3.21441e+03	5.51284e-02	1.33202e-02	0.29718	5.34021	4.41310e-05
3.26100e+03	5.51205e-02	1.10964e-02	6.21226	3.77805	4.41310e-05
3.30758e+03	5.50556e-02	2.29994e-02	5.28756	5.28499	4.41310e-05
3.35417e+03	5.50118e-02	4.72370e-03	3.07351	4.22628	4.41310e-05
3.40075e+03	5.50274e-02	4.73448e-03	3.89089	2.59615	4.41310e-05
3.44734e+03	5.50280e-02	1.72144e-02	5.40183	2.23350	4.41310e-05
3.49393e+03	5.50593e-02	1.11778e-02	5.27910	5.80749	4.41310e-05
3.54051e+03	5.49961e-02	1.54097e-02	2.56942	1.47439	4.41310e-05
3.58710e+03	5.50407e-02	2.45650e-02	5.01048	0.40964	4.41310e-05
3.63368e+03	5.49959e-02	2.07168e-02	2.88281	5.93464	4.41310e-05
3.68027e+03	5.49734e-02	1.94061e-02	2.84435	5.52550	4.41310e-05
3.72685e+03	5.49515e-02	1.82138e-02	4.34237	5.66627	4.41310e-05
3.77344e+03	5.49136e-02	1.89991e-02	0.85731	0.37014	4.41310e-05
3.82002e+03	5.49401e-02	2.01932e-02	5.89247	1.36927	4.41310e-05
3.86661e+03	5.49657e-02	1.62047e-02	5.67742	3.31364	4.41310e-05
3.91320e+03	5.49215e-02	1.16933e-02	5.72599	0.85408	4.41310e-05
3.95978e+03	5.48760e-02	2.04799e-02	3.11915	3.35800	4.41310e-05
4.00637e+03	5.49157e-02	1.75884e-02	2.46177	5.98250	4.41310e-05
4.05295e+03	5.48842e-02	1.57634e-02	1.51205	4.62653	4.41310e-05
4.09954e+03	5.48569e-02	1.85155e-02	4.43777	1.80184	4.41310e-05
4.14612e+03	5.49274e-02	1.43238e-02	1.44357	0.55196	4.41310e-05
4.19271e+03	5.48263e-02	2.13417e-02	0.94987	5.29689	4.41310e-05
4.23930e+03	5.48654e-02	1.61670e-02	1.26420	5.13354	4.41310e-05
4.28588e+03	5.48453e-02	1.50423e-02	5.34963	3.34091	4.41310e-05
4.33247e+03	5.47911e-02	1.98925e-02	2.95134	3.80660	4.41310e-05
4.37905e+03	5.48234e-02	1.23960e-02	3.76001	3.43577	4.41310e-05
4.42564e+03	5.47799e-02	1.75240e-02	0.25599	3.01162	4.41310e-05
4.47222e+03	5.47786e-02	2.18306e-02	3.84697	3.94556	4.41310e-05
4.51881e+03	5.48042e-02	2.04935e-02	3.22197	5.13966	4.41310e-05
4.56540e+03	5.47405e-02	1.01010e-02	5.35075	5.49643	4.41310e-05
4.61198e+03	5.47239e-02	1.19221e-02	3.15677	6.10596	4.41310e-05
4.65857e+03	5.47443e-02	1.98673e-02	1.62886	1.90639	4.41310e-05
4.70515e+03	5.47132e-02	2.10791e-02	2.19675	4.12276	4.41310e-05
4.75174e+03	5.47612e-02	2.37434e-02	4.97560	0.02202	4.41310e-05
