# t	a	e	mean_anomaly	varpi	mass/M_star
1.24228e+02	4.68104e-02	3.02692e-02	5.30422	3.33511	3.47100e-05
2.79514e+02	4.67744e-02	2.88427e-02	0.96613	5.38358	3.47100e-05
4.34800e+02	4.67575e-02	2.70582e-02	2.95175	3.59163	3.47100e-05
5.90085e+02	4.67399e-02	2.63741e-02	5.41883	4.04193	3.47100e-05
7.45371e+02	4.67066e-02	2.49721e-02	2.03213	0.42107	3.47100e-05
9.00656e+02	4.66817e-02	2.48922e-02	4.20845	5.52373	3.47100e-05
1.05594e+03	4.66888e-02	2.42212e-02	0.36443	0.25149	3.47100e-05
1.21123e+03	4.66289e-02	2.36294e-02	3.29012	3.24554	3.47100e-05
1.36651e+03	4.66288e-02	2.31904e-02	0.43715	1.85638	3.47100e-05
1.52180e+03	4.65847e-02	2.12658e-02	4.28095	2.41356	3.47100e-05
1.67708e+03	4.65828e-02	2.16072e-02	2.23914	4.92614	3.47100e-05
1.83237e+03	4.65490e-02	1.95222e-02	0.74210	2.94944	3.47100e-05
1.98766e+03	4.65519e-02	1.94283e-02	6.03583	2.81018	3.47100e-05
2.14294e+03	4.65084e-02	1.88070e-02	5.43691	4.62290	3.47100e-05
2.29823e+03	4.64990e-02	1.83368e-02	5.64809	1.80068	3.47100e-05
2.45351e+03	4.64614e-02	1.72048e-02	0.40161	0.68012	3.47100e-05
2.60880e+03	4.64392e-02	1.67417e-02	1.94539	1.45604	3.47100e-05
2.76408e+03	4.64019e-02	1.66890e-02	3.87301	4.22174	3.47100e-05
2.91937e+03	4.63829e-02	1.74876e-02	0.13441	2.48785	3.47100e-05
3.07465e+03	4.63553e-02	1.55968e-02	3.04876	2.81609	3.47100e-05
3.22994e+03	4.63865e-02	1.53189e-02	0.37060	4.93731	3.47100e-05
3.38523e+03	4.63364e-02	1.41386e-02	4.32426	2.92027	3.47100e-05
3.54051e+03	4.63106e-02	1.46459e-02	1.97803	3.35646	3.47100e-05
3.69580e+03	4.62922e-02	1.56771e-02	6.03165	6.05170	3.47100e-05
