# t	a	e	mean_anomaly	varpi	mass/M_star
1.24228e+02	2.31620e-02	9.63155e-02	1.50872	3.73638	1.29620e-05
2.79514e+02	2.31648e-02	8.78182e-02	4.09589	2.07893	1.29620e-05
4.34800e+02	2.31604e-02	6.42458e-02	0.91227	0.23010	1.29620e-05
5.90085e+02	2.31747e-02	3.37213e-02	4.60688	4.13647	1.29620e-05
7.45371e+02	2.31588e-02	3.53119e-02	3.12857	1.16708	1.29620e-05
9.00656e+02	2.31649e-02	6.61994e-02	0.61482	5.21055	1.29620e-05
1.05594e+03	2.31548e-02	8.48393e-02	4.33627	3.41056	1.29620e-05
1.21123e+03	2.31686e-02	9.52801e-02	1.99290	1.78627	1.29620e-05
1.36651e+03	2.31490e-02	9.59839e-02	6.08709	0.20901	1.29620e-05
1.52180e+03	2.31553e-02	8.99615e-02	4.33330	4.86550	1.29620e-05
1.67708e+03	2.31643e-02	6.99923e-02	2.81766	3.09661	1.29620e-05
1.83237e+03	2.31615e-02	4.48506e-02	1.65050	1.09029	1.29620e-05
1.98766e+03	2.31594e-02	3.03055e-02	1.31745	4.62123	1.29620e-05
2.14294e+03	2.31612e-02	4.89076e-02	1.25673	1.98956	1.29620e-05
2.29823e+03	2.31748e-02	6.94589e-02	0.78651	0.12057	1.29620e-05
2.45351e+03	2.31735e-02	8.90196e-02	0.42452	4.69920	1.29620e-05
2.60880e+03	2.31479e-02	9.58037e-02	0.34503	3.07830	1.29620e-05
2.76408e+03	2.31728e-02	9.76499e-02	0.57360	1.50860	1.29620e-05
2.91937e+03	2.31653e-02	9.25479e-02	1.08307	6.19077	1.29620e-05
3.07465e+03	2.31553e-02	7.73129e-02	2.10358	4.52303	1.29620e-05
3.22994e+03	2.31584e-02	5.38385e-02	3.50138	2.69803	1.29620e-05
3.38523e+03	2.31774e-02	3.67709e-02	5.44676	0.59949	1.29620e-05
3.54051e+03	2.31617e-02	3.24893e-02	2.02135	3.98302	1.29620e-05
3.69580e+03	2.31671e-02	4.83928e-02	4.60368	1.82869	1.29620e-05
3.85108e+03	2.31543e-02	7.22227e-02	0.84416	6.24176	1.29620e-05
4.00637e+03	2.31655e-02	8.71707e-02	3.50476	4.55930	1.29620e-05
4.16165e+03	2.31738e-02	9.48645e-02	0.08536	2.95853	1.29620e-05
4.31694e+03	2.31570e-02	9.79794e-02	3.26813	1.39351	1.29620e-05
