# t	a	e	mean_anomaly	varpi	mass/M_star
6.21144e+00	5.67631e-02	2.64550e-02	1.44300	5.17042	4.41310e-05
1.39757e+01	5.67361e-02	2.53669e-02	5.72713	2.24272	4.41310e-05
2.17400e+01	5.67040e-02	2.59467e-02	4.19633	5.51195	4.41310e-05
2.95043e+01	5.66960e-02	2.35656e-02	3.14842	2.39103	4.41310e-05
3.72685e+01	5.66934e-02	2.44231e-02	2.51352	5.51503	4.41310e-05
4.50328e+01	5.66760e-02	2.29314e-02	2.42413	2.18671	4.41310e-05
5.27971e+01	5.66442e-02	2.32345e-02	2.71885	5.13473	4.41310e-05
6.05614e+01	5.66387e-02	2.28621e-02	3.57574	1.61554	4.41310e-05
6.83257e+01	5.66492e-02	2.17907e-02	4.92334	4.28792	4.41310e-05
7.60899e+01	5.66371e-02	2.26116e-02	0.46802	0.58867	4.41310e-05
8.38542e+01	5.65922e-02	2.08709e-02	2.76328	3.06460	4.41310e-05
9.16185e+01	5.66047e-02	2.07424e-02	5.47635	5.49499	4.41310e-05
9.93828e+01	5.65702e-02	2.07545e-02	2.48103	1.44084	4.41310e-05
1.07147e+02	5.65668e-02	2.02193e-02	6.21814	3.59578	4.41310e-05
1.14911e+02	5.65807e-02	1.94594e-02	4.14694	5.65102	4.41310e-05
1.22676e+02	5.65445e-02	1.94376e-02	2.53566	1.33308	4.41310e-05
1.30440e+02	5.65457e-02	1.90717e-02	1.41210	3.17514	4.41310e-05
1.38204e+02	5.65137e-02	1.81594e-02	0.78010	4.89719	4.41310e-05
1.45968e+02	5.65286e-02	1.83540e-02	0.56913	0.28878	4.41310e-05
1.53733e+02	5.64900e-02	1.83502e-02	0.91864	1.77775	4.41310e-05
1.61497e+02	5.64816e-02	1.79974e-02	1.69638	3.20480	4.41310e-05
1.69261e+02	5.64643e-02	1.73587e-02	2.95652	4.51932	4.41310e-05
1.77026e+02	5.64373e-02	1.77850e-02	4.70750	5.70758	4.41310e-05
1.84790e+02	5.64404e-02	1.70057e-02	0.66549	0.50064	4.41310e-05
