# t	a	e	mean_anomaly	varpi	mass/M_star
6.21144e+00	1.64678e-02	6.81516e-02	2.11623	5.52301	4.36970e-05
1.39757e+01	1.64791e-02	7.18871e-02	5.83520	3.65107	4.36970e-05
2.17400e+01	1.64778e-02	7.60357e-02	3.33476	1.72060	4.36970e-05
2.95043e+01	1.64828e-02	7.89833e-02	1.03619	5.88485	4.36970e-05
3.72685e+01	1.64815e-02	7.69443e-02	5.00339	3.80984	4.36970e-05
4.50328e+01	1.64747e-02	7.05357e-02	2.48624	1.89009	4.36970e-05
5.27971e+01	1.64800e-02	7.07623e-02	6.24402	6.26481	4.36970e-05
6.05614e+01	1.64669e-02	7.71439e-02	3.81736	4.28820	4.36970e-05
6.83257e+01	1.64659e-02	7.79333e-02	1.51583	2.21264	4.36970e-05
7.60899e+01	1.64757e-02	7.31161e-02	5.53713	0.11559	4.36970e-05
8.38542e+01	1.64763e-02	7.13344e-02	3.05005	4.50448	4.36970e-05
9.16185e+01	1.64819e-02	7.11043e-02	0.53853	2.63791	4.36970e-05
9.93828e+01	1.64828e-02	7.80399e-02	4.50594	0.58491	4.36970e-05
1.07147e+02	1.64759e-02	8.08573e-02	2.24692	4.78958	4.36970e-05
1.14911e+02	1.64794e-02	7.19194e-02	6.20183	2.75263	4.36970e-05
1.22676e+02	1.64695e-02	6.84337e-02	3.75711	0.83021	4.36970e-05
1.30440e+02	1.64662e-02	7.26558e-02	1.24159	5.26102	4.36970e-05
1.38204e+02	1.64727e-02	7.74608e-02	5.20550	3.22308	4.36970e-05
1.45968e+02	1.64777e-02	7.88339e-02	3.00821	1.08937	4.36970e-05
1.53733e+02	1.64817e-02	7.26635e-02	0.62746	5.39591	4.36970e-05
1.61497e+02	1.64814e-02	6.82369e-02	4.42089	3.51086	4.36970e-05
1.69261e+02	1.64751e-02	7.44152e-02	2.02546	1.57955	4.36970e-05
1.77026e+02	1.64807e-02	8.11286e-02	5.98685	5.83341	4.36970e-05
1.84790e+02	1.64683e-02	7.45718e-02	3.78410	3.71553	4.36970e-05
1.92554e+02	1.64669e-02	7.02262e-02	1.41573	1.71996	4.36970e-05
2.00318e+02	1.64712e-02	6.99423e-02	5.16495	6.18095	4.36970e-05
2.08083e+02	1.64782e-02	7.37383e-02	2.76101	4.22191	4.36970e-05
2.15847e+02	1.64807e-02	8.13304e-02	0.52047	2.12575	4.36970e-05
2.23611e+02	1.64826e-02	7.61775e-02	4.53741	0.06668	4.36970e-05
2.31375e+02	1.64752e-02	6.94841e-02	2.16995	4.36574	4.36970e-05
2.39140e+02	1.64799e-02	7.23749e-02	5.95531	2.49395	4.36970e-05
2.46904e+02	1.64674e-02	7.56142e-02	3.53028	0.55666	4.36970e-05
2.54668e+02	1.64656e-02	7.77543e-02	1.33801	4.71853	4.36970e-05
2.62433e+02	1.64733e-02	7.54715e-02	5.34950	2.65250	4.36970e-05
2.70197e+02	1.64773e-02	7.01124e-02	2.91035	0.74462	4.36970e-05
2.77961e+02	1.64805e-02	7.07321e-02	0.45925	5.11137	4.36970e-05
2.85725e+02	1.64822e-02	7.94873e-02	4.39204	3.11365	4.36970e-05
2.93490e+02	1.64759e-02	7.93194e-02	2.16014	1.03661	4.36970e-05
3.01254e+02	1.64792e-02	7.34443e-02	6.19815	5.23105	4.36970e-05
3.09018e+02	1.64689e-02	7.09790e-02	3.74389	3.33607	4.36970e-05
