# t	a	e	mean_anomaly	varpi	mass/M_star
6.21144e+00	3.48118e-02	1.03002e-03	1.52234	1.12819	2.31180e-05
1.39757e+01	3.48125e-02	3.49729e-03	3.67635	0.81520	2.31180e-05
2.17400e+01	3.48128e-02	1.31668e-03	5.15284	1.17547	2.31180e-05
2.95043e+01	3.48013e-02	1.78662e-03	1.85144	0.03816	2.31180e-05
3.72685e+01	3.48111e-02	9.27854e-04	3.06283	0.65579	2.31180e-05
4.50328e+01	3.48079e-02	2.15586e-03	0.06771	5.49156	2.31180e-05
5.27971e+01	3.48070e-02	2.12563e-03	3.90710	3.49490	2.31180e-05
6.05614e+01	3.48192e-02	2.36574e-03	0.44224	2.52230	2.31180e-05
6.83257e+01	3.47999e-02	3.64165e-03	1.97977	2.80176	2.31180e-05
7.60899e+01	3.48061e-02	2.65559e-03	4.11529	2.69502	2.31180e-05
8.38542e+01	3.48187e-02	1.86894e-03	0.44059	1.99468	2.31180e-05
9.16185e+01	3.48081e-02	2.00292e-04	2.29780	1.99371	2.31180e-05
9.93828e+01	3.48108e-02	1.14707e-03	1.01054	5.29222	2.31180e-05
1.07147e+02	3.48042e-02	1.56141e-03	3.12580	5.11251	2.31180e-05
1.14911e+02	3.48034e-02	4.10680e-03	5.67003	4.51169	2.31180e-05
1.22676e+02	3.48289e-02	2.29316e-03	1.17916	4.65065	2.31180e-05
1.30440e+02	3.48029e-02	1.84442e-03	4.84692	2.90892	2.31180e-05
1.38204e+02	3.47983e-02	1.15942e-03	1.24797	2.14236	2.31180e-05
1.45968e+02	3.48107e-02	3.59506e-04	1.69944	3.61906	2.31180e-05
1.53733e+02	3.47978e-02	1.14626e-03	1.50183	5.74169	2.31180e-05
1.61497e+02	3.47975e-02	4.05787e-03	2.58845	0.28842	2.31180e-05
1.69261e+02	3.48098e-02	2.64585e-03	5.82918	5.27102	2.31180e-05
1.77026e+02	3.48028e-02	1.87408e-03	0.81600	5.93097	2.31180e-05
1.84790e+02	3.47992e-02	3.05515e-03	2.47734	6.19744	2.31180e-05
1.92554e+02	3.48074e-02	1.56712e-03	5.48440	5.11473	2.31180e-05
2.00318e+02	3.47946e-02	9.55313e-04	3.51258	2.73298	2.31180e-05
2.08083e+02	3.48047e-02	2.18125e-03	0.10541	1.77810	2.31180e-05
2.15847e+02	3.48020e-02	2.16092e-03	2.58038	1.22450	2.31180e-05
2.23611e+02	3.47926e-02	4.56299e-03	3.71367	2.00179	2.31180e-05
2.31375e+02	3.48102e-02	1.99621e-03	0.47894	0.86679	2.31180e-05
2.39140e+02	3.48010e-02	1.86547e-03	1.74991	1.50776	2.31180e-05
2.46904e+02	3.47984e-02	4.18976e-04	2.84205	2.32758	2.31180e-05
2.54668e+02	3.48114e-02	1.69652e-03	2.14445	4.94107	2.31180e-05
2.62433e+02	3.47982e-02	2.88219e-03	4.53116	4.47373	2.31180e-05
2.70197e+02	3.48022e-02	2.62350e-03	0.43760	4.20013	2.31180e-05
2.77961e+02	3.48054e-02	7.27159e-04	3.80284	2.73623	2.31180e-05
2.85725e+02	3.47920e-02	6.19423e-04	1.22138	0.95082	2.31180e-05
