# t	a	e	mean_anomaly	varpi	mass/M_star
6.21144e+00	1.20451e-02	3.76503e-02	3.16493	2.56144	4.59020e-05
1.39757e+01	1.20421e-02	3.40018e-02	3.10312	0.43889	4.59020e-05
2.17400e+01	1.20394e-02	4.79962e-02	3.06130	4.64026	4.59020e-05
2.95043e+01	1.20380e-02	5.58088e-02	2.84096	2.79007	4.59020e-05
3.72685e+01	1.20379e-02	4.46247e-02	2.72123	0.86015	4.59020e-05
4.50328e+01	1.20398e-02	3.63594e-02	2.67072	5.05448	4.59020e-05
5.27971e+01	1.20395e-02	3.90195e-02	2.53231	3.03547	4.59020e-05
6.05614e+01	1.20454e-02	4.62936e-02	2.46103	1.00441	4.59020e-05
6.83257e+01	1.20453e-02	5.38937e-02	2.32920	5.34802	4.59020e-05
7.60899e+01	1.20454e-02	4.45994e-02	2.08068	3.49439	4.59020e-05
8.38542e+01	1.20404e-02	3.24130e-02	2.06260	1.38945	4.59020e-05
9.16185e+01	1.20386e-02	4.11079e-02	1.99412	5.55948	4.59020e-05
9.93828e+01	1.20376e-02	5.14645e-02	1.76188	3.66929	4.59020e-05
1.07147e+02	1.20388e-02	5.12082e-02	1.69155	1.69392	4.59020e-05
1.14911e+02	1.20389e-02	4.33570e-02	1.54311	6.03555	4.59020e-05
1.22676e+02	1.20432e-02	3.24479e-02	1.35997	4.04935	4.59020e-05
1.30440e+02	1.20450e-02	3.87222e-02	1.35657	1.88202	4.59020e-05
1.38204e+02	1.20465e-02	5.37584e-02	1.17109	6.26324	4.59020e-05
1.45968e+02	1.20383e-02	5.11390e-02	1.02188	4.38550	4.59020e-05
1.53733e+02	1.20389e-02	3.81701e-02	0.93669	2.37331	4.59020e-05
1.61497e+02	1.20394e-02	3.55794e-02	0.84020	0.31924	4.59020e-05
1.69261e+02	1.20391e-02	4.23079e-02	0.77133	4.58807	4.59020e-05
1.77026e+02	1.20378e-02	5.30091e-02	0.69013	2.59137	4.59020e-05
