# t	a	e	mean_anomaly	varpi	mass/M_star
4.19271e+01	5.67616e-02	2.70329e-02	0.65314	4.87962	4.41310e-05
8.85128e+01	5.67520e-02	2.72017e-02	4.33593	0.47449	4.41310e-05
1.35098e+02	5.67400e-02	2.69109e-02	1.99370	2.34500	4.41310e-05
1.81684e+02	5.67149e-02	2.63261e-02	6.23816	4.19494	4.41310e-05
2.28270e+02	5.67469e-02	2.64829e-02	4.56910	5.95551	4.41310e-05
2.74855e+02	5.67282e-02	2.66501e-02	3.26459	1.33027	4.41310e-05
3.21441e+02	5.67245e-02	2.62031e-02	2.28171	2.94238	4.41310e-05
3.68027e+02	5.67189e-02	2.54695e-02	1.62643	4.50786	4.41310e-05
4.14612e+02	5.67552e-02	2.57021e-02	1.25848	6.05322	4.41310e-05
4.61198e+02	5.67484e-02	2.60291e-02	1.30527	1.16874	4.41310e-05
5.07784e+02	5.67477e-02	2.60901e-02	1.65728	2.55067	4.41310e-05
5.54369e+02	5.67404e-02	2.58686e-02	2.35118	3.86075	4.41310e-05
6.00955e+02	5.67203e-02	2.59782e-02	3.40980	5.06988	4.41310e-05
6.47541e+02	5.67303e-02	2.52937e-02	4.75042	6.27043	4.41310e-05
6.94126e+02	5.67533e-02	2.53976e-02	0.20000	1.08100	4.41310e-05
7.40712e+02	5.67046e-02	2.54239e-02	2.23545	2.13784	4.41310e-05
7.87298e+02	5.67334e-02	2.54700e-02	4.66916	3.06226	4.41310e-05
8.33883e+02	5.67202e-02	2.59674e-02	1.05974	4.02337	4.41310e-05
8.80469e+02	5.66965e-02	2.58640e-02	4.14041	4.86027	4.41310e-05
9.27055e+02	5.67328e-02	2.57534e-02	1.23522	5.67074	4.41310e-05
9.73640e+02	5.67314e-02	2.53543e-02	5.02820	0.04280	4.41310e-05
1.02023e+03	5.67357e-02	2.46680e-02	2.78343	0.72880	4.41310e-05
1.06681e+03	5.67057e-02	2.46997e-02	0.94869	1.28855	4.41310e-05
1.11340e+03	5.67184e-02	2.48561e-02	5.68647	1.82416	4.41310e-05
1.15998e+03	5.67088e-02	2.52396e-02	4.52640	2.23978	4.41310e-05
1.20657e+03	5.66751e-02	2.53421e-02	3.66216	2.63581	4.41310e-05
1.25315e+03	5.67097e-02	2.47304e-02	3.11775	2.99937	4.41310e-05
1.29974e+03	5.67012e-02	2.43627e-02	2.98744	3.22289	4.41310e-05
1.34633e+03	5.66769e-02	2.53526e-02	3.17622	3.39782	4.41310e-05
1.39291e+03	5.66956e-02	2.51134e-02	3.65285	3.54195	4.41310e-05
1.43950e+03	5.67107e-02	2.40447e-02	4.54508	3.54648	4.41310e-05
1.48608e+03	5.67266e-02	2.46638e-02	5.78772	3.48172	4.41310e-05
1.53267e+03	5.67078e-02	2.51470e-02	0.95346	3.48342	4.41310e-05
1.57925e+03	5.67043e-02	2.47534e-02	2.79416	3.36423	4.41310e-05
1.62584e+03	5.67206e-02	2.49142e-02	5.00654	3.13612	4.41310e-05
1.67243e+03	5.67212e-02	2.42479e-02	1.22782	2.88524	4.41310e-05
1.71901e+03	5.67000e-02	2.39320e-02	4.16042	2.48002	4.41310e-05
1.76560e+03	5.67224e-02	2.39951e-02	1.04609	2.11498	4.41310e-05
1.81218e+03	5.66965e-02	2.37490e-02	4.70344	1.52548	4.41310e-05
1.85877e+03	5.67010e-02	2.38948e-02	2.33729	0.93941	4.41310e-05
1.90535e+03	5.66664e-02	2.37277e-02	0.35730	0.23490	4.41310e-05
1.95194e+03	5.66842e-02	2.49499e-02	4.97673	5.76954	4.41310e-05
1.99853e+03	5.66794e-02	2.39439e-02	3.60730	5.00064	4.41310e-05
2.04511e+03	5.66900e-02	2.31350e-02	2.67205	4.08047	4.41310e-05
2.09170e+03	5.66846e-02	2.34847e-02	2.12458	3.09662	4.41310e-05
2.13828e+03	5.66742e-02	2.32041e-02	1.99728	1.98123	4.41310e-05
2.18487e+03	5.66867e-02	2.38210e-02	2.10972	0.87265	4.41310e-05
2.23145e+03	5.66673e-02	2.37125e-02	2.59122	5.93464	4.41310e-05
2.27804e+03	5.66968e-02	2.31233e-02	3.42690	4.63443	4.41310e-05
2.32462e+03	5.66757e-02	2.34116e-02	4.64171	3.22054	4.41310e-05
2.37121e+03	5.66758e-02	2.39761e-02	6.17211	1.76595	4.41310e-05
2.41780e+03	5.66598e-02	2.27629e-02	1.77533	0.22343	4.41310e-05
2.46438e+03	5.66792e-02	2.31013e-02	4.05988	4.82318	4.41310e-05
2.51097e+03	5.66704e-02	2.28024e-02	0.28216	3.19419	4.41310e-05
2.55755e+03	5.66518e-02	2.28467e-02	3.21713	1.41095	4.41310e-05
2.60414e+03	5.66809e-02	2.28812e-02	0.15724	5.88957	4.41310e-05
2.65072e+03	5.66635e-02	2.30986e-02	3.69120	4.04643	4.41310e-05
2.69731e+03	5.66707e-02	2.30354e-02	1.28509	2.12552	4.41310e-05
2.74390e+03	5.66743e-02	2.28275e-02	5.53861	0.07838	4.41310e-05
2.79048e+03	5.66381e-02	2.33439e-02	3.82843	4.28084	4.41310e-05
2.83707e+03	5.66493e-02	2.26215e-02	2.48228	2.10646	4.41310e-05
2.88365e+03	5.66386e-02	2.31553e-02	1.38675	6.23774	4.41310e-05
2.93024e+03	5.66568e-02	2.26229e-02	0.89017	3.87427	4.41310e-05
2.97682e+03	5.66819e-02	2.29183e-02	0.74820	1.39282	4.41310e-05
3.02341e+03	5.66522e-02	2.33009e-02	0.94080	5.14616	4.41310e-05
3.07000e+03	5.66667e-02	2.20530e-02	1.43405	2.57748	4.41310e-05
3.11658e+03	5.66740e-02	2.22686e-02	2.28189	6.17539	4.41310e-05
3.16317e+03	5.66525e-02	2.23866e-02	3.46217	3.43385	4.41310e-05
3.20975e+03	5.66809e-02	2.26637e-02	5.01494	0.60196	4.41310e-05
3.25634e+03	5.66410e-02	2.25416e-02	0.45617	4.08593	4.41310e-05
3.30292e+03	5.66285e-02	2.18353e-02	2.49108	1.21854	4.41310e-05
3.34951e+03	5.66325e-02	2.23523e-02	4.91145	4.51884	4.41310e-05
3.39610e+03	5.66430e-02	2.23267e-02	1.30909	1.50923	4.41310e-05
3.44268e+03	5.66350e-02	2.19253e-02	4.39831	4.63450	4.41310e-05
3.48927e+03	5.66420e-02	2.21413e-02	1.39685	1.54483	4.41310e-05
3.53585e+03	5.66282e-02	2.23090e-02	5.12507	4.53016	4.41310e-05
3.58244e+03	5.66392e-02	2.13095e-02	2.80776	1.27640	4.41310e-05
3.62902e+03	5.66274e-02	2.23562e-02	0.90625	4.20331	4.41310e-05
3.67561e+03	5.66505e-02	2.22544e-02	5.76587	0.70423	4.41310e-05
3.72219e+03	5.66409e-02	2.16335e-02	4.25282	3.61599	4.41310e-05
3.76878e+03	5.66421e-02	2.18569e-02	2.94984	0.18356	4.41310e-05
3.81537e+03	5.66236e-02	2.20846e-02	2.01638	2.98220	4.41310e-05
3.86195e+03	5.66437e-02	2.24289e-02	1.76221	5.56601	4.41310e-05
3.90854e+03	5.66407e-02	2.17087e-02	1.90007	1.75895	4.41310e-05
3.95512e+03	5.66069e-02	2.15138e-02	2.00505	4.34086	4.41310e-05
4.00171e+03	5.66172e-02	2.18774e-02	2.58930	0.46486	4.41310e-05
4.04829e+03	5.66260e-02	2.11230e-02	3.52846	2.74866	4.41310e-05
4.09488e+03	5.66347e-02	2.09307e-02	4.73093	5.01053	4.41310e-05
4.14147e+03	5.65985e-02	2.08640e-02	6.18559	1.00345	4.41310e-05
4.18805e+03	5.66005e-02	2.11528e-02	1.75917	3.12600	4.41310e-05
4.23464e+03	5.65864e-02	2.11378e-02	3.92589	5.18653	4.41310e-05
4.28122e+03	5.66092e-02	2.12213e-02	0.13721	0.87414	4.41310e-05
4.32781e+03	5.65763e-02	2.14478e-02	2.92167	2.81555	4.41310e-05
4.37439e+03	5.66100e-02	2.12072e-02	6.02285	4.70053	4.41310e-05
4.42098e+03	5.65918e-02	2.10990e-02	3.15410	0.24411	4.41310e-05
4.46757e+03	5.66106e-02	2.14556e-02	0.49929	2.04697	4.41310e-05
4.51415e+03	5.66125e-02	2.16871e-02	4.59258	3.69658	4.41310e-05
4.56074e+03	5.66027e-02	2.15100e-02	2.70626	5.29344	4.41310e-05
4.60732e+03	5.66102e-02	2.14565e-02	1.15943	0.50931	4.41310e-05
4.65391e+03	5.66190e-02	2.15887e-02	6.18865	1.96537	4.41310e-05
4.70049e+03	5.66167e-02	2.10349e-02	5.28506	3.32340	4.41310e-05
4.74708e+03	5.65825e-02	2.08568e-02	4.66183	4.65456	4.41310e-05
4.79367e+03	5.65845e-02	2.05423e-02	4.41275	5.86195	4.41310e-05
4.84025e+03	5.65843e-02	2.04272e-02	4.43334	0.75578	4.41310e-05
4.88684e+03	5.65916e-02	2.07432e-02	4.75145	1.88097	4.41310e-05
4.93342e+03	5.65870e-02	2.05289e-02	5.35800	2.98352	4.41310e-05
4.98001e+03	5.66055e-02	2.10787e-02	0.00585	4.00907	4.41310e-05
5.02659e+03	5.65761e-02	2.06591e-02	1.33357	4.90150	4.41310e-05
5.07318e+03	5.65942e-02	2.04296e-02	2.96804	5.73753	4.41310e-05
5.11976e+03	5.65924e-02	2.08743e-02	4.93576	0.20614	4.41310e-05
5.16635e+03	5.65632e-02	2.06652e-02	0.88240	0.94256	4.41310e-05
5.21294e+03	5.65645e-02	2.06063e-02	3.42255	1.61759	4.41310e-05
5.25952e+03	5.65896e-02	2.04801e-02	0.04743	2.17091	4.41310e-05
5.30611e+03	5.65805e-02	1.99976e-02	3.32711	2.60294	4.41310e-05
5.35269e+03	5.65955e-02	2.07482e-02	0.59547	3.00960	4.41310e-05
5.39928e+03	5.65810e-02	2.06149e-02	4.43747	3.38664	4.41310e-05
5.44586e+03	5.65711e-02	2.00545e-02	2.25526	3.75494	4.41310e-05
5.49245e+03	5.65969e-02	2.06313e-02	0.43935	4.02768	4.41310e-05
5.53904e+03	5.65935e-02	2.08089e-02	5.27442	4.16764	4.41310e-05
5.58562e+03	5.65843e-02	2.01097e-02	4.07801	4.28620	4.41310e-05
5.63221e+03	5.65682e-02	2.03229e-02	3.20164	4.34653	4.41310e-05
5.67879e+03	5.65580e-02	1.99726e-02	2.70373	4.30097	4.41310e-05
5.72538e+03	5.65582e-02	1.93299e-02	2.55220	4.14971	4.41310e-05
5.77196e+03	5.65499e-02	1.98179e-02	2.64512	3.99267	4.41310e-05
5.81855e+03	5.65515e-02	1.99199e-02	3.07039	3.76456	4.41310e-05
5.86514e+03	5.65533e-02	1.98383e-02	3.86406	3.42764	4.41310e-05
5.91172e+03	5.65825e-02	1.99444e-02	4.95496	3.04087	4.41310e-05
5.95831e+03	5.65784e-02	2.00385e-02	0.08436	2.57137	4.41310e-05
6.00489e+03	5.65580e-02	1.97302e-02	1.72436	2.11153	4.41310e-05
6.05148e+03	5.65616e-02	1.95587e-02	3.76053	1.52023	4.41310e-05
6.09806e+03	5.65496e-02	1.99321e-02	6.10207	0.88496	4.41310e-05
6.14465e+03	5.65582e-02	1.96495e-02	2.47761	0.18379	4.41310e-05
6.19124e+03	5.65677e-02	1.97000e-02	5.51821	5.62437	4.41310e-05
6.23782e+03	5.65326e-02	1.91448e-02	2.51519	4.79657	4.41310e-05
6.28441e+03	5.65268e-02	1.93601e-02	6.17177	3.85535	4.41310e-05
6.33099e+03	5.65413e-02	1.99030e-02	3.81616	2.89429	4.41310e-05
6.37758e+03	5.65512e-02	1.92289e-02	1.69783	1.94543	4.41310e-05
6.42416e+03	5.65501e-02	1.92041e-02	0.03608	0.77871	4.41310e-05
6.47075e+03	5.65281e-02	1.91658e-02	4.82365	5.97140	4.41310e-05
6.51733e+03	5.65352e-02	1.97916e-02	3.76869	4.69835	4.41310e-05
6.56392e+03	5.65142e-02	1.92539e-02	2.95151	3.44665	4.41310e-05
6.61051e+03	5.65301e-02	1.94841e-02	2.47674	2.09686	4.41310e-05
6.65709e+03	5.65366e-02	1.87645e-02	2.34414	0.65166	4.41310e-05
6.70368e+03	5.65290e-02	1.95332e-02	2.43249	5.52584	4.41310e-05
6.75026e+03	5.65196e-02	1.92753e-02	2.93335	3.97822	4.41310e-05
6.79685e+03	5.65226e-02	1.89877e-02	3.81149	2.30214	4.41310e-05
6.84343e+03	5.65202e-02	1.91553e-02	4.99170	0.58011	4.41310e-05
6.89002e+03	5.65515e-02	1.92073e-02	0.18609	5.09503	4.41310e-05
6.93661e+03	5.65353e-02	1.95129e-02	2.05156	3.19871	4.41310e-05
6.98319e+03	5.65198e-02	1.88854e-02	4.28489	1.17367	4.41310e-05
7.02978e+03	5.65435e-02	1.87354e-02	0.50030	5.41094	4.41310e-05
7.07636e+03	5.64982e-02	1.89503e-02	3.46248	3.18253	4.41310e-05
7.12295e+03	5.65229e-02	1.92431e-02	0.34432	1.00652	4.41310e-05
7.16953e+03	5.65091e-02	1.81095e-02	3.87351	4.97984	4.41310e-05
7.21612e+03	5.64959e-02	1.89552e-02	1.28599	2.74167	4.41310e-05
7.26271e+03	5.64958e-02	1.87561e-02	5.28243	0.40898	4.41310e-05
7.30929e+03	5.65094e-02	1.87300e-02	3.60670	4.20195	4.41310e-05
7.35588e+03	5.64937e-02	1.82991e-02	1.89016	1.79474	4.41310e-05
7.40246e+03	5.65282e-02	1.92160e-02	0.58050	5.55654	4.41310e-05
7.44905e+03	5.65465e-02	1.96678e-02	5.97189	2.92592	4.41310e-05
7.49563e+03	5.65165e-02	1.78856e-02	5.40614	0.21159	4.41310e-05
7.54222e+03	5.64999e-02	1.83467e-02	4.99930	3.81147	4.41310e-05
7.58881e+03	5.65241e-02	1.88450e-02	5.06436	0.93085	4.41310e-05
7.63539e+03	5.65400e-02	1.85214e-02	5.36925	4.34429	4.41310e-05
7.68198e+03	5.65204e-02	1.83106e-02	5.96306	1.43735	4.41310e-05
7.72856e+03	5.65398e-02	1.90725e-02	0.28185	4.91642	4.41310e-05
7.77515e+03	5.65161e-02	1.84483e-02	1.59708	1.83827	4.41310e-05
7.82173e+03	5.65097e-02	1.80269e-02	2.97376	5.07823	4.41310e-05
7.86832e+03	5.64871e-02	1.83750e-02	4.84200	1.91021	4.41310e-05
7.91490e+03	5.65126e-02	1.85369e-02	0.89022	4.93594	4.41310e-05
7.96149e+03	5.64786e-02	1.85409e-02	3.35571	1.63845	4.41310e-05
8.00808e+03	5.64889e-02	1.78790e-02	6.04970	4.60959	4.41310e-05
8.05466e+03	5.64916e-02	1.77792e-02	2.84665	1.20200	4.41310e-05
8.10125e+03	5.65073e-02	1.86440e-02	0.01578	3.95166	4.41310e-05
8.14783e+03	5.64642e-02	1.85500e-02	3.74626	0.39799	4.41310e-05
8.19442e+03	5.64840e-02	1.84704e-02	1.59317	3.03266	4.41310e-05
8.24100e+03	5.65129e-02	1.84324e-02	6.00677	5.59518	4.41310e-05
8.28759e+03	5.64923e-02	1.82667e-02	4.49583	1.74102	4.41310e-05
