# t	a	e	mean_anomaly	varpi	mass/M_star
4.19271e+01	2.31596e-02	9.00509e-02	2.15918	5.32025	1.29620e-05
8.85128e+01	2.31628e-02	9.49503e-02	2.94399	0.46614	1.29620e-05
1.35098e+02	2.31658e-02	5.97302e-02	3.89183	1.58495	1.29620e-05
1.81684e+02	2.31723e-02	3.74705e-02	6.22387	0.91948	1.29620e-05
2.28270e+02	2.31555e-02	8.49156e-02	1.32173	1.50738	1.29620e-05
2.74855e+02	2.31629e-02	9.83867e-02	2.21792	2.88886	1.29620e-05
3.21441e+02	2.31712e-02	6.88774e-02	3.13981	4.12977	1.29620e-05
3.68027e+02	2.31601e-02	3.13970e-02	5.44044	3.67340	1.29620e-05
4.14612e+02	2.31601e-02	7.88040e-02	0.84567	3.98489	1.29620e-05
4.61198e+02	2.31609e-02	9.75198e-02	1.86506	5.31113	1.29620e-05
5.07784e+02	2.31692e-02	7.80890e-02	2.84794	0.35821	1.29620e-05
5.54369e+02	2.31667e-02	2.70014e-02	4.88009	0.36795	1.29620e-05
6.00955e+02	2.31601e-02	7.30465e-02	0.80639	0.14412	1.29620e-05
6.47541e+02	2.31577e-02	9.62562e-02	1.91883	1.44598	1.29620e-05
6.94126e+02	2.31695e-02	8.28928e-02	2.98082	2.80945	1.29620e-05
7.40712e+02	2.31662e-02	3.33218e-02	4.59496	3.34845	1.29620e-05
7.87298e+02	2.31581e-02	6.42154e-02	1.11011	2.64104	1.29620e-05
8.33883e+02	2.31550e-02	9.68111e-02	2.33525	3.86137	1.29620e-05
8.80469e+02	2.31703e-02	8.75088e-02	3.47582	5.25666	1.29620e-05
9.27055e+02	2.31630e-02	4.27289e-02	5.06215	6.03908	1.29620e-05
9.73640e+02	2.31622e-02	5.40197e-02	1.72696	5.26991	1.29620e-05
1.02023e+03	2.31527e-02	9.37769e-02	3.13264	0.00956	1.29620e-05
1.06681e+03	2.31673e-02	9.41388e-02	4.39176	1.42943	1.29620e-05
1.11340e+03	2.31696e-02	5.19332e-02	5.91027	2.42345	1.29620e-05
1.15998e+03	2.31710e-02	4.54405e-02	2.63964	1.62640	1.29620e-05
1.20657e+03	2.31574e-02	8.73191e-02	4.28037	2.46371	1.29620e-05
1.25315e+03	2.31478e-02	9.61641e-02	5.69058	3.86147	1.29620e-05
1.29974e+03	2.31690e-02	6.43682e-02	0.86692	5.07512	1.29620e-05
1.34633e+03	2.31681e-02	3.34511e-02	3.88618	4.34465	1.29620e-05
1.39291e+03	2.31677e-02	8.31818e-02	5.86415	4.90592	1.29620e-05
1.43950e+03	2.31512e-02	9.60541e-02	1.08803	6.27617	1.29620e-05
1.48608e+03	2.31618e-02	7.50996e-02	2.62406	1.30442	1.29620e-05
1.53267e+03	2.31605e-02	2.66096e-02	5.14061	1.29658	1.29620e-05
1.57925e+03	2.31635e-02	7.49635e-02	1.50825	1.10315	1.29620e-05
1.62584e+03	2.31524e-02	9.80727e-02	3.10414	2.41291	1.29620e-05
1.67243e+03	2.31511e-02	8.25738e-02	4.74284	3.76824	1.29620e-05
1.71901e+03	2.31753e-02	3.64794e-02	0.62714	4.30671	1.29620e-05
1.76560e+03	2.31648e-02	6.19977e-02	3.77935	3.67118	1.29620e-05
1.81218e+03	2.31735e-02	9.76187e-02	5.55161	4.82820	1.29620e-05
1.85877e+03	2.31548e-02	8.86140e-02	0.96674	6.23479	1.29620e-05
1.90535e+03	2.31712e-02	4.27383e-02	3.03262	0.70684	1.29620e-05
1.95194e+03	2.31689e-02	5.28854e-02	0.12090	6.23159	1.29620e-05
1.99853e+03	2.31691e-02	9.18001e-02	2.09285	0.96264	1.29620e-05
2.04511e+03	2.31552e-02	9.15303e-02	3.85968	2.37503	1.29620e-05
2.09170e+03	2.31534e-02	4.92397e-02	5.82871	3.35675	1.29620e-05
2.13828e+03	2.31550e-02	4.69410e-02	3.24754	2.42008	1.29620e-05
2.18487e+03	2.31666e-02	8.97179e-02	5.31234	3.35526	1.29620e-05
2.23145e+03	2.31536e-02	9.30750e-02	0.92642	4.73343	1.29620e-05
2.27804e+03	2.31522e-02	5.81890e-02	2.95707	5.85059	1.29620e-05
2.32462e+03	2.31550e-02	4.01256e-02	0.36001	5.00997	1.29620e-05
2.37121e+03	2.31607e-02	8.85773e-02	2.64796	5.75965	1.29620e-05
2.41780e+03	2.31544e-02	9.57753e-02	4.66845	0.86019	1.29620e-05
2.46438e+03	2.31585e-02	6.68536e-02	0.50829	2.04836	1.29620e-05
2.51097e+03	2.31639e-02	3.16992e-02	3.88620	1.60751	1.29620e-05
2.55755e+03	2.31538e-02	8.12571e-02	0.43582	1.90977	1.29620e-05
2.60414e+03	2.31534e-02	9.70158e-02	2.55000	3.26463	1.29620e-05
2.65072e+03	2.31605e-02	7.28230e-02	4.71923	4.52712	1.29620e-05
2.69731e+03	2.31590e-02	2.93196e-02	1.87921	4.43029	1.29620e-05
2.74390e+03	2.31674e-02	7.20802e-02	5.27424	4.36801	1.29620e-05
2.79048e+03	2.31524e-02	9.57300e-02	1.38499	5.66103	1.29620e-05
2.83707e+03	2.31660e-02	7.85977e-02	3.75143	0.71787	1.29620e-05
2.88365e+03	2.31735e-02	2.99655e-02	0.69699	0.92314	1.29620e-05
2.93024e+03	2.31569e-02	6.78941e-02	4.34954	0.56584	1.29620e-05
2.97682e+03	2.31583e-02	9.48648e-02	0.59310	1.77241	1.29620e-05
3.02341e+03	2.31609e-02	8.69490e-02	3.01666	3.16803	1.29620e-05
3.07000e+03	2.31525e-02	3.83808e-02	5.95419	3.87150	1.29620e-05
3.11658e+03	2.31577e-02	5.94866e-02	3.95034	3.08849	1.29620e-05
3.16317e+03	2.31666e-02	9.48198e-02	0.40313	4.21494	1.29620e-05
3.20975e+03	2.31672e-02	9.16185e-02	3.08835	5.59998	1.29620e-05
3.25634e+03	2.31642e-02	5.26386e-02	5.98015	0.30274	1.29620e-05
3.30292e+03	2.31663e-02	4.54451e-02	4.11069	5.76515	1.29620e-05
3.34951e+03	2.31481e-02	9.01194e-02	0.82543	0.36114	1.29620e-05
3.39610e+03	2.31674e-02	9.33854e-02	3.61440	1.76419	1.29620e-05
3.44268e+03	2.31733e-02	5.98424e-02	0.27257	2.86891	1.29620e-05
3.48927e+03	2.31595e-02	3.58213e-02	4.56920	2.23733	1.29620e-05
3.53585e+03	2.31535e-02	8.26039e-02	1.69143	2.79104	1.29620e-05
3.58244e+03	2.31668e-02	9.62051e-02	4.56512	4.17072	1.29620e-05
3.62902e+03	2.31642e-02	6.77958e-02	1.20690	5.40914	1.29620e-05
3.67561e+03	2.31505e-02	3.03277e-02	5.49961	4.97630	1.29620e-05
3.72219e+03	2.31523e-02	7.66780e-02	2.92422	5.24271	1.29620e-05
3.76878e+03	2.31695e-02	9.75770e-02	5.96244	0.26272	1.29620e-05
3.81537e+03	2.31716e-02	7.92053e-02	2.62779	1.59268	1.29620e-05
3.86195e+03	2.31710e-02	3.10248e-02	0.29704	1.67636	1.29620e-05
3.90854e+03	2.31561e-02	7.14507e-02	4.52550	1.43316	1.29620e-05
3.95512e+03	2.31571e-02	9.64071e-02	1.36837	2.68303	1.29620e-05
4.00171e+03	2.31643e-02	8.66922e-02	4.42462	4.03683	1.29620e-05
4.04829e+03	2.31541e-02	3.86086e-02	1.64259	4.72386	1.29620e-05
4.09488e+03	2.31690e-02	5.95735e-02	0.19845	3.94632	1.29620e-05
4.14147e+03	2.31582e-02	9.39109e-02	3.47869	5.08219	1.29620e-05
4.18805e+03	2.31700e-02	8.87247e-02	0.34259	0.18780	1.29620e-05
4.23464e+03	2.31564e-02	4.75396e-02	3.81213	1.10451	1.29620e-05
4.28122e+03	2.31662e-02	4.68138e-02	2.46710	0.28297	1.29620e-05
4.32781e+03	2.31429e-02	8.98780e-02	5.95859	1.18579	1.29620e-05
4.37439e+03	2.31640e-02	9.29164e-02	2.93546	2.59901	1.29620e-05
4.42098e+03	2.31701e-02	5.68213e-02	0.10949	3.68647	1.29620e-05
4.46757e+03	2.31635e-02	3.83590e-02	4.95747	3.01658	1.29620e-05
4.51415e+03	2.31590e-02	8.35721e-02	2.54897	3.63895	1.29620e-05
4.56074e+03	2.31694e-02	9.84577e-02	5.95944	5.00090	1.29620e-05
4.60732e+03	2.31620e-02	7.24145e-02	3.08907	0.00110	1.29620e-05
4.65391e+03	2.31573e-02	2.97496e-02	1.40530	6.04988	1.29620e-05
4.70049e+03	2.31459e-02	7.47293e-02	5.73095	6.16086	1.29620e-05
4.74708e+03	2.31532e-02	9.63154e-02	3.00018	1.15468	1.29620e-05
4.79367e+03	2.31735e-02	8.57407e-02	0.23241	2.52849	1.29620e-05
4.84025e+03	2.31653e-02	3.70601e-02	4.20597	3.13409	1.29620e-05
4.88684e+03	2.31608e-02	6.11821e-02	3.05847	2.42951	1.29620e-05
4.93342e+03	2.31612e-02	9.37845e-02	0.46780	3.59089	1.29620e-05
4.98001e+03	2.31577e-02	8.86153e-02	4.09954	4.99286	1.29620e-05
5.02659e+03	2.31586e-02	5.07457e-02	1.59250	5.99498	1.29620e-05
5.07318e+03	2.31503e-02	4.30073e-02	0.73518	5.15420	1.29620e-05
5.11976e+03	2.31627e-02	8.92865e-02	4.64506	6.01154	1.29620e-05
5.16635e+03	2.31516e-02	9.42413e-02	2.02952	1.15048	1.29620e-05
5.21294e+03	2.31690e-02	6.39059e-02	5.83588	2.33128	1.29620e-05
5.25952e+03	2.31618e-02	3.29420e-02	4.60169	1.94110	1.29620e-05
5.30611e+03	2.31691e-02	7.85340e-02	2.84619	2.25981	1.29620e-05
5.35269e+03	2.31640e-02	9.89897e-02	0.35425	3.58062	1.29620e-05
5.39928e+03	2.31566e-02	8.03025e-02	4.18921	4.94265	1.29620e-05
5.44586e+03	2.31548e-02	3.19160e-02	2.45028	5.30632	1.29620e-05
5.49245e+03	2.31641e-02	6.45926e-02	1.35723	4.90086	1.29620e-05
5.53904e+03	2.31593e-02	9.46848e-02	5.41481	6.05961	1.29620e-05
5.58562e+03	2.31610e-02	9.20055e-02	2.97961	1.19099	1.29620e-05
5.63221e+03	2.31718e-02	5.38305e-02	0.84030	2.24327	1.29620e-05
5.67879e+03	2.31730e-02	4.24555e-02	0.22806	1.41810	1.29620e-05
5.72538e+03	2.31543e-02	8.70151e-02	4.61097	2.26948	1.29620e-05
5.77196e+03	2.31717e-02	9.56346e-02	2.32214	3.66101	1.29620e-05
5.81855e+03	2.31742e-02	7.28489e-02	0.14321	4.94355	1.29620e-05
5.86514e+03	2.31671e-02	2.73465e-02	5.28490	4.95008	1.29620e-05
5.91172e+03	2.31566e-02	7.08529e-02	4.15046	4.80137	1.29620e-05
5.95831e+03	2.31547e-02	9.62380e-02	2.03334	6.10687	1.29620e-05
6.00489e+03	2.31397e-02	8.46320e-02	6.23312	1.21884	1.29620e-05
6.05148e+03	2.31667e-02	4.34493e-02	4.51743	2.01901	1.29620e-05
6.09806e+03	2.31637e-02	4.84250e-02	3.98986	1.32319	1.29620e-05
6.14465e+03	2.31530e-02	9.02435e-02	2.28337	2.28377	1.29620e-05
